{'CALIB_RAW_DAC_START_I': 524288, 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_VERSION': '1.0'}
-8235,-8091,-7FBC
-1F93D,-1F9FD,-1FAAB
-8187,-8168,-8119
-1FADD,-1F9FF,-1FBC8
-808E,-8140,-8152
-1FA17,-1FAD2,-1FB79
-80B3,-813E,-80D8
-1FC05,-1F843,-1FC7F
-8294,-8288,-81FB
-1FB80,-1F8B5,-1FA4B
-80B3,-8239,-8253
-1F9C2,-1FB73,-1FA9B
-7F67,-820A,-8049
-1FB3E,-1FC60,-1FB57
-802F,-8303,-7FDC
-1FA58,-1FB56,-1F980
-7DB3,-7ECF,-7E62
-1F891,-1F788,-1FA3A
-7F97,-7F2B,-7FF9
-1F9EB,-1F979,-1F963
-7FAC,-7F1F,-7FC0
-1F967,-1FA3B,-1F986
-81F6,-7F4E,-7DFF
-1FAB3,-1F980,-1FA19
-7F13,-7F0D,-7F57
-1F884,-1F9A6,-1F860
-7E1A,-7D4D,-7F58
-1F802,-1F83B,-1F864
-8071,-7D9A,-7EB9
-1F8AC,-1F829,-1F7E8
-7CF1,-7D19,-7CA4
-1F7E9,-1F8BD,-1F89E
-7E25,-7FDD,-7CB2
-1F8B8,-1F9D8,-1F8CA
-7DCF,-7F4A,-7E00
-1F7ED,-1F841,-1F83B
-7EFA,-7D35,-7DAF
-1F960,-1FA72,-1F7F9
-7DDC,-7CBD,-7C9D
-1F7F4,-1F783,-1F7E1
-7C71,-7C36,-7C6A
-1F5C2,-1F77E,-1F7E2
-7D00,-7C82,-7DDD
-1F82E,-1F576,-1F6E6
-7B17,-7B94,-7B90
-1F674,-1F594,-1F5D9
-7BC8,-7BB1,-7C03
-1F63C,-1F645,-1F55A
-7BAC,-7B84,-7C61
-1F4B0,-1F368,-1F58E
-7AE2,-7B52,-7A3C
-1F594,-1F589,-1F596
-7AD3,-7BE6,-7BB8
-1F4AA,-1F479,-1F412
-7D17,-7B24,-7C33
-1F5B7,-1F5B5,-1F681
-7955,-79A8,-79CD
-1F4C0,-1F2F0,-1F3D3
-78A2,-77BC,-7A65
-1F537,-1F50D,-1F617
-7A4A,-78BB,-792E
-1F106,-1F3B2,-1F443
-7968,-7989,-7A6E
-1F834,-1F57D,-1F689
-7E6B,-7C8E,-7CCE
-1F652,-1F5A5,-1F8DE
-7DFA,-7A15,-7BC4
-1F83F,-1F738,-1F5A8
-7C2A,-7B47,-7AEB
-1F781,-1F6D4,-1F599
-7B78,-7AC1,-7E61
-1F71D,-1F5E8,-1F6DA
-7B71,-7ADE,-7BC6
-1F519,-1F65E,-1F5B1
-7B30,-7DAA,-7B9D
-1F621,-1F4DA,-1F7B5
-7B35,-7C1B,-7B61
-1F5E2,-1F6D7,-1F6D6
-7B97,-7C02,-7D20
-1F674,-1F50D,-1F597
-7A70,-7A65,-79EE
-1F496,-1F42D,-1F2B4
-7A10,-7BA0,-79FE
-1F53E,-1F458,-1F4CD
-7AE0,-7CC1,-77DB
-1F4D2,-1F368,-1F343
-78D8,-78B7,-7981
-1F766,-1F7B3,-1F52F
-7AF1,-7A27,-7A83
-1F504,-1F4E0,-1F1E1
-7965,-79CA,-7A43
-1F1DC,-1F327,-1F3DE
-788E,-7AA4,-7802
-1F27D,-1F294,-1F251
-7876,-7A30,-7784
-1F288,-1F437,-1F2A3
-7983,-7949,-79EC
-1F463,-1F1BC,-1F502
-7952,-76C9,-77EC
-1F297,-1F37C,-1F25C
-7A93,-792E,-7933
-1F273,-1F327,-1F5B9
-76C5,-7620,-76D1
-1F27B,-1F47E,-1F475
-792A,-78FB,-7904
-1F2ED,-1F189,-1F207
-7748,-7741,-7953
-1F3F9,-1F0DB,-1F150
-776C,-776E,-7714
-1F285,-1F203,-1F2FC
-78AF,-7977,-7A13
-1F17D,-1F20B,-1F36D
-78A8,-774C,-771E
-1F0C2,-1F214,-1F0C0
-77BE,-7770,-74F9
-1F055,-1F0C9,-1F204
-778F,-7854,-761D
-1F141,-1F064,-1F107
-74A8,-7552,-7647
-1EFE4,-1F057,-1EF92
-7610,-7648,-7509
-1EFBB,-1EF65,-1EF2A
-7758,-749F,-750F
-1EE65,-1EDC8,-1EE2E
-75BC,-76F4,-7594
-1F061,-1EF27,-1EF0E
-7428,-73F7,-7482
-1E6B4,-1EA28,-1E7F0
-7B14,-7952,-7869
-1F31E,-1F217,-1F46E
-7CC9,-7AF1,-77A8
-1F217,-1F3EC,-1F4FA
-78BC,-7A28,-79E9
-1F505,-1F3EA,-1F2FF
-7CFC,-7B26,-7A13
-1F3CD,-1F578,-1F570
-7A04,-7B8B,-78D0
-1F2EA,-1F51B,-1F2F9
-7B7D,-7AAC,-7AB3
-1F348,-1F28E,-1F4B4
-76B6,-7883,-7BFC
-1F196,-1F1C4,-1F29E
-78DC,-7866,-7866
-1F325,-1F274,-1F043
-77DB,-7818,-781C
-1F1FC,-1F108,-1EF69
-7608,-7673,-774D
