{'CALIB_RAW_DAC_START_I': 0, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1511F2,151362,1511A4
168CE8,168C29,168D52
1512CE,151290,15137A
168CE3,168C93,168CFE
151269,151355,15114A
168CBB,168DBF,168D2A
151358,151267,151066
168D2B,168D09,168CAE
15145E,151186,15122E
168C5E,168CD2,168C60
1510EF,15130A,15122E
168DE5,168D75,168D1B
1511EA,1513C9,1512B6
168DB7,168F76,168CF8
15133F,151286,15139B
168E01,168F89,168E2B
15138C,15120A,151290
168ECC,168CD6,168E41
151391,151351,15160E
168F04,168E43,168F84
15153E,1514B9,1515FA
168FCB,168FEB,168DBF
1513FB,1516B9,151472
168FE0,168F5D,169104
1515B4,1514BD,1514F4
168D67,168DD8,168E0F
151563,151384,151733
16901D,168EDF,168F3E
151509,1513E3,151615
168E27,1690AE,168DE4
151426,151405,151374
168E52,168EFC,168FAA
15173B,151556,151484
16916B,16921B,16902C
1516BC,151578,15160A
1690D7,16928E,16913F
151589,151595,151641
1690F2,16915C,168E78
151726,151627,151667
168F5F,16916B,169329
151750,1516BB,151785
16903A,1690DB,169259
15160D,151723,15171F
16910D,169195,1690FD
151712,1515A1,15179D
169060,169165,169198
151879,151800,151765
1690E3,16913A,16930F
15174E,1515FA,151616
169235,1692F0,169157
151626,151537,151816
169340,16923F,169098
151806,151584,151868
169451,169057,1693A9
15174B,151510,151735
169228,1690AE,16911D
15158B,151814,151613
16910B,1691B2,169293
15170C,151703,1517F7
1691C2,169206,16932A
151998,1517B1,151676
1692D9,169117,1690B3
151835,151782,151751
169066,16918A,16911F
1515D7,15150D,1512D3
168F0B,168EB7,168EFD
151516,1515DB,15148C
168E40,168EDD,168F93
151597,151605,151661
168F0F,169055,168E6B
15148B,151460,151549
169075,168F40,16906C
151735,1517A6,151577
16908E,16910E,1690B8
1516DD,15158C,1514A3
1690A3,168FB2,1691BF
151584,15143A,1514B1
168ED3,1690D9,168FC8
1515D6,151569,1516E3
1690F0,1691ED,168F48
15147D,1514F0,1514FC
168E50,1691BF,1690CC
151612,1514B5,151595
1690E6,169325,169298
151662,151787,1515B7
169200,1690D2,168FF8
1516F1,151739,1515A7
16923A,1690C4,1690DC
15181C,151815,151722
1691F1,16920D,16921F
151787,151938,1516C9
1693E2,16923D,1692BA
15173A,15170A,15168C
169048,169146,169261
1515EB,1516F6,151662
16907F,169082,168FFF
1516AD,151956,151798
1694B6,169358,1693F3
151963,151A72,151A3E
1692D1,169158,1691C0
151959,151AC0,151719
169286,169345,16928D
151857,15167D,1518BB
169298,169257,169328
1519C0,1517A1,151810
1691EC,16936D,169423
151964,1519AC,1518F9
169436,16941E,1693B3
151B4E,151A40,151724
169447,169600,169473
151C5A,1518DA,1519D2
169519,169515,169594
151B27,1519AA,1519A7
16934C,1695C6,1693F6
151AAF,151B71,1518FB
16941D,169466,169402
1519BE,151A15,1519F0
16953E,1693A9,16948D
151A9A,151A3B,151980
1696EB,169440,169591
151BAE,151BC2,151BF4
1694D0,16959A,169597
151AC0,151BAB,151C73
16954E,169641,1695D0
151A4A,1519DD,1519FB
169482,169432,1694A4
151AA6,15192D,1519CA
168420,1684ED,1685D7
151AB4,151A1A,151B36
16938B,1695DA,1696DE
151A6B,151AE5,151993
16953E,1696C6,1695C4
151C6C,151B03,151B51
16949C,169582,16949B
151C81,151A56,151CD4
1694F3,169796,16967A
151BD0,151B08,151B8A
169535,169657,1694BC
151C28,151B2D,151BAA
169895,169562,169661
151BFE,151AF1,151D67
1696F3,1695FF,1695A0
151A3F,151ABD,151B5E
16967A,16964C,169824
151BA9,151A53,151BFF
16961B,1695E5,16958D
151D47,151C22,151D97
169506,169667,1695F5
151AF0,151D99,151B65
1695C1,1697A0,169504
151C3B,151B5B,1519E9
169602,169757,1694EB
151CB7,151CB3,151CAC
169879,169717,169635
151C73,151C65,151E3E
16986E,1697E4,16981D
151EB0,151C82,151DB5
1699F6,16964E,16974F
151C91,151B65,151C23
169779,16975F,1698FE
151E31,151DD7,151EAF
1698A4,1695F7,169A4B
151E68,151D7F,151F4C
1699B1,1699B6,16993E
151ECF,151E95,151DB7
169839,169A6C,16980A
1520BB,151F6B,151FE7
169ACA,1699E6,1699CF
152043,151F79,151E5E
169A6A,1698F3,1698C1
152046,1520B4,151EB6
169940,169B2F,1699A2
151F0C,15207F,151F53
16996B,1698ED,1699C2
151F05,151C81,152057
169A98,169A44,169962
151FAA,151FA4,151FB2
1699F3,1699BC,16994C
15209C,15217D,1521E5
1699D8,1698CB,169B6F
15204D,1521DA,151F3D
169B3C,169A5A,1699DA
152019,152195,152012
169C19,169A89,169C2A
1521F1,1522BE,152090
169A6A,1699AB,169A07
1521E8,151F82,152123
169B67,169C79,169B4D
15220C,1520C5,152287
169B81,169ADE,169D03
1520B3,151ED9,152089
169CD5,169BA5,169B98
151E69,151E81,151CE3
1698DB,1696D7,169979
151DF5,151E0D,151D5E
169913,16980F,16999D
151CF5,151E2E,151D6A
1697A6,16986D,1699A3
151F40,151F76,151F20
1698A2,1697C1,169937
151F5E,151F9D,151FBC
169781,1699B3,1698A7
151F8C,151E53,151F1A
169953,169B22,169918
151F35,151E3E,151F09
169935,169AFA,1697C5
151DC0,151F30,152036
169BEC,1699BC,1699BB
151FF1,15203E,151F1D
1699A4,169999,16980C
152025,15212C,151F6A
169B45,169A95,169875
152017,151E2A,151D87
169A4F,169A24,16989D
151FF6,152069,15206F
169ADD,169B18,169A0B
1520FE,151E32,151FC9
16999E,169BB5,169ABB
151E86,151F63,151E0B
169A05,1699B4,169AEB
151EEE,151F51,151FCF
169A54,169AD4,169B97
151FA6,151EA1,15207D
169B4B,169B68,169B6D
1520EF,1522CB,1522C4
169C01,169C77,169C45
15210D,152128,152183
16994A,169BAF,169C63
152170,15211D,1521BC
169B5A,169A40,169CC0
15219E,151F5A,15221E
169E5A,169D5D,169D0C
152334,15222C,1522E5
169C04,169CD8,169BD3
152166,152279,1521B1
169CA6,169CB0,169E47
1521B8,15207F,15223D
169B7A,169D30,169CCD
1522A1,1521EE,1523F7
169DCC,169EAC,169D05
1521F4,1522D1,152238
169DF7,169E1C,169C2B
15228A,1520C6,1522B7
169CD9,169DAB,169CBF
1522CA,1521BE,152269
169CD5,169E0B,169D7D
1521B4,152427,15208F
169BE4,169F1E,169E35
15230E,15241F,1523C2
169F27,169D6A,169EB9
152353,152343,1523C6
169F3F,169FD7,169E4C
15252E,15243D,15244D
169F3F,169F41,169F03
1523D9,15235E,15228C
167E4B,167E9A,167F29
152333,1524EF,15256D
169F4E,169CEE,169ED3
15241D,15245F,1523ED
169F0A,169E7E,169F71
15242F,15258E,152647
169EDE,16A1B1,169E5D
152491,152593,152459
169E32,169EFF,16A07B
152605,152570,1523E6
16A0C7,169FE8,16A016
1525FC,152712,1524C9
16A035,169EEC,169F4E
1523B9,15246B,1524BE
169D52,169F2F,169E65
1526EE,152577,15230B
169F97,169EF5,16A045
15253D,152583,15240E
169F8C,16A03E,169FE6
1525FC,1526BF,1523FE
169E05,16A08B,169EE6
152444,1527B5,15254B
16A148,16A128,16A129
152623,1525A4,152625
16A000,16A0CE,16A175
1526D2,15255B,152609
16A00E,16A190,169FE8
15271B,15260A,1525F0
16A09B,16A053,16A256
15270C,1526BF,1526D6
16A06A,16A044,16A31A
15266B,15274B,152800
16A2D7,16A152,16A0D8
152852,152696,152667
16A13F,16A14B,16A199
1525F4,15280B,1526D4
16A22E,16A37E,16A258
15290E,1527C9,152684
16A0B0,16A1C1,16A246
152757,1526E1,15277C
16A49B,16A28A,16A2A0
15286A,152663,152A96
16A0D6,16A405,16A2A1
15281D,1525C2,1529BC
16A2D5,16A2D8,16A419
152832,152985,1526BA
16A2FA,16A1CF,16A2E1
152856,1527E1,152798
16A313,16A4D5,16A344
15278C,15290A,1526DF
16A32F,16A3E3,16A24B
1528B2,15298C,152A4A
16A15C,16A44A,16A2D5
1529CE,15271C,152850
16A40C,16A2DC,16A224
1527AC,1529A3,152912
16A26B,16A2CA,16A324
152822,1528C5,1529E9
16A2FC,16A319,16A41A
152905,15297B,152978
16A491,16A4AC,16A4E7
152966,1528E6,1528B7
16A43E,16A37D,16A493
152871,1529C8,152944
16A227,16A2C0,16A3B4
152613,152577,1525CD
16A186,169FBC,16A16E
1524DD,152550,1525AF
16A062,16A154,16A21F
152624,1528BE,152539
169FB7,16A133,16A00F
15248B,15256B,152411
16A146,16A08A,16A101
152761,152797,1526BA
16A06A,16A25B,16A1F6
1526B0,15276B,152747
16A242,16A40E,16A156
1526D7,152882,1527F5
16A178,16A0CE,16A0F8
1526BE,15266C,152689
16A1D7,16A15F,16A13C
152804,1526B7,152611
16A1D6,16A235,16A1C9
1527A3,1526B0,152712
16A0CB,16A12B,16A22E
1525DC,152716,1527AF
16A275,16A226,16A094
152937,1527A6,1526EB
16A2A6,16A0BB,16A213
152779,15271D,1527B4
16A144,16A2FC,16A434
1526C6,1526FA,152949
16A26E,16A2EA,16A2F8
15278B,152828,152776
16A1C3,16A31C,16A321
15293B,1527C7,15295E
169F9F,16A209,16A1E6
1527E4,1527E2,152951
16A49A,16A4C0,16A356
152A83,1528F4,15273B
16A4C1,16A521,16A45F
1528E6,15285F,152A6F
16A176,16A205,16A201
1529DE,1528AA,152876
16A42B,16A383,16A588
1529B0,152B28,1528C1
16A229,16A30A,16A483
1528A5,152741,1528EB
16A2D3,16A42B,16A32B
152A4D,152B5A,15277A
16A367,16A371,16A3DD
152942,152A5E,152962
16A454,16A7FC,16A601
152B6E,152A76,152AFE
16A426,16A491,16A379
1528A6,152CAC,15292F
16A7A3,16A553,16A44C
152B32,152ABF,152A5E
16A483,16A427,16A594
152A5B,152ACF,152A21
16A517,16A67F,16A76D
152C0E,152A69,1529D6
16A674,16A469,16A604
152A77,152C8C,152C78
16A664,16A778,16A670
152BBF,152E37,152B9E
16A765,16A73E,16A5F6
152BA0,152DAE,152B80
1697D3,16976B,1697A7
152BC7,152989,152B4E
16A641,16A6B6,16A7A5
152CCF,152C82,152C73
16A5DE,16A7AE,16A759
152CF2,152AF6,152C1B
16A569,16A812,16A898
152D27,152C50,152DCC
16A65E,16A7E5,16A869
152DD7,152D00,152E06
16A6D6,16A4D8,16A8B3
152D43,152B93,152DA7
16A7C0,16A860,16A65D
152CF6,152E87,152CF1
16A7DB,16A836,16A7DE
152D8F,152CC9,152D5B
16A868,16AA57,16A872
152D1D,152EA5,152CB1
16A7F6,16A7A5,16A77C
152D56,152CEB,152CFA
16A707,16A75A,16A75A
152E03,152C61,152CD6
16A78B,16A74C,16A7BC
152FAC,152C3D,152CDF
16A8DF,16A768,16A82B
152BC3,152DCA,152CB9
16A615,16A918,16A66A
152D75,152E9A,152DA9
16A89A,16A82B,16A93C
152DC9,152D6D,152E9F
16A8EE,16A905,16A840
152D5B,152DE8,152EA6
16A9CA,16A805,16A73D
152FD8,152FAD,152E91
16A862,16A7D4,16A87A
152F68,152EFA,152EF5
16A930,16A9DA,16A9AB
15305E,152E97,152FA1
16AA68,16AA2D,16A948
153056,153087,152F79
16AA61,16AA1D,16AA89
152F8A,152F08,152F69
16A8C8,16AA9E,16AAD6
152EDE,153115,153048
16AA05,16AAA7,16AAF6
152EFD,15310D,152EE5
16A9FD,16AA6A,16A9FE
152F4A,152F1E,15318E
16AB46,16AB12,16AB50
153118,152EB5,153009
16ACA2,16AA3A,16AB0C
15315D,153114,1530D1
16AC92,16AC3D,16AA43
153209,1530B1,153237
16AD48,16ABAA,16AC40
153196,153111,15319F
16ACF7,16AAD2,16AD32
1530DE,153053,153202
16ACCB,16AD1B,16ABB8
1531D7,1530AC,153120
16AC90,16ACD1,16AC40
1532D2,1531B3,15309D
16AC46,16ABEC,16AC16
