{'CALIB_RAW_DAC_START_I': 32768, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
13E703,13E754,13E659
15624A,155FB4,156081
13E8BE,13E72A,13E765
15612F,156272,1561D3
13E75D,13E987,13E843
1561AB,1560A7,1561FB
13E87B,13E86A,13E7F4
156295,156204,15624A
13E743,13E804,13E6D3
1562C0,1560FD,1563B1
13E7A5,13E6F9,13E86D
156316,15632C,15634B
13E72B,13E961,13E5B9
1562F4,1561FD,1561BA
13E92A,13E7FF,13E91E
1561E7,156242,1562DE
13E72F,13E849,13E713
1562D8,1562C8,156363
13E901,13E91B,13E87A
156273,156336,15627C
13E98D,13E91E,13E88B
156215,156252,156209
13E7FF,13E824,13E723
15623E,156386,15620D
13E9B6,13E9F7,13E732
156394,156389,15622B
13E7C4,13EA71,13E822
156195,156380,156377
13E9AE,13E978,13E856
15632D,156439,15650B
13E8FC,13E9FB,13E739
1562AA,156276,1563F0
13EA32,13EA20,13EB74
1565CC,156689,156365
13E951,13EA1E,13EB0C
15657E,1565BB,15651B
13E9CD,13EB6F,13EA19
156581,156583,1564CB
13E95C,13E8EF,13E9B5
156581,156631,15653A
13ECD8,13ED80,13EBB9
15648C,15654A,1566C8
13EB88,13EB20,13EB71
15640F,15656A,156517
13EA2D,13EAB3,13EA40
156432,1563FE,15655B
13EB9F,13E917,13EC39
1566DC,15666C,1567EF
13EB85,13E9BF,13EBF9
156525,156514,156704
13EE26,13ED1A,13ECAB
156669,1566BF,1566EA
13EBD2,13EC8B,13EA17
1567EB,1567E3,1565A3
13ECD2,13ECD5,13ED14
156864,15664C,156670
13ECBC,13EDB6,13EC50
1565DF,15677A,156782
13EEE6,13ED18,13EBCB
15674B,156875,156757
13ED44,13EC2C,13EC4A
156616,1565FB,15694E
13ECF4,13ECAB,13EBED
1566B6,156726,156636
13E795,13E92B,13E9FF
156287,15619F,1563C1
13E78D,13E912,13E731
15641B,1563EF,156237
13E958,13E8A5,13E9C7
156347,156344,1564A9
13E963,13EA52,13E711
156344,15642D,156479
13E8F0,13E9B0,13E8A2
156482,156337,156407
13E94F,13EAB4,13E836
156307,15638F,156361
13E8E3,13EA61,13E921
156496,15647D,1564A3
13EA6E,13EAA8,13EB8B
156451,15652F,156698
13EA22,13EA7B,13E910
15648E,1564B6,15642F
13EAA5,13EA97,13EAAE
1563EA,156560,156495
13E920,13E8BD,13EA28
1563CA,15656D,1566C0
13EACB,13E93C,13E91E
15645B,1564EA,1564F0
13EAC9,13E9E1,13E928
15658B,1564B6,15643C
13EBD8,13E909,13EA44
15658E,156539,15652E
13EA3F,13EA21,13EB15
1564AF,1565C0,156678
13EBB9,13EABE,13EB00
156508,15650C,1564A8
13EC86,13EC15,13EC66
156788,15681D,1569C4
13EE6A,13EE9A,13EC3A
156905,1568B3,15697C
13EBEE,13EC88,13EC0C
156698,156739,1566E8
13EDE7,13ECC2,13EC3D
156703,15678D,1567F9
13EDD6,13ED72,13EF03
15661C,15699D,15689C
13EE9A,13ED0E,13EEC4
156646,156714,15678B
13EE5F,13EDE8,13EECC
1566AD,1567B7,15683B
13EEEE,13EEB9,13EC9C
156796,1569B9,1568A0
13EDD9,13EC87,13EEC7
156A15,15680F,15677E
13EDE5,13ED18,13EBE2
15689C,1568AA,156833
13F05A,13EE60,13F01E
156911,15687D,15696F
13EDB7,13ED04,13F00E
156A6E,156A7D,1569D2
13EED4,13EE30,13EE5F
1567FA,156818,1568DA
13EFBC,13EEEA,13EF2B
1569EB,156A49,156A18
13F14F,13EF62,13EE17
15686F,156B2F,15692D
13EF9A,13EF08,13EF56
15597D,1559FE,155ABF
13EF55,13EE4E,13F009
1566D4,156A09,156B21
13EEA0,13EE70,13EF2E
1567BB,156928,1567BF
13ECF6,13F00B,13EF56
1568E0,15686C,1569DB
13EF86,13F021,13EFC3
156D53,156B01,156795
13F09E,13F0CC,13EF98
156A6F,156A9C,156A49
13EFC9,13F1F5,13F055
156BB5,156911,156C4D
13F08C,13F180,13F12E
1569CD,156A3D,156A9B
13F0DF,13EFC9,13EFA2
156C6E,156BD8,156CD3
13F0E1,13F0B9,13F06E
156B84,156CCF,156C79
13F19F,13F0C1,13F015
156BB5,156A37,156A29
13F0F4,13F089,13EF43
156BA1,156BB2,156AC2
13F0A3,13F22A,13F070
1569F0,156BD2,156DB5
13F1AE,13F098,13F02B
15696C,1569C2,156A92
13F28C,13F1C1,13F28A
156C0D,156CBB,156BFF
13F302,13F22D,13F2A4
156DD9,156CB9,156AEC
13F1CC,13F0AD,13F2BD
156BE7,156D96,156CF3
13F342,13F415,13F3AD
156DC7,156DE7,156CD0
13F273,13F448,13F35B
156D15,156D67,156D79
13F26E,13F2B9,13F3E4
156E14,156D2B,156C43
13F37B,13F252,13F384
156E46,156CB1,156C1D
13F4DB,13F528,13F36F
156CA4,156D88,156DE3
13F2BD,13F2D3,13F64D
156E63,156F82,156F56
13F583,13F365,13F45F
156CD0,156E41,156D33
13F551,13F489,13F49C
156F46,156DCA,156F79
13F32F,13F4C9,13F402
156E65,156E9C,156D7D
13F37A,13F54A,13F520
156F88,156E9D,15706D
13F390,13F2E2,13F43B
156E33,156F01,156E7E
13F29B,13F4BB,13F388
156F48,156DCA,156EB2
13F52D,13F3D4,13F37C
156DCF,156F96,157039
13F58D,13F45F,13F5A7
156F16,156F6B,156F89
13F4BF,13F55B,13F48A
156EFF,156F3B,156DFB
13F539,13F4C3,13F35D
156F0B,156EF5,156FF9
13F106,13F0F0,13F090
156CD6,156C20,156C4D
13F231,13F084,13F303
156B72,156C46,156C6B
13F31B,13F205,13F220
156BEB,156B1E,156C2F
13F1ED,13F195,13F069
156C4B,156AC4,156B17
13EFDA,13EFC9,13F143
156A3B,156BA9,156D8A
13F141,13F070,13F1BD
156C2E,156BFF,156CA1
13F2A0,13F175,13F1E3
156BC0,156C6B,156E8B
13F0D4,13EFFE,13F2B6
156C2B,156D76,156D9C
13F2B6,13F206,13F209
156C06,156C34,156C4E
13F248,13F2ED,13F1DB
156E99,156CBE,156EAA
13F43F,13F366,13F28C
156D52,156C1D,156C6F
13F54D,13F15E,13F450
156E3E,156FCE,156D33
13F3E1,13F39E,13F288
156D6B,156F75,156E8F
13F3B6,13F47D,13F209
156E21,156D9D,156E77
13F287,13F417,13F103
156CBF,156EE1,156CA5
13F38C,13F2F5,13F396
156DB7,156DED,156CE5
13F340,13F3C8,13F432
156D02,156E1C,156F1F
13F6E1,13F615,13F517
156FFA,157135,15705D
13F4D3,13F5CF,13F4F6
156E6F,157057,15711F
13F588,13F4A2,13F43B
157020,156FFE,156F70
13F4D4,13F5AD,13F461
156F1C,156EBF,156EBF
13F4B9,13F349,13F4A3
156FCB,1571C3,15707E
13F59B,13F451,13F48F
156EA8,156ED3,156F5E
13F51F,13F6D1,13F582
156F2B,1571BD,15708F
13F713,13F655,13F610
156F6D,1571C1,156FE0
13F52A,13F66C,13F766
1570E3,156F52,157231
13F58C,13F5C0,13F45F
157071,157179,156EF8
13F54D,13F3EB,13F3D1
157095,156FBC,157188
13F614,13F530,13F6F6
157264,157023,156ECE
13F5B4,13F6A4,13F4FA
1571AD,15711B,1570D1
13F658,13F63D,13F648
1572F0,157235,1571B6
13F711,13F8EC,13F4BE
1551CC,155209,1551AC
13F77A,13F7E8,13F803
1572BE,1570B5,1571BF
13F7CF,13F87A,13F741
15717C,1573FC,1573A1
