{'CALIB_RAW_DAC_START_I': 65536, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
12B147,12B0A2,12B041
142BEC,142B17,142B13
12B2A2,12B0B6,12B165
142C24,142C10,142D82
12B341,12B35B,12B3A8
142D46,142D7B,142E7C
12B3D6,12B343,12B4FD
142D58,142CD0,142C97
12B1E1,12B29C,12B357
142EAD,142CC8,142C7E
12B35D,12B316,12B217
142DDD,142DEC,142F04
12B2EA,12B0C4,12B311
142E32,142C36,142C92
12B54F,12B23E,12B229
142F2B,142EBF,142EE8
12B3D9,12B56C,12B50E
142BA4,142E33,142BBF
12B2B1,12B49B,12B41A
142F24,142E37,142E81
12B3B1,12B401,12B45D
142E12,142E97,142BAB
12B459,12B3C3,12B61F
142F2B,142EE4,142F08
12B43A,12B4B9,12B5FB
14306A,142F39,143014
12B507,12B54C,12B4DD
142EF5,142EB1,142EE6
12B351,12B594,12B347
142EFD,142E59,142F19
12B45F,12B493,12B4BA
142DF3,142FCB,142E44
12B4B4,12B5C0,12B50E
14309D,1430E6,14302E
12B464,12B541,12B736
1430A0,14303C,143230
12B594,12B50A,12B633
142FF9,142FCE,1431DB
12B5B1,12B866,12B69D
143122,1431FE,143151
12B785,12B838,12B6F1
143150,14309C,142F74
12B6F3,12B714,12B5BB
142FF6,14306E,1432EF
12B703,12B6D2,12B76D
14311B,1432CC,14311B
12B76C,12B7A2,12B7BA
14345B,14338F,1431B7
12B937,12B6F3,12B664
143228,1430E6,1431C8
12B742,12B99A,12B7C8
1431D2,14327D,143253
12B727,12B720,12B6B7
1431C5,143126,143127
12B614,12B61F,12B5B5
143265,14330C,1432F1
12B842,12B7B0,12B898
1430B5,14302E,1430B0
12B7D6,12B659,12B8D0
1431BB,143378,1430F2
12B7F2,12B703,12B809
143269,14314B,1432D0
12B620,12B69C,12B9B0
14329C,1430CB,142F05
12B528,12B583,12B472
142E5C,142EC4,14304B
12B635,12B62D,12B3CB
142F55,142F49,143018
12B591,12B57B,12B624
142F69,143022,143065
12B637,12B525,12B5A9
14319F,143043,142F0F
12B4B9,12B514,12B4DF
142F71,142F05,142F37
12B5A2,12B5EB,12B521
1431B7,142F77,143032
12B5E5,12B5B3,12B3A9
142DA6,142FA7,143003
12B55B,12B66D,12B555
1430E5,143127,142F9C
12B5CC,12B650,12B660
14307A,14315E,14312C
12B62C,12B55A,12B647
1431CB,14323F,14317C
12B693,12B5F2,12B67E
1430DF,143227,142EA7
12B711,12B5F9,12B52A
143151,1430BC,143267
12B7F7,12B767,12B695
1431DC,1430A9,143122
12B5FB,12B4D8,12B782
142FEA,14318E,143178
12B652,12B754,12B65F
1431B3,142F3E,1430B0
12B5FA,12B87E,12B6A7
143060,1431B5,142F47
12B828,12B7D2,12B7FF
1430F3,14314E,14315C
12B628,12B7CA,12B79F
1432A9,14321B,1433F3
12B801,12B8AE,12B742
143427,143176,1430EE
12B6B9,12B872,12B726
1433A2,1434D1,1432D5
12B769,12B943,12B64D
143332,143322,143093
12B8DC,12B7A4,12B8DF
143432,14342D,14335C
12B967,12B920,12B921
14345B,14311B,143160
12B7A1,12B899,12B79E
14323F,14330C,143295
12B70C,12B6F3,12B9AC
14337A,1431F0,1433C0
12B9CB,12B877,12B79C
1434F0,1433B1,1434B7
12B953,12B885,12B917
1433AE,14335E,14315C
12B994,12B8A8,12B854
1432DD,143595,14314C
12B9CF,12B985,12B8CF
1433AF,1436EB,143378
12B921,12B7F4,12B8B3
143443,1433EF,14337F
12B832,12B7B9,12B8F3
143260,1433BF,143420
12BB4E,12B939,12B951
1424E4,142382,142451
12B8DA,12BB03,12BA44
14347B,1432C6,14342F
12B845,12B8B9,12BB95
1433D3,1434D7,1434B3
12B9C9,12BBFA,12B7FD
14353B,1433F8,143512
12BA34,12BA8E,12B956
1435B9,1435B9,1434F3
12BBDC,12BCD0,12BA64
1434FC,143504,1435B3
12BBD9,12BB7C,12BC64
143610,143740,14363A
12BAEE,12BB93,12BC1C
143689,1435A9,1434FE
12BC52,12BAA7,12B93A
14368E,143665,1436EC
12BBB5,12B9D5,12BC4B
143747,14373F,143666
12BBDE,12BBD9,12BC3C
143738,14361B,143766
12BD09,12BC6D,12BB5A
143603,143674,14362A
12BC61,12BAE3,12BD7F
1436B1,14364B,14383B
12BBF6,12BD16,12BD1D
143857,1436DA,143731
12B9BC,12BAFA,12BBC4
1436DA,14373D,1438A7
12BDAE,12BC5B,12BC00
14342F,1434FB,1435BF
12BB95,12BC0D,12B9A4
1436DB,143927,1436F6
12BDE3,12BD0E,12BD73
143A25,1437BA,1437C9
12BEE3,12BD9F,12BFD9
14394B,143871,143942
12BEDF,12BE3C,12BD5D
143879,143804,1438AB
12BD48,12BF12,12BE57
143907,143965,1439ED
12BD96,12BDA2,12BCE9
143890,1436CF,14394D
12BF3A,12BFB3,12C029
1438E3,143BEE,1438E2
12C058,12BDE5,12C01A
1439EF,14394F,143A0F
12BF9D,12BE27,12BE8D
1438C8,143AD6,143982
12BEBA,12BD53,12BF85
1438EF,143A89,14398B
12BEBE,12BEA8,12BFDE
143A06,143A64,143AE8
12C090,12BFB6,12C060
143B91,143965,1437BB
12BEC1,12C013,12BE4B
143993,143ABF,143A7F
12C092,12BF96,12C029
143A89,143BA8,14393C
12BF8F,12BF9D,12BF97
1439DB,1438B1,143A20
12BFC8,12BED9,12BECE
143A89,143BFC,1439E9
12BE5B,12BE8E,12BE4E
14394A,143870,143A3D
12BC85,12BBDE,12BDA2
14365E,1436CD,143702
12BB98,12BBD9,12BB1F
143602,143648,1437CC
12BC7D,12B9FB,12BC15
1435C2,1437BA,143599
12BBC3,12BBF0,12BC23
143844,1437F3,14389A
12BBE6,12BBD8,12BBA8
1434C4,143700,1436FA
12BC62,12BADA,12BB9A
143496,1436BF,1435F7
12BC20,12BCCB,12BC9E
14370D,1437CA,143877
12BDBD,12BC6A,12BD3F
1437DE,1438AB,1436D6
12BBE1,12BCE6,12BD19
14371A,143825,1437BE
12BC2F,12BD15,12BE61
1436C2,143711,143776
12BCD6,12BAE6,12BD30
143964,1437B4,143941
12BE40,12BB59,12BD73
143863,14384C,1437A7
12BE39,12BF0B,12BC8B
143705,14393E,143939
12BEB3,12BED8,12BD25
143858,143919,14371C
12BEA1,12BD9C,12BDB7
1437B5,14389B,1437B9
12BEFB,12BDFC,12C0E4
143899,1437DB,143830
12BEA4,12BD29,12BC2C
143819,143857,14388F
12BEE8,12BE9B,12BF0E
14383E,143965,1438C2
12BF9D,12BDC0,12BEA7
143934,143933,143850
12BDFF,12BDFB,12BC3A
143952,143A63,143923
12BF38,12BEF5,12BE90
143A6D,143978,14391F
12BCCD,12BE34,12BE73
1439D2,143946,1439FF
12BF49,12C00C,12C22B
143A94,1439AF,143927
12BFBB,12BE0B,12BFE8
143AE2,143C3A,143BFE
12BFD6,12BEB9,12BDD6
1439BC,1439A0,143AC9
12BEC3,12BFBF,12BE1A
1438B6,143A87,143AA8
12C00F,12C34F,12C13E
143BCB,143A80,143B76
12C092,12C0E5,12BFD3
143B0D,143AE8,143C9B
12C158,12C06A,12C098
143AE0,143A19,143B2E
12C05A,12C2AC,12C23B
143C14,143AE6,143BB1
12C08F,12BFFE,12C1D4
143C84,14399F,143AF2
12C1D7,12C0BD,12C084
141BE3,141D6E,141C84
12C153,12C08B,12C091
143C40,143B39,143C42
12C1FE,12C2B1,12C353
143A51,143D1E,143E4A
12C2E3,12C3CE,12C1DD
143C94,143C80,143BFD
12C264,12C0D8,12C21F
143C13,143B60,143D4E
12C24D,12C1AA,12C1F5
143D6F,143C85,143EBC
12C364,12C4D2,12C5F0
143E74,143E02,143D09
12C1E0,12C36E,12C20B
143D1E,143DE3,143F44
12C402,12C3F6,12C134
143DBA,143CFC,143D5E
12C467,12C351,12C4D0
143EF8,143D0B,143ED4
12C281,12C238,12C30C
143C2F,143EB5,143ED5
12C1C8,12C30F,12C25A
143C54,143D27,143DEE
12C340,12C3E1,12C18A
143DBA,143EEE,143EC7
12C2DD,12C525,12C183
143EC6,143E31,143CF7
12C4D8,12C387,12C495
143D65,143FE6,143FAE
12C388,12C3F0,12C468
143EFB,14409C,143E41
12C528,12C467,12C39A
143FA2,143E70,143E30
12C5D1,12C58C,12C439
143FA0,143F22,144173
12C4EA,12C4F2,12C737
1440A8,143F2D,144020
12C679,12C547,12C5B2
143F84,143F66,144031
12C4F6,12C5A0,12C65D
144060,143F96,144005
12C597,12C60F,12C45D
144140,14408C,144121
12C5D0,12C599,12C6D0
14418E,14400D,143FDF
12C5D6,12C431,12C5A0
1440E7,14406B,14409B
12C753,12C5A3,12C631
144030,143FFC,1443BC
12C69A,12C763,12C720
143FE9,14414C,1442E7
12C6F8,12C553,12C765
144265,14435F,143FEC
12C7DB,12C6EE,12C7AB
14419F,1441AC,14420B
12C80E,12C6DD,12C7EF
144228,144341,144273
12C8B9,12C78B,12C766
14421B,14420C,144227
12C791,12C736,12C85B
1443C5,14439B,1442D4
12C8CF,12C670,12C8C6
1442CF,1442B5,1442E8
12C806,12C803,12C9AF
14421A,144046,1440C1
12C2F8,12C256,12C394
143E53,143E3A,143DD9
12C48D,12C34D,12C307
14409F,143F72,143F80
12C40E,12C2DC,12C4C7
143EC1,143E6F,143E45
12C62B,12C29C,12C195
1440AA,143EFD,143EA1
12C4F0,12C544,12C368
143D61,143E0D,143C58
12C6AA,12C621,12C5B1
143CF9,143FE2,143FBE
12C5DC,12C3F8,12C3C5
143FE2,143FC4,14404F
12C472,12C42D,12C658
143FAC,144005,143EED
12C51C,12C470,12C605
143FB7,143FEE,1440A4
