{'CALIB_RAW_DAC_START_I': 131072, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1038F0,1037F3,103833
11B385,11B3E7,11B200
103A41,1037FE,10381D
11B3A3,11B417,11B4CB
103837,103991,103A53
11B3BA,11B2B4,11B2F5
103A61,103725,1038B3
11B3CF,11B4EB,11B485
10392C,103954,103B24
11B2F4,11B3BB,11B2F9
103A2A,103A55,1039CC
11B205,11B523,11B5C6
103A3E,10381F,1039C1
11B545,11B62C,11B40B
103A12,103B24,103999
11B5E1,11B405,11B542
1038FF,1038F7,1039C0
11B442,11B3E0,11B37C
103AC8,10390E,103A21
11B37A,11B30A,11B2C1
103A6A,103872,103A31
11B4BA,11B3BD,11B1D4
103C39,103B9B,1039CB
11B3C8,11B579,11B4B8
103AF5,103A9D,1039F0
11B2F6,11B456,11B5E4
103AF9,103B8C,103ABF
11B4C2,11B42D,11B6AF
1039DD,10394A,103A8A
11B2C3,11B5EA,11B46C
103A4E,103939,103A28
11B523,11B569,11B609
103BBC,103B36,103C25
11B68D,11B550,11B613
103C18,103B44,103BBC
11B61A,11B6C7,11B794
103C3E,103E2B,103B98
11B420,11B4F8,11B636
103C0B,103BC8,103B1D
11B6AA,11B5F1,11B56D
103DD3,103D38,103CFE
11B809,11B653,11B663
103934,103BE5,103B32
11B674,11B533,11B70E
103D43,103A63,103A5B
11B48E,11B5B2,11B759
103CCD,103B57,103BE8
11B674,11B705,11B788
103E8F,103CD4,103AB3
11B564,11B5F5,11B6F8
103CBC,103CE4,103C89
11B7D8,11B72B,11B741
103C9F,103DEF,103D85
11B7CC,11B735,11B678
103CC6,103C6A,103CDE
11B6B0,11B672,11B6D0
103C38,103CE0,103B04
11B5AE,11B87C,11B717
103B62,103C5F,103C6F
11B715,11B776,11B7FB
103E8E,103CFF,103E06
11B5E5,11B7FD,11B74C
103D03,103D15,103CF2
11B5C5,11B88C,11B549
10396C,1038BA,1039EC
11B2E3,11B65D,11B4AA
103AF1,10393E,103B04
11B33C,11B2FB,11B469
103B4A,1039A1,103ABB
11B4A2,11B32A,11B3B7
103BD6,103AB4,10398B
11B5F3,11B5A2,11B525
1039E3,103BAD,103B71
11B4B1,11B538,11B61B
103BF3,103AE4,103A96
11B5FE,11B4B8,11B6F8
103BAE,103AFA,103A91
11B5A5,11B3E8,11B5FF
103959,103A1D,103B49
11B7D7,11B8AD,11B7FB
103D43,103CD5,103BCB
11B7CA,11B5A7,11B5E4
103D2D,103AD1,103A63
11B58B,11B694,11B5FB
103B94,103A8A,103B35
11B698,11B5D4,11B5DE
103BB8,103AAE,103C21
11B769,11B76B,11B561
103B85,103BA6,103B8E
11B75B,11B6B1,11B71E
103B68,103D49,103B8A
11B803,11BA20,11B859
103CCA,103D1D,103CC4
11B773,11B72C,11B870
103D62,103E46,103C5D
11B7E3,11B844,11B6B8
103EEB,103DA6,103E5A
11B6F1,11B83A,11B9D0
103E07,103D0C,103E86
11B934,11B85A,11BBD0
103DE2,103DD3,103ED3
11B94B,11BA31,11B79A
10406B,103EFD,103D92
11B888,11B90A,11B88A
103C73,103B87,103FD9
11B82C,11B902,11B9FB
103E17,103DF4,103CC5
11B706,11B975,11B7FB
103E59,103F2C,103EF4
