{'CALIB_RAW_DAC_START_I': 163840, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
EFBFD,EFBCA,EFC9C
107641,1076A8,1076C2
EFCCA,EFC90,EFA74
1076FB,107548,1075C4
EFD50,EFC75,EFCA9
10774D,10770D,107834
EFDEE,EFC27,EFE90
107784,107655,1078CB
EFE8B,EFDD2,EFD2D
107798,10763E,107601
EFD8E,EFC9F,EFCE9
107735,10788B,1077EF
EFC78,EFD7A,EFB95
1076F6,10793D,1076CE
EFEA6,EFD71,EFD93
1077D2,1079FC,107815
EFCAD,EFD44,F0028
1077EF,10783D,1078C5
EFF13,EFE2B,EFD46
10786E,10781B,1078F2
EFDAC,EFDD0,EFD97
10790E,1077DF,107849
EFEAA,EFBB6,EFDDB
107819,1077CC,1077E0
EFD5A,EFE0B,EFF39
10794D,10772F,1076A5
EFF64,EFDA4,EFD90
1079CC,107769,10769D
EFD94,EFD66,EFC83
107852,1078E8,1078F6
EFF1D,EFEBD,EFE6A
107ABA,1079FF,107A75
EFF7F,EFF82,F004F
107A23,10789D,107B13
EFFA6,EFEDF,F0016
107A39,107B28,107A37
EFF93,EFFCF,EFE51
107882,107ACA,10782B
EFEE9,EFDD3,F0072
107AC1,1078F0,107A19
F004A,F00DC,F000F
107A24,107AD2,107B74
EFFB3,EFF64,EFF93
1079C3,1079FF,107AD3
EFEEA,EFFD9,F0111
107A1C,10798D,10791A
F012B,F008A,F00AD
107C3F,107B84,107D3B
F007E,F0104,F00C1
107BD4,107AD6,107D0C
F01FB,F008C,F030C
107AAD,10785E,107A8A
F00DD,F00B8,F0061
107ACA,107AC7,107CB5
F014F,F0222,EFFFA
107CD8,107C52,107B7E
F0287,F002E,F0155
107D5D,107DC5,107D3A
F029A,F01A3,F0210
107CD3,107B7E,107CB0
F0226,F02F3,F0249
107B9F,107B22,107C1D
F02A9,F0333,F019F
107AA0,107C31,107C8E
EFEBD,F0075,EFF4D
107ACC,1078E0,107935
EFED5,EFE8A,EFE50
107929,1079DB,107AAB
EFE6F,EFEDC,EFD6D
1078E1,107B0F,107863
EFF75,EFF74,EFEBD
107B8D,10799A,107A57
EFF1F,EFFD0,F00E9
107A08,10791F,107A03
EFDF2,EFF8B,EFFCE
107C03,107ADE,10786B
EFEB6,EFEC2,EFF64
10791A,107AF4,10797F
F0036,EFF6A,F008C
107BE9,107C3A,107E87
F0160,EFF07,EFFB9
107C9E,107C60,107C0C
F00DE,F0012,F0323
107BFC,107BBA,107C06
F0205,EFFEC,F018C
107B8C,107A51,107A77
F011D,F0141,EFF56
107BC5,107D13,107CF7
F0102,F0130,F015A
107AE2,107C54,107AA7
F0107,F003D,F00E0
107BB5,107BEB,107BF7
F0066,F0233,F0101
107A78,107BAF,107D74
F0096,F02E7,F013E
107C0A,107D89,107DCA
F01D1,F01B9,F014F
107E29,107E13,107D8F
F02D7,F03A8,F04E5
107CE5,107D8F,107DBD
F0164,F037B,F03B3
107BDF,107DF5,107EF7
F03B9,F00F0,F01FF
107DFE,107EE3,107E48
F033F,F03B6,F00B8
107D63,107D63,107EC2
F0274,F02B1,F0325
107CDD,107CCD,107E92
F039F,F02B9,F01E9
107C9B,107C4B,107DD5
F04AB,F053A,F02F9
107E04,1080CD,107E4A
F041B,F03ED,F024A
107DDF,107D06,107D4F
F051B,F040A,F0531
107EA4,107F2E,107E51
F02E2,F0384,F037C
107CFB,107E3C,107E79
F0556,F05AD,F0424
107D07,107E6D,107FED
F01F8,F055D,F04DA
107EF5,107F34,108109
F03B0,F04A1,F0582
107DDE,107E89,1080D5
F0454,F0587,F05CB
107FD5,107F56,107D8C
F056E,F044B,F0522
106F56,106E07,106EE4
F04A5,F0661,F076C
1080BC,107F18,108004
F0682,F03DC,F050F
107FAD,107F96,1081CA
F0580,F06F3,F0438
107EDB,107FF2,107F3B
F0540,F0402,F07C2
108110,1080DC,107F0B
F07B2,F0672,F04DF
1080AA,107EE2,107F5F
F060E,F058D,F05E3
107EE0,10807F,108136
F061A,F06C1,F0507
1080E7,107F79,1080F1
F07F1,F0562,F05BE
108023,10816E,10807F
F07CE,F0588,F067E
107E58,10803E,108021
F0619,F060A,F0530
1080C4,10809A,108072
F071B,F05FF,F02C8
107EE0,1080CA,107FED
F0428,F0702,F0635
107F9D,108137,1081FA
F070D,F063D,F0615
108109,10827C,107FBC
F07E3,F0693,F06DF
1080D2,108326,108186
F076F,F07B2,F0704
1081D4,10819D,10806A
F0771,F0715,F084F
107FD6,1082E4,10814F
F08F2,F09A7,F06D6
108219,10834D,10836F
F07FE,F0927,F0897
108532,108471,1081BF
F0895,F08AE,F09FB
1083E0,10831C,10834D
F0962,F08F7,F0897
108449,1081B7,108460
F0856,F06E6,F07F7
10830D,1083A8,1082A0
F0A39,F0991,F086C
1084DA,1082B2,108435
F07FE,F08D7,F0624
1084F9,1083F2,10827E
F091F,F0977,F080B
1083AF,1084B2,1084AE
F08F5,F09C7,F0979
10842B,1083F0,1083E1
F09A6,F09D4,F08D5
108543,108557,1084AB
F0987,F0880,F0C46
10849A,10845B,1084FF
F0A36,F0B59,F0BAA
108512,10853D,108409
F0BA6,F0971,F0B48
108323,10855C,1085C7
F0B50,F09DC,F0BEF
1084BE,1083FA,108435
F0B87,F0BF2,F0872
1085E5,108661,1085C8
F0A0B,F0CF2,F0979
1084D8,10833B,1084DD
F059C,F062B,F05C0
10819D,1082D1,108211
F06E5,F064E,F0678
108255,108432,108429
F07F8,F09BA,F0736
10818F,10830A,108287
F0889,F0822,F0764
108243,1083CC,108421
F08E3,F0875,F09F6
1082C5,108171,1082DE
F0970,F095B,F0882
10825B,108246,1084C3
F0984,F05AF,F078A
108129,10827F,10811C
F08E2,F0785,F06B0
10829A,108315,1083D3
F0777,F07F3,F0628
1083C2,10827B,10806B
F08AB,F07BC,F0AB6
10841F,108536,10835D
F07D5,F09DB,F081B
108366,108278,108417
F09B7,F06E1,F0861
10831C,10835F,1083F4
F0978,F09A7,F0A07
1083C4,10811C,10856E
F08C9,F08DE,F089D
108320,10840E,108402
F090F,F09F3,F09A8
10826D,1083DC,108497
F0A8E,F0975,F0991
1083B4,108496,1083CC
F0B4C,F09E6,F0A9B
108508,10849A,108641
F0B6F,F0A9C,F0BE7
1084E8,1083F2,10864A
F0A44,F093B,F0A6E
108377,1083E4,1086B1
F0B1F,F09E6,F0A88
10840D,108648,108482
F0B26,F09E5,F08B4
108629,1084AD,1085D5
F0B14,F09D8,F0958
1084C4,10838F,108541
F0B52,F0AA1,F0AF7
1085EC,108600,1085D5
F0B0A,F0C2E,F0B92
10851F,108757,108442
F0A97,F0ACE,F0A44
108310,10866F,108693
F0AD2,F0AF8,F0ACF
10855C,108579,108799
F0B26,F0B77,F0BDB
108775,108538,10872C
F0E0D,F0B4A,F0C61
108726,1087C5,108760
F0EAC,F0D53,F0CAC
108531,1085C9,10862A
F0D52,F0BD7,F0C26
10881E,1086F2,1085BF
F0D27,F0B4C,F0BC2
1085EF,108625,108539
F0C50,F082B,F0987
106639,1066A2,106639
F0BE0,F0B27,F0B42
10856D,1085A4,10862E
F0A2D,F0CA8,F0D3E
108851,108655,108779
F0B8D,F0C95,F0BFD
1085D6,1087C4,108673
F0DB1,F0D77,F0C82
1086FC,1085AA,108877
F0D66,F0D8D,F0D26
10866F,10873F,1086D3
F0DC8,F0D2F,F0D94
1087A1,1088D9,1088C3
F0E45,F0C7E,F0D5D
1088F9,108844,108876
F0D64,F0D13,F0CF5
1089A7,108788,1088A6
F0DC9,F0E36,F0D6F
1088D2,1087D9,108990
F0E8E,F0FBD,F0EDC
1088F7,108811,1089BF
F0EC7,F0E46,F0DA5
1088BD,108896,108838
F0E0F,F0DB5,F0D3B
108A87,108916,108A87
F0F5E,F0DE4,F0F68
108879,108A98,108A33
F0F49,F0FDB,F0E42
1088BD,108943,10893B
F0F19,F1062,F0EDC
10894A,108B62,1089C9
F107C,F0F51,F0FA7
1088CD,1089FF,108894
F11AB,F10FD,F0F97
108B9C,108916,108A32
F1035,F103C,F10E5
108A5B,108B5C,108997
F0F2C,F102A,F0F17
108AF5,108947,108AAF
F112C,F10B5,F10FC
108B59,108AFB,108B5C
F0F14,F0FB8,F1007
108B16,108B07,108BE1
F10BB,F11FB,F1136
108AC6,108D95,1089F0
F11B6,F10AD,F0FCE
108C51,108D03,108B87
F0FA1,F121E,F1197
108D28,108DC3,108D33
F1043,F103C,F0FEB
108C1B,108AB7,108C35
F1302,F0FD5,F1234
108CFA,108BEA,108C4E
F127E,F1116,F1050
108AFC,1089E4,108BB9
F1141,F1167,F1050
108C6F,108C2C,108A7C
F11EC,F10D3,F12A5
108C9B,108C86,108D21
F1231,F109A,F1201
108D0F,108C79,108C60
F1271,F1313,F1237
108E65,108D1C,108E47
F11A2,F1262,F11E1
108D59,108BEF,108CAA
F105A,F0E13,F0F55
108882,10887E,10881E
F0F83,F0D89,F0F31
1088F8,108923,108A51
F0EB4,F0E5F,F10A7
108CF5,108786,10892E
F0FD9,F0E73,F0E9D
1087CB,1088C1,108C07
F1206,F0FB6,F0DBD
108A71,1089EA,1089AD
F1016,F0E76,F1087
1087B4,108A26,1089DC
F0F7C,F0EE3,F0D8D
1088E2,108819,108A1F
F0EDB,F0EC1,F0EFF
108B5A,108C3B,108AD6
F10B2,F0F87,F0F51
108B11,108979,108917
F0F92,F10C6,F114C
108B32,108B02,108B02
F10BD,F1071,F10D9
108990,108C05,108B89
F0FB0,F0FB1,F0F38
108B38,108BA1,108A0E
F1149,F10B8,F107B
108ADE,108A55,108819
F0F28,F119F,F0FEE
1089D9,108B72,108AC3
F10CF,F10F6,F0FC1
1089AD,108AB8,108A78
F11ED,F1245,F1073
108B38,108ACC,108B5F
F110C,F1384,F11AA
108C56,108B82,108CCB
F112D,F141F,F11DA
108C3A,108E43,108C7A
F12D3,F1248,F114C
108DA1,108D6B,108CE5
F134E,F10D9,F1322
108D85,108D30,108E5E
F1543,F11FD,F115F
108D47,108E56,108E71
F1414,F1192,F12CB
108CB7,108C9E,108CC8
F1252,F133B,F123D
108C5A,108CB0,108B48
F1249,F11C6,F111E
108D74,108D95,108D46
F1407,F134C,F140D
108DAC,108E1B,108F81
F13BB,F13FA,F147F
108D8B,108E5F,108DDC
F1300,F148E,F1394
108D47,108E5C,108D6D
F155B,F145D,F136A
108D0C,108FB8,108EAA
F1515,F15C9,F14AE
108E73,108E55,108EF0
F155B,F1315,F1473
108FC8,108EC8,108F23
F1523,F166E,F15D6
108E48,109077,1090EF
F16EE,F1538,F16C8
10822B,10809F,108062
F16FE,F15CA,F1617
108ED1,108F23,108F28
F1645,F155E,F14F9
108EB2,108FC8,10914C
F1627,F155C,F1461
108F2C,108DF7,109054
F15CB,F1607,F15B9
108EC0,108F25,109124
F16F4,F1836,F162D
1090EC,108FD9,109013
F1507,F1506,F16BA
1090D6,108FF8,10907A
F174B,F14E8,F155F
10919C,108F64,10916E
F15DB,F1535,F1590
1092B2,109069,1090BF
F1729,F175C,F14C6
108EA6,108FF2,1090CB
F162F,F157B,F185B
109123,109119,1090BD
F1636,F16B7,F1819
1090A6,109319,10920B
F15A4,F1692,F16A7
10925F,1090FD,109125
F15EA,F15F7,F17A6
10903A,1092AA,1090D6
F181F,F1627,F16EB
10909E,109006,1090E8
F15C7,F1527,F153F
10922E,10914B,1090E1
F171C,F163D,F1731
109152,109107,10902A
F16E1,F18D7,F1839
1090C9,109460,109459
F18D1,F17B5,F1868
109208,109278,109155
F18E0,F17E6,F1999
109196,109226,1091B6
F17F6,F184B,F16E8
109424,10918A,10936C
F17DA,F196F,F1899
10927D,10928D,109318
F17D3,F17C7,F18A6
109397,10936A,109501
F19B6,F18BD,F1747
109277,109484,10947A
F192D,F1A21,F16C0
109322,1093E4,109397
F1828,F185E,F1B23
1094EF,10942C,109550
F18C4,F1873,F1A98
1094E6,109686,1093E5
F1817,F19A9,F18DA
1091A1,1094E7,1093EE
F1A88,F1A9B,F185F
10959E,109573,10954B
F19E2,F1AAF,F1947
109472,109214,10929C
F1BBC,F183D,F173E
109547,109601,109617
F1A10,F1939,F1CD9
10954A,1094F4,1095B4
F1C2F,F1C9A,F19FC
1094E7,1096AE,1095BC
F18A4,F1975,F17EF
1094E0,1092A8,1092A2
F1678,F1775,F19DC
1091FA,109231,1090FE
F1782,F1727,F17ED
1093E0,109254,1091D0
F1790,F16B3,F16DE
1092C6,1090D9,109118
F1791,F1711,F1759
109385,109177,10959B
F1864,F180B,F17CB
1091AA,10937E,109231
F18A0,F164A,F1653
109362,10926F,1092D2
F191F,F17D9,F1695
10934E,1094BC,10949A
F18BE,F187D,F17E9
109200,1091B6,109312
F17BC,F1884,F19E6
10913E,109417,1095B1
F18FF,F18DD,F18F5
10943E,1093C6,1092F8
F18B5,F1882,F1849
109312,109371,109431
F180A,F17A9,F167B
10932D,109340,1093F0
F1B19,F1A11,F1879
109212,109451,109378
F1770,F1A12,F1800
10918D,1092B0,109581
F1897,F199C,F1A20
109225,10932E,1092FB
F1A5C,F1B66,F1B66
10957E,1095E4,109616
F1AB6,F1ABE,F1A64
1095A1,10946A,1093F2
F1AC1,F19B9,F1AA1
1095AE,1093F2,109545
F1976,F186B,F1809
10931B,10974F,1096A8
F1CA1,F19B0,F1BDC
10951C,1095CD,109632
F1B7D,F1A94,F1B97
109674,109509,1096F5
F1B1A,F195D,F1957
109670,109511,10964A
F1BAA,F1B91,F1B39
1096AD,10975D,109833
F1B52,F1B93,F1D32
1095C0,10963A,10968D
F19BF,F1CFB,F1D43
1097CC,109722,10971A
F1E07,F1CAE,F1D5B
1098AA,1096DC,1095AB
F1D1B,F1DAC,F1DE1
10985D,1099AF,1097B6
F1CF5,F1D69,F1D80
10980F,10989F,109792
F1F72,F1DC4,F1D73
109893,10993F,109885
F1DD0,F1E23,F1E01
109787,109687,109917
F1DE2,F1D6B,F1C6F
108361,1084AE,1084D7
F11AE,F11BC,F11AD
108C4C,108AE0,108C18
F11E2,F12C0,F1314
108C7A,108C6B,108C9F
F1180,F10FC,F12DC
108D72,108DDE,108EE1
F1454,F12F9,F12D8
108CB0,108DBB,108B05
F13D0,F11DA,F1119
108BA1,108BD2,108F2A
F133D,F12B8,F1319
108D7F,108D9C,10901B
F12C3,F135A,F13F0
108C3D,108DA0,108D74
F1202,F11E8,F10BE
108C59,108CCF,108F5C
F1354,F13AF,F12F4
108BE5,108E37,108DA8
F12BE,F14B6,F131D
108DB0,108D97,108F84
F13B2,F136D,F11D9
108D9B,108E8B,108E32
F1409,F1405,F12A2
108F73,109022,108E56
F1287,F150D,F1327
108DAF,108ED6,108E59
F1468,F144C,F13FC
108FA1,108FCF,108F69
F1462,F130D,F1135
108D8B,108CCF,108E5B
F11DC,F1394,F12E2
