{'CALIB_RAW_DAC_START_I': 196608, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
DBA08,DBB53,DBC4A
F36BB,F366D,F350F
DBCF6,DBE9E,DBB5A
F36B0,F365C,F35DA
DBABF,DBAC8,DBC46
F36DA,F34DB,F35E4
DBD4F,DBD05,DBCF3
F3551,F3807,F36DE
DBB14,DBBCF,DBCF6
F35EB,F3815,F35F7
DBC3C,DBA32,DBB1D
F35A3,F36B4,F36DD
DBB03,DBCF8,DBC0B
F35F4,F3766,F36B3
DBE7C,DBD82,DBBC3
F37FD,F3838,F36B9
DBAF0,DBA7A,DBCC8
F364D,F3739,F3831
DBC76,DBE8D,DBFAE
F3755,F3874,F3796
DBC4E,DBD42,DBE44
F367A,F37C4,F378F
DBD62,DBD07,DBD1F
F36AC,F38E8,F38C4
DC04C,DBE8B,DBE86
F38BC,F37AA,F387F
DBDF3,DBE48,DBEB5
F396A,F3967,F3842
DBE09,DC07B,DBEC2
F37D3,F3859,F38BD
DBD9D,DBD52,DBF81
F3959,F387B,F38F6
DBEDB,DC0A6,DC154
F39C0,F3A4A,F3B38
DC0E0,DC13E,DBE91
F3BC2,F39C7,F3AD9
DC00B,DBFB6,DC064
F396A,F3A5B,F38D5
DC11C,DBE96,DC1FC
F394C,F38B4,F3DDE
DBFE9,DBFA1,DBFB9
F3981,F3B47,F37F6
DBFCB,DC1BC,DC042
F3903,F39B7,F3A07
DBF39,DBF42,DBF19
F3B3A,F39BF,F3A98
DC0F0,DBFF5,DC011
F3B0B,F3B93,F3CB0
DC2CE,DC1DC,DBF61
F3AAD,F3B5F,F3927
DC09A,DBFCA,DC06F
F3A0D,F3A5E,F3AC1
DC027,DBF8D,DBE18
F39D0,F3A54,F3A7B
DC0E9,DC0CF,DC0BD
F3A93,F3C4A,F3C24
DC04B,DC0B7,DC016
F3A42,F3B31,F3AC2
DC08F,DC132,DC0CC
F3B61,F3BA4,F3C51
DC163,DC4B1,DC0E0
F3BE4,F3CCF,F3CB9
DC1D9,DC20F,DC0F7
F3AB2,F3C75,F3BE3
DBDB6,DBCF4,DBE17
F384C,F37F2,F3AFA
DBEE3,DBEA2,DBF1A
F385D,F39DB,F3A02
DBE27,DBCA5,DBEDB
F373B,F37DF,F3857
DC072,DBF0C,DBEE2
F39D8,F37DC,F38B1
DBEC9,DBF8E,DBFA3
F3845,F3983,F3A18
DBEDE,DBEB6,DBFB9
F3A53,F3A22,F3A73
DC14A,DBF4D,DBF97
F3A5B,F39F6,F3954
DC0BD,DBE67,DBFBA
F3AC4,F3B2F,F398C
DC0B3,DBFBA,DC189
F3946,F3A9D,F38F1
DC10D,DBFE9,DBF77
F3A01,F3AB8,F38D7
DBE86,DBF1B,DC058
F3A1C,F3A7F,F3976
DBD8F,DBF33,DBD10
F37D2,F39BB,F3840
DBFEC,DC06B,DBF66
F3A8B,F3ACA,F3A7D
DBEF6,DBF2C,DC02F
F3A95,F3B2D,F399D
DC1EA,DC121,DBF01
F393C,F396B,F3A2B
DBEDB,DC146,DBF8C
F3A24,F39FD,F3842
DC1E4,DBFA2,DC17C
F3C00,F3BEF,F3C9D
DBEEA,DC14E,DC155
F3BBB,F3B62,F3D78
DC16D,DC1A2,DC0E4
F3945,F3B50,F3A1E
DBFE0,DC19D,DC0CF
F3C24,F3CDB,F3DE3
DC362,DC160,DC225
F3C67,F3B21,F3ABF
DC2B4,DC259,DC1D8
F3BF0,F3CC0,F3C2C
DC32F,DC1DC,DC258
F3C48,F3D81,F3DD7
DC192,DC23A,DC172
F3B61,F3C6F,F3CD3
DC33E,DC30D,DC296
F3CBE,F3BE2,F3D0C
DC2F3,DC3DB,DC352
F3D79,F3CB6,F3C68
DC1B5,DC3BA,DC3E5
F3C3B,F3D68,F3D82
DC2B4,DC0D7,DC14B
F3CEF,F3CF7,F3C95
DC2AF,DC07D,DC2B2
F3BD9,F3D64,F3CDB
DC32E,DC3D7,DC361
F3EF0,F3F69,F3D82
DC45D,DC32C,DC545
F3FCC,F41A3,F405B
DC310,DC249,DC564
F2DE0,F2F62,F2E86
DC599,DC39A,DC3E7
F3DC1,F3DC9,F3F69
DC2D5,DC3C9,DC299
F3E6C,F3DE0,F3E3D
DC4A8,DC33D,DC475
F3F21,F3D0D,F3FD5
DC2B2,DC28B,DC5A3
F3E61,F3DA2,F3F43
DC318,DC3B4,DC5A5
F3D6C,F3FF3,F3D03
DC35C,DC4BB,DC482
F3DE5,F402C,F3F5E
DC6F7,DC5D6,DC4D1
F3EA0,F3E87,F3F3B
DC5C5,DC350,DC35F
F41D6,F41DF,F3F60
DC509,DC4F5,DC4A5
F3F09,F3EBF,F3FFC
DC4F8,DC55E,DC49A
F4112,F415B,F4038
DC51B,DC4CB,DC390
F3C7C,F3F87,F3EE1
DC446,DC3C1,DC611
F3F83,F3F19,F3F25
DC4EF,DC650,DC3B1
F4093,F3DB0,F3FBB
DC5FE,DC5B3,DC532
F3DE5,F3FEA,F3F55
DC6C6,DC5EE,DC3E5
F3E44,F40CE,F3F1E
DC393,DC5D9,DC6BF
F3E20,F3DBE,F40DD
DC599,DC6B4,DC78E
F4226,F4238,F4062
DC5DA,DC68B,DC669
F3FCB,F425A,F414A
DC633,DC759,DC791
F41BB,F424D,F41BF
DC7F0,DC6DE,DC668
F4164,F4317,F4002
DC600,DC821,DC8B3
F410C,F4396,F4203
DC89F,DC8D2,DC72F
F4028,F413D,F41BE
DC727,DC65C,DC676
F41F1,F4365,F4135
DC767,DC80C,DC840
F421C,F42FE,F4304
DC932,DC7C1,DC7A3
F401B,F41B7,F40C5
DC7E6,DC957,DC90B
F4140,F43EB,F4083
DC8F4,DC9F7,DC849
F4321,F434C,F4422
DC9EA,DC7C8,DC89D
F43D8,F4575,F4344
DC98B,DC942,DC8BE
F43A9,F4344,F4372
DC7BB,DC83A,DC793
F4265,F43DA,F4272
DC8B8,DCA7B,DC9A0
F4417,F4304,F45F7
DCBF2,DCA19,DCADD
F430A,F44B0,F42FE
DC60D,DC4A2,DC56F
F3F19,F4149,F3FAF
DC5E0,DC520,DC5A9
F4015,F3F14,F40AC
DC517,DC686,DC55D
F4162,F4133,F416E
DC651,DC5F2,DC431
F40D5,F414C,F401D
DC4F4,DC864,DC7FB
F42FA,F4100,F40F4
DC60E,DC6CA,DC6CF
F40BD,F412C,F4180
DC744,DC93F,DC7D5
F40E7,F4216,F4239
DC746,DC6B3,DC5BD
F416E,F41F7,F42A1
DC968,DC734,DC81E
F40D5,F41EB,F412B
DC6FD,DC679,DC78F
F41F9,F4101,F4128
DC5C3,DC6D5,DC5CF
F40D0,F404D,F41BF
DC893,DC810,DC813
F4208,F41C5,F4107
DC6E0,DC695,DC6D1
F42BA,F4243,F40A1
DC822,DC654,DC645
F418D,F4371,F414F
DC731,DC51E,DC94F
F433F,F40E7,F43BC
DC6A8,DC6D2,DC8E9
F4157,F427F,F414C
DC73F,DC975,DC963
F450A,F4404,F4234
DCA09,DC84C,DC5AF
F4390,F430C,F43D9
DC6F5,DCA1E,DC816
F4190,F4070,F44AB
DC8CE,DC92A,DC933
F440B,F42B6,F444C
DC96F,DC92D,DC833
F43EF,F43A5,F4379
DCBBC,DCBA3,DCB1F
F449F,F44E6,F4634
DCA21,DC9EF,DCB28
F4528,F42FA,F4487
DCAAA,DCB5F,DC97E
F4770,F4749,F466B
DCBDD,DCABB,DCB84
F4502,F44E0,F44BD
DCB79,DCA8A,DCA78
F4480,F4575,F44A1
DC9B5,DCA10,DC8BE
F4425,F4487,F4524
DCBB1,DCA06,DCB2B
F4508,F44F5,F457B
DCA0E,DC94D,DCB7B
F44C3,F4639,F4513
DCAC4,DCBD3,DCC65
F44BB,F44A3,F44E4
DCB6E,DCBB7,DCB8D
F45FF,F4568,F447A
DCAEB,DCB77,DC90A
F2714,F273D,F26AD
DCB13,DCA07,DCB97
F4865,F47D3,F45B1
DCA8E,DCCE0,DCF1D
F46C3,F46A2,F481A
DCC71,DCB7A,DCAFB
F46EC,F46C9,F461A
DCD1A,DCB03,DCA0B
F46B6,F4638,F4923
DCD30,DCC78,DCE3B
F4662,F4735,F48BC
DCCD3,DCCAF,DCD49
F47AC,F47E3,F4801
DCBB2,DCC68,DCC8F
F486B,F4819,F4877
DCDBB,DCD67,DCC1B
F4891,F465F,F470B
DCC8D,DCC11,DCD3E
F46A7,F4702,F458F
DCCE3,DCD3F,DCEF7
F495E,F4658,F48B7
DCD0C,DCD80,DCBA9
F4891,F480D,F48C6
DCD12,DCCBF,DD0A6
F487F,F4770,F4877
DCE48,DCD7E,DCD1A
F474C,F46AD,F478A
DCE14,DCD63,DCD7B
F4928,F49DC,F489D
DCDAC,DCC41,DCD52
F48DE,F47D6,F482A
DCCDC,DCEEE,DCD4F
F489A,F46F3,F44F7
DD0D6,DD0D3,DCFD5
F49F0,F4A13,F493D
DCF85,DCE48,DCF1C
F4886,F4A50,F4918
DCF6C,DCDBD,DCE5C
F483F,F4AE1,F48BC
DCFA1,DCEBE,DD084
F4AB3,F4A64,F498B
DD01B,DCFDB,DD105
F4B3D,F4A3B,F4A63
DD0D8,DCF6F,DCFF7
F4A43,F492A,F48FE
DD054,DCF33,DD046
F4B0F,F4988,F4A91
DCF58,DCD17,DCE2E
F4B73,F4B4F,F4A06
DD064,DCF9C,DCDB2
F4A4A,F4ADC,F4BF7
DD098,DD0D7,DD0B9
F4C7F,F4A11,F49EF
DD04E,DCFB7,DCEBE
F4ABC,F49BD,F4D84
DCFAB,DD0C8,DCF91
F4DB6,F4B6A,F4B7F
DD1E5,DD077,DD144
F4C40,F4BAD,F4BAD
DD188,DD255,DCF50
F4BF6,F4BF1,F4AE8
DD1AF,DD063,DD270
F4CD4,F4D68,F4C3F
DCFD1,DD0D9,DD095
F4B45,F4A23,F4AA2
DCDAB,DCE1B,DCEDE
F48D2,F4893,F4A28
DCE51,DCFA1,DD02B
F4768,F47DC,F48C8
DCE34,DCE25,DCFE6
F47E9,F474F,F4993
DCEB0,DCE2F,DCE6C
F4AD2,F4951,F4996
DCDCC,DCD71,DCEA0
F484A,F49E2,F48D2
DD01C,DCF2A,DD00F
F4A99,F49CC,F4BC7
DCFB1,DCF42,DCF94
F4A0B,F4BAE,F4C27
DD0F1,DD038,DCDF0
F4A39,F4BFB,F4AF0
DCFE2,DD029,DCFB4
F4953,F4B2F,F4859
DCEDB,DCE07,DCE46
F4C14,F4A92,F4C34
DCF13,DCF7B,DCD2A
F4A32,F4850,F485A
DCFCE,DCF19,DCF49
F48B9,F4B4A,F4A76
DD015,DD04E,DD038
F4A84,F49FB,F4AD0
DD0F1,DD053,DCF87
F4AA1,F49FE,F49A3
DCFED,DCF58,DCEB8
F494B,F4BC8,F49A5
DD12C,DD0D3,DCFE9
F496C,F4823,F4A28
DCF88,DD00E,DCF93
F49A1,F482E,F4B3E
DD0DE,DD140,DD143
F4B18,F49C0,F4A62
DD13A,DCEF3,DCF5B
F488D,F4AE6,F4979
DCF92,DCED0,DD076
F4B64,F4E77,F4B93
DD130,DD0E2,DD1E9
F4D18,F4ACD,F4B21
DCFEA,DD312,DD222
F4B9A,F4B60,F4B8D
DD099,DD15D,DD1C1
F4C6C,F4C53,F4CF4
DD292,DD09E,DD249
F4D60,F4DCF,F4C40
DD30F,DD37A,DD372
F4D59,F4E60,F4C73
DD379,DD268,DD3C9
F4DC8,F4DF9,F4D01
DD33E,DD22C,DD2B0
F4CFE,F4E2C,F4D3A
DD02A,DD1FB,DD252
F4D16,F4DF5,F4E9A
DD360,DD259,DD2D8
F4E22,F4DF3,F4D93
DD0E0,DD3A6,DD2DB
F4CA3,F4EC5,F4C8D
DD2C3,DD1BC,DD255
F4BD0,F4D05,F4E58
DD41A,DD4D1,DD3A9
F3E58,F3C99,F3D5D
DD486,DD2B8,DD2F5
F4DDC,F4EDD,F4D9D
DD5E4,DD3BE,DD2CA
F4EEE,F4EE1,F4E6C
DD429,DD477,DD4CD
F4D8C,F4ED6,F4F8A
DD473,DD3A9,DD307
F4D4F,F4FAD,F5034
DD714,DD31A,DD512
F4CE5,F50C7,F501A
DD480,DD4DC,DD5E5
F4D1F,F4F95,F4FB0
DD35A,DD404,DD5DE
F4D2C,F4CF0,F4F9C
DD412,DD45F,DD4E5
F5012,F4E38,F4ED4
DD523,DD33C,DD466
F4ED9,F4F78,F5030
DD613,DD690,DD557
F515E,F506E,F4F4D
DD4F7,DD88E,DD611
F4FEF,F50D8,F4F31
DD587,DD2AB,DD582
F51BC,F50F7,F5031
DD5EB,DD499,DD471
F505E,F4E6B,F5168
DD4E7,DD433,DD720
F4FBB,F51C4,F50D3
DD6F8,DD6AD,DD543
F518E,F50CF,F5068
DD675,DD4FE,DD5F7
F4ED8,F5033,F4FE9
DD4C6,DD7E5,DD6D3
F51A4,F524D,F5246
DD7DC,DD6A2,DD79F
F54A1,F514F,F51E6
DD673,DD725,DD7F9
F514E,F5163,F5185
DD78B,DD7D8,DD80E
F533F,F5532,F5104
DD814,DD708,DD871
F5228,F51E3,F53A7
DD80A,DD90E,DD9B5
F507E,F534A,F5240
DD746,DD861,DD6E2
F5093,F5084,F5086
DD928,DD82B,DD79C
F5450,F52E0,F530E
DD706,DD8F2,DD77E
F52EA,F514E,F52B5
DD906,DD8E2,DD9CF
F545E,F5338,F5526
DD956,DD948,DD842
F5401,F548F,F5303
DD9E6,DD8DD,DD8D9
F54E0,F53E2,F535A
DD844,DD8F9,DDB2F
F5264,F53B4,F5278
DD7FF,DD756,DD7EA
F52E9,F54C2,F5464
DD86C,DD97D,DD800
F54FD,F54A9,F557F
DD993,DD9EA,DD8C4
F5576,F5426,F5734
DD66D,DD63F,DD771
F523A,F50E8,F5239
DD62D,DD66D,DD596
F51F9,F5173,F50E9
DD7C0,DD676,DD7A4
F52A7,F52AA,F5112
DD736,DD5E6,DD5DD
F528D,F5150,F533E
DD7F5,DD6B8,DD6F2
F520E,F5325,F5135
DD8D9,DD8C9,DD7D7
F535D,F517C,F5158
DD7F9,DD883,DD96F
F51FC,F53B5,F5225
DD74F,DD7D9,DD834
F547B,F53BD,F53DD
