{'CALIB_RAW_DAC_START_I': 229376, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
C94E4,C94E9,C965C
E0E4B,E0FD2,E1081
C9534,C933D,C9417
E1097,E0F70,E1044
C94A4,C94E5,C942F
E0EFC,E1040,E0EC4
C962D,C9513,C93EA
E0DC0,E107A,E10E5
C96A0,C9518,C954C
E0E98,E0F35,E0EFC
C96A4,C94D9,C9492
E10BC,E10B4,E10A0
C9611,C965D,C964F
E109D,E0EF4,E0F62
C941C,C95E7,C9665
E112C,E10DD,E1136
C96DC,C954F,C94E9
E100D,E1071,E12EC
C9740,C9426,C9738
E0F8A,E10AD,E1065
C96DC,C9672,C9673
E0F81,E1203,E11DF
C9731,C9687,C975E
E1120,E147F,E1171
C9760,C97B8,C9689
E1166,E10E9,E1163
C97B6,C969A,C96DF
E1187,E1237,E13E1
C9781,C98FC,C9804
E128C,E128F,E11F7
C9770,C97E9,C975E
E1326,E11FD,E134F
C98CC,C9685,C98DF
E11F1,E124C,E12DA
C9828,C9802,C9781
E11A8,E1192,E118B
C98D2,C9726,C97AE
E1308,E11C1,E131E
C97E2,C98B0,C993B
E1306,E12AD,E1247
C972C,C99DA,C9835
E11F8,E1273,E1303
C9A11,C999D,C990E
E12A9,E13D3,E144C
C988E,C9832,C9942
E12EA,E126A,E1385
C9A40,C9904,C98D0
E150B,E1541,E14D6
C99B0,C9A9A,C997D
E149D,E145F,E12EC
C9A79,C9B1C,C9905
E147A,E1471,E141D
C99B9,C98C0,C9C3B
E140D,E136C,E13C4
C987D,C98BA,C9758
E14EE,E155B,E14FF
C9BA4,C9992,C9A28
E142C,E12E7,E120E
C9A6D,C9895,C9870
E12BB,E1569,E14F8
C98F5,C996F,C986B
E13E5,E1390,E1367
C984E,C99D9,C99D1
E120F,E11DC,E123C
C9688,C95C4,C94AF
E0F0E,E0E6C,E0FCE
C96E6,C944C,C979F
E10EE,E0F60,E10C0
C974C,C989E,C95BD
E1115,E1137,E1170
C9716,C9713,C96AD
E1098,E10D6,E1155
C979E,C97BC,C95EF
E10CB,E1329,E1233
C973F,C98BD,C978B
E13B1,E127D,E1367
C9614,C9708,C9821
E12FC,E11E2,E1364
C98C4,C998E,C97B7
E1411,E1595,E1360
C98C3,C95D4,C9997
E11A1,E1331,E13A5
C97F3,C97EB,C9A56
E1322,E12B3,E149F
C9902,C9897,C998B
