{'CALIB_RAW_DAC_START_I': 262144, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
B6BC1,B6B1C,B69F3
CE4B9,CE301,CE52A
B6A3E,B6A81,B693F
CE3B9,CE690,CE360
B68F6,B6A97,B69C5
CE473,CE37F,CE584
B6A79,B6939,B6A33
CE465,CE68C,CE57D
B6AC6,B6B25,B6AAA
CE5F6,CE57F,CE574
B6A02,B6A6F,B6A66
CE3F9,CE542,CE788
B6A06,B6B28,B6B3E
CE695,CE45B,CE4BC
B6B31,B6C8E,B6BAA
CE68F,CE6D0,CE648
B6BF7,B6BBE,B6C94
CE8B0,CE76C,CE60D
B6C83,B6BDC,B6BE4
CE609,CE740,CE9B5
B6D13,B6C76,B6DA3
CE6EB,CE727,CE6EA
B6CBE,B6DF7,B6C59
CE8A9,CE6FC,CE76D
B6D23,B6E21,B6D47
CE884,CE685,CE5E2
B6D21,B6C8B,B6D90
CE615,CE7BB,CE5C5
B6CA8,B6BD0,B6B83
CE720,CE856,CE5E7
B6BA3,B6DDD,B6A53
CE81A,CE951,CE74B
B6E7D,B6D41,B6CE5
CE8B0,CE732,CE940
B6E5B,B6DAA,B6D41
CE760,CE813,CE7FE
B6E77,B6CC5,B6D3A
CE870,CE858,CE6B4
B6C8C,B6DC8,B6D94
CE98C,CE960,CE98C
B6D03,B6D82,B6EA6
CE6CE,CE853,CE8F0
B6F18,B6F2C,B6EBC
CE990,CE9FA,CE996
B6E86,B6DB2,B6DF6
CE8A4,CE7F6,CE928
B6E91,B704F,B6E65
CEB72,CEA84,CEBDF
B6EAB,B6DF3,B7005
CE9C1,CE9AD,CE9BB
B6E5F,B6C9A,B6F3E
CEAC1,CEA7C,CEA23
B7017,B6FE6,B6EA1
CEB35,CE8D6,CEAA3
B7012,B7049,B711D
CEC0E,CEA69,CEC1D
B6FC9,B7174,B71D2
CEAF5,CE9FF,CEC79
B7129,B7123,B70FD
CE9D8,CEB44,CEB32
B705B,B7072,B6F33
CEBFD,CEBA1,CEA5C
B7148,B7087,B712B
CEA5C,CEB15,CEBAB
B6F7D,B6E11,B6EB2
CE686,CE88C,CE85C
B6E71,B6EC0,B6D40
CE833,CE900,CE878
B6E2E,B6BF9,B6E06
CE684,CE6C6,CE9C5
B6F3C,B6BA1,B6D54
CE823,CE7C3,CE915
B6BD8,B6DA2,B6E72
CE874,CE795,CE708
B6F28,B6D13,B6BCF
CE692,CE678,CE7CD
B6F25,B6DC2,B6AD8
CE90E,CE8F0,CE958
B6ECA,B6D74,B6EB6
CE9FF,CEA3B,CEB9D
B7031,B7084,B710C
CE99C,CE9EA,CE8F4
B6E32,B6EE2,B6E91
CEA52,CEA3C,CEA66
B6E7B,B6F8D,B6FA6
CEC49,CE9E6,CEB38
B6EB8,B6E11,B708B
CEB69,CEB26,CE925
B6F64,B7039,B6E8C
CE8AB,CE99E,CE8AB
B70D9,B6FBB,B6F91
CE973,CE911,CE8AC
B6ED1,B701D,B6FAE
CE878,CE862,CE7AE
B7021,B6F4A,B7000
CE8FA,CE942,CE9F6
B719B,B72EB,B7156
CEB45,CEC8B,CEB79
B712A,B70F4,B724C
CEBD4,CEBCE,CEC3A
B6FCC,B7144,B70C9
CEB6A,CEBC6,CE880
B7117,B70E8,B7033
CEB5F,CEB2E,CEBA7
B707F,B7175,B7258
CE9E7,CEC16,CEC4C
B719A,B713D,B7348
CEA5B,CEAFD,CEBBB
B7147,B7007,B7114
CEB56,CEBF0,CEA84
B6F49,B6F8F,B706A
CED92,CECEB,CEC1E
B72C0,B709B,B722B
CEBB6,CEC3E,CEA3A
B72D3,B71BA,B704B
CEC6C,CEC39,CECD7
B7181,B71C0,B7068
CEB94,CEEC5,CEBF1
B710F,B713E,B7192
