{'CALIB_RAW_DAC_START_I': 294912, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
A15AF,A14C4,A1598
B8F8C,B8DDD,B8ED2
A143F,A1302,A1450
B8F66,B8EF4,B8FFB
A15EF,A1550,A13CD
B8E10,B8F2F,B9047
A14B3,A154D,A167A
B8FFD,B91B2,B8FD0
A1591,A152A,A147F
B9114,B90E6,B9137
A161A,A16A4,A1575
B8F04,B8FB3,B919F
A171F,A158B,A1516
B9024,B9093,B91D0
A1724,A1658,A1514
B92F3,B9154,B901A
A1669,A169B,A17EB
B92B7,B92D1,B8F5C
A1819,A1605,A174D
B8F23,B9093,B9042
A17C3,A174F,A168B
B933B,B91B5,B9118
A16F5,A1687,A16DD
B927D,B900C,B91CF
A16C3,A1798,A16F7
B9116,B9037,B915C
A150A,A1671,A17AD
B92C1,B9213,B9147
A1806,A183C,A16DE
B90C9,B91A8,B934F
A181D,A1697,A1689
B9275,B9441,B9123
A1B77,A1A1D,A1A31
B9637,B94D0,B94F7
A198A,A1872,A18E9
B934B,B9379,B93A4
A19AF,A1871,A17FF
B9467,B934F,B9447
A1A07,A187A,A178F
B9446,B91E2,B9292
A1991,A17C7,A1A8B
B9467,B92F2,B936C
A19B9,A19FA,A1AD8
B94B4,B9401,B955E
A19D0,A1A2C,A1AD2
B941C,B94F8,B93E0
A1A2D,A1895,A19BA
B94B1,B96E7,B953B
A1A34,A1989,A1A89
B9489,B93CE,B93E6
A1BB1,A1BA2,A1DB0
B958E,B9644,B9374
A1926,A1A2A,A1BC4
B9516,B94F5,B9528
A19CA,A1B32,A199F
B95C5,B948C,B94DF
A1BB6,A1C2F,A1ABA
B9638,B92FD,B951B
A1A63,A1BAA,A1B42
B96EE,B9537,B93F4
A1A26,A1A25,A19D7
B958A,B952B,B93BE
A1976,A1980,A19AB
B93DD,B91D4,B94B7
A15E8,A16E0,A170E
B9068,B9085,B90E1
A16EC,A18F9,A17ED
B9343,B941F,B9293
A170C,A1904,A1873
B912E,B92F8,B93A4
A189C,A18BA,A1805
B93BF,B9433,B92F3
A1783,A180D,A1965
B926D,B9218,B9315
A1971,A1A16,A1981
B9361,B93C2,B941D
A1867,A186E,A1A23
B938E,B9267,B9408
A19A4,A1968,A19B7
B94B7,B9530,B92E0
A19A7,A183C,A19B5
B940C,B93A9,B96A2
A19C1,A1917,A1AAC
B94AE,B953A,B9449
A18AC,A1A4A,A1A15
B9430,B9544,B9490
A191A,A1A49,A19A8
B9510,B9459,B9415
A1AD6,A18EC,A1A1D
B929E,B925D,B9364
A19DC,A18B4,A1A53
B932C,B9318,B927E
A1896,A1BA0,A1B52
B95D7,B9545,B942F
A1A53,A19E7,A19C9
B9525,B940A,B93E1
A1C03,A1C68,A1BD7
B9577,B9718,B970F
A1AF0,A1A33,A1C8A
B95AB,B9649,B96E8
A1C0F,A1C78,A1B65
B96FF,B9788,B9625
A1CB2,A1D3D,A1C22
B96CF,B97F8,B97B8
A1C22,A1AE0,A1CF5
B96FB,B956D,B96B8
A1C76,A1D01,A1DD3
B9717,B98BB,B9527
A1D0F,A1BBE,A1BA5
B9746,B96D1,B970E
A1B67,A1D23,A1C7B
B9541,B983E,B9705
A1AE8,A1B5A,A1A17
B9753,B95BA,B96E7
A1C3B,A1BD8,A1CBF
B951F,B98CF,B9603
A1B57,A1B07,A1AD3
B977C,B9839,B98C9
