{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
8EBA1,8ED0D,8EBD0
A647E,A659E,A664F
8ED17,8EC8C,8EAC6
A6463,A6776,A6593
8EAA0,8EBA1,8EBCA
A64CE,A6794,A657B
8EBBF,8EB3A,8E97F
A65A0,A641D,A661A
8EABF,8EBB1,8EC67
A65F3,A66E7,A6667
8EE8F,8ECB2,8EB60
A661F,A6744,A661D
8EB6B,8EA47,8EC22
A65D9,A651A,A650E
8EF12,8EC05,8EC7F
A6877,A66F0,A6770
8EDDF,8EAD5,8EB00
A6588,A67F5,A69A0
8EE47,8EE61,8ED41
A68C1,A66EC,A6806
8EDAC,8EF70,8ED81
A678E,A672D,A67F5
8ED69,8EEF7,8EC40
A6B6F,A69C4,A69AD
8EFF5,8EF0E,8F038
A698D,A6932,A6A6A
8EF94,8EE63,8EEA0
A68CF,A690A,A69E7
8EFD0,8EC19,8ED8C
A6856,A678E,A6878
8EE5E,8EE30,8EE95
A6971,A6950,A695E
8EDF8,8F021,8F039
A69CD,A6B6E,A6AEE
8EF6C,8EFF7,8F06B
A6992,A69EE,A6ACA
8EF86,8EFC0,8F04B
A69E8,A69D8,A6913
8F089,8F07D,8EF56
A6A09,A6CBF,A6BE9
8EFC8,8F16C,8EF92
A6832,A69B9,A6A15
8F157,8EF47,8F135
A6A1C,A6A3F,A69DF
8F0DD,8EEDD,8EF21
A698E,A699B,A6B65
8EF7A,8EDE9,8EFA3
A6B28,A69D5,A6C1E
8EF21,8EF68,8EF45
A6BBC,A6AB4,A6AF2
8F070,8F02E,8EF69
A69B2,A6992,A6AA7
8F164,8EF60,8F10F
A69DF,A6A65,A6847
8EED8,8EF49,8EF17
A6B15,A6B98,A6D0C
8F0C2,8EFAF,8EEB9
A6A38,A6C20,A6C4B
8F124,8F00F,8F1D5
A6A43,A6A80,A6C59
8F29A,8F0BD,8F001
A6C3A,A6C0D,A6BBF
8F139,8F131,8F17A
A68D8,A6B1D,A6A5F
8EC4A,8EDD2,8EC96
A6734,A68D4,A66D2
8ECA0,8EDD7,8ED30
A67DB,A664D,A684D
8ED7F,8EC56,8EC5C
A6857,A678F,A674A
8EF41,8EEFD,8EF20
A6710,A689D,A6758
8EEA6,8EE0F,8ECEF
A6768,A6769,A6885
8ECBD,8ED23,8EE3E
A67D6,A68F3,A6ABD
8EE73,8EFED,8EF23
A681B,A6AF0,A69AD
8ED80,8EFDF,8EF9C
A6B22,A6AFF,A6B19
8EEE4,8EF9C,8EFB3
A6892,A6A52,A692C
8EE97,8EE9C,8F06D
A68EB,A6A1D,A6A74
8EE47,8F16E,8EF74
A6A03,A687C,A6A8D
8EE6A,8EF5A,8EF2B
A6BC2,A6A27,A6B80
8EEFA,8F094,8EF59
A6AED,A6A36,A69AF
8EFD0,8F034,8EEA3
A6CFA,A6AF5,A6BBF
8F281,8EFB3,8EFC2
A69DF,A6A6F,A69DE
8F016,8F063,8EFA5
A6C80,A6C40,A6928
8F0AB,8F180,8F1C8
A6B7E,A6D0E,A6BA9
8F0A1,8F0C1,8F135
A6C7B,A6BA8,A6C7F
8F173,8F251,8F12D
A6AEF,A6BBC,A6A38
8F1C6,8F21A,8F451
A6BD2,A6BA2,A6C45
8F344,8F2E2,8F17E
A6D00,A6D4D,A6D91
8F1F3,8F121,8F151
A6A81,A6ACE,A6C17
8F243,8F13B,8F11E
A6CCA,A6BFF,A6B85
8F3B8,8F28F,8F340
A6DA8,A6EB3,A6E5B
8F096,8F10B,8F36E
A6DAD,A6E79,A6DEA
8F52F,8F418,8F439
A6DE3,A6DFB,A6E3A
8F3DC,8F425,8F4A2
A6E8A,A708B,A6CFE
8F45B,8F41E,8F40D
A6E48,A6FAB,A6D30
8F402,8F597,8F3EC
A6F67,A6F06,A7013
8F34B,8F3BC,8F2AE
A6E22,A6E8B,A6D6D
8F243,8F32C,8F246
A6F34,A6EC8,A6E85
8F2DE,8F2DC,8F4BE
A5CFA,A5E77,A5EA0
8F2D3,8F502,8F37A
A6DC1,A6CB4,A6E97
8F43D,8F320,8F5BD
A6EFB,A6DF3,A7072
8F478,8F358,8F381
A6EE4,A6DAA,A6D9A
8F3E4,8F55D,8F4C1
A6EEE,A7067,A7021
8F5D7,8F426,8F421
A7065,A6E77,A6EA4
8F3D3,8F480,8F52F
A711F,A6FF7,A6F71
8F580,8F506,8F668
A6E8A,A6FC5,A6E01
8F37D,8F629,8F63A
A70E5,A7071,A70C2
8F727,8F4CD,8F4C8
A6FCD,A6E54,A7107
8F5DA,8F488,8F471
A6FDB,A6DA2,A6F74
8F482,8F635,8F582
A7010,A7130,A704D
8F465,8F780,8F6BD
A7013,A7163,A7035
8F5BD,8F74E,8F85A
A720F,A7189,A7236
8F746,8F7A2,8F677
A717A,A7154,A72E8
8F748,8F651,8F6B6
A70C2,A7124,A73F3
8F65F,8F626,8F795
A704C,A6F82,A7475
8F83A,8F84A,8F8EC
A72D9,A7371,A721F
8F8A0,8F950,8FA1A
A7305,A7386,A736A
8F86A,8F8DC,8F7C3
A74EE,A72EB,A7366
8F842,8F735,8F86C
A7348,A71AA,A73BF
8F81B,8F83D,8F8AF
A70E4,A731E,A71FA
8F82D,8F826,8F81D
A723C,A7294,A73C1
8F7D9,8F81C,8F7A6
A72FE,A7294,A718D
8F7B2,8F7DF,8F89E
A7393,A729E,A7420
8F7D0,8FA26,8F9ED
A73B9,A755E,A7324
8F692,8F7D6,8F728
A72A5,A7163,A73C0
8F96A,8F892,8F7FA
A7430,A7353,A7437
8F92B,8F95B,8F78E
A74A7,A739C,A73EE
8F8EA,8F7E7,8F642
A75C9,A72D6,A7388
8FAD7,8F862,8FAB0
A739C,A73DF,A73A7
8F836,8FA56,8F8A0
A7488,A7288,A7402
8F872,8F730,8F92A
A7377,A7401,A74E2
8F67A,8F6E4,8F5C3
A6F9A,A708C,A7342
8F866,8F8B0,8F6EE
A70BE,A70E7,A72D1
8F702,8F86F,8F7FB
A73AC,A71EF,A72C0
8F8A5,8F5F6,8F81E
A7040,A72E5,A71AD
8F74F,8F664,8F6AB
A7127,A723C,A71E1
8F894,8F91A,8F64C
A7100,A7195,A715F
8F609,8F71B,8F5D9
A724C,A7242,A721E
8F6AE,8F84A,8F6DA
A738B,A72F7,A7352
8F5B4,8F7B5,8F929
A7110,A7137,A7006
8F6A5,8F661,8F81A
A7295,A7220,A7425
8F7D0,8F6A4,8F8A3
A726D,A71C5,A71B9
8F6AB,8F752,8F6FC
A72B4,A73A7,A72B9
8F86A,8F8A8,8F792
A7022,A71D3,A7143
8F729,8F4B6,8F6E7
A72A6,A735C,A72FC
8F76D,8F69C,8F6F5
A730A,A70D8,A7131
8F7AE,8F6F8,8F692
A732C,A7445,A730E
8F8AE,8F98A,8F9C6
A7542,A72C9,A72A4
8F99D,8F975,8FAAD
A735C,A7320,A74FB
8F830,8FAC3,8F95D
A7330,A747D,A7444
8F8A5,8F7B3,8F989
A73FB,A750C,A7423
8F99A,8F974,8FA2F
A73FD,A7484,A73B6
8FA0C,8FA2E,8F9C2
A737C,A73E8,A73AE
8F9CB,8F9FA,8F9D0
A72FA,A73BA,A73C4
8FABF,8F8B8,8F9A0
A7488,A735F,A73CA
8F8DE,8F8E0,8F8AF
A73CC,A7295,A740B
8F892,8F97C,8F8B6
A759D,A74ED,A7672
8FA9A,8FAD6,8F9E1
A7521,A75AF,A76B9
8FBEE,8F8E1,8FC4A
A750B,A7619,A74FB
8FAE3,8FBB0,8FB46
A75D1,A747B,A7422
8FD03,8FAB6,8FC12
A74F8,A7641,A769A
8FA3B,8FA94,8FA74
A763B,A7730,A7615
8FC12,8FBF0,8FB61
A5760,A5766,A573F
8FC96,8FC31,8FB72
A75DE,A76B9,A7654
8FBAE,8FB9C,8FB48
A7634,A74D0,A763A
8FC2A,8FD08,8FD99
A761D,A7406,A75DF
8FB95,8FBD4,8FAB6
A7732,A7989,A787D
8FD12,8FC02,8FD89
A7641,A7753,A7853
8FCFA,8FB37,8FC0E
A7749,A769F,A75DF
8FDE8,8FD19,8FBFD
A76D4,A7872,A76A0
8FC88,8FC31,8FB60
A78B9,A7848,A79F0
8FE6D,8FDF3,8FBEC
A7738,A77A4,A7808
8FC57,8FE03,8FC89
A78DE,A78A6,A77F8
8FEF7,8FC75,8FCD9
A766C,A7849,A7621
8FF35,8FF07,8FEF6
A7898,A78B1,A7932
8FD55,8FEBF,8FD64
A77F1,A7923,A78CF
8FF1D,8FCCE,8FEE5
A78AB,A7999,A7953
8FD93,8FE82,8FC39
A794B,A7A13,A7937
8FEA0,8FEF1,8FE3E
A7811,A764B,A78E5
8FF9B,8FDA4,8FF3B
A7AB9,A7A18,A7BC8
8FF8A,8FD74,90126
A7AC4,A7C24,A7B7E
8FF41,8FD2C,90260
A798B,A7A89,A7AE7
8FEE0,9008E,90000
A7BAA,A7AF2,A7B7F
8FFE5,900F9,8FD8D
A7A72,A7CD5,A7B0C
90096,90078,8FFCC
A7B95,A7BF4,A7A9D
90000,8FF2F,8FF88
A78CF,A7909,A7A62
9015C,8FE76,90002
A7D60,A7D11,A7DFF
90011,8FFB9,900C2
A7B71,A7A68,A7B51
8FFF7,90189,90148
A7B2C,A7A0D,A7B38
90141,9005A,90192
A7BC7,A7AF7,A7BF7
901FE,90235,90017
A7BD2,A7A91,A7D0A
901A9,8FFC3,8FFAD
A7C32,A7B7E,A7B92
90232,901B7,900D3
A7C53,A7D5E,A7BED
90167,901C6,9011F
A7A2C,A7BE6,A7A94
9011E,9015B,901F8
A7C5F,A7B8F,A7ABB
8FD02,8FD88,8FF11
A77EB,A784C,A774E
90008,8FE20,8FC93
A7822,A78C4,A7756
8FCE6,8FE3C,8FD48
A7778,A7961,A781C
8FDAC,8FD63,8FD6C
A7891,A76AD,A79A4
8FF53,8FE8F,8FE6A
A786B,A7795,A77B8
8FD0B,8FCFF,8FC54
A78D2,A75FB,A77A5
8FF09,8FB46,8FBAA
A7813,A7767,A7791
8FD26,8FDB8,8FC53
A797E,A7A54,A7B6B
8FE10,8FD87,8FDD5
A786C,A7797,A7649
8FE9C,8FD9D,8FED4
A78DB,A78AB,A7843
8FF3D,8FE3F,900BD
A783F,A796B,A7A03
8FFE5,8FF0E,8FE64
A76E4,A7897,A7A32
9028B,8FF32,8FEEE
A7915,A7977,A79E2
8FFA2,8FFE1,8FF16
A7A86,A79E0,A79CA
90030,9016B,8FD6D
A78B8,A79FE,A79E1
8FE73,8FD01,9000D
A78F3,A7A68,A79F6
90079,9014E,901A5
A7C36,A7C62,A7B4A
901E5,901A7,9017A
A7BB1,A7AC1,A7C54
90146,9009B,901F7
A7A68,A7D69,A7BDA
902B8,90158,901F1
A7B95,A7B44,A7B76
90137,9009E,90046
A7A1C,A7B2D,A7C5E
901C1,902C0,9007C
A7B88,A7CDF,A7B7A
901DF,90147,90359
A7DB3,A7C59,A7DB9
901C4,9000C,901FE
A7F83,A7EB6,A7E12
903A0,903B5,90312
A7D10,A7D55,A7DD9
903A5,9034A,90262
A7EB7,A7D2D,A7D87
90279,903AE,904B1
A7D19,A7D7E,A7C31
902EC,90443,902BE
A7DE1,A7D64,A8099
903D7,9032B,90361
A7D3D,A7E5E,A7CF3
904BA,9024E,90302
A7D86,A7E33,A7F0B
903F9,90381,90279
A7E29,A7DBD,A7EB2
9027B,904A6,90317
A6D6C,A6F26,A6ED1
9044E,90479,9038E
A7C03,A7D4F,A7F10
9047E,90321,903F4
A7D2D,A7C24,A7EEA
90312,903F6,9048E
A7D75,A7D1A,A7EAA
903C4,9031E,902F9
A7D50,A7E50,A7DAF
90344,902D3,9059E
A7E4B,A7D79,A7CA6
9037F,902CA,9027E
A7EC2,A7D83,A7D94
90543,903C2,904CF
A7E5E,A7EC5,A7DA9
