{'CALIB_RAW_DAC_START_I': 360448, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
7A4E0,7A5DD,7A4CB
91DE2,920FB,9201B
7A753,7A667,7A754
91FFD,920F7,9224D
7A766,7A662,7A68F
91E3D,9214E,91FA2
7A4FA,7A68E,7A66A
9219A,92175,9214D
7A51D,7A61D,7A5E0
92049,91F0D,91F6C
7A57E,7A5E7,7A533
9209D,920F9,91EB2
7A46B,7A57A,7A479
91F1A,921FB,91F6A
7A572,7A4AA,7A4F0
9218F,921D1,92135
7A8AE,7A634,7A577
921FE,922CC,921A3
7A7CA,7A7A0,7A632
920E7,91F85,922BB
7A6CF,7A61D,7A60E
92213,9210A,92450
7A7F5,7A80D,7A8AF
923CA,9247F,9224B
7A915,7A86F,7A907
923E6,920A1,92244
7A70E,7A6A7,7A879
92413,921EB,92447
7A913,7AA92,7A7C9
92451,921E8,923CE
7AA72,7A9EA,7A93B
92458,923FF,92309
7AB6E,7AA70,7AAEF
9254C,92682,9257A
7AC1F,7AA66,7AB9C
9259B,9253D,9241B
7AB7F,7AA1B,7AAC7
925E8,924A3,92440
7AB2C,7A975,7A966
92356,92558,9260A
7AC2E,7AD35,7AA61
9264D,9264A,925F5
7ACAD,7AB94,7AB52
924D6,926B8,926FB
7AC02,7AB15,7AC52
924C4,92462,925BB
7AC34,7AC1A,7AAB3
926F1,926C0,9290C
7AC36,7ABF7,7A921
92649,92792,9266C
7ABEB,7ADC9,7AD7F
925A1,926F2,92465
7AAEB,7AC91,7AB74
926D9,92776,92787
7AED6,7ABD1,7AD20
92712,928DC,92708
7ABEA,7AE58,7ACAF
926ED,92660,92539
7AD58,7AC4D,7AD07
92772,9286F,9261D
7AC2F,7AF13,7AD6F
92749,92802,9290A
7AF1F,7AC21,7AFA9
927C5,92927,92748
7A8E0,7AA02,7A9E1
9245C,925BA,923C3
7AC46,7AA35,7AAE3
924CA,92525,9279B
7AB29,7A891,7A907
924DC,9247A,924B7
7AADD,7AA59,7AB3C
9235D,922A3,922F5
7A9CC,7AAAE,7AA8E
924F6,9249B,92543
7AA39,7ACB9,7A99D
92570,924A5,924BF
7AA94,7AB4E,7A96D
924C3,9233F,92371
7AA59,7A9F1,7AA39
923EC,925C0,925A1
7A955,7A967,7A93E
9232F,922B2,92231
7A832,7A8CF,7A8E2
92468,923B2,9269A
7AB0A,7AA06,7AA62
92493,925A0,92685
7A94B,7AB89,7ABA5
9257A,92673,92571
7AD37,7AC3A,7AA0C
92590,92586,924EB
7ABF0,7ABAB,7AB76
925CA,92639,92615
7AA3F,7ABCC,7AA69
92615,92603,92604
7AAC4,7AC16,7AB3A
92708,92623,92522
7ADCF,7AC81,7ACE2
925DA,9277D,92796
7ABC6,7ABEE,7AC81
925A7,926B4,92702
7AB99,7AD3F,7AABD
925A5,92676,9277A
7AC73,7ACD4,7ACD0
9251D,92617,924A3
7AB61,7AA40,7AB54
9263B,925F1,924E8
7AAB4,7AAB3,7AC99
926C5,92616,92606
7AC9D,7AA6A,7ABA5
92746,925F8,925BA
7AB96,7AB30,7AB79
9292F,927DD,927B8
7AF1F,7AE37,7AD0B
927CE,92779,927AD
7AD1B,7AC0C,7AD04
92889,9272D,927AF
7AD76,7ACF3,7AD0D
9272E,92711,928EF
7ADBF,7AD9C,7AE0B
9282D,926BC,9296F
7AD36,7AE4F,7AC2D
92767,927C1,928F2
7AF2A,7AECD,7AE8E
9276B,92906,929A3
7ACDF,7ABA6,7AC47
926DD,928C6,9272E
7AB99,7AC5D,7ACFA
9172B,917C8,916F2
7AC96,7AE88,7ACA4
9286F,92813,927F6
7AF8F,7AD31,7AEAB
9282D,9280A,92A3A
7ACC3,7AEA5,7AF18
9280F,927A0,92A1D
7AEA8,7ADB9,7AF89
92794,92A06,929E5
7AF2C,7AF38,7AEC5
9292E,92991,92949
7AF2F,7AF7D,7AEEA
928BC,92930,92875
7AE9C,7AF94,7AF50
9295C,9281B,928DE
7B079,7AF3B,7B01E
92A7F,92BFD,92A56
7B09A,7AE6F,7B006
929C5,929EB,928D5
7AFB6,7B11D,7AF92
92A85,92BD5,92A8B
7B057,7AE19,7B2BB
929D2,92A11,92B27
7AE52,7AEFE,7AE34
928FF,92A1C,92988
7B096,7AFD4,7B014
92A5F,92B01,92A66
7AF48,7B011,7B056
92AEC,92A64,92A49
7B105,7B165,7AF21
92C40,92C56,92AA4
7B074,7B021,7AECF
92B4D,9291F,92B4D
7B1BC,7AF2C,7B165
92C94,92C33,92AE8
7B45C,7B0E6,7B103
92A8E,92D2E,92AF1
7AEF9,7AE87,7B034
92B66,92BE4,92DBA
7B2D9,7B3FA,7B206
92F15,92C3D,92C3F
7B272,7B243,7B2D4
92D3B,92BA4,92D34
7B280,7B2AD,7B2E4
92D3A,92E9A,92E6F
7B28F,7B2BD,7B519
92CA6,92A8C,92D19
7B1DC,7B086,7B0ED
92EF9,92F5D,92EB7
7B1C3,7B12D,7B19E
92CA2,92BD1,92D8A
7B30B,7B120,7B157
92E41,92DBF,92D7A
7B39B,7B34B,7B34B
92E8B,92D80,92CC5
7B358,7B2B2,7B3C1
92D7F,92E68,92DE5
7B310,7B24C,7B276
92C6E,92D7E,92E7A
7B3CE,7B366,7B484
92E9F,93021,930B5
7B35F,7B36E,7B29C
92F5F,92F20,92EE7
7B485,7B3E0,7B3BC
92F10,92DFF,92E7C
7B0F4,7B0BC,7AF8E
92ADE,92995,92DEF
7B15F,7B281,7B183
92975,92DC5,92C4C
7B2C3,7B138,7B074
92BD7,92AA2,92B96
7B140,7B0B8,7B1BF
92A41,92D73,929F7
7B0EA,7AECE,7B1BB
92ABD,9295F,92C2B
7B136,7AFE5,7B174
92B8A,92B40,92CA7
7B319,7B224,7B217
92B54,92C48,92C9C
7B048,7B028,7AFBD
92B50,92C81,92C0A
7B0B6,7B0FB,7B191
92C3B,92C9B,92BFF
7B1DE,7B0DE,7B13F
92C95,92B3E,92BBF
7B22B,7B1A8,7B107
92B40,92D34,92D58
7B0D3,7B32E,7B07D
92D92,92D27,92BF7
7B1B5,7B0D8,7B1EC
92D8D,92F41,92C79
7B1FA,7B2DE,7B10D
92DC5,92FED,92CEF
7B15E,7B204,7B478
92C3A,92C59,92C73
7B254,7B344,7B28B
92C7C,92C84,92D9B
7B29C,7B2BA,7B35E
92D57,92DF9,92C62
7B332,7B331,7B42F
92DF5,92F55,92F36
7B56A,7B2CC,7B300
92F21,92D5E,92FEC
7B489,7B5A4,7B556
92F21,92E47,92E74
7B339,7B344,7B3E3
92E13,92EB0,92F0D
7B451,7B2B9,7B420
92FAD,92F43,92FC2
7B610,7B517,7B5C4
92EE6,9306E,93007
7B68D,7B634,7B760
931BD,93169,92F2E
7B6B0,7B5AE,7B697
92F88,92FDA,93005
7B58F,7B616,7B5E9
93083,92FAB,92FF5
7B56E,7B50D,7B4CC
93171,92FB5,92F70
7B54C,7B790,7B5EC
931DB,93052,92FB6
7B553,7B4C7,7B516
931C9,93120,9317B
7B4C7,7B6BE,7B81F
930E9,9316B,93524
7B6FF,7B69B,7B632
93053,9306F,9303D
7B83D,7B4D0,7B4ED
9105E,91069,911EA
7B645,7B4AC,7B88D
92FF3,931ED,9324F
7B67E,7B8E5,7B77A
93260,931C3,93086
7B7CF,7B7BF,7B714
932BD,9320F,930D4
7B84E,7B7FC,7B6C2
932EA,933BC,93361
7B7DF,7B732,7B750
93052,9303D,932C1
7B853,7B7B4,7B8DA
931AE,932BA,93148
7B645,7B6E5,7B7D5
931ED,9326E,93223
7B686,7B855,7B954
932A0,9343A,933EB
7B769,7B8BF,7B81A
931EC,93323,932EF
7B95A,7B81A,7B8D3
93267,93224,932D8
7B89B,7B75C,7B826
93428,9339E,93056
7B7C8,7B930,7B837
932BE,93377,93249
7B9AF,7B802,7B988
93342,9310E,93392
7B7F5,7B76D,7BA4D
932CF,93425,933AC
7B870,7B823,7BA33
93392,931D3,93236
7B95A,7B832,7B816
93406,93378,933B6
7B7CB,7BAB3,7BA09
934DF,9347B,93607
7BB76,7BBEA,7BB0D
93612,93457,9347A
7BB2F,7BB19,7BB92
934AD,9359A,9355D
7BBAF,7BAC9,7B9EC
93501,93705,934E2
7BA25,7BD96,7BAA8
93534,935EB,93539
7BA6F,7BA02,7BB0E
93552,93687,936A1
7BB81,7BBA0,7BD89
93671,936E6,93555
7BCBA,7BBF4,7BB93
937D5,937DD,93768
7BD10,7BB36,7BBD5
93515,93627,93546
7BC43,7BBF1,7BE6A
93777,9366B,935A3
7BD5B,7BC8E,7BA0A
93582,93606,93670
7BD36,7BEAF,7BBE3
93613,937B4,93882
7BDF2,7BC35,7BFA1
93608,935EA,93763
7BDE3,7BDD4,7BBF8
938DF,93802,937A7
7BCEF,7BC54,7BCF2
935E3,93778,9364F
7BC59,7BD26,7BD2E
93840,93794,9369F
7BA47,7B971,7B8E1
9341E,9320A,934D7
7B90E,7BA39,7B977
933BD,934EF,933C0
7BAE1,7B9DB,7B922
93487,93466,93408
7BAA1,7B9B1,7BAC0
9349C,934D3,93402
7B92F,7BA06,7B961
935CC,93585,93630
7B9DC,7BB46,7BB05
935D3,934AA,933B5
7B904,7BB8A,7BA8E
933E4,935E5,93432
7B959,7BAD0,7B7F0
935AB,93549,9346C
7BB0F,7B9A3,7B8CA
9357D,934CF,93572
7B939,7BC11,7B934
934BA,93511,935CF
7BA0B,7BAC6,7BBC9
93395,9354A,935F2
7BAFF,7BA3E,7BB4F
934F9,936AF,934C1
7B992,7BBBA,7BABD
932B5,9360C,934C8
7B94C,7BA34,7B949
9341B,93418,934B9
7BA12,7BD07,7B919
934A5,9350C,934B9
7BA90,7BBDD,7BB74
935CE,935B1,93415
7BDCF,7BBFE,7BC97
9360D,936C3,93828
7BD80,7BC5D,7BD11
93658,93582,93823
7BD35,7BE12,7BE4C
936F5,93799,9372E
7BCB5,7BB53,7BBBD
936A2,9380C,9366E
7BE6C,7BCB0,7BE5F
93588,93703,9368A
7BD0F,7BDF1,7BC5E
93671,938BB,9363B
7BCD2,7BDDD,7BE06
93805,93782,938D9
7BF11,7BCC0,7BEFA
93923,93969,938E2
7BE54,7BD9C,7BE51
936B4,93823,93859
7BBCF,7BECE,7BC1B
93739,93801,93748
7BC01,7BD99,7BCFF
93874,93858,93615
7BBED,7BD58,7BC3C
9394E,937CC,937A2
7BE65,7BCD2,7BDDA
93807,9388D,93917
7BD83,7BF9B,7BCCC
9391C,93A68,9386C
7BF11,7BF60,7BE07
93A18,93ADF,93803
7BD80,7C16C,7C01A
92A90,929C2,92AE4
7C0B8,7BFED,7C0B1
93C4E,93BF7,93A26
7C088,7C095,7BEBC
9394E,939A2,939EF
7BF0C,7BE08,7BF83
938DF,93B09,938C3
7BF53,7BE0D,7BF82
93B78,93BA0,93A45
7BEFE,7BEC2,7C056
93950,939A0,939EF
7C1AC,7C060,7BEFC
