{'CALIB_RAW_DAC_START_I': 393216, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
6712B,66FB9,670DE
7EAB4,7EC1F,7E98D
67085,66D96,6709C
7E9F9,7EBA2,7EA50
66F74,671AE,66F04
7EBA7,7EA72,7EBD7
6700F,6705E,67049
7ECE9,7EB58,7EC19
67299,67005,67096
7EA51,7EC22,7EAE3
6734B,6717E,67158
7ED37,7EE65,7ED27
671FC,67260,671B5
7EB8D,7EAAC,7EDD1
6710D,67253,67081
7ED5E,7ED04,7ECF9
673F7,672B0,67140
7EC44,7EC5E,7EBA3
6721B,670F0,67430
7ED64,7ED79,7EDD2
6716F,672DD,6714D
7EC68,7EB55,7ECDD
6732D,670E3,672C6
7EC4F,7EB2A,7EDB9
66FB5,6714C,6719D
7EA58,7EC03,7EC57
672EC,671BB,67042
7EC51,7EDDF,7EBEB
671B8,6712B,671A7
7ED83,7EB76,7EC16
67424,6708E,671A8
7ECED,7ED05,7ED02
6747F,6742C,6742F
7EC88,7EF36,7EE6C
6731C,6730B,672A5
7EE06,7EE92,7EDC1
673AE,672FA,674BA
7EEB6,7F0D3,7EFEE
672B8,674B8,675F5
7EDE4,7EF3C,7EF4D
67422,674A5,673A7
7EEA3,7EFF6,7EE57
6736E,6750F,67446
7EF56,7EEDF,7EF0A
6753D,675CE,674C6
7EEF4,7EEE8,7F042
67708,675C9,67462
7EFB2,7F007,7F068
676CB,674BF,6779E
7EEB9,7F02D,7F103
674B7,6754C,67473
7EF2E,7F1A2,7EF97
6754E,6740A,674E1
7EF39,7EFFE,7F009
675AA,67532,67596
7F018,7F095,7EF48
677C6,67714,67656
7F2CC,7F0A4,7F0C4
67584,675D7,67624
7F0CE,7F1C6,7F1B6
67572,673E3,676E7
7F1E8,7F126,7F2CA
677B9,6755A,67693
7F037,7EFCF,7EF60
672E6,67253,672C7
7EE00,7EE53,7EBF7
67353,6726C,672FC
7EE42,7EF2E,7ECD6
67340,67395,673DC
7EE1F,7EE20,7EE2D
67461,673E0,67397
7EE8A,7EF04,7EE46
6743E,674E9,67511
7EDAE,7EF49,7EE3B
6751B,67458,675B7
7EF49,7EF1B,7EF3E
67189,67464,674B1
7F05F,7EEC7,7ECCB
675C7,6729D,6727B
7ED9B,7F05B,7EF94
67612,67465,673F3
7EDB5,7EF42,7EEC9
674BF,67468,67354
7F079,7EE86,7ED40
67350,674EE,6739E
7EC39,7ED2E,7EF4A
674B3,67470,672FC
7EDF2,7ED74,7EE4D
67497,6722F,6723F
7EDA5,7ED6D,7ED6A
6754F,672E0,6723B
7EDCF,7ED0E,7EE0B
673EA,671E1,673A3
7F009,7EF7E,7F028
672A7,67293,674FA
7EF2F,7F01E,7EF1E
67573,67419,675EB
7F16A,7EF92,7F0D4
67675,675CE,6738E
7EF79,7EE1E,7EF93
6743B,67440,6756B
7F095,7EF63,7EF6E
675C9,67429,67589
7F012,7EE9D,7F140
67725,67547,67791
7F089,7F0F1,7F05C
67501,674E6,6751F
7F09D,7F065,7F0DF
6766E,67730,67396
7EF77,7F18D,7EFA7
67694,677C8,67581
7F1CB,7F1F1,7F1DF
677F9,6772E,67708
7F0C5,7F110,7F0F4
6761C,6774E,674E8
7F0DF,7F10F,7F188
675CB,6771C,676AC
7EF29,7F2BF,7EF77
67696,677B2,67910
7F1D6,7F072,7F26C
67720,67550,67644
7EFE7,7F284,7F286
6775D,6791F,676A1
7F0EF,7F246,7F1C7
6775B,6791F,6795B
7F124,7F1FE,7F2E2
6782F,677D5,678F8
7E1CA,7E281,7E386
67809,67A4C,67694
7F1C0,7F33C,7F388
678B8,677AA,677F0
7F19D,7F18F,7F07E
67768,678EC,677C9
7F2F5,7F267,7F2CD
677F9,67687,67678
7F29A,7F288,7F1C9
677E0,67984,676C8
7F25D,7F3CA,7F17A
678EE,67852,677D9
7EFF5,7F303,7F28E
67962,67756,67881
7F360,7F0EC,7F316
67857,67753,678DC
7F3EC,7F534,7F50C
675CB,67A18,67846
7F1E0,7F33F,7F238
