{'CALIB_RAW_DAC_START_I': 425984, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
52545,524BC,52459
69F19,6A0B0,69F83
52697,5249A,52319
69FE3,69FF5,69F43
52652,52532,523DD
69FAF,69EF0,69F6D
52570,52638,524E4
69FF1,6A112,6A057
525E2,52669,5261A
6A1BD,6A147,69FFB
52791,52663,526A4
6A0F1,69FBD,6A0C0
5279A,52665,5262D
69EEF,6A047,69F06
52753,52788,52795
6A0B5,6A06D,6A325
526D3,5277E,5276D
6A042,69F7E,6A1E7
52847,52834,52779
6A26F,6A137,6A197
52693,528F1,52835
6A090,6A013,6A239
528DD,528AB,526F4
6A268,6A254,6A1DE
52467,52642,526B1
6A312,6A231,6A12D
526F1,529B2,52836
6A1C3,6A1FD,6A0CF
5262B,52734,5284D
6A1AD,6A2E8,6A18C
5294E,5259B,52621
6A1D8,6A267,6A238
529DA,52A7E,52977
6A25D,6A2BA,6A444
52A17,52A49,528F7
6A3CD,6A3B6,6A4AF
528F0,5297B,52922
6A35B,6A596,6A239
52982,52B42,52A80
6A536,6A65A,6A381
52ADB,529DE,5295A
6A416,6A348,6A463
52A57,52B4F,52AF3
6A484,6A4CE,6A564
52A7A,52D12,52A63
6A676,6A6D5,6A41C
52B21,52AD5,52B61
6A515,6A41D,6A681
52B1A,52AB8,52B83
6A6AE,6A585,6A64D
52AC6,52B88,52C12
6A569,6A595,6A73F
52A28,52A6E,52A72
6A5D7,6A59A,6A4D7
52D6C,52AE2,52A77
6A72C,6A76B,6A676
52DEE,52E27,52C2F
6A3E6,6A46F,6A618
52AB4,52EAF,52CB8
6A563,6A623,6A692
52A52,52B8A,52AA2
6A619,6A521,6A694
52CF6,52DB2,52D84
6A585,6A37D,6A4B8
5268A,526AA,52762
6A2EE,6A28F,6A171
52829,5283E,52780
6A407,6A4BB,6A3C8
52961,527FB,5294D
6A3E9,6A28A,6A20F
52812,528E1,52813
6A3EC,6A40C,6A415
5298D,5280E,52A2D
6A3B9,6A3CD,6A14B
52B21,52AEE,52B4F
6A4F6,6A470,6A49A
52927,52A13,52AB8
6A49C,6A45F,6A3F9
5298B,52A11,52941
6A5BA,6A6C8,6A45A
529A2,52B8A,529E4
6A49F,6A4BE,6A4FD
52AC0,529B7,52922
6A443,6A467,6A58E
529A5,52935,528CF
6A3EB,6A609,6A4F6
52C54,528E8,529E5
6A46F,6A5A2,6A42A
52A0F,528B4,52B5D
6A35C,6A4DF,6A53B
52CF6,52B92,52B31
6A60C,6A496,6A661
52B85,52DD8,52B1F
6A6D2,6A62E,6A6FB
52C11,52BE5,52BD0
6A758,6A5CF,6A75D
52E1E,52CBF,52BEE
6A814,6A8EC,6A870
52C1F,52D06,52D88
6A882,6A7A5,6A9A3
52DB1,52CE6,52D33
6A7F8,6A7CC,6A7AC
52D13,52D08,52C87
6A640,6A877,6A611
52B1F,52B88,52DF5
6A5B7,6A576,6A5E6
52DE8,52D29,52F07
6A7F5,6A6E3,6A726
52B00,52C94,52BA3
6A7AC,6A889,6A79C
52C58,52E5D,52D8F
6A825,6A8F1,6A876
52EE6,52E1B,52CE7
6A72D,6A694,6A5F4
52BFC,52D3B,52CC0
6A717,6A6A7,6A6DD
52D31,52CAF,52D9B
6A7A0,6A84A,6A789
52C55,52C76,52DA4
6A862,6A847,6A8E4
52D6F,52DD2,52C15
6A82D,6A7E3,6A729
52E71,52E70,52C4D
6A82D,6AA48,6AB75
52ECE,52E6A,52F16
6A7C0,6A846,6A83F
52EDA,52F2C,52ECD
6978D,69845,6991E
52E04,52CDA,52DB5
6A7FB,6A86A,6AB01
52F89,530CD,52D8E
6A914,6A9F7,6AA15
53081,52E66,52CBC
6AA1D,6A951,6A7A7
52E15,52F95,52F3F
6AAEF,6A9E7,6AB21
52F1A,5302E,52F12
6AAE2,6AA0C,6A944
52E86,52EAD,52F3C
6A92F,6A9F6,6A91C
52EB8,52D28,52DD2
6A83B,6A8BF,6AAC0
530E2,52E59,52E4E
6AA1D,6AB24,6AA68
52F9F,52DBB,52EDA
6A783,6A8EE,6AAC8
53071,52E44,52F2C
6A892,6A83B,6AAC5
53053,5301A,5312F
6AA61,6AA89,6AC3D
5309E,52F91,52FC3
6ABDD,6AEA5,6AB95
531A3,531FD,530DE
6AB36,6AB07,6AA8D
5303F,53017,531EF
6AACB,6AAB1,6A9F8
52FE8,52FF4,52FD1
6A9BC,6A93D,6AB27
52FD3,52FEB,52F56
6A918,6ABD3,6AB5B
53226,52E8B,53262
6AAB5,6AC81,6AB00
53076,53176,530E5
6ACE0,6ADB2,6AD25
530D0,5315F,5337C
6AC72,6AB1D,6ABC6
53179,53306,5332E
6ABA2,6AAEF,6AD65
531E5,53123,533C2
6AB8F,6AC7E,6AD8E
5325D,532AE,53467
6AE9E,6AC1C,6AC44
530A9,532E0,532DB
6ADCA,6ACE7,6AD5B
53373,530EB,53226
6AE4B,6AE4E,6AF94
5340B,53227,532D5
6AE07,6AF9D,6AE3A
532B2,53544,53485
6AC63,6ADF9,6AE06
53286,533EB,53340
6AD98,6AEEE,6AF9D
5336A,5320F,53345
6AE4E,6AE87,6AFF7
53568,535FE,5313A
6AD87,6AE63,6AE90
5338E,53312,5333E
6AE0F,6AFA6,6ACB6
533A4,533E7,533C2
6AF7F,6ACFC,6AE6E
5351F,5349B,5341D
6AE31,6AE5D,6AC89
52EE0,52F84,530AB
6A91C,6A87F,6A8A5
530FB,5309E,53068
6AC03,6AB99,6ABE1
52F5C,53206,53086
6AA39,6ABF0,6AB1D
531FE,5309C,531D8
6ACF1,6AB72,6AC3D
53334,52F61,530E5
6A965,6AA77,6AA94
53157,531A3,530BB
6AA93,6AC53,6AB82
531A7,53095,531D1
6ABDE,6ACBB,6AA26
53289,53114,5326F
6AE3A,6AD86,6AD8D
52F66,53189,531C9
6AC79,6AE1E,6AD6A
533C8,5325C,53326
6ABCC,6ADF4,6AC2F
531B4,5336B,5311E
6ABE6,6ACCE,6AC57
530EB,533C8,53317
6AE22,6AED4,6AE1E
53148,532EA,530B4
6AB8F,6AAD8,6AE15
5338A,533AF,53349
6AD45,6AEB3,6ACDF
5304B,53067,53017
6AB76,6ABA0,6AC49
532F4,53273,5349C
6ACA6,6AE77,6AD25
532F1,536C4,534AB
6B064,6AEF5,6ADE6
533A4,53562,535C4
6AF20,6AD9B,6AE85
5343F,53296,533D2
6AF42,6AF7E,6AEE1
5351F,535B9,53447
6AF9E,6AF29,6AE70
53559,533CA,534EA
6AF2F,6AEE3,6AF93
534A7,535A7,5348A
6AEE6,6AFED,6AE5F
5359A,53606,534E9
6B09F,6B1DA,6AF16
535B8,53475,535FE
6B17D,6B0CA,6AFC1
536B6,53639,536D8
6AF54,6AE64,6AE5C
5356A,534B4,53512
6AF84,6AF4F,6B0AC
53729,534F5,53503
6B037,6B08A,6AFCE
53590,534B7,53395
6AE0F,6AEBD,6AF27
534C6,535CF,53342
6AF6B,6B041,6AF4A
53268,53558,5361F
6B177,6AFEA,6B254
5346E,534ED,53471
6AEC6,6B027,6B173
5369E,53446,536A8
69129,690F6,69055
5358C,53542,535A2
6AF79,6AF9E,6AD21
536DE,535AE,534E8
6AF6E,6AFB9,6AE6E
53605,53891,5376E
6B1D0,6B09B,6AF0B
537F8,5365E,53654
6AFD8,6B1D3,6B150
539C9,53772,53793
6B0E6,6B135,6B235
5376D,5353B,53652
6B08D,6B26A,6B16E
5378F,53681,53668
6B1BD,6B1A8,6B043
535FF,5360D,53548
6B38B,6B23B,6B134
536E3,53799,536D0
6B025,6AFEA,6B08C
537ED,536A5,5377C
6B267,6B2CE,6AF88
53687,536E1,538D4
6B16B,6B1A7,6B27E
537DC,53661,537C6
6B26B,6B0DD,6B306
53758,53A2C,5394F
6B345,6B0F7,6B2F6
5382D,536C1,53734
6B2D4,6B150,6B24A
53791,536BE,5386C
6B47C,6B10B,6B279
537F6,53796,5386F
6B351,6B353,6B43F
538EE,53AA7,53841
6B37A,6B30F,6B2D1
53813,5399A,539F2
6B367,6B44F,6B49C
539F5,53987,539CC
6B36C,6B3F0,6B3C9
5393D,53AA3,538DB
6B378,6B505,6B5D1
53959,539C9,5389B
6B55B,6B532,6B288
53A39,5393F,53AD8
6B5DB,6B620,6B6A6
53AE0,53AB1,53B2C
6B4B4,6B64E,6B5C2
53BC1,53B8F,53BBD
6B580,6B45A,6B4B4
53B99,53CD0,53A46
6B630,6B4B8,6B552
53A12,53ACF,53AD4
6B66F,6B538,6B3C1
53C2E,53AF7,53B46
6B736,6B59F,6B704
53CFF,53D7B,53B56
6B696,6B77B,6B600
53B57,53AA9,5399C
6B49C,6B588,6B60C
53C4C,539EA,53B29
6B511,6B4B2,6B5F8
53C26,53BBA,539A3
6B605,6B722,6B639
53AA3,53AED,53A2A
6B3B1,6B3E3,6B481
53826,539FF,537DD
6B1C7,6B390,6B274
538E0,5394B,539B3
6B4C6,6B365,6B388
538D5,537C1,53865
6B334,6B1E2,6B3D0
53915,53684,53841
6B0D8,6B27D,6B401
53A13,53930,53A54
6B4E2,6B28C,6B099
536A5,538AE,5389C
6B241,6B3E0,6B2BD
5374E,53956,5396A
6B2E8,6B28B,6B3EA
53938,538A2,537FB
6B41B,6B4F2,6B79E
53A0C,5395D,53978
6B416,6B4A9,6B411
53B20,53AD6,53A47
6B3F1,6B420,6B37C
5395B,53B62,53A20
6B4EE,6B547,6B56E
53A6C,53BC3,53998
6B430,6B406,6B4CE
5397D,53A3E,538CA
6B591,6B579,6B4EC
539B2,5394C,5380C
6B74C,6B687,6B774
53A35,53B40,53B5D
6B4EF,6B689,6B58C
53B26,53B9F,53CE1
6B66E,6B566,6B44B
53B96,53D7C,53C46
6B659,6B68E,6B591
53CA9,53BB8,53D31
6B771,6B852,6B718
53CDD,53C4E,53DC9
6B7F9,6B90F,6B8A5
53CB7,53DA8,53E34
6B681,6B76B,6B7B0
53CE2,53D8A,53CDE
6B6D8,6B784,6B80B
53B1D,53B6B,53CAE
6B89D,6B773,6B7F3
53E12,53FE3,53C5D
6B679,6B8E2,6B68F
53F6B,53DE6,53C3C
6B8C5,6B8CE,6B9E1
53F20,53E9A,53E30
6B72E,6B7C9,6B724
53E51,53DEF,53F02
6B8EB,6B9AA,6B9C9
53F41,53DE1,53EB1
6B780,6B7EB,6B7A5
53FB9,53DD2,53F40
6B8D5,6B8FF,6B8E8
53D80,53EC0,53F73
6B88D,6B83B,6B9C8
53E76,53E35,53EAC
6BA24,6B9FB,6BA91
541C1,53F25,53E87
6BAE5,6BB6C,6BA63
53E15,53D50,53F04
6A93E,6A917,6AB50
53FAF,53F0C,53F4C
6B8E5,6B7D7,6B852
53DAF,54055,53F04
6B8EB,6B913,6BB3D
53F0D,53F48,53DE7
6B873,6BA4B,6B9EF
53F7E,53FAA,53F37
6B7A1,6B899,6B95E
53F61,53F23,53E68
6BBF2,6BA48,6BA9E
53F46,53FDB,53EB9
6B9D4,6BADC,6BB0D
53ED8,53E6C,53D24
6BA25,6B971,6BABD
53FC6,53EC9,5403D
6BAF6,6BB2D,6BBBB
53F2A,53EFF,54078
6BAC4,6B950,6BA67
54037,54049,53FC8
6BABD,6B8CD,6BA00
53FAC,53FC8,53FCC
6BA2C,6B86F,6BB03
54033,541E9,53E82
6BBA9,6B904,6BA34
53F19,54108,53F3D
6BA96,6BD3A,6B91F
540BA,540A0,53F5B
6BC16,6BBFF,6BBA7
54091,540E1,54266
6BC87,6BBFC,6BB54
54177,54130,54209
6BBB1,6BB4F,6BB80
5416A,543DA,5424D
6BE3F,6BF33,6BDD1
5415A,5436D,54204
6BE2A,6BD09,6BC5E
541F7,543B3,543C3
6BD30,6BBA0,6BA6E
54172,540FB,54165
6BC11,6BB42,6BD01
54460,5420A,542FF
6BCA2,6BD0F,6BD40
54263,54460,54428
6BD70,6BDFC,6BDB6
