{'CALIB_RAW_DAC_START_I': 458752, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
3F99C,3F8A3,3FC0B
575CB,575B9,5761C
3FCF1,3FAEC,3FCDB
5744B,57602,574D6
3FAFC,3FCDB,3FC66
574CF,57684,576EC
3FA4A,3F9C5,3FA1D
57556,576A1,5767F
3FCCA,3FA65,3FD5B
5759F,57646,5768C
3FBA5,3FB39,3FCF1
576FD,5781C,57812
3FC84,3FE8A,3FD59
57820,576C7,57972
3FDB2,3FBD8,3FD4E
57978,57982,57752
3FCFB,3FE33,3FDD1
576D7,577E8,5771C
3FC02,3FE2B,3FBA5
57841,576E2,57932
3FE33,3FE43,3FD2A
5773A,57820,5792C
3FEDD,3FEEF,3FD77
579B1,57AE0,57B43
3FD9E,3FDB8,3FEFC
577E6,57874,57882
40028,3FE6A,3FEB8
577EB,576D2,57986
3FDE0,3FDD0,3FD92
578C0,578D7,579C7
3FE16,3FD87,3FF02
5786F,57A55,579DF
3FC9C,40081,4009A
579F2,57A11,57978
3FFA2,400B2,40203
57B39,57A9A,57C9B
3FE7C,3FEC4,40147
579FC,57A8B,57B88
401A7,3FF6E,400D8
57AE7,57D31,57B84
4017A,40247,40333
57A6D,57D17,57C3A
40283,401BE,3FF19
57CD0,57B55,57C5D
4011A,40068,3FF80
57AEF,57B40,57C5E
3FFFA,400F3,40176
57C8B,57EE1,57B81
3FFA4,40178,40201
57A22,57B39,57BBA
40239,3FEA6,3FF62
5799E,57A16,57B7E
40043,400FA,400FF
57A42,57B1F,57BB3
40286,40126,400BD
57A66,57C62,57CCC
3FF95,3FF83,3FFCA
57C22,57BB3,57B69
40210,400E9,40256
57D70,57CC1,57D73
40194,401F7,4023F
57A8B,57AC3,579E1
40233,4004B,3FFD3
57822,57990,5798C
3FC69,3FE94,3FEE2
57809,578C2,57901
3FE11,3FF07,3FE65
5770E,57A33,5799D
40156,3FE1E,3FDB3
578FA,578E8,578A8
3FE12,3FE8A,3FDE0
578E7,57818,57951
3FD9E,3FEA6,3FE68
578D0,5771D,57917
400A4,3FEB5,3FF6A
57ABF,57891,57AB6
3FF25,3FD2B,3FD34
5790F,5796D,578D9
3FED6,3FF71,3FF9E
57AC2,57A5D,57B5F
40096,3FEE1,3FEE1
57A02,579F7,57B01
3FFC1,3FEBD,3FC37
5795E,57A0E,579D7
3FFEE,400D0,40138
579D6,57AD1,57B58
401E8,3FF69,3FF46
57B57,57AB5,57B2D
400B2,40035,40043
57A36,57A86,579DD
4009F,40243,4009C
57BBD,57B2C,57AB4
3FF8A,400F8,40189
57BB3,57D5D,57A7B
40067,40036,3FEFF
57C01,57BB5,57B2F
402C2,4030B,40219
57D78,57BC7,57D2C
40316,4013F,4030D
57F71,57D67,57DEE
40485,402E3,402F9
57BDB,57DAD,57C3D
40161,4026A,4029C
57CF0,57D76,57C73
3FFFB,4014D,400B1
57B4C,57C30,57C7C
4029E,4019D,404EB
57E5E,57E64,57E5E
40369,40315,4028F
57F42,57C07,57D1E
4037D,402DD,40294
57C62,57D6B,57DA5
401BD,40270,400BD
57A3C,57C14,57BB1
401E0,403F0,401CF
57C47,57CB3,57D61
4032B,40131,401AD
57D57,57CC5,57B9D
40458,4032E,4026D
57D74,57C63,57F01
403A3,4022B,4029F
57BDB,57E29,57D60
403E6,404CD,404BD
57DFC,5806E,57D92
40564,40467,4029F
57D9D,58043,57E3B
40465,4042D,40463
5700F,56DF9,56DC2
40330,40305,4030F
57D41,57DD6,57D47
402C6,40362,404C1
58041,580DF,57F59
4051B,4060D,403B6
57EC2,57DBD,57F72
403E2,401BA,401A3
57BF0,57D30,58059
404CF,40306,4044A
57D12,57E4A,57F80
403D0,404B8,402EE
57F01,57DEF,5803D
40613,404C4,402F4
5802B,57FE5,57F4F
4074B,4043F,405B8
57E85,57F84,58097
40683,4059D,4071D
5811A,58100,57F10
405EB,40587,40477
580E5,580A3,57FC7
406D4,40621,4053E
58188,58074,57EEF
40874,4083A,40742
580BF,58025,58088
406E3,4076C,4084B
580A5,581FE,58121
4057C,405E5,40632
580C8,580F9,58015
4066B,404A7,4061A
57FF0,57F84,58163
40801,40608,40687
57FDE,58043,57F42
406E1,405F7,4071D
582A1,58253,581E0
4084F,406E7,4079A
58356,580F4,58333
40994,40862,407B1
5823E,581C9,58166
407C7,407DA,407E8
58251,582CF,58374
40750,407F7,4081F
58236,58205,582A3
40815,40830,4064A
58324,581B2,5820E
40647,407ED,407C2
5829C,5823C,5816F
40810,40811,40703
583D3,58381,5841A
40738,406FD,40950
581B3,58221,58145
40794,406F4,40870
58370,583AC,583AC
4089F,4087C,407E7
58188,5822F,58176
407EA,408EF,408AD
583AF,5836D,58512
4075C,408E5,407B1
58392,58388,58396
40754,408E4,4091D
58332,582F3,58336
4088E,408FB,407DD
58362,582A6,583B3
40926,407CB,4087D
58413,58387,582F7
406CA,40681,40562
58014,580D1,58121
4057E,40773,405AB
5825D,58261,580BD
4065E,4063F,4090D
581A1,5805F,57EAB
407DC,406D6,4061A
5808F,58107,580B1
40728,40625,4067D
58185,58013,5812F
406DE,4079F,4078A
581B5,58249,57FDA
40605,407FC,408E7
580D1,58273,582F6
406B6,406AE,40700
58275,5817F,58254
40A86,40775,40807
582E3,5833B,58459
40872,406CA,4071E
5821F,5819A,58186
407CD,40754,40855
5837C,58424,580C6
406C4,407AF,4074D
58281,58538,584E5
407BE,4082C,408EA
583A1,584A3,582B6
40A0B,408E5,40878
580EE,58262,58264
40929,408A5,40717
58285,5828C,583BF
4099B,4091E,40820
582B7,5825B,582DD
40932,40A5B,40962
5848C,58564,583C8
40AD5,40AD2,40AB4
5854C,583CF,585B7
40A67,409CE,40867
58388,5847E,581D0
40A47,40B02,40B95
5859E,584FB,58742
40C3D,40B92,40A83
586AE,58684,5881C
40C7C,40ACC,40AB0
5854D,585A3,586F9
40A78,40C66,40B81
5870F,58672,5866B
40C14,40D00,40DAC
587A3,585D6,587BE
40C8B,40BB4,40B70
5863A,5858E,58771
40E44,40BEE,40B3E
58631,58764,58676
40DD8,40D49,40B1A
5867E,588A6,587BF
40BE9,40D2C,40D9A
58770,58838,58884
40D17,40CAE,40DBE
5876F,586A4,58843
40C9E,40E47,40B15
58712,5895F,58889
40BD0,40C5B,40BEB
587FA,58771,58687
40DF4,40D5F,40D9A
56890,5690B,567B7
40DF0,40E04,40DE7
5873E,5897C,587FC
40B73,40C36,40DED
587B5,58674,58761
40C68,40E01,40D97
58683,587F1,588B9
40E86,40E20,40F04
588DD,5890C,58925
40E04,40DA1,40C8B
5861A,58854,588E6
40DDB,40EE1,40C90
5891D,58935,58900
