{'CALIB_RAW_DAC_START_I': 491520, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
2C0A2,2C07E,2BFC3
4395D,43A1D,43A72
2C024,2C129,2C210
43CA2,43BD4,43CC4
2C1A0,2C1B5,2C295
43AEF,43B44,43C03
2C0BA,2C0A4,2C208
43AD1,43B3C,43993
2C041,2C280,2C037
43C17,43C9A,43BD5
2C1D6,2C1BB,2C19F
43EE2,43DAC,43C0F
2C383,2C124,2C1BC
43B00,43D80,43CFD
2C1C6,2C2BF,2C308
43BB1,43D89,43CEB
2C0CA,2C145,2C0E3
43C2E,43E6A,43DF2
2C161,2C266,2C34C
43CF3,43CC2,43B12
2C2F1,2C302,2C356
43E6E,43ABB,43BFB
2C300,2C1E6,2C15F
43BEC,43DD2,43AD3
2C2C4,2C2F8,2C168
43E1D,43E38,43D7B
2C27C,2C296,2C35B
43C22,43D97,43DE3
2C247,2C256,2C39F
43D44,43EF7,43D1D
2C2E4,2C205,2C294
43DC2,43B6E,43D20
2C2E7,2C509,2C47C
43E8C,43E03,43E98
2C5B3,2C321,2C3EA
43FB7,43F0B,44053
2C37B,2C5C2,2C4E4
43F61,43DAE,43F51
2C449,2C282,2C2DB
43E57,43ACE,43CAB
2C5A0,2C523,2C57C
43FF4,43E4D,43DD8
2C3EF,2C4C4,2C40E
43FAD,43EF1,43F64
2C39A,2C3C8,2C30F
43F40,43DE8,4400B
2C656,2C424,2C380
43EE3,4410F,4403A
2C567,2C57B,2C629
43FB8,43E51,43BB2
2C626,2C477,2C56B
43F75,44039,43FB2
2C527,2C776,2C5F6
44068,44122,43E9A
2C6F0,2C5FF,2C555
441D6,4421F,441B3
2C5D7,2C5F8,2C468
43F40,4400E,44033
2C4EA,2C63E,2C44B
43F07,441EC,4417E
2C404,2C72D,2C5B8
440AE,43E98,440FC
2C760,2C7E7,2C982
43DE9,4408B,43E9C
2C3C5,2C3CF,2C463
43C21,43DB2,43DE1
2C31B,2C490,2C209
43E7B,43DF6,43E2A
2C256,2C5D9,2C3A3
43DAE,43E02,43E35
2C33C,2C379,2C49B
43E8B,43CCE,43DA7
2C36A,2C481,2C456
43E2F,43CDF,43E0D
2C3FF,2C337,2C5B9
43DE1,43CF9,43DCC
2C2E3,2C3CB,2C49F
43E9B,43F4E,43EC9
2C3ED,2C4FD,2C62C
440FF,43EA3,43F1C
2C4B9,2C324,2C479
43F92,43DC9,43F12
2C55D,2C61B,2C515
44039,44068,43F2D
2C5AB,2C49F,2C52B
43EC1,440A3,43FA6
2C4F0,2C3EE,2C640
43F91,43FC4,43EDE
2C485,2C3AB,2C4AC
43EE3,43D61,43FA1
2C511,2C5F2,2C238
43DE6,43EE7,43E65
2C4CC,2C4F6,2C5E2
44000,440C9,4407E
2C412,2C3D8,2C4F8
43F8A,440C3,43FC0
2C6BA,2C6C5,2C71D
43FDB,44027,44074
2C845,2C5BF,2C725
44123,440F6,440AF
2C5B2,2C5C6,2C511
