{'CALIB_RAW_DAC_START_I': 524288, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
18AFD,18B53,18B15
3050A,30539,3040C
18CA2,18BD7,18B35
30655,30567,3067A
18AF7,18C1B,18BFC
305D6,304DD,304F4
18BB5,189C5,18B18
3059D,3073D,3077A
18BBB,18B42,18B77
30510,305AF,305E5
18C5D,18BD9,18BAD
3071A,3080C,3088A
18C3C,18CFE,18CA7
30508,308E1,307BF
18F52,18E85,18D7E
30868,307E1,308C4
18ACA,18D40,18D4C
307F8,307C9,3080D
18D78,18DD1,18CA8
308D3,30789,30902
18C9F,18C98,18D6F
30742,3066C,30885
18A98,18D28,18D2E
30879,308D0,30905
18D3C,18E76,18DC7
3070A,307F8,3061D
18F4D,18D39,18DCD
308BE,30775,3078E
18E22,18D00,18DA1
30711,30971,3075F
18FF6,18EF9,18F2F
308C3,3082E,309DA
18D20,18EF6,18D92
307A3,30A43,30743
18D9E,18CDE,18DFE
3084A,3089D,30A39
18DAB,18E9F,18F90
30925,308EE,30833
1902E,18E99,18EBF
308F2,30AA5,309CB
18DE7,18BA3,18E12
307A4,30AE5,30889
18F64,18F67,18F80
3096E,309C0,30960
18F87,18F3C,18F11
30A3A,3086F,308E5
18FC9,18F42,18E6C
30A6C,30A38,30C01
18EE4,19050,18EA6
30915,30954,3091F
18EBB,18FB3,190A7
30B21,30C21,30C41
18FD8,1913F,18FCB
30A54,30973,30BE0
190AC,19124,18F91
30C4E,30BEB,30B44
19015,1917E,190ED
30A5D,30A65,30D54
19284,190D2,190EF
30E39,30C0F,30B52
19124,1908F,191D2
30E00,30C05,309C4
19119,190A2,190CE
30AC5,30B0C,309B1
18E97,18DF7,18E91
3086F,3076E,30629
18DA0,18FA8,18F1B
308A1,309CD,30A70
18EEC,18E65,18E8A
306FF,3077B,308EE
18E7F,18EB5,18E8F
307FE,3080F,3089B
18DED,18E94,18F02
30950,3099B,30A0F
19001,18E88,18EF3
30914,30C24,30ABF
18F39,18E62,18F4B
307EC,30986,308D7
19066,18F43,18F87
30AE3,30AAD,30B6C
18F66,18FBB,18F85
30788,308E2,30804
18E98,1903A,18D11
30A6B,30A23,309A9
18F2E,18EF9,19018
30BA9,309EA,3098C
19065,1911B,18FDC
3097B,308BA,30916
19026,19287,19151
30BBB,30AB6,309E9
191F4,191B0,19129
30A77,30B88,30CED
1913E,18F23,18F82
30B35,30B70,30C66
191E7,19236,1914E
30C86,30CC3,30C7F
192B1,191CB,192A1
30E00,30ED2,30CD7
192AB,1935E,1932C
30C99,30F00,30D1A
19378,19445,1921C
30C0F,30C20,30DBB
19340,192A6,19393
30DC6,30FD2,30D05
1935A,194F3,192CA
30EA2,30F75,30C42
19240,19365,193EA
30CBF,30EF7,30E17
193A5,1940F,192B2
30C5B,30EF8,30D7E
193FB,19253,19379
30F74,30E2E,30E17
19425,19101,19228
30CD0,30E0F,30E5D
193C5,1930E,192A0
30C79,30E3D,30EE7
19285,1945D,190FC
30EC5,30F8F,3107B
191FE,19496,19442
3107F,30FC5,30EA6
194D3,193C6,194E9
30D3E,30DDB,31086
19434,192E0,1940A
30DA2,30DB8,30DA8
19503,195C8,1940D
30D7B,30DC5,30E75
195C4,192F7,192F6
3002C,2FF4A,2FE22
1925F,193C0,1960C
30F2A,30E82,30DBF
193A2,19381,194D9
30E15,3104F,30F70
1944E,19236,193B0
30E75,30E93,30FA5
1943D,193C0,19454
30E0D,30EB7,30F92
1943B,1957F,19540
30FD7,31068,30EF7
1947C,1951E,19666
30FF5,30F9F,30F5C
19413,19405,195F5
31135,30FFE,31150
19665,195B4,194CE
3105A,31093,3120F
1956C,1942F,19601
3114D,30FB1,31035
1962E,1963A,1956C
31047,311DD,31276
19470,19589,195EF
31134,30FCE,30F2A
19840,19693,1962E
31135,310B4,310A5
19686,194AA,195C9
30FEF,310A2,310D4
1978B,19766,19674
30F34,30F3D,3102A
19523,1964B,195D6
3123B,3119C,31276
1969C,196E7,196B9
31153,31074,30FCA
197EE,19760,198C0
31145,3117E,31166
19773,195F0,19686
31174,310D4,311DF
19850,19733,19733
311E8,31315,31264
19ACC,199D7,19890
312FA,3115E,311DB
198A4,196C6,197E7
312C5,31311,3130E
1990A,19783,19816
312D2,31254,312C8
19836,1976B,196EB
312C2,31499,31239
1987C,19978,197B0
313AC,312A7,31481
197BC,199EA,199A9
313B7,31238,3120B
1986E,1996A,1982F
3145D,313A4,311D6
197D4,19891,1999E
31521,315B4,31198
1992D,19974,19C70
31669,3148F,31487
199A2,19A3C,19CBA
31621,314E6,31302
19A3E,19A0B,19BC4
31342,313EF,314B5
19B4D,19B7D,198D2
31465,31407,3114B
19936,19A8A,19A7B
310E5,31339,3142A
196C3,19562,195A1
3100F,30EAC,30FA0
19400,19501,1946E
30FEB,31016,31178
1966C,19607,1961B
311E7,31000,31024
1956D,19512,194AA
310D3,311EA,311F1
1966D,1979B,195F3
31211,31124,31247
19568,19722,198A1
30F3A,31165,311BA
19787,19698,195D0
310F5,31173,310E7
197A8,19671,196C0
310F7,31296,31396
196A8,19663,19812
31128,31263,311BC
1988F,1965B,196BF
3120F,31222,3126F
196EE,197EE,196D7
31265,312E8,3130D
1975C,1983D,198D3
31252,310DA,31247
198C5,1982E,19722
31165,3120A,31330
19729,19A05,197C3
31396,31396,312AC
198D9,197A9,199A8
31373,313BE,313C4
1984E,19915,19985
312C7,3132A,31293
19902,1992E,1992F
313B5,3151F,3155F
199C4,19A53,19A4C
31477,3141D,31464
19A86,199FD,19ABD
313B6,3137A,3140F
19ACA,19A41,199F2
314A4,316AF,3143E
19A99,19974,19975
314F6,31485,31594
19BF3,19BC6,19BC3
31533,31552,3169B
199FB,198FE,19924
3135D,313BD,314AB
19A21,19AC6,19AE0
31550,314E8,315B6
19A08,19A3D,19A43
3166D,31401,31584
19969,19B94,199B8
314DF,317AB,31565
19B23,19B2A,19A8C
31471,316B8,3166D
19A9B,19A57,19AE1
31407,31501,313F6
19A80,19A89,19A4F
314F3,314BD,31609
199AC,19BF4,19B2C
31481,31753,316A2
19C46,19AAE,19D6B
31685,31573,31629
1999B,199D0,19B8F
2F798,2F78D,2F679
19B4C,19B12,19A36
314F2,316E1,31621
19A65,19C01,19D18
31651,3163B,315E7
19C35,19C3F,19BCE
3164E,31724,316C6
19DA1,19CD1,19C89
3171E,318B7,317D8
19D64,19A7D,19D93
316B6,31511,315F5
19DD0,19C97,19DD7
318B3,31879,317E8
19AF7,19DAB,19D05
3180B,31614,3194B
19DE3,19E03,19CF3
3189F,3180C,31758
19C6A,19D9F,19E3A
31642,317D4,317D7
19D95,19D2C,19B4A
3175A,31701,31931
19CDD,19ABD,19A71
31878,3171B,31754
19E6C,19CA1,19B9D
317E6,317DD,318A1
19E46,19D9B,19EED
3186D,3166F,31810
19BE0,19B8C,19C16
31768,318B1,316E8
19EA5,19D8C,19DF5
31705,31800,31692
19DA0,19D1A,19DD0
31815,3194E,31942
1A1FF,1A053,19D4F
31837,3188B,31A48
19F70,19E14,19FAE
3189F,319B0,31A0D
19FF7,1A04A,19DD9
31830,318B6,31B9E
19E19,1A0D6,19DEA
318A9,31A90,31B28
1A037,1A0D0,1A054
31996,31B36,31AF1
1A07D,19E95,1A13B
31B40,31BB5,31BB9
1A120,19F7B,1A045
319C9,31B14,31AA6
19F99,19F65,19DC0
31D67,31BA1,31B6E
19F31,19E86,19F3F
31A7B,3197C,31AAC
1A36C,1A04D,1A036
31A36,31B2E,31BF5
19F81,1A1B7,1A17B
319ED,31B70,31B02
1A079,1A084,1A065
31B44,31B1A,31BFA
1A2B5,1A1C6,1A1A8
31CCF,31E28,31CB8
1A19B,1A227,1A036
31C01,31B99,31AFF
1A022,1A018,1A0B0
31B57,31C44,31C0D
1A029,1A023,1A22F
31ADE,31C02,31B32
19F69,19EC5,19E23
31837,3179B,31885
19E36,19E02,19F28
318E3,31804,318D7
19E64,19FFF,1A011
3192E,3170B,31AFC
19EC4,19DDC,19F90
3190C,31AE6,31A91
19EB9,19F58,19FFF
31953,319E3,31A16
19E30,1A02E,1A07B
3188A,318BC,319F2
19EB8,19F0D,19F71
3194A,31A79,31A76
1A09D,19F94,1A190
31B06,31B66,31BD8
1A183,1A121,1A1BF
319C7,3198E,31B1C
1A09E,1A0FF,1A1E9
31C49,31997,31A25
1A0CC,1A04E,19FF6
318EE,3190D,31A69
1A071,1A151,1A003
31BE6,31C34,31E48
19F97,1A04E,1A026
31ACC,31A74,31D38
1A10C,1A161,19FCC
31A8B,31C10,31BC3
1A1A9,19F8B,19EE6
31A53,31B88,31ABE
19FEC,1A071,19FBE
31A85,31B06,31C1B
1A39E,1A099,1A1B9
31C73,31C91,31B06
1A235,1A292,1A03F
31C4A,31F3C,31CBE
1A0F4,1A1DA,1A386
31CCB,31C91,31BFE
1A0A1,1A1F5,1A1EB
31DAE,31DC7,31DCF
1A0DA,1A308,1A43F
31C94,31DF8,31BFE
1A215,1A280,1A38D
31DAB,31ADB,31D51
1A261,1A15D,1A147
31C7D,31CE5,31BC4
1A3DC,1A28D,1A279
31F5A,31DC1,31ED5
1A261,1A1CA,1A256
31E17,31F21,31D65
1A369,1A4A2,1A48B
31E5D,31E60,31E47
1A31B,1A55D,1A2BC
31D89,31E29,31EB8
1A4A6,1A273,1A2C8
31C64,31DB2,31EE4
1A236,1A139,1A0A0
31DC4,31EAE,31EA2
1A498,1A4C8,1A464
31DF9,31F2F,31FC2
1A60B,1A43F,1A4D8
31D08,31FD0,31F50
1A56B,1A55F,1A3E2
30DD2,30D75,31001
1A3D2,1A45C,1A350
31CEC,31E92,31CF9
1A36F,1A066,1A3BC
31F4F,31D5C,320CC
1A3CA,1A4F3,1A47D
31DD3,31DEB,31F13
1A401,1A3FA,1A3F6
31E60,31E2B,31F5F
1A3D4,1A39E,1A385
31E8C,31F24,31FC4
1A7E1,1A619,1A53F
3208D,3201D,31FCA
1A5E5,1A47E,1A4BE
31E4B,32108,31ED0
1A625,1A450,1A606
3214F,32190,3217E
1A659,1A799,1A6ED
32239,31F32,32080
1A7FB,1A54C,1A6BF
3210D,32207,320E0
1A612,1A658,1A771
32235,3216C,31FDA
1A539,1A5B9,1A70A
3218D,321E2,32162
1A66B,1A614,1A749
3207A,32252,320BC
1A693,1A59F,1A663
321BB,321E7,3221B
1A69F,1A7C0,1A614
32276,32302,32209
1A9A4,1A85A,1A807
320D4,322A1,32354
1A826,1A6DA,1A618
321BA,3230E,32218
1A890,1A7A8,1A801
322E2,3225F,322AD
1A9C7,1A863,1A6B1
321C8,32108,320A9
1A842,1A7AC,1A72D
32219,32230,322FB
1A80E,1A775,1A817
322F3,322FC,32268
1A8EF,1A69A,1A94F
323A8,3245C,32403
1AA88,1A878,1A7D0
3222A,32244,32252
1A929,1A7BF,1A7C8
324A0,32340,3241A
1A97F,1A939,1A8EB
3223E,321E9,32529
1A829,1A85B,1A800
3214B,321DC,3234B
1A8E4,1A847,1A7BB
32366,320FB,32229
1A6EE,1A9E0,1AA07
3265C,324BF,3238F
1A949,1A998,1AA83
323F2,323FA,323EF
1A951,1A8CC,1AA4F
323A2,32477,322F1
1A8CD,1A976,1A8C3
3245E,323E3,323FF
1AA98,1A97B,1A8D7
32226,323E6,321E2
1A5B6,1A571,1A5E7
3202F,32109,322DF
1A6D5,1A774,1A5CC
32096,31FFC,3203E
1A814,1A658,1A58D
31F29,32194,31F1A
1A5E1,1A747,1A76A
321C0,321CA,32068
1A634,1A6B6,1A6DE
320E2,3216A,32065
1A7AC,1A8A6,1A5DA
32116,32216,321E7
1A786,1A85E,1A7D1
32278,32176,321E4
1A78B,1A7CB,1A7C8
32391,32449,32471
1A818,1A7F8,1A7C8
32129,3235D,32249
1A7D3,1A8AD,1A6E0
32347,3231D,323C4
1A736,1A916,1A83A
3218B,323BD,32299
1A62F,1A6E1,1A602
320C2,32385,32382
1A8A0,1A78E,1A756
32328,32224,322EB
1A9E3,1A8E4,1A933
3223B,31F58,3231D
1A995,1A86A,1A6E1
321FF,321F5,32178
1A5F4,1A527,1A73D
322AB,3227A,32177
1AA78,1A92D,1A9BB
32265,322D6,323E5
1A9A0,1AA5C,1AA33
32531,32473,324D0
1A966,1A88B,1A816
32186,324C0,32424
1AB5B,1A90F,1A9BB
3246F,322D9,325A4
1AB79,1A99D,1AA81
32500,323C1,32580
1AAC6,1A94B,1A9BA
324C5,3262C,32634
1AAF2,1A9BA,1AAF7
32499,32454,322D5
1AABD,1AB83,1AB69
32613,326EB,32569
1A9CE,1AA39,1AB7E
32556,3251D,3245D
1AA39,1A8CA,1AACE
32602,323C8,3256E
1AB65,1AAEE,1AA03
32805,325EE,3272E
1AB37,1AABE,1ACC8
3259B,32589,323D7
1A86B,1A812,1A99F
324A9,32423,324C7
1AA32,1ABAC,1AB82
3254C,325CE,32608
1AC6E,1AC57,1AA1B
325DD,3279D,32686
1AA82,1AAFC,1A975
312B7,30F8C,31071
19F2F,19F7D,1A011
3199A,319D2,31902
19EBB,19EBB,19DF0
3178E,317E5,31828
19EDA,19EB4,1A05F
3188C,31AE6,31B33
19DFC,19FCC,19F35
31944,31B3E,31B76
1A15B,19FC6,1A104
31A4E,31A4C,31A89
1A08B,19F05,19FE5
31B12,31BFF,31B1D
1A10D,1A0A0,19FFC
31953,31983,31A4F
1A00D,19ECE,19F54
31A91,31CC2,31BC6
19FB7,1A125,1A1F0
31BA2,318D0,31CCB
1A1B2,1A00A,1A2CE
31BD4,31B9D,31AE3
1A298,1A270,1A116
31ABF,31CC7,31A8B
1A0F3,1A1A9,1A0CD
31DCB,31CF1,31E17
1A1E1,1A057,1A1C7
31B66,31C34,31B84
1A263,1A290,1A1CF
31B8D,31D97,31B3E
1A208,1A185,1A25F
31A20,31B62,31CEF
1A044,1A057,1A10B
31B23,31D15,31C4B
1A2B3,1A3D7,1A13A
31D22,31F9A,31E74
1A00D,1A12F,1A2D4
31C40,31CD0,31CEE
1A2A7,1A50B,1A2AC
31D45,31E77,31C38
1A511,1A1B7,1A2F7
31CA5,31DFF,31E0A
1A384,1A3F3,1A2EF
31E2D,31B82,31DAA
1A30A,1A31C,1A281
31D9C,31D48,31CF0
1A2B3,1A1C4,1A2D6
31BEA,31DEC,31EE9
1A2A5,1A231,1A292
31E59,31D91,31FA5
1A1EE,1A475,1A38C
31F29,31E82,31E0A
1A1DD,1A40E,1A31D
32062,31F0C,31EC1
1A2EE,1A5C0,1A434
31ED9,31F68,31DEA
1A36F,1A28E,1A2DA
31ED6,31FCD,31F22
1A5C9,1A35F,1A46D
31FAD,31E8C,31F07
1A51C,1A319,1A48C
31EAF,31F3C,31D45
