{'CALIB_RAW_DAC_START_I': 557056, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
57C0,591B,56BD
1D2A7,1D2BF,1D2F9
5934,57FE,5825
1D580,1D47A,1D475
584C,5705,5833
1D310,1D493,1D154
56B1,583B,57BC
1D40A,1D23E,1D135
587D,5915,59D9
1D28E,1D1C7,1D17A
5930,5725,5670
1D26F,1D270,1D10A
5780,584F,57B9
1D22B,1D23C,1D0EE
58A8,5933,59A3
1D361,1D328,1D326
5960,5A1A,598E
1D241,1D1AD,1D21E
5898,58C7,5958
1D594,1D43C,1D4FA
5910,59CC,585E
1D2F5,1D506,1D522
58AB,5BA5,5A0A
1D5F7,1D515,1D587
5983,582F,5BBE
1D500,1D2D6,1D44E
5BD9,598F,5A96
1D466,1D634,1D65E
590B,5A92,5AD3
1D400,1D608,1D337
5A7D,584E,5A19
1D63B,1D5A2,1D4D8
5C9E,5C24,5B83
1D61C,1D7E6,1D6C2
5B8C,5C45,5B89
1D634,1D6C4,1D6EF
5BB1,5B18,5CFE
1D786,1D71E,1D837
5C0E,5C10,5E88
1D6D7,1D70F,1D76F
5A30,5C3D,5C77
1D6E5,1D7C6,1D66E
5C44,5C85,5AD7
1D608,1D800,1D6B0
5CE4,5CD7,5CCF
1D75D,1D711,1D77D
5AC6,5D11,5C57
1D7B2,1D7C9,1D8C8
5B40,5BE6,5E82
1D7C6,1D768,1D6EE
5C35,5C67,5C34
1D812,1D87A,1D67E
5A6E,5C89,5CA5
1D6A8,1D71B,1D7D4
5E33,5CFF,5DCB
1D6AD,1D889,1D70F
5DEB,5C23,5C73
1D799,1D749,1D60B
5DEA,5C9C,5EB7
1D88D,1D8A5,1D7D3
5DF1,5E73,5CFA
1D8F2,1D85D,1D71E
5CE7,5D09,5D4F
1D50C,1D6CF,1D5FC
59C1,59B8,5951
1D5E6,1D4C4,1D413
5AD7,5B1A,59AA
1D4D5,1D587,1D547
5A69,599E,5BAD
1D5C8,1D46F,1D373
5B14,5861,589B
1D466,1D52E,1D628
5BF4,57C7,5B87
1D4A6,1D305,1D51C
5A6E,59C3,591F
1D3CA,1D585,1D501
5C18,5BC5,5C51
1D622,1D45B,1D5ED
5C10,5CAE,594E
1D5DA,1D74B,1D455
5AA3,5B01,5C24
1D5A6,1D54E,1D667
5B89,5D53,59EC
1D6DF,1D71F,1D629
5B56,5BEB,5AC4
1D5C3,1D5A2,1D695
5BE7,5DDF,5C37
1D66C,1D478,1D662
5C65,5C48,5C57
1D5BF,1D85B,1D557
5D16,5B69,5CD6
1D730,1D816,1D7D6
