{'CALIB_RAW_DAC_START_I': 589824, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-F5BA,-F4B8,-F6BA
8321,824A,82D1
-F460,-F695,-F55B
832D,83B2,836F
-F67B,-F5CC,-F4E7
859D,845A,84FE
-F462,-F5E1,-F5C4
8538,860C,8413
-F335,-F52D,-F5D7
83AE,85C0,859D
-F6E4,-F594,-F399
8648,85F5,8299
-F3F1,-F405,-F555
83B6,8433,83E4
-F383,-F62F,-F573
873A,85E8,862A
-F345,-F51C,-F5F8
84CB,84DD,8530
-F599,-F2E5,-F677
85B1,86E3,84FB
-F5BB,-F57E,-F319
849F,8472,873E
-F2AB,-F522,-F357
85BB,83D6,8479
-F4C1,-F441,-F494
85F5,860E,869D
-F46C,-F69B,-F65E
8665,86F8,8580
-F312,-F362,-F552
8589,8518,8668
-F4AB,-F3CC,-F308
8555,84F2,8488
-F48B,-F210,-F39E
8654,861A,86FC
-F2FF,-F1D9,-F397
882A,8642,87D7
-F157,-F11D,-F27A
866F,883E,88D3
-F19C,-F35C,-F2CD
86CA,852D,86FF
-F2DE,-F648,-F2F9
8882,8741,87B9
-F1D4,-F38E,-F469
8406,874D,85AB
-F3A8,-F2F7,-F402
884E,8759,8896
-F198,-F4EF,-F194
87B1,88A9,8929
-F3B7,-F2CC,-F38D
88BC,87C1,86B0
-F15D,-F277,-F33C
8880,880E,8992
-F19E,-F00C,-F2A0
8728,87A4,85D7
-F144,-F368,-F2C5
890B,868E,86A9
-F209,-F2F3,-F451
8784,872C,879D
-F3A0,-F23A,-F146
885A,8987,8A1C
-F11F,-F215,-F104
87FE,87C6,8954
-F0B0,-F1B9,-F078
877A,8852,89B5
-F5FD,-F49B,-F5A5
839F,8626,84F6
-F443,-F42F,-F482
85D3,86B0,8639
-F264,-F20D,-F27F
8888,874A,8778
-F2AB,-F38B,-F50B
876A,8854,86B9
-F26B,-F3B1,-F36D
8745,8629,87B0
-F29F,-F429,-F209
86DA,88E5,8A0B
-F3EC,-F307,-F349
889A,8588,8785
-F13F,-F37F,-F3EF
8807,8968,87E1
-F1D7,-F2BC,-F2A6
8897,884B,8AE1
-F26A,-F271,-F208
8903,87E2,88C0
