{'CALIB_RAW_DAC_START_I': 622592, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-2329F,-23503,-2349E
-BA1C,-BB0A,-B955
-233C3,-2361C,-23323
-BA3D,-B9B5,-BB10
-2355F,-23638,-236EF
-B97B,-BB2C,-BA44
-23419,-2360A,-23605
-BA85,-B9D0,-B918
-2348C,-23486,-23433
-B9F4,-BB98,-BA1C
-23308,-23531,-23422
-BA2A,-BBBD,-BAF7
-236D4,-23608,-2367F
-BB69,-BABC,-BC21
-23665,-23608,-2369E
-B884,-B95F,-B930
-23435,-234DA,-23462
-B923,-BA10,-B8FF
-23356,-2331F,-2356A
-B804,-BAFB,-B99D
-23440,-232F5,-233F4
-BA86,-B7B7,-B778
-233A7,-23218,-23317
-B877,-B699,-B686
-232D4,-2336D,-23323
-B8B6,-B851,-B967
-232EC,-2332B,-2336B
-B858,-B7FB,-B747
-232CA,-233CE,-231C9
-B8CC,-B7ED,-B86A
-23181,-232DE,-23332
-B8D8,-B7FF,-B7AB
-2327F,-2329D,-230F0
-B67A,-B604,-B780
-23185,-23229,-233CE
-B92D,-B776,-B66E
-232CB,-2316A,-230B2
-B75D,-B5EF,-B66B
-23396,-23278,-2342D
-B70C,-B6E8,-B74A
-2317E,-23315,-2334E
-B746,-B648,-B873
-22F89,-22FF0,-230B8
-B65C,-B519,-B55B
-2309C,-23062,-230F6
-B80E,-B83F,-B87F
-2314A,-23115,-23333
-B59C,-B60E,-B645
-231E9,-231D0,-231F6
-B93F,-B5C0,-B699
-230DC,-230F1,-22FC3
-B465,-B648,-B744
-232C3,-22F8D,-22EFD
-B63F,-B580,-B4A6
-23221,-2309E,-231AC
-B5A8,-B658,-B437
-230BA,-23094,-23094
-B56E,-B566,-B624
-23135,-22F5F,-230A7
-B53B,-B726,-B572
-2306A,-230DF,-23028
-B749,-B715,-B5F6
-230DE,-2301E,-230B7
-B7D4,-B60D,-B507
-23379,-2331B,-23301
-B92B,-B943,-B812
-23121,-231EC,-23217
-B8A4,-B97F,-B71A
-233D4,-23425,-233FD
-B8CB,-B68B,-B90E
-23162,-23380,-23286
-B80E,-B84C,-B7BF
-2317D,-23224,-231F5
-B629,-B815,-B8C3
-23272,-2305A,-23222
-B882,-B6BA,-B7CE
-2317C,-23286,-231F8
-B72A,-B729,-B749
-23267,-230BD,-231A6
-B5C9,-B63B,-B5D7
-231CF,-23119,-23113
-B860,-B81F,-B618
-230C0,-2306A,-23172
-B6E3,-B6D1,-B6E8
-231E9,-2319A,-23113
-B582,-B6F7,-B67E
-231C8,-231E4,-232CF
-B528,-B646,-B743
-231E2,-2318E,-23035
-B676,-B8B1,-B77E
-230E6,-23045,-231AB
-B706,-B7DB,-B7F1
-2319D,-2318D,-23107
-B846,-B73C,-B87E
-23128,-231F6,-23242
-B5EB,-B6B3,-B6B4
-2304E,-231FD,-23009
-B722,-B552,-B6DC
-23017,-231E7,-232ED
-B52C,-B640,-B6E2
-2301C,-22F13,-23035
-B78B,-B597,-B3EC
-22F6C,-2306E,-22FA4
-B413,-B628,-B5FE
-2301F,-22FC6,-22F08
-B5B2,-B665,-B4D1
-230F5,-22F1C,-22E1B
-B3B2,-B4A2,-B2E3
-22D64,-22F1F,-22ED8
-B4DE,-B435,-B426
-22E19,-22E84,-22EF5
-B4C8,-B4A9,-B404
-22ED4,-23047,-22EA8
-B426,-B39C,-B1E1
-22F27,-22D5D,-22D3A
-B505,-B2FF,-B352
-22E3A,-22E4D,-22F53
-B3D0,-B4AB,-B496
-22E9E,-22F0A,-22DA4
-B2A9,-B272,-B2A5
-22F79,-22DF2,-23019
-B498,-B4DD,-B1F5
-22E02,-22F35,-22DF8
-B2BD,-B39D,-B2CC
-22D60,-22CAE,-22CC5
-B439,-B4D8,-B2C1
-23006,-22D83,-22D0B
-C270,-C440,-C320
-22B67,-22C7F,-22D7C
-B243,-B2A5,-B2CC
-22E9F,-22CBF,-22C78
-B2CB,-B23D,-B25B
-22E82,-22D6A,-22CA7
-B27E,-B06C,-B306
-22D73,-22B74,-22BE8
-B325,-B3E5,-B2B4
-22D7A,-22D7B,-22E45
-B3C4,-B47E,-B3ED
-22D49,-22B33,-22B17
-B17B,-B1B8,-B15C
-22BDC,-22D37,-22CCA
-B363,-B31A,-B32C
-22EE0,-22F7B,-22D54
