{'CALIB_RAW_DAC_START_I': 655360, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-35480,-352EB,-355CA
-1DBA8,-1D8D0,-1D980
-3557E,-354A1,-35686
-1D9BF,-1DA69,-1D9CD
-35654,-354F2,-3540D
-1DA1D,-1DAB8,-1DA23
-35424,-35520,-35248
-1DA05,-1D93C,-1DB20
-35354,-35547,-35407
-1D9BC,-1D8FC,-1DB24
-35314,-35414,-354CD
-1DA60,-1D8FD,-1D7F0
-352EE,-35509,-354E7
-1D905,-1DA63,-1D737
-3523E,-35473,-35329
-1D765,-1D965,-1D81B
-353FE,-352E5,-35247
-1DA79,-1D956,-1DA3E
-352AF,-352FD,-35340
-1D973,-1D7BA,-1DA19
-351FF,-352EF,-3543B
-1D971,-1D926,-1D87A
-35164,-35349,-3536B
-1D6BB,-1D794,-1D6C8
-35254,-35262,-350F7
-1D7BC,-1D73E,-1D742
-3510D,-3529D,-352B4
-1D7C7,-1D5C8,-1D7D7
-3519E,-3525E,-351DD
-1D923,-1D805,-1D7CC
-352CC,-3501A,-351B0
-1D60B,-1D79D,-1D6A4
-3513D,-35082,-3500F
-1D5A6,-1D5F6,-1D591
-34FD4,-34F5E,-350D3
-1D4BC,-1D6A8,-1D627
-3511C,-34F39,-34EE6
-1D56B,-1D4EB,-1D6FE
-3508D,-35168,-350D6
-1D68B,-1D554,-1D38A
-34F56,-34FA3,-350AD
-1D503,-1D58E,-1D5DE
-35009,-35010,-35126
-1D685,-1D50F,-1D4B0
-34F48,-34F32,-3513D
-1D546,-1D54C,-1D5BE
-34EFA,-34EAB,-3510A
-1D301,-1D349,-1D309
-35185,-35050,-35012
-1D571,-1D55C,-1D580
-34E91,-34FD5,-34F25
-1D5B7,-1D513,-1D453
-34F48,-34F3B,-34F7A
-1D5F6,-1D6CC,-1D564
-34F58,-3505A,-34FEA
-1D53C,-1D5D8,-1D58A
-34EDA,-34F46,-34EBF
-1D48E,-1D4A2,-1D4FD
-34FB6,-34ED1,-35091
-1D448,-1D582,-1D4C7
-34D21,-34F2B,-34F34
-1D49A,-1D465,-1D385
-34FF3,-34F2F,-34D45
-1D629,-1D6EA,-1D3AB
-35222,-350F0,-35129
-1D71F,-1D7A3,-1D843
-350D6,-35260,-3530E
-1D6DB,-1D8AB,-1D85B
-35145,-3545A,-35444
-1D837,-1D705,-1D7E6
-350C7,-3522F,-35177
-1D72E,-1D6CB,-1D510
-350AF,-34FFB,-351D0
-1D5CA,-1D564,-1D6CD
-34FBF,-351D3,-351AC
-1D834,-1D6EC,-1D5C3
-35116,-351C3,-35144
-1D47F,-1D4C8,-1D68A
-35094,-352F1,-35209
-1D6CF,-1D587,-1D5CC
-3508C,-3509D,-3500F
-1D75A,-1D6E0,-1D5E7
-35062,-35169,-3500B
-1D410,-1D5E8,-1D586
-3505E,-3502D,-350B6
-1D6DE,-1D66A,-1D4BB
-34E8F,-34FFA,-3504E
-1D5AB,-1D57B,-1D4EE
-34FFA,-350E3,-35079
-1D5DC,-1D73B,-1D49D
-34EB2,-35019,-350E3
-1D568,-1D682,-1D7F2
-3510F,-3510B,-350A7
-1D6A6,-1D638,-1D4C6
-350CA,-34FBB,-3523D
-1D586,-1D774,-1D6C6
-34FBD,-34EBE,-34F18
-1D35A,-1D4ED,-1D4F4
-34FE2,-35011,-34F80
-1D580,-1D52A,-1D2D5
-34F0A,-35012,-3502D
-1D4DE,-1D437,-1D45E
-34DC4,-34DEA,-34F91
-1D4A2,-1D48B,-1D2B3
-34FC4,-34F0C,-34ED8
-1D554,-1D3A8,-1D45B
-34CC6,-34DD0,-34EEE
-1D3FC,-1D4AB,-1D355
-34E64,-34D48,-34D23
-1D2B2,-1D2F0,-1D3EA
-34CC8,-34DEC,-34D49
-1D359,-1D252,-1D497
-34D85,-34F34,-34DF2
-1D288,-1D2D9,-1D215
-34F75,-34EE4,-34E4E
-1D0D5,-1D35E,-1D381
-34E1F,-34EB4,-34D78
-1D27C,-1D301,-1D357
-34B3F,-34D31,-34CAA
-1D2C4,-1D274,-1D198
-34C5F,-34C8B,-34E4D
-1D1B9,-1D3A2,-1D1C9
-34F9A,-34C61,-34F54
-1D285,-1D34C,-1D369
-34C31,-34D21,-34E02
-1D3D3,-1D2B1,-1D2F6
-34D47,-34DCF,-34C3F
-1E25F,-1E360,-1E113
-34BB4,-34B80,-34BED
-1D320,-1D391,-1D329
-34C6D,-34D57,-34D57
-1D32A,-1D2D3,-1D4A5
-34E82,-34D64,-34D44
-1D279,-1D048,-1D371
-34C16,-34C4E,-34C42
-1CFD8,-1D1D2,-1D0E6
-34CB8,-34E3D,-34CDF
-1D439,-1D278,-1D233
-34CD4,-34AA4,-34BE6
-1D07B,-1D088,-1D22F
-34AA5,-34BE8,-34C66
-1D07F,-1D1AA,-1D164
-34AFF,-34BB8,-34A86
-1D1DE,-1D1C4,-1D14B
-34B0A,-34CB7,-34B65
-1D300,-1D1E5,-1D008
-34B15,-34A41,-34A34
-1D1B1,-1CF1E,-1D034
-34BEA,-34B7F,-34C1C
-1CF89,-1CE94,-1D008
-34A3E,-34ADE,-34B98
-1D093,-1CEFB,-1D080
-34AB6,-34B50,-34930
-1D214,-1CED8,-1CEDB
-34BAA,-34AEE,-34BAE
-1D070,-1D030,-1CFBE
-34B55,-34C1B,-34AEF
-1CFB2,-1CEE2,-1CF6C
-34AD6,-3492A,-34A28
-1CF40,-1CFC7,-1D09B
-349B2,-3498C,-348E3
-1CFA9,-1CFC2,-1CD6C
-347A2,-34A11,-3497D
-1CEF4,-1D05E,-1D0E2
-34A44,-347E7,-34897
-1CF12,-1CD66,-1D125
-348FF,-3495D,-3479D
-1D1DC,-1D05F,-1CE53
-34931,-349B6,-3486F
-1CFE5,-1CD4F,-1CBCA
-34815,-34915,-34863
-1CBF9,-1CFFB,-1CCA7
-349F9,-347C4,-346CB
-1CDB3,-1CDDB,-1CEAC
-346C6,-3475B,-346F0
-1CB63,-1CB1A,-1CD7B
-34685,-346A8,-34524
-1CBB8,-1CE0E,-1CDD6
-348E1,-3499F,-3480E
-1CCE4,-1CCAB,-1CDEB
-348C8,-347D8,-3486C
-1CD9F,-1CD41,-1CDE0
-3476F,-34872,-3483B
-1CC70,-1CAEF,-1CB8C
-34709,-34531,-34741
-1CB85,-1CBF5,-1CBD1
-346D1,-345A4,-3455C
-1CD16,-1CD09,-1CCAA
-3464F,-3469F,-34660
-1CA5B,-1CB33,-1CB63
-34637,-346B3,-347F2
-1CC28,-1CD12,-1CD7C
-34AFE,-349D8,-34B35
-1D2A1,-1D225,-1D09F
-34A5D,-34A9C,-34A19
-1CF01,-1CF03,-1CFAC
-349DA,-34A7D,-34B82
-1D01B,-1CF3A,-1CF7C
-34BB3,-34A5E,-34A21
-1CE31,-1CEB6,-1CDBB
-34A79,-34A99,-34AE4
-1CFBC,-1CF2E,-1D000
-34951,-349FA,-34A2E
-1CE7F,-1CE8F,-1CE83
-34A56,-34ACA,-349BA
-1CFB4,-1CE20,-1D0B4
-3476B,-34A8C,-349FE
-1CF09,-1CF74,-1CE86
-349E5,-34892,-34A3E
-1CE62,-1CF1A,-1CEE5
-348AF,-348EC,-347F4
-1CE28,-1CD3A,-1CCF8
-348AA,-3475A,-3489A
-1CFBE,-1CD3A,-1CE69
-34A08,-34A1F,-34903
-1CE1F,-1CEA3,-1CD62
-347CB,-34774,-347AC
-1CDD9,-1CDFB,-1CDB8
-34852,-347E5,-348FF
-1CCC3,-1CDB8,-1CFBD
-3469B,-34610,-34793
-1CE4F,-1CEAE,-1CD40
-3493B,-3472B,-346D6
-1CC17,-1CDA7,-1CC9A
-34892,-346DD,-34716
-1CC2B,-1CD9A,-1CD26
-3465F,-34753,-3474E
-1CD37,-1CDB1,-1CB33
-3469F,-346BB,-34633
-1CB68,-1CB73,-1CCE0
-346C0,-346A2,-34687
-1CA6F,-1CB6C,-1CB65
-34777,-347BA,-346D8
-1CD18,-1CB8F,-1CDF0
-346F3,-345EE,-3488F
-1CBFB,-1CC00,-1CB81
-34665,-34611,-34575
-1CA9F,-1CBB1,-1CB98
-346B8,-345EC,-346ED
-1CA37,-1CA9C,-1C959
-34716,-34467,-34758
-1CC84,-1CB54,-1CB58
-343F4,-345B5,-345D2
-1CB5C,-1CC33,-1CA37
-343DB,-3442D,-34465
-1CBDD,-1CB55,-1CBF1
-346CB,-34562,-34503
-1CA12,-1CAFA,-1CABD
-346B9,-3457A,-3466D
-1CAC6,-1CACA,-1CCE8
-34631,-34690,-345B0
-1CA7E,-1C97A,-1CA8E
-344DF,-345B5,-34348
-1C8B9,-1CA39,-1C9DD
-343B7,-346FB,-34671
-1EA7E,-1E9B7,-1E95D
-344CE,-3455C,-345C4
-1CA57,-1CA01,-1C840
-3453A,-34714,-3446C
-1C9FF,-1C9AE,-1C9AD
-345FC,-344CC,-345FC
-1C9BA,-1C924,-1C9E5
-34464,-3434E,-343F3
-1CAF1,-1C840,-1C7A5
-34453,-34304,-3434A
-1C9A2,-1C96A,-1C8C7
-3442C,-3437B,-342B3
-1C901,-1C907,-1C9C5
-3437B,-34395,-34335
-1CA37,-1CA2D,-1C842
-34316,-34323,-343E9
-1C6D5,-1C842,-1C727
-341FB,-34269,-3411F
-1C947,-1C8C4,-1C961
-341D5,-34116,-3412C
-1C7BB,-1C8A0,-1C883
-342E2,-342A9,-343A9
-1C883,-1C7FC,-1C84C
-3431A,-3426B,-341ED
-1C80E,-1C7F8,-1C998
-343BF,-34401,-3453D
-1C775,-1C8C3,-1C8C6
-343FE,-3425C,-3438F
-1C836,-1C86B,-1C84B
-340A7,-340F9,-34321
-1C89A,-1C69C,-1C97D
-34227,-34279,-3421D
-1C96F,-1C712,-1C666
-33E53,-340B5,-33F73
-1C59F,-1C4A6,-1C62B
-3409F,-33FAE,-340E0
-1C578,-1C617,-1C5F5
-34162,-34000,-340D3
-1C3D0,-1C57E,-1C5AE
-33FF7,-34046,-3400A
-1C509,-1C3E9,-1C68C
-33EF4,-3407C,-34035
