{'CALIB_RAW_DAC_START_I': 688128, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-49F8D,-49FA3,-49F83
-32694,-32540,-32468
-49DEB,-49F8B,-49FCA
-32518,-32464,-3258A
-49F47,-49EEE,-4A011
-32637,-32598,-32567
-4A001,-49DDF,-49F3D
-325AE,-32597,-325D0
-49FE9,-49F5A,-49E41
-3260F,-32574,-3237C
-49F5D,-49DBE,-49EDB
-32467,-3243B,-32318
-49F8C,-49F66,-49E9A
-32357,-3252D,-32457
-4A005,-4A00D,-49ECD
-32392,-322C9,-32295
-49E44,-49EAE,-49DD7
-322AA,-32415,-32438
-49E95,-49E69,-49EB8
-32571,-324F5,-32393
-49E15,-49F8A,-49C89
-32158,-32281,-321CD
-49E48,-49E7F,-49DEF
-32324,-32463,-324F0
-49E4C,-49D37,-49BF2
-323E3,-3229E,-324C3
-49E56,-49EF2,-49F8C
-3253F,-322EC,-32427
-49D13,-49DD6,-49E6A
-323AE,-32286,-32494
-49EE8,-49CC9,-49C9A
-32340,-32463,-323B4
-49CDD,-49E8B,-49E1D
-32292,-32390,-32398
-49EB5,-49CFD,-49DB9
-321D2,-32347,-32410
-49DD0,-49C6B,-49D98
-32278,-321DB,-321C6
-49C86,-49DC1,-49C07
-32315,-3237E,-323C0
-49DCB,-49D1D,-49F92
-322F9,-3230A,-32333
-49DA7,-49E14,-49C72
-323CF,-32265,-322F6
-49D4F,-49C57,-49CB4
-32324,-3233D,-32102
-49AF0,-49D4E,-49A0E
-32127,-31FEF,-32243
-49D23,-49DB0,-49AB7
-3209C,-32086,-32122
-49AF8,-49B64,-49D08
-32045,-32164,-320FF
-49BDF,-49C84,-49D4E
-3222B,-32167,-321BB
-49AE7,-49C0F,-49B40
-321F2,-32048,-31E9B
-49CDD,-49B23,-49A52
-3225D,-3210D,-32245
-499E2,-49BB5,-49BBB
-321FF,-3224B,-31F4C
-49A72,-49A58,-49AD4
-31E4E,-32091,-3213E
-49BC7,-499EB,-49830
-3206D,-321D4,-32183
-49DC9,-49C45,-49D7D
-32380,-321D2,-32407
-49DBA,-49F85,-49EEF
-32287,-322D6,-3246F
-49E48,-49DA0,-49F05
-3226E,-32351,-323A0
