{'CALIB_RAW_DAC_START_I': 720896, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-5D7F1,-5D661,-5D754
-45ED0,-45E3C,-45C79
-5D647,-5D8D7,-5D6CD
-45BA7,-45D2C,-45C54
-5D52A,-5D896,-5D5BE
-45D5C,-45AB5,-45C87
-5D5AF,-5D68F,-5D631
-45BDB,-45B73,-459FE
-5D54E,-5D458,-5D528
-45ACF,-45C34,-45C4D
-5D774,-5D6FF,-5D666
-45B5B,-45A63,-45A66
-5D723,-5D63C,-5D67A
-45C55,-45C4E,-459C4
-5D60F,-5D682,-5D874
-45AF4,-45ABC,-45916
-5D550,-5D57E,-5D59D
-45CD4,-45C79,-45B01
-5D561,-5D6BF,-5D728
-45A70,-45A6E,-45C6A
-5D4E1,-5D547,-5D449
-45ADE,-45BA3,-45C49
-5D5D5,-5D5BD,-5D698
-45D85,-459C1,-45A1A
-5D661,-5D552,-5D65E
-45DDB,-45CD5,-45C8F
-5D5EB,-5D5A4,-5D4F7
-45C83,-45A4F,-45B3D
-5D7A7,-5D4CB,-5D588
-45DA5,-45ACD,-459E0
-5D6C7,-5D530,-5D5B8
-45AC6,-45B7E,-45B86
-5D6E8,-5D40B,-5D3F7
-459DD,-45B14,-45AAE
-5D27F,-5D38A,-5D2F8
-458B4,-459CB,-45899
-5D4EE,-5D3A7,-5D43A
-4588F,-45A7F,-45961
-5D39A,-5D525,-5D50C
-45A6A,-459AE,-4592C
-5D47D,-5D37D,-5D5E2
-4594C,-45AE8,-4597D
-5D582,-5D5BD,-5D3D1
-45904,-458B5,-45918
-5D3AD,-5D463,-5D229
-4588E,-45A85,-45976
-5D425,-5D204,-5D358
-458A9,-458A4,-4579F
-5D14B,-5D3E2,-5D2D3
-459BC,-4596B,-457A9
-5D1F7,-5D3C0,-5D40F
-4586D,-45839,-456B8
-5D225,-5D1AB,-5D303
-457A1,-4576E,-45820
-5D25C,-5D2BC,-5D1AD
-45530,-457AC,-45654
-5D261,-5D335,-5D231
-45887,-4584E,-456EA
-5D23A,-5D167,-5D138
-458A5,-457BB,-4573E
-5D256,-5D3C4,-5D35D
-45866,-45866,-45782
-5D1D4,-5D20C,-5D0BB
-458DF,-459B1,-45868
-5D413,-5D511,-5D611
-45B7F,-459B6,-45B19
-5D3F3,-5D652,-5D58A
-45A0C,-45A35,-45A0C
-5D376,-5D526,-5D514
-45A78,-45A9C,-457FB
-5D646,-5D4D0,-5D5D6
-45B55,-45909,-458DC
-5D447,-5D354,-5D4C3
-459AB,-459CC,-45A40
-5D317,-5D55B,-5D48D
-45A4C,-45A29,-459F8
-5D3DD,-5D4CC,-5D39B
-4591A,-4597D,-4588D
-5D3D6,-5D200,-5D50B
-458FE,-459DC,-45A55
-5D533,-5D4D7,-5D465
-45A46,-45A40,-459DC
-5D4A6,-5D303,-5D2E3
-45972,-4578C,-458AC
-5D57E,-5D3F0,-5D5ED
-4589D,-459C5,-45746
-5D2ED,-5D329,-5D28B
-45879,-458BC,-458C6
-5D2AA,-5D355,-5D20A
-456DE,-458D8,-45893
-5D2EE,-5D517,-5D4C8
-45AED,-45903,-45720
-5D2F3,-5D359,-5D256
-458CC,-45784,-45984
-5D36E,-5D2B3,-5D3C7
-45A83,-4580D,-459B9
-5D1E9,-5D4E3,-5D232
-45725,-457AE,-456FC
-5D477,-5D295,-5D375
-4584C,-458BE,-4591E
-5D10F,-5D26C,-5D286
-458CB,-45741,-45721
-5D14C,-5D378,-5D16B
-457B6,-455E4,-4550B
-5D0E1,-5D293,-5D35E
-4555C,-45727,-456E3
-5D260,-5D12B,-5D0EF
-454CD,-4566C,-455CD
-5D21B,-5D073,-5D180
-45749,-45682,-4541A
-5D126,-5D03A,-5D2E2
-4543E,-45610,-4555C
-5D268,-5D085,-5CFB9
-454EF,-455CE,-454A4
-5D156,-5D0FB,-5D1B1
-4573E,-45744,-45859
-5D04E,-5D115,-5D0D2
-45746,-45663,-4544F
-5D158,-5D0AA,-5D1A7
