{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-8485F,-8483F,-847DD
-6CE0A,-6CD54,-6CF26
-847E4,-84AB8,-849F8
-6CEB2,-6CD10,-6CCEF
-8487C,-84A06,-84882
-6CE7C,-6CEF0,-6CD64
-84854,-848C5,-8470D
-6CDFA,-6CB49,-6CDD5
-847F2,-845FF,-8481E
-6CC51,-6CF3A,-6CD64
-8478A,-846DE,-847DE
-6CC0D,-6CD4E,-6CBAD
-847C2,-847B5,-8480D
-6CC19,-6CCA2,-6CD95
-8481B,-847EE,-845FD
-6CBB8,-6CBA3,-6CC21
-846F2,-8454F,-846F4
-6CBC8,-6CAAD,-6CD8B
-84838,-84593,-847E7
-6CD3B,-6CD8B,-6CDAA
-84702,-84681,-84747
-6CB13,-6CB0E,-6CCAB
-845E5,-8467B,-8465B
-6CCDA,-6CBC1,-6CC12
-8463C,-84624,-84842
-6CB83,-6CC39,-6CD2D
-84679,-846BE,-84840
-6CC69,-6C9DE,-6CB8A
-8470D,-8468D,-844C9
-6CBDB,-6CD53,-6CD2F
-845AB,-845C9,-8457C
-6CADB,-6C8B9,-6CB68
-845A6,-84526,-845C7
-6CA9F,-6CBE7,-6CAB1
-84608,-84326,-8462A
-6C9ED,-6C952,-6C917
-84463,-843ED,-84364
-6C82E,-6CA36,-6CAB8
-843E6,-842CF,-84366
-6C734,-6C8F8,-6CAE0
-8448D,-8426A,-843B5
-6CADE,-6CAE8,-6CA32
-8432C,-844E2,-84640
-6C9C2,-6C960,-6C98E
-844A0,-84748,-8443B
-6CAAA,-6CA51,-6C9E4
-843B8,-84573,-84402
-6C8E2,-6C844,-6C74E
-84407,-843FE,-843D7
-6C9F9,-6CA5A,-6CA44
-8432D,-844BF,-843E7
-6C965,-6CA2D,-6C8C6
-84512,-842D2,-8441B
-6C8B5,-6C8FF,-6C7BB
-8438D,-843F1,-843CC
-6C875,-6C97A,-6C809
-84390,-8436B,-84296
-6C84D,-6C8EF,-6C818
-841A8,-84320,-8433B
-6C9D9,-6C768,-6C8ED
-842D8,-8446E,-8419A
-6C922,-6C92F,-6CA56
-84322,-84239,-84437
-6C98B,-6CC6D,-6CBAE
-846ED,-84678,-8480A
-6CE5E,-6CE2C,-6CD0F
-84710,-84727,-848FA
-6CCE2,-6CB7A,-6CC95
-84608,-8485F,-84766
-6CAAE,-6CB6B,-6CBC3
-8465D,-846EE,-84605
-6CCAA,-6CB3F,-6C9FF
-845F3,-8457C,-8447D
-6CA88,-6CA89,-6CC01
-845B9,-8463C,-8451D
-6CC2F,-6CB1D,-6CB66
-84660,-84506,-8454F
-6CAEA,-6CE92,-6CABB
-8451D,-8463E,-84672
-6CC09,-6C98B,-6CA55
-84578,-8455A,-843F2
-6CB28,-6CB6C,-6C9C6
-844F2,-84572,-84515
-6CB77,-6CB52,-6CAC9
-8457C,-844E9,-845E5
-6CA56,-6CADE,-6C9E6
-84499,-843DE,-844C2
-6C9B4,-6CB43,-6C8F7
-844C6,-843EF,-843D4
-6C8EF,-6C999,-6CA3A
-84579,-84358,-842BC
-6C88C,-6C9DA,-6C973
-843FE,-84404,-843DE
-6C804,-6C7EF,-6CA3B
-84266,-844B1,-8443D
-6C8A5,-6C832,-6CA23
-84280,-841F0,-8440F
-6C9DF,-6C709,-6C6C2
-843EF,-842A8,-842DB
-6C873,-6C73B,-6C6F7
-84333,-843F8,-84489
-6C765,-6C7DB,-6C76B
-84149,-84202,-841F0
-6C7BE,-6C650,-6CA3B
-84231,-8417F,-841FF
-6C762,-6C75B,-6C5B6
-84144,-8421C,-84258
-6C72C,-6C7B4,-6C6E7
-84207,-842F2,-8436F
-6C6D4,-6C724,-6C872
-84383,-8425D,-84489
-6C73C,-6C5B6,-6C76E
-842A5,-8424D,-84279
-6C840,-6C806,-6C42A
-840C0,-84118,-84243
-6C55D,-6C5DC,-6C50B
-842E0,-84100,-840F9
-6C660,-6C575,-6C76E
-8415E,-84245,-842A8
-6C6A8,-6C4B5,-6C501
-841C2,-8409E,-8425F
-6C833,-6C529,-6C571
-83FF4,-84051,-84078
-6C4FE,-6C4FB,-6C5D4
-83E69,-84159,-840C8
-6C69A,-6C57E,-6C374
-83F62,-83EE3,-83FA4
-6D6D9,-6D890,-6D5F8
-83E6F,-83F3B,-83EA5
-6C55B,-6C2D6,-6C53E
-83D96,-83E57,-83EE3
-6C55D,-6C45B,-6C410
-83F67,-83F61,-83F97
-6C37A,-6C55C,-6C7B6
-8402F,-83EFE,-8406B
-6C34D,-6C30C,-6C249
-83F2F,-83F7E,-83EEA
-6C37A,-6C53C,-6C4E8
-83F68,-84053,-84004
-6C468,-6C40F,-6C33F
-83F21,-8402A,-83FB0
-6C3F0,-6C25D,-6C3CF
-83FBF,-83C75,-84051
-6C240,-6C438,-6C2F5
-83D33,-83CB5,-83F79
-6C28A,-6C28E,-6C45C
-83F93,-83E88,-83E8D
-6C40F,-6C39B,-6C234
-83E82,-83EA6,-83C81
-6C28C,-6C27D,-6C2E7
-83EBA,-83E37,-83EA8
-6C36A,-6C299,-6C299
-83D9C,-83F0C,-83E5A
-6C25B,-6C43C,-6C3A9
-83DD7,-83F62,-83E4F
-6C309,-6C232,-6C474
-83D2F,-83F2A,-83D0E
-6C137,-6C21F,-6C43D
-83DF2,-83E63,-83F52
-6C257,-6C396,-6C1D3
-83C1D,-83C34,-83C90
-6C1A3,-6C04B,-6C13A
-83C0F,-83D10,-83D30
-6C270,-6C1EE,-6C17E
-83A97,-83B0F,-83C2F
-6C45B,-6C044,-6C172
-83BF5,-83B85,-83C1E
-6C0D5,-6C203,-6C0D5
-8396F,-83B64,-83B6D
-6BFAA,-6C1BD,-6C11B
-83C72,-83C99,-83A49
-6C0B6,-6C026,-6C0F6
-83B7B,-83AFB,-83B08
-6BF10,-6BFD1,-6C09B
-83C69,-83B9B,-839F7
-6BFCC,-6BF97,-6C08F
-83CA5,-83953,-83AD6
-6C2EF,-6C481,-6C283
-83AA2,-83C3E,-83BE5
-6C0DF,-6C102,-6C000
-83BB8,-83B71,-83BCE
-6C145,-6C072,-6C1DA
-83A7E,-83CA2,-83B92
-6C0A5,-6C0D7,-6C0D1
-83C5A,-83ACB,-83A94
-6C0EE,-6C18A,-6BF23
-839D6,-83C0C,-83BD7
-6C093,-6BFA8,-6C057
-83A6E,-83981,-83AE4
-6C00E,-6BECB,-6BF31
-83A74,-839E2,-839F5
-6C04F,-6BE79,-6BECD
-83D2D,-83D16,-83D72
-6C1F3,-6C58C,-6C3D9
-83D78,-83D63,-83D28
-6C303,-6C261,-6C3C4
-83C1F,-83E80,-83D96
-6C33B,-6C3C7,-6C244
-83DA8,-83D1E,-83D1A
-6C422,-6C1DE,-6C31D
-83D0D,-83DEC,-83B60
-6C376,-6C256,-6C271
-83D3E,-83DF8,-83B84
-6C281,-6C23A,-6C3D9
-83C20,-83CCE,-83CBA
-6C31E,-6C211,-6C2C1
-83B28,-83A38,-83C23
-6C205,-6C120,-6C1A9
-83C1E,-83CD4,-83B11
-6C0FA,-6C083,-6C151
-83C09,-83C30,-83BC4
-6C180,-6C0FE,-6C202
-83C45,-83AEC,-83B1C
