{'CALIB_RAW_DAC_START_I': 819200, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-989B2,-98A2C,-989E7
-80E2E,-80FFE,-80FC5
-98845,-98823,-987F8
-80D52,-80DBE,-80E99
-98924,-98AE0,-98833
-80F36,-80F09,-81011
-98A4B,-98888,-98928
-80D3A,-80DC3,-80F04
-986E6,-986A9,-986A8
-80C75,-80CAA,-80EE5
-98919,-987BF,-98772
-80C73,-80BD2,-80DA8
-9877D,-986F7,-987C4
-80EE3,-80E67,-80E62
-98848,-98810,-9882C
-80B6A,-80AAB,-80B1D
-9877B,-986EF,-98708
-80D40,-80D4C,-80CA1
-9850B,-98892,-98956
-80C7E,-80DF1,-80E9E
-987A1,-9886A,-987AA
-80D15,-80D77,-80C59
-986F3,-985BF,-98829
-80CE1,-80D5A,-80CAC
-9845D,-98717,-98640
-80C74,-80BAC,-80BF6
-988BE,-985AA,-986EB
-80C40,-80B61,-80BFC
-9870F,-986F0,-985CC
-80B8E,-80B75,-80BC1
-9864F,-9883A,-985EE
-80D4E,-80B18,-80C4C
-985F2,-9849E,-98481
-80C2D,-80B43,-80AB9
-98641,-98502,-98648
-80894,-80A25,-80B0F
-9860A,-98462,-982F9
-80CD7,-80C91,-80A90
-984F7,-98669,-9867F
-80AFC,-80A30,-80A29
-9851D,-9864C,-98506
-809B9,-809F4,-80ACD
-984B2,-98416,-98632
-80ABB,-80CA2,-80A22
-984F7,-984AB,-984D3
-8090B,-80A8B,-80AB5
-98429,-98520,-984E7
-80A65,-80914,-80913
-9831D,-9840E,-98163
-8090A,-80ABF,-80828
-984EC,-984C0,-982E3
-80ADE,-808CE,-808A6
-985FF,-9849D,-984E1
-80AA9,-80B3F,-808C6
-983FE,-98373,-9860E
-80938,-809A4,-80937
-9824E,-98326,-983DD
-809EC,-80948,-80933
-9832F,-983B0,-98292
-8086A,-80705,-80816
-98300,-98421,-98303
-80A45,-808AA,-8086B
-984C3,-984B7,-983A0
-80AC0,-809EB,-80A22
-98620,-987F8,-98819
-80D05,-80C48,-80BFD
-98707,-9870E,-987D3
-80D6E,-80B36,-80D43
-98816,-9887C,-98506
-80D43,-80CCA,-80C9C
-98573,-9874D,-98727
-80CBB,-80B78,-80B8F
-9869F,-98721,-986D4
-80CC0,-80D7A,-80BF2
-98732,-98641,-98825
-8099D,-80CAB,-80C23
-984FD,-98749,-9849B
-80B1E,-80939,-80A20
-984DC,-9842E,-985D2
-80A36,-80937,-80BBD
-983CC,-983AC,-983F7
-8096B,-808E1,-80A78
-9837E,-9844F,-98510
-808AC,-80B62,-80AE9
-985D5,-9864F,-984CA
-8096B,-80955,-80B4A
-98490,-9832F,-9833B
-80934,-80768,-808D7
-9839F,-98377,-98332
-80A3A,-80943,-80989
-982D9,-9834D,-9826C
-80868,-8092E,-807F5
-98316,-983B0,-9839F
-80A05,-8099D,-8099A
-98343,-9848A,-9843A
-808E0,-80989,-80B28
-981BD,-982C9,-98423
-807A1,-8085E,-808E8
-981FB,-98362,-982A8
-808C1,-809D5,-80857
-9854B,-981FE,-983C4
-80B67,-809FA,-80963
-98327,-9833C,-98539
-809F5,-8071F,-8084E
-9831B,-98267,-98491
-809CC,-808CC,-80758
-983A9,-983FB,-984B6
-80833,-80972,-8094F
-983E3,-9840A,-984CD
-80910,-80937,-809AD
-98407,-9840A,-98605
-80A20,-806B6,-8063C
-9822B,-98256,-9833E
-807FC,-8079D,-808C3
-98398,-98204,-98254
-80838,-806D4,-806A5
-98303,-98492,-983CF
-80833,-8083E,-80791
-9817E,-98375,-981A3
-808C7,-8086A,-80970
-98292,-983CF,-98398
-8083F,-8096C,-80A1C
-9829D,-98359,-98216
-80922,-808C8,-806AF
-9823B,-98182,-98344
-808CF,-806ED,-80710
-98159,-98350,-9812E
-81503,-8169D,-81687
-98079,-98188,-97FF0
-80806,-807AF,-80680
-982DD,-982BE,-98171
-8067A,-80636,-80858
-981F3,-9827E,-98199
-8075A,-807C6,-804FB
-981A1,-98052,-97F8F
-80579,-8061F,-80592
-98100,-9804B,-97FC4
-805C7,-8051C,-8052A
-98073,-981CF,-97FAB
-80384,-80577,-8056A
