{'CALIB_RAW_DAC_START_I': 851968, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-ACA4F,-AC96E,-AC90A
-94FE8,-95028,-94DC1
-AC7A8,-AC9BF,-AC966
-94DBD,-94E9A,-94D34
-AC658,-AC893,-AC922
-94DF6,-94D10,-94FC5
-AC929,-AC86B,-AC885
-94D01,-94CE1,-94DAE
-AC9CF,-AC8D3,-AC91B
-94E97,-94E5C,-94F46
-AC9F0,-AC910,-AC839
-94E64,-94BD5,-94D41
-AC6C0,-AC7EB,-AC7D1
-94EE9,-94D3B,-94D74
-AC771,-AC80E,-AC70A
-94CBF,-94AE2,-94C42
-AC7E4,-AC680,-AC687
-94D8B,-94E23,-94B6F
-AC6D5,-AC6CD,-AC567
-94C10,-94D6C,-94C93
-AC7F4,-AC6E7,-AC6DF
-94C05,-94C86,-94D69
-AC65A,-AC805,-AC6D5
-94CB8,-94C4D,-94B92
-AC5EB,-AC724,-AC58E
-949D4,-94AFA,-94D4E
-AC6F2,-AC815,-AC496
-94AFF,-94DC0,-94C7E
-AC632,-AC6E6,-AC6E2
-94A93,-94A93,-94A33
-AC576,-AC629,-AC5F1
-94B85,-94B81,-94B82
-AC6C9,-AC6A3,-AC5CF
-94D34,-94AA9,-94CA2
-AC318,-AC463,-AC30B
-94A49,-94AB3,-94929
-AC525,-AC3EC,-AC569
-94ABD,-949A6,-949D1
-AC3EA,-AC35A,-AC540
-9489C,-94989,-94A2D
-AC20E,-AC413,-AC488
-94AA7,-94A2D,-948EE
-AC62B,-AC571,-AC4B9
-94A69,-94A61,-94952
-AC527,-AC5D0,-AC375
-9497D,-94AEA,-94C3F
-AC46C,-AC50F,-AC3F9
-9480A,-948C4,-948C3
-AC55B,-AC2C8,-AC4DE
-9498F,-949A0,-948DF
-AC3B3,-AC4B7,-AC2DD
-948D8,-94A8B,-94A65
-AC378,-AC439,-AC53C
-948D4,-94A58,-94959
-AC524,-AC5D8,-AC56D
-9497D,-94A77,-9499B
-AC48B,-AC497,-AC3B4
-94903,-949C3,-94846
-AC35B,-AC3B5,-AC2E0
-94917,-94905,-94A04
-AC2D5,-AC1F5,-AC417
-94887,-94766,-948BA
-AC2E2,-AC3C4,-AC305
-94897,-94BEE,-94C82
-AC769,-AC81F,-AC64F
-94AD7,-94A6E,-94A4B
-AC64D,-AC7AF,-AC52B
-94B1E,-94B06,-94C6D
-AC603,-AC5C3,-AC6E7
-94D81,-94D27,-94D53
-AC6A9,-AC7FC,-AC6B0
-94BC2,-94B41,-949D4
-AC559,-AC783,-AC63C
-94A4A,-94B44,-94AD5
-AC538,-AC636,-AC62E
-94AFE,-949D0,-949A6
-AC4C3,-AC3E1,-AC593
-94A5F,-94A14,-94A62
-AC2E1,-AC41D,-AC5A9
-94A7B,-94AD2,-9492A
-AC3F9,-AC45E,-AC37E
-94C7D,-94A9E,-94B14
-AC4A5,-AC574,-AC4EA
-94CD0,-94B33,-94D42
-AC49F,-AC671,-AC6AD
-94B15,-94C17,-94B37
-AC60A,-AC5D9,-AC58C
-94823,-948E6,-94946
-AC543,-AC320,-AC227
-94A75,-94C16,-949D7
-AC48B,-AC63A,-AC377
-94AAD,-949D2,-94AF1
-AC4F5,-AC5AC,-AC6B1
-949BE,-94971,-94A1B
-AC2E3,-AC488,-AC2C1
-94A3E,-947EF,-9498A
-AC300,-AC300,-AC0C4
-947A7,-949C5,-94823
-AC2A0,-AC391,-AC2E7
-9470C,-9472C,-946BB
-AC288,-AC3B8,-AC283
-948D1,-94716,-946DC
-AC2C6,-AC2A1,-AC461
-947A9,-9472E,-94693
-AC057,-AC0F5,-AC243
-9470B,-945CA,-94607
-AC175,-AC1B3,-AC1ED
-94666,-946FE,-94652
-AC1E6,-AC30A,-AC250
-947D4,-9477F,-94683
-AC0DE,-AC16B,-AC1E0
-946E3,-944E0,-9466B
-AC000,-ABF81,-ABF77
-94714,-9466F,-945F2
-ABFA7,-AC2FF,-AC23F
-946EC,-945A2,-946E2
-ABF70,-ABF20,-ABF77
-94686,-946EE,-94738
-AC2D1,-AC1DF,-AC078
-945E0,-945D7,-94508
-AC021,-AC06C,-AC237
-94650,-94511,-9462D
