{'CALIB_RAW_DAC_START_I': 884736, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-BFDD8,-BFF4E,-BFE94
-A8410,-A8440,-A81C8
-BFD94,-BFC37,-BFBA9
-A8205,-A84AB,-A830C
-BFEBB,-BFD41,-BFC9A
-A81B6,-A838F,-A82FD
-BFB67,-BFD97,-BFC66
-A837F,-A815C,-A837E
-BFA53,-BFE28,-BFB97
-A80F3,-A815F,-A8188
-BFBD3,-BFBDD,-BFA67
-A81AA,-A80B6,-A805B
-BFB4D,-BFC3E,-BFAA9
-A8185,-A80C6,-A82B5
-BFD04,-BFBFF,-BFDC7
-A8148,-A80B2,-A8263
-BFC55,-BFC54,-BFACA
-A8001,-A80DD,-A80FF
-BFAA3,-BFB60,-BFC8B
-A8094,-A80A0,-A817A
-BFBCA,-BFBE6,-BFC78
-A7FE7,-A7FB9,-A8039
-BF904,-BFAC4,-BFA69
-A7FEA,-A80B8,-A8130
-BFC95,-BFC6D,-BFC43
-A813E,-A7E8C,-A8043
-BFB00,-BF9E7,-BF95D
-A8030,-A7F32,-A805E
-BFB03,-BFC3D,-BF977
-A8040,-A7FF3,-A802C
-BF97E,-BF9FF,-BF9AA
-A7F53,-A7F89,-A7F6A
-BF936,-BF79F,-BF624
-A7D4E,-A7F0B,-A7E05
-BF6EC,-BF7C2,-BF882
-A7D24,-A7CBF,-A7DB2
-BF720,-BF825,-BF98F
-A7E46,-A7DED,-A7F1E
-BF6D6,-BF878,-BF7A2
-A7DAA,-A7D3B,-A7CFC
-BF861,-BF9C0,-BF867
-A7E0C,-A7D63,-A7E36
-BF702,-BF8E3,-BF83B
-A7FCD,-A7DF7,-A7D1E
-BF7B9,-BF896,-BF8A2
-A7E09,-A7E85,-A7C5A
-BF805,-BF98A,-BF6D3
-A7D3D,-A7CBE,-A7BF4
-BF7A5,-BF8A5,-BF7D3
-A7CB7,-A7D17,-A7D72
-BF701,-BF682,-BF94C
-A7CB5,-A7BE0,-A7C02
-BF766,-BF5E8,-BF8CE
-A7DB5,-A7DD1,-A7C9A
-BF62E,-BF669,-BF833
-A7C7B,-A7CFE,-A7C79
-BF337,-BF6EF,-BF87D
-A7D7A,-A7D78,-A7CA0
-BF883,-BF75B,-BF77C
-A7C6A,-A7D4B,-A7CE9
-BF67E,-BF664,-BF5F8
-A7A95,-A7CFF,-A7B33
-BF64A,-BF6EB,-BF750
-A7ED7,-A7CEA,-A7C4A
-BFC2B,-BFBE5,-BF998
-A800D,-A8039,-A837F
-BF9DD,-BF8C3,-BFA30
-A7E19,-A7F8F,-A802B
-BFC98,-BFBA4,-BFB0C
-A7F9F,-A7EF9,-A8086
-BF92E,-BFB47,-BF908
-A7F73,-A80D9,-A7F3B
-BF973,-BF9F6,-BFAF5
-A7F18,-A7E8C,-A7F4D
-BF969,-BF894,-BFA03
-A7E50,-A7DDF,-A810E
-BFA3F,-BFB0B,-BF969
-A7F00,-A7DF7,-A7F14
-BF6BC,-BF9BF,-BF964
-A7E4C,-A7DB1,-A7F83
-BF84F,-BF96A,-BF7EE
-A7EF2,-A7F34,-A7DF8
-BFA64,-BF801,-BF8FD
-A8025,-A7F70,-A7D8F
-BF85D,-BF770,-BF7DC
-A7FA0,-A7D8B,-A7D39
-BF828,-BF991,-BFB22
-A7E18,-A7C09,-A7EBD
-BFAFA,-BF89F,-BF85D
-A7EBF,-A7F4B,-A7F98
-BF99D,-BFA26,-BF8D9
-A7D56,-A7DDA,-A7DE8
-BF8A7,-BF873,-BF89D
-A7D15,-A7E1F,-A7EC3
-BF8E1,-BF78E,-BF90B
-A7E0E,-A7ED1,-A7EBC
-BF6EF,-BF6F8,-BF887
-A7ED9,-A7C88,-A7DFD
-BF6DC,-BF7D3,-BF7BD
-A7D40,-A7D64,-A7E36
-BF7A0,-BF77A,-BF77F
-A7BEC,-A7E90,-A7C34
-BF83C,-BF686,-BF5F5
-A7B86,-A7B3D,-A7D6B
-BF5A4,-BF694,-BF6C6
-A7BD8,-A7C14,-A7C79
-BF7E8,-BF7A1,-BF552
-A7B55,-A7BEB,-A7A97
-BF5B3,-BF69A,-BF667
-A7A13,-A7BE5,-A7D69
-BF5DF,-BF6F8,-BF761
-A7B60,-A7C02,-A7BA3
-BF514,-BF589,-BF4E7
-A7D06,-A79C0,-A7C23
-BF58F,-BF514,-BF636
-A7AC3,-A7B38,-A7B0E
-BF369,-BF567,-BF4A3
-A7B8F,-A7AC1,-A7AB7
-BF53F,-BF4C1,-BF62E
-A7986,-A7BAC,-A7B15
-BF4D8,-BF5DE,-BF462
-A7975,-A79A6,-A79DC
-BF51C,-BF5A7,-BF562
-A7C8A,-A7B99,-A7AEE
-BF3D8,-BF603,-BF545
-A79B7,-A796F,-A7A09
-BF3F3,-BF2C5,-BF32C
-A89AC,-A8A20,-A8BB1
-BF208,-BF385,-BF495
-A7AE1,-A78B5,-A7B1A
-BF3BA,-BF55B,-BF2FF
-A79D4,-A7BA3,-A7812
-BF4A4,-BF3A8,-BF1E7
-A78D7,-A789F,-A7A1A
-BF2B8,-BF30E,-BF24F
-A7899,-A7A1C,-A79EC
-BF54F,-BF4C1,-BF476
-A7990,-A79E6,-A7B3D
-BF4A1,-BF3F7,-BF42E
-A7921,-A7801,-A7730
-BF2CD,-BF427,-BF306
-A7829,-A774C,-A7AC3
-BF232,-BF2C2,-BF33A
-A7812,-A781C,-A7955
-BF237,-BF1DA,-BF236
-A7B80,-A795F,-A7945
-BF392,-BF464,-BF285
-A77A3,-A77A5,-A7721
-BF3A3,-BF3AE,-BF2D3
-A793D,-A771C,-A75DA
-BF325,-BF105,-BF230
-A76DF,-A76EE,-A764E
-BF29C,-BF27D,-BEF47
-A7745,-A7813,-A795C
-BF39E,-BF39C,-BF379
-A7854,-A78A3,-A783F
-BF28B,-BF2F7,-BF2AE
-A78F2,-A76CE,-A777C
-BF1B6,-BF1C8,-BF230
-A7831,-A76A4,-A776B
-BF1F2,-BF17C,-BF1D1
-A7671,-A7507,-A74FC
-BF141,-BF0B9,-BF09D
-A7625,-A75A0,-A744B
-BEFF7,-BEF35,-BEF85
-A75E0,-A76BB,-A7649
-BEFF8,-BF28B,-BF07F
-A76C8,-A76B4,-A742E
-BEF49,-BEE97,-BF183
-A7797,-A74A0,-A75FF
-BEFB5,-BF144,-BF0AC
-A74F1,-A7732,-A7753
-BF027,-BF0BE,-BF0A9
-A74AF,-A768E,-A75B9
-BF1F6,-BF041,-BEFCC
-A7611,-A7444,-A7695
-BF0F5,-BEF6C,-BF07A
-A75D3,-A75C0,-A7576
-BEF6F,-BF088,-BF15C
-A75DC,-A7600,-A7672
-BEFEE,-BF1E1,-BEFE6
-A75A9,-A75A9,-A7689
-BED23,-BEFB9,-BEFD7
-A7545,-A7632,-A75CF
-BEF5C,-BEFD4,-BEEF8
-A7681,-A747C,-A7356
-BEEDA,-BEFDB,-BEEB8
-A7528,-A756A,-A72F1
-BEFBF,-BEE0D,-BEF16
-A7433,-A7540,-A757E
-BEEE3,-BEFB8,-BEF85
-A76CD,-A7686,-A768B
-BF488,-BF3C5,-BF2F9
-A7A48,-A789D,-A7943
-BF256,-BF261,-BF1C6
-A789D,-A7708,-A76E2
-BF1DC,-BF0A3,-BF2D9
-A78A6,-A77CC,-A770B
