{'CALIB_RAW_DAC_START_I': 917504, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-D30A0,-D30E9,-D321E
-BB775,-BB54A,-BB529
-D303E,-D3143,-D31B8
-BB5F4,-BB668,-BB698
-D3080,-D2E37,-D3080
-BB485,-BB59D,-BB589
-D2FBC,-D2FE4,-D2E5B
-BB5CA,-BB4C8,-BB349
-D2FEA,-D2E9A,-D2F8A
-BB485,-BB4EC,-BB59D
-D2EBD,-D2FC1,-D30AF
-BB4F2,-BB4C1,-BB4DA
-D3052,-D2F7D,-D2EDB
-BB3FA,-BB657,-BB48E
-D2F5B,-D2F75,-D30B4
-BB253,-BB44B,-BB397
-D2E00,-D2F69,-D2FA4
-BB36C,-BB2AB,-BB403
-D2ED7,-D2EBC,-D2F7D
-BB49A,-BB3C1,-BB470
-D2F51,-D2DCC,-D2DBA
-BB46F,-BB305,-BB314
-D2D60,-D2E37,-D2DC6
-BB359,-BB4D8,-BB12A
-D2EC8,-D2D89,-D2D80
-BB3A3,-BB440,-BB2AB
-D2B4B,-D2D0D,-D2D95
-BB27F,-BB13F,-BB100
-D2B58,-D2EBB,-D2CBE
-BB3F4,-BB0D6,-BB3D6
-D2C0C,-D2BF7,-D2D56
-BB332,-BB1DD,-BB19E
-D2BB8,-D2A8F,-D2B16
-BB156,-BB0D4,-BB0F2
-D2B56,-D2B5C,-D2B20
-BB27A,-BB129,-BB185
-D2B29,-D2C10,-D2BF8
-BB182,-BB18B,-BB1E0
-D2E33,-D2C62,-D2CA0
-BB0FA,-BAFB8,-BB08B
-D2B37,-D2B67,-D2CEE
-BB0F1,-BB12B,-BB29B
-D2B61,-D2C2C,-D2B6E
-BB1B8,-BB28E,-BB22D
-D2BED,-D2BFE,-D2B1E
-BB181,-BB208,-BB079
-D2C32,-D2C07,-D2B89
-BB09B,-BB171,-BB02F
-D29E6,-D2B16,-D2C95
-BB0C2,-BB105,-BB0BA
-D2AB3,-D2A7A,-D2C9E
-BB149,-BAECC,-BB06B
-D2AA7,-D29A6,-D2AD5
-BAEDD,-BB0D6,-BB085
-D28D6,-D2B02,-D29D7
-BAF3B,-BB04F,-BAFBD
-D2A62,-D2C86,-D2B12
-BB098,-BB23F,-BB066
-D2B25,-D2C0F,-D2A2A
-BB005,-BAFC9,-BAFDF
-D2B47,-D2A83,-D2B63
-BB08F,-BAF6A,-BAE73
-D2BFB,-D2AAE,-D2AEB
-BB00F,-BB0BF,-BB07C
-D2ECB,-D2B86,-D2DF6
-BB41F,-BB1A9,-BB320
-D2EBD,-D2D98,-D2E05
-BB34B,-BB212,-BB50E
-D2E5B,-D2C6C,-D2F55
-BB4EC,-BB2DC,-BB3B7
-D2C94,-D2D6B,-D2CC9
-BB19D,-BB1D6,-BB326
-D2D34,-D2C15,-D2C6F
-BB20E,-BB30D,-BAFA9
-D2D61,-D2C7D,-D2DB9
-BB332,-BB133,-BB14F
-D2CFE,-D2C4F,-D2BDC
-BB1C1,-BB1A9,-BB096
-D2AC7,-D2C49,-D2AD9
-BB26D,-BAFEA,-BB17E
-D2D30,-D2AA8,-D2C4C
-BB21E,-BB28E,-BB22E
-D2D64,-D2B1B,-D2B28
-BB2C4,-BB06F,-BB2DB
-D2D58,-D2C75,-D2CA9
-BB360,-BB340,-BB29D
-D2B84,-D2CC1,-D2AAB
-BB059,-BB10F,-BB08B
-D29CC,-D2988,-D2B2F
-BB203,-BB1A4,-BB1E0
-D2A66,-D295A,-D2B1C
-BAE70,-BAF2B,-BAF99
-D2AD9,-D2AF2,-D2AEA
-BB17C,-BB04B,-BB216
-D2B76,-D2AB8,-D2A81
-BB13F,-BB1F0,-BB10A
-D2AEB,-D2B52,-D2A9E
-BB11C,-BB13E,-BAF32
-D2AEC,-D2A5E,-D2A9C
-BAF64,-BAEA1,-BAFDE
-D2888,-D2915,-D28BD
-BAF30,-BAEAE,-BB072
-D2A6E,-D2A62,-D2A5D
-BACB5,-BAF14,-BAFC2
-D2A71,-D2A23,-D2AAE
-BAF5A,-BB0F0,-BB102
-D2837,-D29A2,-D2BA4
-BB06F,-BAEB9,-BB14B
-D2A58,-D2975,-D2A22
-BB0FA,-BAF79,-BAF1B
-D2A68,-D2A3A,-D29CD
-BAE5A,-BAE6E,-BADA6
-D27BD,-D28F2,-D28CC
-BAEF4,-BB02F,-BAE1D
-D2967,-D2944,-D296D
-BAECB,-BAE2A,-BADCD
-D2A9A,-D2ACA,-D2940
-BAFBD,-BB0F4,-BAF6B
-D2A12,-D2A52,-D298E
-BAD90,-BAE02,-BADB5
-D27EF,-D28E7,-D29AE
-BAF02,-BADEE,-BAE9D
-D286E,-D26E7,-D2790
-BAD30,-BABC4,-BAD76
-D27BA,-D285C,-D2990
-BAFB8,-BACC6,-BACF6
-D26D4,-D2809,-D2988
-BBE48,-BBD01,-BBD7A
-D27A2,-D26D7,-D261C
-BACBA,-BAD4E,-BADAA
-D2614,-D296D,-D28EE
-BAE61,-BACBF,-BAF6D
-D28BE,-D27E3,-D2675
-BAABC,-BADA9,-BADA2
-D27F4,-D2932,-D27BC
-BAD8D,-BAD3A,-BADAF
-D266D,-D289A,-D2712
-BACB8,-BAD8F,-BAD7E
-D281B,-D294F,-D27C6
-BAEB5,-BAC26,-BAC70
-D26F7,-D278B,-D2877
-BADE2,-BABD6,-BAB5E
-D2867,-D2932,-D26C8
-BACF1,-BAB04,-BAA40
-D27C4,-D27D3,-D291E
-BAD34,-BAC35,-BACFE
-D2865,-D27DF,-D26C3
-BAA2E,-BAC88,-BAB80
-D27C4,-D267E,-D26A5
-BAA33,-BAA73,-BACA3
-D2672,-D2633,-D25D4
-BACD9,-BACAD,-BAA37
-D25EF,-D25B8,-D276D
-BAB85,-BAC1A,-BAABA
-D2585,-D25BE,-D26A1
-BAA96,-BAB2A,-BAA27
-D2471,-D25F0,-D267D
-BABE2,-BA968,-BAA86
-D242A,-D24D9,-D2495
-BACEF,-BAAB2,-BAAD0
-D2394,-D23CC,-D227C
-BA96C,-BA9D1,-BA829
-D2252,-D22F5,-D2459
-BA9A8,-BA968,-BA928
-D2564,-D2510,-D23C7
-BA8A3,-BA954,-BA8CD
-D245F,-D2417,-D2555
-BAA71,-BAA37,-BAB19
-D23CA,-D2423,-D248E
-BAA7E,-BA8E2,-BAA10
-D2369,-D2439,-D2479
-BAA81,-BA9CF,-BA823
-D2257,-D231D,-D2381
-BA98E,-BA893,-BA56E
-D2185,-D21A3,-D248E
-BA785,-BA56D,-BA5E3
-D21A5,-D227E,-D2262
-BA913,-BA798,-BA9B8
-D22D0,-D2203,-D2338
-BA758,-BA72B,-BA8B2
-D2333,-D2400,-D224E
-BAA79,-BA808,-BA7EF
-D21C1,-D22A4,-D2363
-BA7A9,-BA791,-BA937
