{'CALIB_RAW_DAC_START_I': 950272, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-E5EB1,-E5FB8,-E5ECD
-CE546,-CE633,-CE573
-E5F61,-E60B7,-E5F8C
-CE6C0,-CE508,-CE650
-E5FA9,-E60E6,-E603A
-CE43C,-CE509,-CE563
-E5DDC,-E5F7C,-E5F88
-CE5DA,-CE38C,-CE456
-E5F5F,-E5EF7,-E5E49
-CE49C,-CE5F4,-CE599
-E5E1E,-E5E71,-E5FEF
-CE454,-CE5A3,-CE4D2
-E5D57,-E5DBB,-E5DD2
-CE5C4,-CE47C,-CE47E
-E5EAF,-E60A6,-E5FA2
-CE463,-CE3DA,-CE4E5
-E5F1B,-E6063,-E600E
-CE536,-CE576,-CE51F
-E60AA,-E5E90,-E5E82
-CE56C,-CE44B,-CE3F8
-E5FAE,-E5E99,-E5F28
-CE3EA,-CE480,-CE46F
-E5D08,-E5E14,-E5D5C
-CE496,-CE3E3,-CE50E
-E5F02,-E5E33,-E5F08
-CE2BB,-CE5E3,-CE376
-E5C1B,-E5D73,-E5DE3
-CE39F,-CE2EC,-CE2B4
-E5D48,-E5C90,-E5C43
-CE2C6,-CE349,-CE1B0
-E5BF6,-E5C41,-E5D1F
-CE22E,-CE20E,-CE249
-E5C77,-E5CBC,-E5CB4
-CE103,-CE388,-CE1BC
-E5D5B,-E5E5D,-E5DC5
-CE1FA,-CE34E,-CE1EF
-E5BAE,-E5B5C,-E5ADE
-CE136,-CE404,-CE222
-E5ABC,-E5B03,-E5C16
-CE234,-CE0AE,-CE051
-E5CC4,-E5B1E,-E5C51
-CE343,-CE2A0,-CE0A1
-E5B30,-E5ABC,-E5CB6
-CE11B,-CE192,-CE126
-E5B54,-E5A2F,-E5C14
-CE0DB,-CE372,-CE156
-E5D32,-E5C4E,-E5CB4
-CE26F,-CE16A,-CE02D
-E5DB2,-E5BE7,-E5B26
-CDFAF,-CE2AC,-CE182
-E5B87,-E5B68,-E59A4
-CE0CA,-CDFF1,-CE004
-E5ACE,-E5C85,-E5BAF
-CE0DF,-CE0DA,-CE062
-E5BD2,-E5A3C,-E5B5A
-CE108,-CE144,-CE0E8
-E5A68,-E5A0E,-E5BE3
-CDFB9,-CE124,-CDF8F
-E59AD,-E598D,-E577D
-CDF4F,-CDE37,-CDD6F
-E574D,-E58A8,-E5B2F
-CE005,-CE012,-CE057
-E5B28,-E5BB1,-E5BC9
-CE10C,-CE063,-CE072
-E5E0D,-E5C75,-E5C61
-CE380,-CE2DC,-CE460
-E5D62,-E5AD6,-E5E1E
-CE3A0,-CE1E5,-CE310
-E5F7E,-E5D39,-E5CD5
-CE1DF,-CE248,-CE270
-E5D1F,-E5DFA,-E5D29
-CE1D0,-CE1BC,-CE1F4
-E5D48,-E5DED,-E5CCD
-CE169,-CE392,-CE2D4
-E5DDF,-E5D76,-E5D20
-CE0CE,-CE33C,-CE33B
-E5D31,-E5C05,-E5E35
-CE214,-CE105,-CE2B8
-E5C19,-E5DB5,-E5D01
-CE1FA,-CE1A1,-CE11F
-E5CE6,-E5E0B,-E5BFA
-CE273,-CE17F,-CE17C
-E5A00,-E5B78,-E5C06
-CE1A0,-CE126,-CE0BA
-E5D4C,-E5C82,-E5CF2
-CE079,-CE0FE,-CE1C5
-E5A72,-E5AFE,-E5B77
-CE373,-CE091,-CE02C
-E5D8C,-E5A09,-E5BBF
-CE0FA,-CE0E0,-CE2FF
-E5966,-E5B45,-E5BCB
-CDEDB,-CDED8,-CE199
-E5C0B,-E5AEC,-E5B23
-CE343,-CE098,-CE101
-E5C2E,-E5BE2,-E5AA3
-CE17D,-CE107,-CE010
-E5B5C,-E5946,-E5B61
-CDF14,-CE06A,-CDF6D
-E5A8C,-E5A80,-E5AC3
-CE039,-CE1A0,-CDF8F
-E5B70,-E59E1,-E5B14
-CE06F,-CDF01,-CDF86
-E5AB4,-E5BA1,-E5CAA
-CDE76,-CDF22,-CE073
-E589D,-E58F2,-E5A8F
-CDE93,-CDEE8,-CDD88
-E59DF,-E5B7E,-E595A
-CDEDA,-CDE35,-CDF2E
-E59D1,-E5BE5,-E5B0A
-CDFC0,-CE08E,-CDF80
-E59CE,-E59DB,-E597F
-CDE61,-CDEAE,-CDF05
-E59D2,-E5A2D,-E59C1
-CE00D,-CE026,-CDEA7
-E59F6,-E5916,-E5A6B
-CDE45,-CDDBB,-CDCD6
-E5A70,-E5864,-E5938
-CDE87,-CDEB1,-CDC1F
-E5A13,-E5A4A,-E58B2
-CDDA6,-CDE67,-CDD03
-E572D,-E596C,-E5916
