{'CALIB_RAW_DAC_START_I': 983040, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-F9F63,-F9E4B,-F9E9A
-E2456,-E2656,-E2418
-F9EDA,-F9F60,-F9F7E
-E2327,-E231A,-E24A5
-F9F52,-F9DF0,-F9D98
-E24D9,-E2408,-E22F1
-F9FBF,-F9FB9,-F9E4C
-E24A1,-E2431,-E2412
-F9DF1,-F9EE0,-F9EC6
-E21E7,-E2170,-E23B0
-F9CC1,-F9D8A,-F9D9E
-E2527,-E2252,-E237A
-F9C2E,-F9D9D,-F9CE9
-E2338,-E23AF,-E22AD
-F9D63,-F9D25,-F9DEC
-E21F7,-E1FB6,-E219A
-F9D80,-F9CCF,-F9EE2
-E21F8,-E21DE,-E22A5
-F9CB5,-F9C7C,-F9CCF
-E20B2,-E202F,-E21D7
-F9CFB,-F9D4A,-F9C98
-E22FF,-E2257,-E2244
-F9DD4,-F9C55,-F9E83
-E2148,-E2194,-E22EA
-F9DF8,-F9AE9,-F99C0
-E24C1,-E2440,-E2137
-F9CC2,-F9A1F,-F9C2D
-E21CC,-E20EA,-E2095
-F9B6F,-F9930,-F9BA2
-E211F,-E214B,-E1F8E
-F9B19,-F9CFC,-F9B16
-E2276,-E1FB9,-E1FD5
-F9A36,-F99A1,-F995A
-E1F2E,-E201D,-E1EBF
-F9A0A,-F9976,-F9928
-E1DAA,-E1FA7,-E1ED7
-F9A3C,-F99AA,-F9B53
-E1ECB,-E1FBC,-E1EFD
-F99EF,-F9B46,-F99F3
-E1EB9,-E1F53,-E1E5A
-F9AB4,-F98CB,-F98FD
-E1FD9,-E1FF1,-E1E80
-F9995,-F9902,-F999B
-E1F46,-E1E11,-E1F9A
-F9791,-F97F8,-F974D
-E1D6D,-E1CF7,-E1F13
-F9873,-F9A6E,-F9933
-E1D98,-E1DA4,-E1DBA
-F98BC,-F97DC,-F98A2
-E1CFA,-E1E8A,-E1F2E
-F988C,-F9B14,-F9A6D
-E1D39,-E1E59,-E1D79
-F984D,-F97D2,-F9942
-E1D38,-E1F79,-E1DE2
-F9A70,-F9903,-F96D6
-E1FD0,-E1C7D,-E1FF4
-F9760,-F9821,-F98BA
-E1E9F,-E1EF1,-E1D99
-F9790,-F98EB,-F9795
-E1F6B,-E1D37,-E1F08
-F9987,-F9789,-F97AA
-E1EA8,-E1F1B,-E1DD8
-F97DC,-F97E4,-F96DE
-E1E72,-E1DEF,-E1EFD
-F9C54,-F9C38,-F9AA5
-E2193,-E2161,-E1F46
-F9D97,-F9C50,-F9BFA
-E20E3,-E2156,-E1FB9
-F9853,-F9931,-F973B
-E1FB8,-E1FE2,-E1F32
-F996B,-F9AE5,-F9A1E
-E20BA,-E2084,-E20AC
-F9B25,-F99C0,-F9A42
-E2053,-E1FAB,-E1E74
-F9A6A,-F9A80,-F9B7C
-E1FBD,-E1F6B,-E21D2
-F9AF3,-F9B0C,-F9B25
-E1FD0,-E200B,-E2111
-F9B18,-F9AB9,-F9A8E
-E1E6A,-E1E72,-E1EE9
-F9B7C,-F9875,-F9BFB
-E20E1,-E1F57,-E1FA4
-F9A13,-F99CB,-F98D8
