{'CALIB_RAW_DAC_START_I': 1015808, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-10E0D5,-10E38B,-10E253
-F69B6,-F67AE,-F69C6
-10E2D3,-10E25D,-10E0EB
-F6981,-F689C,-F6765
-10E31E,-10E3C8,-10E189
-F6824,-F677B,-F6867
-10E279,-10E2AE,-10E28C
-F6731,-F68C2,-F6555
-10E292,-10E2C3,-10E1AE
-F68FC,-F6764,-F669F
-10E16A,-10E21C,-10E23A
-F67FB,-F6947,-F67B5
-10E472,-10E322,-10E108
-F66DC,-F67A4,-F6656
-10E1F9,-10E12F,-10E300
-F6852,-F67AD,-F67C6
-10DFBE,-10E12B,-10E28A
-F68DE,-F6638,-F681E
-10E1AB,-10E2D3,-10E1E6
-F68AF,-F68E6,-F66A0
-10E20E,-10E280,-10E205
-F66F9,-F6739,-F6713
-10E169,-10E3C1,-10E292
-F67AE,-F6811,-F6898
-10E297,-10E389,-10E344
-F674B,-F6804,-F67CD
-10E2D1,-10E173,-10E0EF
-F67AA,-F66E1,-F6775
-10E149,-10E155,-10E0F1
-F68FD,-F67EB,-F67EE
-10E2D1,-10E1CF,-10E1F4
-F666F,-F65F6,-F66BB
-10E093,-10E12F,-10E06F
-F66D6,-F6627,-F666C
-10E114,-10E234,-10E081
-F6514,-F6520,-F64A2
-10DFFF,-10DDD1,-10DF74
-F65D3,-F64C7,-F65ED
-10DF17,-10DDDB,-10DED0
-F6665,-F664C,-F64B6
-10E174,-10E321,-10E0FF
-F6690,-F68A6,-F6658
-10E198,-10E243,-10DF4D
-F6528,-F65F6,-F66A9
-10DF78,-10E1D5,-10E1C7
-F65FC,-F660D,-F668C
-10DFAC,-10DE21,-10E03F
-F6350,-F642B,-F6617
-10E0AA,-10E00C,-10DF5D
-F6516,-F6445,-F63BB
-10DDF8,-10DF92,-10DDF8
-F62CD,-F6280,-F6392
-10DFF0,-10DD75,-10DCD9
-F63FB,-F63DA,-F6672
-10DFAB,-10DF89,-10DD9F
-F63E9,-F63D8,-F64B3
-10DDE5,-10DE73,-10DF2B
-F64A1,-F65C0,-F6455
-10DF74,-10DF66,-10DED6
-F6331,-F6399,-F6465
-10DC21,-10DC0E,-10DB64
-F62FE,-F638C,-F64A9
-10DCA0,-10DFFD,-10DFDA
-F6521,-F64CC,-F6407
-10E0C8,-10DF76,-10E18C
-F653B,-F64F3,-F66DC
-10E33F,-10E2BC,-10E09E
-F67A4,-F68D4,-F672B
-10E2FC,-10E1F6,-10E075
-F6738,-F66B7,-F689E
-10E21E,-10E246,-10E284
-F6818,-F681D,-F6664
-10E19E,-10E0B4,-10E30D
-F6715,-F6710,-F6743
-10E039,-10E249,-10E0AB
-F65FC,-F66E5,-F65D3
-10E0BD,-10E0DC,-10E19C
-F6652,-F65C6,-F6603
-10E0E0,-10E213,-10E107
-F649D,-F64C1,-F641A
-10E19F,-10DEF6,-10E056
-F667A,-F6771,-F6546
-10E022,-10E0AC,-10E044
-F64DE,-F658C,-F64DA
-10E05C,-10DEC3,-10DF98
-F64D2,-F6465,-F66DE
-10DEBA,-10DE45,-10E06B
-F643F,-F6396,-F655D
-10DF5F,-10DEF4,-10DE35
-F659D,-F64E0,-F646E
-10E0B0,-10DF80,-10E069
-F661A,-F658F,-F634A
-10DFED,-10E17E,-10E239
-F6509,-F6576,-F65FA
-10E07E,-10E018,-10DF94
-F651B,-F642A,-F64C7
-10DC13,-10DDE7,-10DBEB
-F651F,-F6585,-F638F
-10DDD7,-10DE30,-10DD01
-F6376,-F62A8,-F6584
-10DD5D,-10DC8D,-10DF1F
-F6508,-F641A,-F620B
-10DED7,-10DEDC,-10DCE5
-F62FE,-F638F,-F63FA
-10DF96,-10DF20,-10DE38
-F6489,-F6318,-F6323
-10DD7B,-10DCFB,-10DE40
-F657B,-F6396,-F6590
-10DD89,-10DE90,-10DCDB
-F640A,-F63A9,-F63FE
-10DE23,-10DDF6,-10DC7D
-F6315,-F6372,-F61A5
-10DC99,-10DCE2,-10DD55
-F6444,-F62E3,-F63B2
-10DC86,-10DCC8,-10DE39
-F6368,-F637B,-F625D
-10DD83,-10DBC9,-10DDA0
-F6357,-F6440,-F6224
