{'CALIB_RAW_DAC_START_I': 0, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
13C6E9,13C81C,13C7FD
15428C,154243,154102
13C6CB,13C861,13C9A3
15434A,15429C,1542F9
13C8EE,13C70F,13C95C
1542AD,1541DB,154117
13C874,13C824,13C624
154267,154336,1543C9
13C841,13C92F,13C538
15421F,1541B5,154368
13CA13,13C8E6,13C872
1541D9,15424A,15431B
13C872,13C928,13C8CD
1543CF,1542CE,1543D6
13CA0E,13C8A5,13C7F6
1541E6,1542E1,1542EA
13C919,13C805,13C890
1543B7,15431C,154222
13C894,13C730,13C829
1542CE,1541F8,15431F
13CA2E,13C90C,13C939
154365,15443C,1542EC
13C812,13C928,13C8F3
1543AF,15439E,154310
13C875,13C945,13C70C
1541CB,1541ED,15434B
13C8A1,13C8D2,13C986
154189,1544CD,1543DF
13CA61,13C973,13C9A9
154376,15431F,154451
13C8F3,13C8CF,13C92E
154311,154323,1542AB
13C98D,13C9C3,13C6B3
154356,15421E,1542CA
13C7CA,13C92B,13CA18
154387,154497,154192
13C94A,13CA4C,13CA1A
154363,154332,1541AE
13C6D2,13CA06,13C894
15438F,1544EE,154485
13C96D,13C88B,13C775
15446F,1543D3,15451B
13CB5F,13C9FE,13CB2A
154564,154430,1544F7
13CA09,13C8C2,13C93B
1541CC,154356,1543A9
13CB38,13C814,13CA49
1544CD,15433B,154456
13C836,13CA14,13C892
1543D4,15441C,154467
13C988,13C951,13C92E
1543BC,1541E0,1544D8
13CB07,13CA16,13C97D
154342,1542C8,1544A2
13CAB7,13CBE2,13CAD4
1544A7,15447E,1546C7
13CA9D,13CA8F,13CB4A
154290,154447,15449E
13CA68,13CA8C,13C7C3
154572,1542A5,1542F4
13CB6A,13C94D,13CAA6
1543B0,154331,1545E7
13C9DD,13C964,13C819
1543CE,154510,154584
