{'CALIB_RAW_DAC_START_I': 32768, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
12CCF5,12CC73,12CB59
1444DB,1446F9,144838
12CD9F,12CBDA,12CD62
14473F,144592,1446D9
12CE02,12CCB9,12CD95
14486B,1445B0,14491C
12CF18,12CC0E,12CE4E
1447D7,144733,14478B
12CCE0,12CD5F,12CD52
14463C,1445DE,1448AE
12CD96,12CC63,12CD7A
1447DD,14474F,14486D
12CC77,12CC4B,12CEE5
144667,144658,144596
12CB57,12CBB4,12CD26
1446A9,144905,14493E
12CCF0,12CD1B,12CD03
14442C,144669,1446DE
12CCE6,12CE01,12CCBA
144797,1445CF,144780
12CC7E,12CB31,12CE30
144755,1447D9,1447FF
12CBEC,12CCC1,12CEDC
1446F9,1445BC,14450F
12CD77,12CEC2,12CBF0
14463D,14473B,144714
12CB60,12CC4F,12CB55
14481A,14469F,144823
12CDE0,12CE3C,12CD61
14487F,144766,1447C3
12CF31,12CDB9,12CE55
1447F9,1447A1,1448AF
12CF37,12CF58,12CDA6
144764,14472E,1447D2
12CDD8,12CE2E,12CD24
1447F7,144569,144634
12CE22,12CE5D,12CE88
1446E5,1446CE,14497B
12CD90,12CBFC,12CEC9
14481C,144827,1447F1
12CF96,12CD66,12CD66
1448DC,144859,1448AC
12CF98,12CD90,12CD6A
1445B3,144AAB,14485D
12CE04,12CD52,12CD0B
144801,1448B4,14490C
12CCC4,12CEFF,12CD77
144A98,1449E7,14495D
12CD4D,12CE73,12CEFA
144737,1447DF,14485E
12CDDC,12CDCD,12CDC7
144793,144839,1447EF
12CE01,12CD31,12CC2C
144975,144630,14472F
12CCF6,12CEAA,12CD7C
1446FE,14470C,1448D5
12CC80,12CD0C,12CC8E
14463C,14488E,144908
12CF4F,12CEB5,12CD9E
144786,14489C,144A2E
12CE6C,12CF94,12CD45
14496A,1448F0,14480E
12CBD1,12CDEB,12CE30
1447FE,14461D,14473C
12CD83,12CDCF,12CD8A
14481E,1447A9,1447EF
12CB10,12CBDA,12CDC7
1446DC,144823,1448CA
12CD77,12CD33,12CDBE
1447A5,1446FB,1448BB
12CB69,12CD66,12CD81
144958,144735,144925
12CD5C,12CE5D,12CCAD
14489D,14494D,144923
12CE46,12D00E,12CF57
14480E,1448D8,144974
12CE69,12CD90,12CDD8
1447C9,144933,144870
12CE87,12CF4C,12CE0F
144ACC,1449F7,144A65
12CD9C,12CFA4,12D019
144818,1448E7,1448D0
12CE8F,12CD70,12CE26
144916,1449C5,1447FC
12CEB4,12CE16,12D03D
1449AB,144806,1448F3
12CF25,12CFB3,12CDF1
144920,144991,1447D1
12CDD3,12CF34,12CDBE
1449E6,144812,1449D9
12CE87,12CEEC,12CFB9
1448EF,144A04,144AFA
12CE47,12CEAD,12CF86
144958,1448D8,144A37
12CEE9,12D02D,12CF4D
144A83,144BF7,144917
12CF0E,12CFDB,12CFA8
144B2A,144C40,1449FE
12D116,12CF25,12CF6E
144886,144A9F,1449C4
12CF11,12D039,12CF71
144A49,144B0C,144AF5
12CE6D,12CED5,12CFFE
144A97,1449DD,1449C5
12D114,12D13F,12D04C
144917,144A04,144B51
12CFDB,12D0DA,12D14D
144B99,144B2C,144B74
12D049,12CFF2,12D0A2
144A9C,144AAD,144B06
12D060,12CF6E,12D122
144C05,144CAC,144BB9
12D17D,12CFB2,12D18A
144A42,144B7E,1449F0
12D077,12CFE0,12D04B
1448B7,144AAE,144A4F
12D0E3,12D1D0,12CF3F
144D39,144A97,144B95
12D0ED,12D12B,12D141
144B59,1449E3,1449FA
12D00F,12D08B,12D101
144AA2,144B4E,1449C2
12D052,12CF3D,12D1A0
144BE4,144B6E,144A5E
12D167,12D0D8,12D005
144B88,144BA4,144A81
12D0AC,12D0E4,12D0E6
143DB5,143EAC,143D7D
12D693,12D6E0,12D7CB
14502D,14516C,1450C4
12D730,12D608,12D63F
145105,145013,1450E0
12D58E,12D608,12D51E
145162,1451E2,1450DA
12D567,12D8DA,12D601
145172,145106,14518B
12D929,12D73E,12D744
145247,1450CC,145002
12D872,12D600,12D6C1
1451FF,14521D,14514A
12D78A,12D670,12D5D0
145281,145210,1451C0
12D62B,12D7D6,12D670
