{'CALIB_RAW_DAC_START_I': 65536, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
11CA87,11C8F3,11C864
1343BA,1343D1,13425F
11C8BE,11C8A5,11C9F4
1343FA,134524,1343A6
11C98F,11C97F,11C85C
134581,13444E,13446B
11C8CF,11CB3A,11CA52
13451C,1344D5,1343BA
11C8FC,11C954,11CADE
1343D6,1343F4,13442D
11CA09,11CB36,11CAEF
13437F,1343B9,1343A1
11CB3E,11C86C,11C9D3
134473,1344FF,1343CA
11CA2B,11CABC,11CA84
1345F5,1344B5,134595
11C9F6,11C8D6,11CA5B
134322,1344D2,134461
11CAE7,11CAC6,11C869
1345A0,134634,1345C7
11C9E7,11CB00,11CADA
134441,13436D,1343F4
11C7C3,11C97A,11C9F5
13456B,134528,13455F
11CA82,11CBEC,11CB5A
134448,1343E2,1345A5
11CC17,11CA0A,11CC45
13458E,134392,134362
11C749,11CA41,11C8C5
1344A0,1343A6,13440C
11CA28,11C916,11CB2C
134373,13445C,134457
11C9F8,11C994,11CA2A
1343EE,134379,134432
11C9F4,11C8EA,11CBB6
1343A2,134629,1344FC
11C820,11CB95,11C999
13441D,1343EC,134642
11CB8B,11C9B1,11CA19
13451C,134516,13446B
11CB96,11CC7F,11CA2A
134701,1346D8,134691
11CB8D,11CC19,11CC65
1343FE,1346E1,13471A
11CB1E,11CA32,11CA00
1342F8,134585,1344DC
11CB52,11CC00,11CB7D
134726,134816,1346D7
11CBD8,11CA20,11C9EE
1346B3,1344E4,1345DA
11CCEE,11CA66,11CA2C
1344D7,13459A,13448A
11CA7A,11C9B6,11CB61
134699,134506,134388
11CC70,11C91B,11CB26
134563,13462B,13475E
11CD94,11CC73,11CB28
134511,134469,134527
11CC6B,11CCCC,11CCDE
1345EC,134599,134626
11CCCB,11CCE0,11CC42
1345D9,134525,134702
11CA6D,11CC56,11CC5F
134617,1344ED,13440A
11CDA5,11CBFF,11CB69
134792,1346CA,1345B7
11CA8E,11CBBA,11CBFF
134682,134729,134679
11CC6D,11CC5A,11CCD1
1346E4,1345FC,13469F
11CC8E,11CC28,11CC28
1345F6,1346B9,1346BC
11CA46,11CA4A,11CBFA
1345A7,134687,134871
11CB0E,11CB32,11CBF0
1344D5,13466C,1345FB
11CCA5,11CD96,11CCE8
13456B,1345CD,13462D
11CC74,11C9D9,11CB45
13488D,1346E2,134886
11CD75,11CC0B,11CC59
134687,134524,1345CF
11CB5B,11CC08,11CC5F
1345CF,134514,1345F5
11CA05,11CBAF,11CCB5
134522,13463A,134779
11CC19,11CC06,11CAA8
134670,1346E6,134781
11CBEC,11CDA8,11CC4D
134667,134977,134630
11CC3F,11CA94,11CC6C
13463F,1346B2,1343FD
11CB57,11CD8E,11CB8B
134477,1346E8,1344C6
11CA7D,11CCC4,11CD47
13479A,134716,13463C
11CE6A,11CEB2,11CC0B
1346E8,134711,134606
11CD2B,11CD3B,11CCED
134707,134827,13476A
11CD95,11CD58,11CE17
1348F2,13465D,13486D
11CEE2,11CD36,11CDB1
134960,134A28,1348DA
11CF3D,11CC81,11CDF9
134827,134931,1348EA
11CFF7,11CD84,11CD4D
1349B8,134739,134963
11CD96,11CD21,11CF71
13486B,1348EA,1349F1
11CE66,11CF0A,11CE24
134A9B,134A50,134901
11CF05,11CF28,11CCE8
13488E,1347A2,134983
11CF67,11CF0A,11CD33
13495A,134A1E,1348A3
11CDC2,11CD1D,11CF2E
1349DE,134998,134AA3
11CE4A,11CDF1,11CFA6
1349B6,1349CF,1349EB
11D051,11CF31,11CEE2
13499B,13494E,1349C3
11CF99,11CEFC,11CEC5
1348AA,13498C,134ABC
11CF0B,11CF5F,11CE34
134950,134A18,1348A2
11CFD6,11CF76,11CE47
133C35,133BB0,133D9E
11D497,11D5FB,11D266
134CAA,134D65,134E5B
11D65E,11D535,11D4C3
135075,134D5F,134D91
11D528,11D362,11D47C
134E9E,134F02,134F75
11D386,11D57F,11D5C3
134F2E,134FAB,13507A
11D5AE,11D47B,11D484
134D1D,134FF9,134EFA
11D5B4,11D58C,11D445
134FBB,134FFE,134FC6
11D52D,11D58C,11D43B
134E3E,1350A8,1350AA
11D50F,11D5C2,11D5E5
1350A8,135030,1351DF
11D750,11D53E,11D477
13503D,135034,1350BD
11D3DD,11D457,11D464
134DE2,134DDC,135035
11D717,11D6C3,11D66A
1350CE,135001,134F7D
11D4DE,11D623,11D389
134E96,134E19,134EA9
11D3A4,11D4AC,11D7E2
135065,135056,1350AA
11D4DA,11D57B,11D713
134EE0,1351DE,134EE6
11D528,11D56D,11D4F9
134D59,1350AF,134E93
11D546,11D745,11D62C
1350E1,13526C,135005
11D4D4,11D731,11D641
1350FE,13504C,134F9E
11D447,11D538,11D339
134FA1,134F3D,13513A
11D612,11D7BD,11D670
135211,1350BF,1350BB
11D4DA,11D5E8,11D53D
134EFA,135047,1350FB
11D614,11D62B,11D651
135272,1350D8,13519A
11D5C2,11D58A,11D8BB
135226,13517C,134FE4
11D5D0,11D5CA,11D7B3
1350CA,13514E,1350BB
11D747,11D8FC,11D7BE
13526A,135321,1353F3
11D528,11D743,11D5E7
135083,134FD6,13511A
11D544,11D6AC,11D47D
135270,135004,13519E
11D655,11D961,11D747
135173,135161,135136
11D5C2,11D6C1,11D6A2
135136,13517F,135138
11D697,11D801,11D817
13514E,135119,1352D5
11D8BE,11D5FC,11D609
135082,13514D,13529C
11D824,11D62F,11D7CC
135093,13502C,1350D5
11D593,11D68B,11D6DD
1351E0,135233,13504B
11D8CA,11D6BE,11D6C8
1351C6,135110,135318
11D5CD,11D8FF,11D7A7
135150,1351C9,135063
11D762,11D70C,11D87A
135043,135211,134F75
11D797,11D52F,11D70A
135078,135091,135211
11D70A,11D765,11D6B5
134F99,1350E6,134F80
11D7BA,11D6BA,11D591
135213,135133,1350FF
11D596,11D4A8,11D4EE
1352FF,135175,13530C
11D74A,11D854,11D71B
135394,135268,135110
11D6A8,11D6AC,11D8A0
1351C2,135051,134F9B
11D786,11D4C2,11D7A2
134FF7,135205,13503A
11D797,11D700,11D5FA
1350F3,135035,135089
11D69D,11D690,11D771
13513F,13530F,135251
11D67C,11D62C,11D8D4
135160,134F06,135131
11D6E3,11D61F,11D875
1352EA,135361,135127
11D8FA,11D96C,11D798
135170,1352CE,13522E
11D73F,11D766,11D77F
135059,135214,1352C6
11D5EE,11D865,11D69D
1353FD,13529F,13510A
11D8CE,11D8E7,11D88D
1352D7,13536F,13536C
11D783,11D60C,11D887
135115,135364,13517D
11D687,11D922,11D770
1351E2,1351CD,1351C1
11D865,11D794,11D8D8
13531D,13513C,1352BF
11D7BC,11D955,11D889
1352E0,1351D7,13521E
11D83F,11D991,11D7E9
13523B,1353B9,1352B8
11D851,11D8ED,11D786
1352F2,135496,135309
11D87F,11D928,11D78E
135367,135279,135228
11D91D,11D7E1,11D7AF
1350DB,135181,135419
11D7BA,11D718,11D832
135105,135406,1353A3
11D7D5,11D6BB,11DA44
1350C1,135332,13512A
11D833,11D8E4,11D85A
1350A1,13526C,1351C4
11D6A0,11D842,11D7CD
13516E,135190,135146
11D6C8,11D5CE,11D686
13511E,1351D1,1352AF
11D90D,11D72E,11D89C
133AF3,133B62,133AA2
11D3B6,11D688,11D6BB
135024,134E70,134DF4
11D57A,11D517,11D598
134EE5,134F37,134E77
11D38F,11D631,11D641
135013,134FFF,135117
11D61E,11D4E1,11D4C1
135056,135173,135099
11D8F0,11D6C8,11D789
134FA6,134F5C,13502E
11D496,11D6C6,11D54E
135083,135033,13503D
11D63E,11D6BF,11D62D
13528C,1350D0,135012
11D461,11D614,11D68C
135088,135213,135176
11D604,11D58C,11D6FE
134FFA,135003,1351C5
11D56B,11D620,11D737
1351C9,135074,135126
11D520,11D57F,11D6C6
13510C,135305,13515E
11D79A,11D720,11D5BE
13508E,134FF7,1352AA
11D7ED,11D553,11D665
135048,135097,135256
11D7E0,11D5B8,11D84D
134F38,134FCA,13504B
11D746,11D631,11D5D1
13509E,13520E,135027
11D65E,11D635,11D553
1350CB,1352A4,13519F
11D772,11D5AD,11D761
135182,1350F7,13512F
11D819,11D7D9,11D686
1350F5,1351D0,135152
11D825,11D659,11DB2A
1350ED,13538F,135212
11D973,11D7E8,11D88E
1353B7,135302,1350DD
11D6D9,11D799,11D82E
135283,135252,1350F5
11D7C1,11D800,11D9DF
1351B4,13524A,135369
11D7EA,11D93A,11D714
13535B,135213,1352BB
11D953,11D5A5,11D8D7
13554B,1352F1,135487
11D814,11D819,11D912
1352BE,135339,13516E
11D822,11D979,11D7CF
13520A,135217,135215
11D721,11D6AC,11D8D7
13539B,1351F0,135317
11D6EB,11D6F6,11D7FE
13532D,135270,1352E0
11D8E3,11D898,11DA20
135425,1352F6,1352FE
11D773,11D74D,11D6C2
1352C3,135144,135314
11D983,11D980,11D8CA
13530D,135257,135368
11D7B7,11D8AD,11D871
13525C,1353F0,13543D
11D837,11D77F,11D75A
135224,13521A,1352C7
11D715,11D7CE,11D7ED
13538F,13525F,13540B
11D8C1,11D72E,11D774
135187,1352AD,135302
11DA55,11D751,11D70E
135108,1353E1,1352B5
11D8AD,11D9D8,11D982
1353B7,135379,135369
11D8F1,11D9A3,11D829
1353E6,1353AC,1352C2
11D8E5,11D9EF,11DB80
1355DF,13534E,1353E3
11DA17,11D9BB,11DA90
135592,13554F,1354E6
11D84B,11D9C6,11D9D9
1352AC,135425,135145
11D825,11D6B5,11D734
1352F4,1353FF,135324
11D8BE,11D753,11D818
135345,1351F8,135283
11D7FE,11D937,11D920
1352E2,135333,1352F1
11D816,11D864,11D909
1352F4,13548D,1351AA
11D6B6,11D7FC,11D97D
1354B6,1354AB,135404
11DA26,11DD55,11DA04
13535D,13548A,135397
11D7D3,11D92E,11D915
1353A2,1351DD,1353E8
11DAD4,11DBD2,11D90B
135433,13555A,1355A2
11DAA0,11D998,11DB33
1353F0,135759,1354CD
11D9FE,11D9FD,11DB01
135374,1352D8,13547F
11D93A,11DA49,11DA0B
135445,13554A,1355AB
11D883,11D9DD,11D952
1352DA,1354CB,1353A9
11DAAD,11DA74,11DB98
1353FA,1353E6,13534C
11DBCC,11D8EC,11DAD9
135417,1353A1,13527C
11DA43,11DAE5,11DA2C
13552F,13562D,1356AB
11D8B5,11D9A6,11DB9C
135446,1351E4,135435
11D937,11DB72,11D96F
1354D0,135657,13553A
11D9CC,11D807,11D9CE
135365,13541E,135381
11D93E,11DA86,11D890
1354AD,135619,13563C
11D9D7,11D98E,11DB47
135473,135528,13566F
11DA5B,11DB90,11DA2A
13560D,13545F,13555C
11D986,11DA84,11DB5E
13555E,135677,13565D
11D969,11DAF5,11DBA3
134853,13498C,13466C
11DF91,11E086,11E128
13590E,135B5A,135C08
11E163,11E2F6,11E0D0
135BD2,135BE5,135D81
11E005,11E09E,11DF96
1359F3,135B5B,135ABC
11E085,11E057,11E1FB
135C15,135C06,135BDC
11E038,11E1A1,11E04B
135A79,135B31,135B66
11E19A,11E22D,11E093
135C76,135B5F,135B37
11E1CF,11E31B,11E306
135A93,135BF6,135B7B
11E0EE,11E14E,11E1B4
135D66,135B7C,135BAC
11E02C,11E123,11E1A6
135B69,135BEB,135C19
11E1A0,11DFF6,11E0E2
135C27,135B2E,135A61
11DEF6,11DF33,11DFB4
135B1E,135AD4,135B0E
11E1EE,11E0AD,11DF05
135B38,135B55,1359D1
11E156,11E041,11E100
135B34,135DAE,135B66
11E0F9,11E0B3,11E032
135BF6,135D64,135BCA
11E1C9,11E1E2,11E041
135B68,135B0A,135C16
11E078,11E178,11E049
135C48,135C32,135BCB
11E1CF,11E104,11E1B8
135BC9,135BDF,135B08
11E091,11DF61,11DF57
135A79,135B33,135C6B
11E187,11E08F,11E0DD
135A96,135B17,135BD9
11E24D,11E183,11E09F
135D56,135C63,135AE6
11E1A9,11E1B8,11E2E0
135C89,135B50,135E6E
11E1AB,11E21F,11E0CB
1358DC,1359FF,135CE9
11E046,11E2A0,11E0C3
135B37,135CC9,135B07
11E27F,11E228,11E0E0
135C85,135D08,135D17
11E0D2,11E0D5,11E26D
135C0A,135AE2,135C51
11E2B1,11DFB8,11E04C
135BA4,135B46,135CC9
11E0F8,11E048,11E1E5
135CCA,135B90,135B76
11E193,11E206,11E267
135CBA,135D5B,135BBB
11E235,11E203,11E2F9
135D7D,135D12,135D16
11E148,11E32A,11E1CF
135E85,135BE7,135CBB
11E389,11E195,11E24F
135A6D,135C1D,135D0B
11E30D,11E10B,11E21D
135BA7,135D7B,135C1D
11E268,11E145,11E0C3
135957,135C48,135B8F
11E05B,11E09D,11E192
135B9B,135D8D,135C2B
11E1D1,11E1E8,11E11B
135B4B,135DB8,135C2E
11E1D5,11E144,11E18F
135C32,135C79,135D0D
11E15B,11E1F1,11E205
135E43,135C8C,135AD3
11E235,11E1D8,11E07A
135DEF,135CFC,135C90
11E0F9,11E2AD,11E319
135B21,135F0E,135BAA
11E269,11E1AD,11E45D
135DC1,135DEE,135DFE
11E056,11E07A,11E156
135B72,135CAB,135B81
11E1C2,11E1BE,11E27D
135E44,135D34,135E76
11E2A9,11E430,11E1FB
135EBC,135DAD,135BAE
11E3DA,11E3EB,11E3D5
135EB1,135BF9,135F08
11E3A6,11E2C0,11E1DB
135EA5,135DE3,135D10
11E289,11E261,11E2DE
135DC2,135CC2,135F9D
11E144,11E2B5,11E3EC
135D58,135C83,135DD3
11E45E,11E17C,11E303
135CA6,135D4F,135D00
11E140,11E409,11E284
135D7B,135F00,135C13
11E217,11E33E,11E1CA
13611A,135E1A,135E84
11E2DC,11E210,11E32E
135ED7,135CB2,135EEE
11E46F,11E1D7,11E24A
135F2C,135F22,135EC1
11E465,11E32A,11E373
135CC6,135E42,135CE8
11E405,11E2CB,11E41D
135C68,135E26,135E75
11E46A,11E309,11E456
135CD8,135E67,135E47
11E6B5,11E282,11E316
135FF4,135E46,135ED5
11E317,11E3BE,11E3B5
135D10,135CF5,135EAF
11E22C,11E2AA,11E2A6
135EA5,135F01,135FD3
11E390,11E608,11E626
135D31,135EE1,13613F
11E466,11E4B0,11E389
136008,135EC1,135D98
11E50B,11E5FC,11E671
135E0A,135D6E,135D80
11E397,11E514,11E2D1
136086,136019,13618E
11E4F9,11E5D0,11E44B
135F6E,135F46,135E53
11E507,11E5F1,11E3D2
135B13,135F2E,135F5A
11E026,11DFB5,11DF52
135B00,135A19,135A5E
11E198,11E0B2,11E07A
1359B1,135828,1359F8
11E022,11DEC9,11E0A3
135A8B,135B82,135941
11E020,11E03C,11DF89
135A70,135B6D,135B92
11E03A,11E0F3,11E0ED
135CD5,135B2E,135B19
11E1B7,11E1BA,11E154
13598A,135AEC,135BAC
11E29A,11DF75,11DEFF
135B82,1359B3,135A63
11E015,11E174,11E024
135BD2,135AC8,135A51
11E053,11DFD7,11DFE2
135A57,1359CD,135A5D
11DFE5,11E105,11DF49
135B12,1358BB,135C33
11DF24,11DFD6,11E13D
135BB3,135AFE,135A48
11E11E,11E096,11E05B
135AF6,135985,135AF9
11E07C,11DE7E,11E09F
1359AF,135B77,135B1E
11E10B,11E213,11DF01
135AC5,135CDE,135CD4
11DF16,11E109,11E1ED
135C76,135C19,135B78
11E1D2,11E05A,11E165
135A78,135BB4,135D16
11E25E,11E0BE,11E209
135C8C,135A64,135A1C
11E249,11E22C,11E30C
135BDD,135C55,135B23
11E201,11E21A,11E160
135BA2,135AD5,135B31
11E18E,11E284,11E14B
135CF9,135BF7,135D4A
11E110,11E07C,11DFF1
135B09,135C62,135C5F
11DE9D,11E007,11E0D8
135B6F,135B56,135D43
11E2CE,11E24E,11E2DE
135C1B,135A90,135DBC
11E225,11DFA5,11E1FE
135AD0,135C8D,135A14
11E34E,11E207,11E206
135AF7,135C2C,135AA8
11E2E1,11E16C,11E179
135C17,135BC8,135CA0
11E0BD,11E208,11E336
135D05,135CD9,135DCE
11E453,11E224,11E25C
135C39,135C1A,135B22
11E143,11E0B3,11E24B
135C28,135D6B,135BE2
11E36C,11E185,11E31F
135DE2,135C32,135C52
11E208,11E2C0,11E266
135D7F,135D23,135C58
11E1BB,11E23B,11E252
135D32,135D78,135DC8
11E377,11E18A,11E2C8
135F40,135C95,135DC3
11E389,11E2A6,11E265
