{'CALIB_RAW_DAC_START_I': 98304, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
10D182,10D04B,10D15D
124B89,1249EE,124BF3
10D089,10D097,10D27E
124AEB,124B3F,124CB6
10CFDC,10D23D,10D34C
124B5A,124AF9,124C72
10D26B,10D1C0,10D195
124DF4,124B9E,124CCF
10D263,10D216,10D106
124C87,124BC2,124B7B
10D1FA,10CF97,10D00F
1249DB,124958,124D56
10D11B,10D17F,10D05C
124AC6,124B1C,124BEA
10CF34,10CEFD,10D09A
124D1B,124E18,124C44
10D0A9,10D1C0,10CFE6
1248BA,124C87,124B61
10D1FE,10D2DF,10D19A
124959,124B6D,124A82
10D18A,10D1FE,10D115
124B46,124A82,124ADA
10D078,10D03F,10D16D
124BBE,124BEF,124C97
10D1DF,10D181,10D110
124B4A,124BF0,124AF3
10D1AA,10D11A,10D08E
124BF4,124D19,124C3C
10D186,10D28B,10D0A5
124BC5,124D9E,124CF2
10D23F,10CEEF,10D18F
124BF5,124D0F,124E27
10D0FC,10D247,10D0E7
124B9E,124C40,124B0D
10D1CE,10D242,10D284
124B56,124CFB,124BCC
10D280,10D3A2,10D1B1
124C97,1249EA,124D66
10D10D,10D196,10D043
124CC6,124A41,124B6D
10D006,10D310,10D360
124A31,124A2C,124D97
10D2C2,10D1CC,10D3A9
124C7E,124C2A,124D32
10D1A4,10D4F1,10D166
124CC8,124C1E,124C13
10D1C9,10D266,10D1F0
124E8C,124F51,124DBB
10D42A,10D367,10D378
124EB8,124D53,124A55
10D308,10D217,10D319
124DEF,124CF3,124CE4
10D2E0,10D2C2,10D344
124D35,124E15,124CFF
10D477,10D0E8,10D11D
124E6F,124E1A,124D44
10D20D,10D15B,10D021
124A85,124CF1,124D9D
10D3B0,10D2F6,10D29C
124C1C,124D05,124DAA
10D3EF,10D2DF,10D3A1
124BF1,124D17,124BA7
10D11B,10D2FD,10D34A
124DA3,124D89,124B89
10D37D,10D1DF,10D07E
124BBD,124C57,124D21
10D3F1,10D3BE,10D29D
124E59,124D3D,125033
10D3CB,10D2DC,10D1ED
124D39,124C03,124DE7
10D1AC,10D421,10D163
124D1A,124DA6,124D6F
10D381,10D114,10D28B
124EC7,124D59,124CEF
10D2E9,10D19E,10D40D
124DE2,124D57,124E43
10D473,10D17A,10D1A4
124C64,124CAC,124C79
10D35B,10D248,10D258
124E51,124D57,124F4F
10D28F,10D283,10D252
124C5F,124D2C,124C8F
10D1C9,10D162,10D3B2
124D3F,124DC0,124CD1
10D34F,10D4AA,10D291
124D42,124CB5,124D97
10D385,10D43F,10D521
124D12,124D63,124D33
10D313,10D40D,10D2F1
124DE2,124D39,124CAE
