{'CALIB_RAW_DAC_START_I': 131072, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
FC82A,FC76A,FC79F
11403E,1140D3,11407E
FC726,FC7A1,FC5CA
113FD8,114142,114215
FC8E4,FC912,FC8BD
1140C4,1140F1,1141FF
FC7F1,FC658,FC78C
1142C1,114191,114269
FC816,FC61B,FC823
1141F2,114478,114271
FC77A,FC8F7,FC81C
1143F1,114313,11420D
FC89B,FC69D,FC6AF
114260,114351,1140DF
FC8F3,FC70E,FC7A2
11428B,114379,114481
FC8E2,FC7A7,FC7BD
114197,114189,11405B
FC728,FC81F,FC67E
11421F,1141D0,114382
FC78C,FC6B1,FC830
113FD8,1141AB,114271
FC792,FC7BC,FC771
114337,11433C,1143E6
FC8D3,FC990,FC9A1
114091,113F46,1142CC
FCA4C,FC917,FCB3B
11418C,1142C6,1143B1
FC749,FC9D4,FC7A0
11422C,11404F,1141CB
FCA97,FC9D3,FC897
114148,11438E,114323
FC915,FC916,FC850
114234,1142A2,114245
FCA10,FC8FB,FC8EE
114447,1143FA,114302
FC7A5,FC9DF,FC8E5
1141FB,114276,1144BB
FC95D,FC806,FC840
1141BD,11441A,11430B
FCA7D,FC7DD,FC930
1142CB,114231,1142C8
FC748,FC93A,FC897
1143EC,1143A1,11446C
FC9AA,FC8CA,FCAD9
11430E,114334,1142C7
FC98C,FC9FB,FC922
1144D2,11442C,11452B
FC860,FC9C6,FCAB4
1142E9,1144A5,1143E5
FC7F3,FCA20,FC932
114420,1144AE,114521
FC978,FC8CD,FC8DC
114612,1145A5,11454D
FCA3A,FCB8D,FCB0C
1146AE,1144A4,1144F9
FCA41,FCBAE,FC84C
11439E,114468,114674
FCA35,FCC9B,FCA56
11469F,1145BE,11439B
FC8F2,FCC04,FCBE0
11447A,114552,1145B1
FCB66,FCB0F,FC9B8
11434C,1143B4,1145FD
FC8E1,FCA50,FC9AF
11451C,11444C,1142D9
FC921,FCA49,FCA33
1143F6,114388,11441B
FCB14,FCCE0,FCA87
1143FE,1144FC,1143E5
FCBF9,FC955,FC9AE
1142ED,114468,11441C
FC9C1,FC9DC,FCB5D
114548,114367,114453
FCA64,FCBD7,FCAF8
11466D,114696,1143DA
FCA8C,FCA6D,FC9B8
114314,114517,1143FD
FCAC2,FCC1B,FC89F
114503,11464B,11452D
FCC0A,FCC41,FCBBB
11453C,1143BA,1144E1
FCB45,FCC61,FCAC2
1144F3,1146FA,114647
FCE2B,FCA10,FCC62
1144C9,114279,11452C
FCCD6,FCADC,FCBFA
1144B0,11462A,114477
FCC38,FCA37,FCBF0
11434C,11443F,1145FB
FCA3E,FC9DE,FCC87
1145F5,11458A,114789
FCB69,FCB60,FCB5D
114549,114617,114639
FCB0B,FC9FA,FCD65
114635,114586,1147ED
FCB88,FCB48,FCC9E
1145D3,114624,1146F2
FCB8B,FCB10,FCB42
114577,114611,11440F
FCBC2,FCB3A,FCBA8
114631,11468D,114604
FCB00,FCBF8,FCAF9
114423,11457F,114685
FCB5E,FCD5C,FCC36
1144DE,114778,114677
FCCCF,FCB83,FCB04
114632,114552,114639
FCB09,FCB8A,FCCB0
114588,1146F5,1144E4
FCBF0,FCB38,FCC15
114677,11481A,1146E4
FCCF8,FCBE9,FCB48
1145C8,1147DD,114764
FCC46,FCC7A,FCC51
11454E,1146B6,114778
FCE6E,FCAC1,FCC11
114655,1147A5,1145A4
FCC03,FCC5D,FCBF3
11466A,1147A0,1145BB
FCE7F,FCCD4,FCD52
1145A6,1146AD,11465A
FCCF7,FCDF5,FCD57
114741,114962,11474E
FCE0E,FCC63,FCC61
1144EF,11483D,11472C
FCAC0,FCCBA,FCB2C
113A25,113ABF,113A94
FD16C,FD26C,FD125
114ABC,114B72,114AD7
FD1C6,FD0D8,FD122
114B69,114BB5,114C7C
FD0D7,FD0F2,FD0E1
114C32,114DE7,114C72
FD298,FD145,FD289
114E59,114E0F,114D22
FD37D,FCF9C,FD37F
114C4D,114D37,114BE9
FD1E2,FD071,FD262
114D14,114DA3,114D87
FD2ED,FD17C,FD24D
114E0A,114DC5,114DD3
FD27C,FD12E,FD161
114D68,114E1F,114ECC
FD372,FD38B,FD2D0
114D6F,114CE6,114C79
FD263,FD385,FD290
114C96,114D97,114BF9
FD23E,FD277,FD439
114DBA,114EC5,114C4E
FD224,FD172,FD12C
114BEA,114C45,114BF9
FD0B8,FD0DB,FD1D8
114CD9,114CDF,114C19
FD326,FD242,FD0F7
114D50,114BEB,114D41
FD294,FD2F4,FD329
114D64,114D04,114C8C
FD13F,FD195,FD38D
114BDB,114D2F,114F0E
FD1A9,FD269,FD224
114B0D,114CFE,114E37
FD266,FD248,FD20F
114C8E,114DBC,114E32
FD356,FD1BD,FD2AB
114E45,114E27,114CDF
FD2A8,FD2BD,FD3DB
114D06,114E2A,114D89
FD3D0,FD42B,FD4BD
114C59,114B52,114B7B
FD3AA,FD3CB,FD300
114D07,114E55,114D6F
FD3E0,FD428,FD3A5
114DF3,114E93,114D7B
FD0FF,FD1B6,FD2A2
114ED4,114E6B,114E6F
FD300,FD228,FD31D
114C25,114E19,114EE7
FD389,FD17B,FD230
114E49,114DFB,114DD1
FD250,FD2A8,FD43C
114D40,114E00,114DBA
FD3E1,FD288,FD394
114EA5,114F00,114F9B
FD561,FD20F,FD594
115095,114FAB,114E47
FD2C3,FD569,FD2D6
114EC9,114E3C,114F61
FD626,FD4F3,FD4A3
114E2A,114ED3,114E3B
FD28F,FD4E6,FD415
114E8A,115006,114D93
FD2D1,FD19B,FD3D0
114ED8,114E31,114D5D
FD511,FD279,FD2CF
114EA9,114DCB,114F1C
FD4F9,FD518,FD2C0
114CDF,114C92,114DEE
FD340,FD4CC,FD4F8
11501D,114EA7,114EFA
FD43A,FD51E,FD394
114DD9,114D7A,114D7D
FD421,FD3D8,FD3BF
114EB5,114DE0,114F00
FD495,FD6F4,FD544
114D8B,114FFF,114DDA
FD587,FD48F,FD3D7
115079,11517D,114FB5
FD49E,FD54F,FD56A
114E02,114D6C,114EB8
FD31D,FD2E4,FD28C
114E71,114ED9,115058
FD4F3,FD2E0,FD3EE
114EE9,114F8B,115006
FD69E,FD4C4,FD590
114F46,114FEB,115115
FD3E3,FD4AC,FD5EF
114E89,114FBD,114F1D
FD61C,FD50C,FD54A
115020,11521F,115073
FD5F1,FD550,FD5DF
114E88,114FB9,114FC4
FD682,FD58B,FD7B8
1150C5,1150E8,1150A7
FD695,FD525,FD715
114F7C,114F71,114DA9
FD6EC,FD592,FD479
115030,115063,114FB8
FD516,FD587,FD540
114D67,114F51,114F9A
FD5A0,FD491,FD5B4
114F25,115145,115145
FD651,FD60D,FD623
