{'CALIB_RAW_DAC_START_I': 196608, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
DB784,DB9CC,DB75B
F3218,F3228,F31A3
DB913,DB80D,DB8F1
F3138,F33E9,F33BC
DB6D0,DB90B,DB7D4
F323B,F3118,F32A1
DB913,DB917,DB85C
F3364,F32C7,F323C
DB720,DB896,DB78A
F3172,F30F4,F314E
DB66B,DB600,DB6EB
F3083,F317B,F3136
DB8D9,DB54F,DB6E3
F2F70,F3008,F3098
DB779,DB7D2,DB720
F3468,F32EB,F3506
DB92D,DB7A0,DB8EF
F3275,F32C9,F33A3
DB857,DB8E3,DB83A
F315D,F3241,F31BC
DB815,DB97A,DB72B
F3084,F3320,F311F
DB825,DB7F7,DB60E
F33BB,F304C,F3260
DB804,DB8E4,DB888
F303E,F3237,F3014
DB92E,DB850,DB5A6
F3354,F3295,F3425
DB921,DB8A7,DB964
F32FE,F3311,F32DC
DBA04,DB658,DB827
F3215,F327D,F341E
DB8EB,DB9D3,DB972
F31DD,F31EC,F319E
DB858,DB852,DB9B8
F3369,F329B,F34A2
DB851,DB877,DBAE3
F32AD,F3179,F33E2
DB911,DB7E3,DB988
F3253,F3511,F335C
DB86D,DBA73,DB8C8
F313D,F3490,F329D
DB83B,DB8B7,DB8DA
F344C,F3445,F342B
DB811,DB79C,DB8B5
F3258,F345B,F322F
DB887,DB782,DB8FE
F3466,F3511,F341F
DB9FC,DB91F,DB99F
F335E,F3525,F3531
DB905,DB890,DB9E8
F3327,F35C5,F3597
DB937,DB913,DB961
F34CE,F3318,F3383
DB893,DB932,DB83D
F3318,F352A,F32BD
DBABE,DB7E3,DB9A1
F3414,F327F,F340B
DB9ED,DB89F,DB8D4
F332D,F335C,F33C4
DB94B,DB9C6,DB8F4
F321F,F32E1,F33B2
DB90B,DB97E,DB784
F30F7,F3377,F31FA
DB8E2,DB879,DB858
F331A,F33A7,F31A7
DB943,DB7D4,DB700
F3431,F3368,F3588
DBAAF,DB8ED,DB9CF
F31C1,F33B9,F327E
DB85C,DB7F4,DB92B
F350D,F34A6,F33FE
DBAAD,DBA29,DBCCB
F3503,F343E,F34BB
DBB48,DB8EB,DB854
F3454,F32F8,F33EC
DBB72,DB936,DBA11
F3449,F3398,F3299
DB95F,DB986,DB8FF
F340A,F3433,F3393
DBA57,DB852,DB996
F33E3,F362D,F33E5
DBB92,DBA72,DB9CE
F34B5,F33F1,F3341
DB99F,DB93B,DB95D
F33CE,F32B2,F3497
DBA29,DBA04,DB9B1
F34A4,F35E8,F33C5
DBB08,DB9A4,DBA54
F3334,F3410,F32EB
DB846,DB95A,DB924
F35C2,F335B,F34CD
DB9D2,DB994,DB9C5
F320F,F356F,F339C
DB9E0,DB8D7,DB860
F331E,F3223,F33DD
DB87B,DB9E7,DBC3C
F33A4,F331F,F34F5
DB86C,DB875,DBAD8
F33E4,F33F3,F33FF
DBCF2,DB9EF,DB9EE
F3433,F35CF,F3454
DBA02,DBC85,DBADA
F3370,F3603,F3649
DBA95,DB9F5,DBAFC
F33F5,F33DD,F345B
DBB11,DBA3A,DBA63
F3598,F3620,F33F5
DBA7E,DB9B9,DBC53
F3461,F34A3,F33F8
DBB0A,DBB25,DBA98
F37D1,F3545,F3601
DBCE9,DBBA3,DBA57
F32BA,F34A4,F355D
DBB3D,DBAEC,DBB1D
F3629,F3454,F3616
DBC0F,DBCA6,DBBB3
F344C,F3585,F36C4
DBA40,DB9F6,DB9D3
F36A6,F3493,F37A7
DBE07,DBB2C,DBB17
F3593,F36B4,F368D
DBCC9,DBB60,DBCB5
F353B,F3661,F34F9
DBCAB,DBB53,DBC62
F35F8,F35A7,F34E1
DBABB,DBBFD,DBCD7
F29F9,F298F,F29D4
DC24F,DC0DF,DC22C
F3BFF,F3D70,F3C61
DC14F,DC161,DC085
F3DFF,F3C7F,F3CD6
DC220,DC356,DC1F2
F3CBB,F3BB3,F3987
DC115,DC15C,DC01B
F3C69,F3C54,F3C16
DC27D,DC532,DC2D4
F3D5E,F3BF5,F3C3A
DC31B,DC176,DC212
F3C2C,F3B9F,F3DDB
DC1B9,DC1DC,DC253
F3C9F,F3BFF,F3CD4
DC313,DC1C1,DC308
F3C68,F3C65,F3F1C
DC2AA,DC344,DC24E
F3B5B,F3BE0,F3AD2
DC312,DC1C5,DC2C5
F3BAD,F3B7F,F3D2D
DC1AF,DC2B0,DC0C0
F3B73,F3BC4,F3CC3
DC206,DC2F6,DC0BE
F3D13,F3D82,F3CE4
DC207,DC212,DC2E6
F3DAF,F3C56,F3C98
DC285,DC34D,DC216
F3D4A,F3B3F,F3B89
DC14D,DC30E,DC052
F3DB2,F3CDE,F3C77
DC110,DC265,DC14E
F3DEF,F3D0C,F3E4C
DC106,DC278,DC26D
F3A21,F3E63,F3B28
DC0AD,DC09C,DC0D6
F3BE6,F3B9C,F3D4A
DC1BD,DC0E6,DC125
F3B87,F3D02,F3AD5
DC25D,DBFD9,DC24B
F3DAC,F3C9D,F3BCC
DC2B6,DC26E,DC215
F3A5D,F3C1F,F3CB8
DC1A4,DC245,DC260
F3DD0,F3C34,F3B56
DC1C4,DC19E,DC192
F3AC4,F3A9C,F3B7B
DC04B,DC2DA,DC23C
F3C7D,F3DE9,F3C3F
DC0CB,DC1F5,DC40A
F3CD0,F3CAD,F3C8C
DC298,DC023,DC27D
F3EAD,F3C23,F3D31
DC225,DC354,DC48B
F3B1C,F3C28,F3B2D
DC116,DC208,DC3F6
F3BA1,F3B95,F3B2C
DC258,DC163,DC129
F3BAA,F3B2A,F3AB7
DC229,DC050,DC209
F3B02,F3B8A,F3BAC
DC334,DC2BE,DC3E0
F3D0F,F3DEC,F3CFF
DC43C,DC40F,DC1F3
F3CD9,F3D9D,F3CF3
DC3D6,DC265,DC389
F3CC1,F3C44,F3D63
DC248,DC237,DC2CE
F3BA5,F3CCF,F3DA7
DC3C0,DC287,DC2F7
F3DD3,F3D46,F3E12
DC26B,DC313,DC20D
F3E78,F3BFB,F3D81
DC1BB,DC36C,DC44C
F3E7C,F3C92,F3E7D
DC308,DC494,DC2A6
F3D6D,F3DB6,F3C20
DC405,DC3FA,DC2E2
F3B0B,F3E3B,F3E83
DC3C4,DC412,DC2C7
F3F0E,F3F22,F3DDC
DC312,DC1B4,DC2A8
F3C93,F3CE8,F3CAE
DC372,DC2D4,DC373
F3C0E,F3DF4,F3D5A
DC2E8,DC3DA,DC3E7
F3D4F,F3D35,F3D15
DC2E4,DC1B2,DC319
F3DD0,F3CD2,F3D44
DC398,DC3C3,DC2CC
F3D6B,F3D1E,F3D2A
DC55B,DC23D,DC29F
F3D86,F3E28,F3DDB
DC437,DC1F5,DC3BA
F3F2B,F3D85,F3CB9
DC120,DC228,DC28D
F3E61,F4030,F3ED4
DC53E,DC20C,DC3E4
F3D40,F3E05,F3DC1
DC397,DC2C2,DC346
F3D71,F3CB3,F3DAB
DC23A,DC3CC,DC605
F4016,F3EA3,F3EE2
DC483,DC492,DC597
F3F49,F3F54,F3F49
DC3CF,DC3FE,DC380
F3ECC,F3E20,F3DDB
DC45E,DC49A,DC22A
F3E89,F3E30,F3E10
DC524,DC476,DC410
F407A,F3FBD,F4077
DC613,DC42F,DC4B0
F3E44,F3F4B,F3F78
DC369,DC497,DC31D
F3E9E,F3EC3,F3F87
DC479,DC47D,DC3FA
F3D4C,F3FCA,F3E16
DC305,DC4B1,DC423
F3CD8,F3E47,F400B
DC3E4,DC687,DC4D2
F3E2B,F3DDC,F3DA5
DC2E1,DC381,DC44C
F3BB5,F3CAD,F3DBD
DC591,DC30F,DC388
F3C66,F3CA3,F3DD5
DC3E0,DC315,DC4F4
F3C64,F3FC2,F3DE1
DC41B,DC53E,DC500
F276D,F2743,F261F
DC35E,DC39B,DC101
F3D80,F3C4D,F39E0
DC070,DC1A2,DC157
F3BC3,F3BA3,F3BCC
DC181,DC2D1,DC0C2
F3AEB,F3B2B,F3BAB
DC1F2,DC0F7,DC294
F3D02,F3D85,F3E53
DC379,DC371,DC161
F3D0F,F3C47,F3B4C
DC309,DC2FE,DC150
F3D4A,F3CA6,F3C73
DC336,DC33D,DC22B
F3E45,F3D28,F3C4A
DC306,DC3D1,DC1D4
F3DFE,F3EC9,F3DF2
DC2B4,DC243,DC29B
F3BE2,F3D73,F3E47
DC389,DC136,DC16A
F3ED6,F3E0E,F3DAD
DC2C3,DC1A8,DC24F
F3CF6,F3C6E,F3CD2
DC29A,DC21B,DC29C
F3C44,F3CB7,F3E4D
DC38E,DC2F1,DC40E
F3DB6,F3D4C,F3E2E
DC3B1,DC388,DC40E
F3D5A,F400B,F3E4A
DC490,DC3F4,DC4EF
F3EF3,F3DE6,F3F28
DC3D8,DC359,DC40E
F3E62,F3DBD,F3F23
DC5A7,DC32C,DC3A4
F3BCC,F3D8E,F3EB3
DC474,DC445,DC48D
F3DF9,F3DF5,F4056
DC4BC,DC47A,DC571
F3EBF,F3FB1,F3F44
DC64F,DC3D2,DC54A
F4048,F405F,F3FA6
DC582,DC486,DC369
F3F27,F3EE2,F3E2C
DC565,DC455,DC578
F3ED3,F3F9C,F4102
DC683,DC5A6,DC5A0
F3EFD,F3F00,F3F58
DC5F8,DC4AE,DC460
F40B1,F407F,F3E9F
DC6BC,DC695,DC4BC
F3EC8,F3CEC,F3FBE
DC33B,DC5E0,DC430
F3D2A,F3E71,F3E6E
DC455,DC4DB,DC3B0
F3DC8,F3E31,F3EF0
DC343,DC28F,DC3C5
F3F68,F3F94,F3F24
DC7CD,DC503,DC4E4
F4009,F3EE2,F3E0E
DC6D8,DC59E,DC4A0
F3FA9,F4010,F3F04
DC38E,DC3A8,DC381
F3EB8,F3E27,F3D78
DC569,DC374,DC41D
F3EEF,F3E0F,F3FDB
DC46D,DC522,DC596
F3DD2,F3E75,F3E27
DC394,DC513,DC4BF
F3DE4,F3ED8,F3DFD
DC53F,DC5DC,DC35A
F3E68,F3FEE,F3F09
DC563,DC55A,DC51C
F3DB7,F4042,F3FD8
DC4D7,DC3A6,DC435
F3C90,F3F21,F3F56
DC4E8,DC323,DC373
F3D84,F3FEA,F3E74
DC3F8,DC55A,DC385
F4020,F3ED7,F3F94
DC508,DC641,DC352
F4058,F3E89,F3FB2
DC47D,DC47C,DC45B
F3E07,F40F6,F3E4B
DC60A,DC394,DC486
F40AD,F3F8D,F3E94
DC5AF,DC5AA,DC465
F3ED7,F3E45,F3F42
DC66D,DC425,DC426
F3EA8,F3E9E,F3F3A
DC519,DC4B8,DC426
F4036,F3F3E,F3DB2
DC5D9,DC294,DC4A2
F3E08,F3E98,F3F36
DC3E0,DC4D7,DC399
F3F4D,F3FF9,F3FA1
DC510,DC564,DC45D
F3F89,F40F3,F4226
DC6A9,DC622,DC5FF
F4020,F3FE5,F3EBE
DC3BC,DC48E,DC54A
F3D9A,F3F1E,F3F52
DC677,DC5FF,DC54D
F3D4A,F3F9D,F3E2E
DC4D6,DC617,DC52A
F40DE,F408C,F405A
DC79A,DC673,DC745
F3F91,F3FD6,F3EEA
DC582,DC4E8,DC4F7
F3F07,F40DA,F3D67
DC637,DC3AB,DC5AF
F4011,F3E50,F3FD9
DC5E5,DC570,DC390
F40E2,F4145,F40E2
DC58D,DC64B,DC633
F3F04,F41A0,F402F
DC582,DC66F,DC512
F3F5E,F403A,F414D
DC5E6,DC473,DC533
F3F6A,F402B,F415B
DC6BA,DC7BA,DC88E
F4122,F4036,F40AA
DC60C,DC5CE,DC694
F402F,F3FF8,F4021
DC55B,DC887,DC71C
F4204,F4058,F40AE
DC703,DC830,DC6C3
F3F11,F4079,F40AA
DC512,DC639,DC5D5
F345E,F3482,F3509
DCA35,DCAA6,DCB35
F4435,F4682,F45C2
DCC20,DCD2B,DCBC6
F4604,F478C,F4583
DCBC2,DCB8D,DCA99
F4731,F46DB,F4564
DCDEE,DCE0D,DCD10
F481F,F472D,F4784
DCDC4,DCD96,DCCFC
F4776,F48A1,F47B0
DCD45,DCC0E,DCEC4
F480E,F4796,F4662
DCD6B,DCBFB,DCB0E
F4651,F4752,F45FE
DCD22,DCD92,DCBEF
F4865,F49F4,F4774
DCE6B,DCC5D,DCC99
F459E,F4993,F46D5
DCEB1,DCD77,DCC45
F4758,F478F,F47A5
DCCDB,DCB3A,DCC03
F46C1,F4727,F495A
DCD26,DCD5C,DCCD1
F47D0,F4805,F48CD
DCEC4,DCE13,DCD0B
F497E,F47CF,F4810
DCCD4,DCD85,DCDAC
F4735,F484E,F47BB
DCD6A,DCD22,DCD01
F47CA,F47CC,F468A
DCD2D,DCD61,DCDD0
F480B,F492C,F49C6
DCCCC,DCD64,DCFB6
F48B6,F47AA,F47F6
DCD3A,DCD35,DCDCB
F472E,F47BC,F4872
DCF52,DCE74,DCE40
F487A,F48A4,F470A
DCE1C,DCDF4,DCD77
F48E0,F4719,F4831
DCE06,DCEB0,DCDB1
F476A,F4895,F48E1
DCDA1,DCE0F,DCE22
F48B4,F4871,F47DB
