{'CALIB_RAW_DAC_START_I': 229376, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
CB9AD,CBA2C,CBB8A
E3466,E338C,E33B1
CBA16,CB90E,CB902
E3377,E33E2,E35C6
CBADD,CBA66,CBA6A
E35A1,E344A,E34E6
CB8EA,CB8A0,CB8CF
E34EF,E3361,E343A
CB933,CB9BB,CB9A8
E3457,E332A,E34AE
CBA64,CB91A,CB7C6
E33DC,E3231,E3449
CBAB4,CBB5D,CBA67
E3577,E355A,E3183
CB9B7,CBA0C,CBA67
E34DF,E37F6,E35B6
CB964,CB9E4,CBC64
E34CA,E349C,E351A
CBA71,CB973,CB978
E347E,E352B,E33BB
CBCA8,CB9A0,CB9C8
E32E2,E33D2,E3361
CBA46,CBA04,CBA43
E33B8,E32A1,E3336
CBA55,CB89F,CBA3A
E338C,E3442,E34A6
CB8E6,CB7B6,CB8B3
E331E,E32D7,E3240
CB7A3,CB829,CB9CD
E33D8,E342B,E32E1
CBB1B,CBA85,CBA60
E322A,E338B,E3483
CB856,CB9E0,CB952
E31F8,E334A,E31E2
CB710,CBB35,CBA3E
E3400,E32F4,E34B9
CB8BF,CB9CD,CB887
E329A,E323E,E3468
CBAC2,CBAD4,CBA0A
E345F,E3483,E343F
CBA1C,CB8E1,CB98E
E3262,E33BB,E33DC
CBB02,CBA5C,CBA92
E338C,E33D7,E32CD
CB888,CB97B,CB986
E322A,E3554,E3331
CBBD2,CBB6B,CBA08
E3458,E358A,E3500
CB9D3,CBC46,CBB04
E32FC,E33D0,E35A6
CBC82,CBACE,CB982
E34C0,E35ED,E3451
CBA81,CB9B2,CB9C5
E341A,E34F9,E336C
CBAF6,CB9E4,CB9E3
E3599,E34E6,E3647
CBB92,CBB3F,CBA9B
E32E2,E35A4,E354C
CB8CB,CBAED,CBAB0
E347E,E36CA,E3659
CBB17,CB8DD,CBBD1
E342A,E3466,E351F
