{'CALIB_RAW_DAC_START_I': 262144, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
BB946,BB908,BBA22
D3480,D33C9,D349E
BBA9A,BB983,BB952
D3660,D34B6,D348C
BBB0E,BBAA1,BBA35
D3415,D3511,D3338
BBBC6,BBBD3,BBB2F
D36A5,D340D,D31F5
BB97F,BB919,BBBFD
D33C7,D3376,D35B0
BBA27,BB98D,BB8E2
D365C,D350D,D3651
BBA26,BBA4E,BBB13
D3386,D3437,D349C
BBA92,BBAB3,BBB46
D3652,D37C2,D3535
BBABD,BB9E5,BBA83
D34A0,D34F1,D34CA
BB9F4,BB8E5,BBA39
D34F0,D3235,D33F1
BB8AD,BBAC2,BBAFB
D3402,D347B,D34BD
BB9D6,BBB5B,BBAD5
D3423,D346A,D350C
BBA55,BB99A,BB9F0
D3417,D34E3,D33E5
BB957,BBA22,BBB1F
D34DD,D3618,D358F
BBBA1,BBB80,BBB3A
D34D2,D3539,D34A3
BBC45,BBE29,BBB7E
D3665,D36E1,D386B
BBAA5,BB88A,BB976
D33A0,D35E9,D3604
BBB00,BBA50,BB9EF
D358E,D3538,D35DE
BBC18,BBA9E,BBBA2
D359B,D3612,D353E
BBA34,BBAA0,BBB42
D3556,D37D4,D3826
BBD0E,BBBE6,BBA6C
D366B,D34F0,D3712
BBAF7,BBA66,BBA9A
D3541,D3631,D3572
BBB1E,BBC2C,BBC89
D35A1,D36B2,D366D
BBB33,BBC6D,BBBA3
D367C,D36A2,D376C
BBBE6,BBC15,BBA35
D36A8,D34CF,D3527
BBCEF,BBD36,BBA9C
D35A9,D3517,D3666
BBC52,BBD9B,BBC53
D3600,D369C,D3761
BBD83,BBCDD,BBB85
D3808,D377B,D355D
BBAAF,BBC9A,BBBC8
D363B,D37AC,D351C
BBC05,BBB94,BBC35
D3722,D37D2,D34C8
BBBDF,BBD51,BBD24
D377E,D36C4,D35FE
BBBAC,BBDF8,BBC20
D34DB,D3726,D3856
BBC94,BBC81,BBBFB
D3493,D36B4,D37DB
BBD3E,BBF22,BBC66
D3836,D3792,D38E9
BBD4C,BBC58,BBEE3
D36C3,D3832,D3829
BBC32,BBCB6,BBCBF
D36BE,D3790,D3910
BBEC4,BBE49,BBDC4
D36FC,D38B6,D3857
BBD11,BBEBE,BBE81
D387A,D3692,D38CD
BBDE4,BBCEE,BBC86
D3750,D38BF,D3896
BBC63,BBD79,BBE18
D36FE,D3A08,D3A57
BBE22,BBE3E,BBD05
D3776,D3852,D362A
BBE7E,BC002,BBDDD
D3830,D371F,D381B
BBE83,BBE7B,BBCFC
D3825,D3878,D37E4
BBDD1,BBED7,BBC9F
D38F0,D382F,D3743
BBBFA,BBC93,BBE6A
D3783,D370F,D3840
BBF04,BBD2D,BBDB3
D3843,D3776,D387C
BBD80,BBF42,BBC53
D38F9,D3925,D37C9
BBED4,BBC4F,BBC9A
D38B7,D384F,D3A65
BBC38,BBEC7,BBF2E
D391C,D39C5,D39C0
BBC93,BBDA1,BBF94
D382D,D39DD,D3798
BBE83,BBD57,BBF79
D3660,D3962,D37BD
BC038,BBDE6,BBF69
D386D,D3A6D,D39C3
BBE47,BBB14,BBDA5
D37CE,D3843,D37A2
BBDD0,BBCC5,BBE20
D3689,D38F2,D399B
BBD32,BBC6A,BBE8D
D3968,D38A4,D3876
BBFA1,BBFA9,BBF57
D3928,D38FD,D3994
BBFA5,BBF10,BBF25
D37B6,D3807,D397E
BBF6A,BBD6C,BBEF3
D38ED,D3A83,D3A57
BBF7D,BC1AC,BBFA9
D3B08,D3A80,D38C2
BBED5,BBD60,BC08D
D39B9,D39AD,D3981
BBF45,BC10B,BBEA0
D3A41,D39E5,D3A08
BBE93,BC111,BBEE8
D3A40,D3984,D3B28
BBEDF,BBE41,BBE1F
D3871,D3AE0,D39E4
BC10B,BBEDC,BBECA
D2BFE,D2D4F,D2D2A
BC5C0,BC51C,BC511
D3E8E,D3EFC,D3FAA
BC6B2,BC5CD,BC6D2
D40F1,D3E9F,D3DF2
BC6BB,BC595,BC68A
D3F2C,D3F0C,D3D0D
BC576,BC41B,BC509
D4015,D3FA7,D3FFC
BC5EF,BC697,BC503
D3DB3,D3E72,D3EB2
BC493,BC53D,BC4E2
D3DFD,D3E71,D3F6D
BC5E0,BC46F,BC345
D3E4F,D3F2F,D3EC9
BC46A,BC57E,BC3E8
D41DB,D410E,D400C
BC5C9,BC632,BC560
D3DA8,D3E4E,D3FF2
BC545,BC4D7,BC5D4
D3F64,D4041,D3F3A
BC519,BC558,BC5BD
D3F35,D3EBE,D4053
BC59D,BC45D,BC497
D3F42,D4062,D3F1C
BC498,BC5AD,BC47C
D3E0A,D3DD6,D3F63
BC59E,BC3C4,BC65A
D40A0,D4107,D4192
BC60A,BC4FF,BC4C4
D3FE1,D4004,D40F5
BC546,BC4A7,BC4C2
D3F2C,D3E2A,D3FAD
BC594,BC50D,BC5EE
D402E,D4087,D3E83
BC71C,BC4AE,BC436
D4165,D3FEF,D40C7
BC5AF,BC53F,BC525
D3F79,D3FB2,D4078
BC73B,BC6F9,BC5AD
D4215,D41E6,D42BF
BC75B,BC50C,BC698
D3E9B,D40A5,D3FC7
BC7F9,BC4C9,BC5B6
D408B,D41FE,D4141
BC687,BC550,BC76F
D40C0,D3E92,D40CE
BC5ED,BC3E6,BC606
D426D,D414C,D4150
BC71B,BC550,BC6B7
D3F3A,D3E99,D3E43
BC60C,BC53F,BC3AE
D4053,D4038,D3FCB
BC7BB,BC798,BC64B
D405D,D3FE1,D409F
BC679,BC6EE,BC778
D40B0,D3FCF,D3F2C
BC557,BC674,BC485
D3E92,D401A,D4125
BC4E0,BC76C,BC67F
D40D3,D415F,D4097
BC6E4,BC663,BC59E
D4172,D42B3,D4225
BC738,BC7B7,BC604
D410C,D41C2,D41E0
BC8BB,BC639,BC793
D40E8,D4009,D3FE8
BC77A,BC4B2,BC4A7
D3FA2,D40C1,D3ED3
BC56C,BC5FD,BC61B
D4034,D4155,D4041
BC6EA,BC7BE,BC7E7
D430E,D42E6,D430B
BC752,BCA73,BC830
D4124,D40A2,D415F
BC715,BC7A6,BC743
D3F56,D422D,D41EA
BC90A,BC6EA,BC6FD
D41E7,D4036,D40EA
BC853,BC5CB,BC80A
D42A0,D4299,D4367
BC8BF,BC5F9,BC6FE
D41DB,D3E97,D40B2
BC676,BC5F2,BC5C3
D42F6,D408E,D40FA
BC6C7,BC6D9,BC86F
D3FC0,D4273,D4038
BC64D,BC568,BC7A8
D401E,D42FD,D42F8
BC821,BC587,BC730
D4047,D4079,D40FB
BC78B,BC7D6,BC5E4
D4077,D418A,D4221
BC848,BC781,BC641
D3F80,D4211,D40F0
BC746,BC75D,BC74E
D42C0,D40F3,D41B0
BC650,BC6DD,BC628
D41AB,D4053,D41EE
BC886,BC948,BC6E4
D4152,D4141,D3F06
BC740,BC6A3,BC7F5
D412A,D41ED,D4214
BC7EC,BC8CB,BC866
D434B,D4134,D40A5
BC7CA,BC785,BC769
D428B,D4233,D4197
BC7AA,BC65F,BC6C4
D4132,D4307,D4328
BC6A9,BC88A,BC734
D41AC,D4285,D425A
BC837,BC72B,BC816
D41E9,D44B3,D4453
BC792,BC62A,BC73E
D4203,D444B,D42D5
BC995,BC805,BC7B9
D426E,D4317,D4343
BC722,BC8FC,BC840
D4232,D444B,D417A
BC7BF,BC8C3,BCB2B
D4443,D4434,D43DB
BC7E7,BC887,BC8DC
D4434,D4612,D4574
BCA1E,BC932,BC946
D4444,D4493,D4574
BC8D5,BC799,BC8C6
D4290,D4217,D4240
BC8E6,BCAAF,BCA4A
D2CB3,D2EAF,D2EC5
BC688,BC7D8,BC562
D40AA,D412B,D4389
BC5FB,BC647,BC70F
D414B,D4128,D41AC
BC82B,BC65E,BC645
D40F5,D437F,D4030
BC757,BC63F,BC783
D40FB,D42BA,D434A
BC976,BC90D,BC737
D41ED,D42C5,D4180
BC766,BC79B,BC8B0
D423E,D3FD2,D4043
BC71A,BC745,BC631
D406B,D406C,D40B4
BC6E1,BC6D2,BC823
D41FC,D4144,D40E8
BC65D,BC690,BC659
D3FE7,D3FD5,D3F86
BC832,BC566,BC5BB
D404E,D4211,D40D1
BC6D4,BC655,BC5E3
D3FC4,D4129,D4125
BC7EE,BC837,BC66B
D4151,D43F9,D40B4
BC607,BC5B4,BC869
D4052,D41C8,D4142
BC8ED,BC824,BC8B2
D415F,D410F,D429B
BC61F,BC60E,BC7D1
D42C7,D420B,D41CA
BC860,BC5E5,BC640
D434A,D4320,D429F
BC6DA,BC8B0,BC71B
D4244,D41B3,D4101
BC932,BC762,BC714
D41B7,D40BF,D4343
BC77B,BC6EB,BC84F
D3FE0,D41A9,D420B
BC559,BC70E,BC814
D4192,D4071,D423D
BC65C,BC83E,BC7A3
D41FB,D427B,D41F2
BCA59,BC8EF,BC746
D429B,D4196,D423F
BC76C,BC85C,BC693
D435A,D43D5,D44E8
BC77F,BC8D6,BC880
D424D,D434D,D442C
BCA05,BC818,BC662
D4372,D42B5,D43E0
BC7C1,BC79A,BC8E0
D428B,D4342,D42BE
BCA42,BCABC,BC7E3
D430A,D4393,D432C
BC9E6,BC75A,BC870
D4270,D4456,D41F9
BC96C,BC836,BC9C3
D42F9,D4305,D4314
BC777,BC714,BC7AF
D4194,D4312,D43C7
BC827,BC84F,BC8DA
D417B,D4346,D42C0
BC91E,BC88B,BC8B8
D43CE,D428C,D434A
BC991,BC803,BC7A8
D4404,D429D,D4207
BC900,BC6D1,BC8A1
D412D,D4563,D4409
BCAD1,BC7D6,BC8A4
D4318,D4406,D4341
BCB27,BCB00,BC93B
D433E,D4695,D43C2
BC979,BC9AE,BCBD3
D43B5,D43A7,D46AC
BCADE,BCAFB,BCBD6
D44AB,D46E6,D4356
BC8E1,BC909,BC981
D43F5,D43C9,D4484
BCA3A,BCAFA,BCA39
D479F,D46B7,D4641
BCAF2,BCBAA,BC931
D44BD,D46F8,D4511
BCADD,BCA49,BCA92
D4444,D4435,D45B1
BCA11,BCBAA,BCC83
D43DC,D4445,D43F9
BCA0D,BCA8D,BC991
D452C,D456C,D441E
BC8E4,BCB22,BCA18
D4591,D4546,D44E4
BC950,BC8DD,BC820
D4468,D466E,D4341
BCB11,BC8B9,BC9C5
D454D,D4463,D440B
BCB21,BC86D,BCA4C
D4642,D4623,D444C
BCD5C,BCB06,BCB02
D4476,D4626,D43DD
BCB7F,BCA48,BC997
D424D,D43FD,D436B
BC9D7,BCB58,BC969
D4410,D43B4,D43FB
BCA49,BC91E,BCA4D
D4385,D443B,D450A
BCBF0,BC935,BC9F5
D440F,D4352,D434F
BCA9D,BC922,BC9BB
D452F,D4330,D4460
BC9EC,BC8EE,BC6F5
D44DB,D4458,D42A6
BCB43,BCAE1,BCA4B
D46B3,D46F0,D4737
BC93B,BCB2B,BC9E6
D442B,D4414,D44B1
BC85A,BC934,BC9D5
D4567,D442A,D43FE
BCA29,BC890,BC9C4
D44C0,D4430,D4474
BCADC,BCA15,BCBE1
D469D,D44EE,D4331
BCA85,BC9B1,BCAD1
D440A,D43B4,D42EC
BCAA2,BC996,BC889
D43F8,D44A1,D4566
BCAD9,BC94F,BCA5A
D4572,D45A5,D45A3
BC99F,BC9FD,BCA22
D38A7,D397A,D3998
BCFC9,BCFD2,BD0E3
D4AED,D4BF7,D4960
BD210,BCECA,BD16D
D4B32,D4A47,D4B49
BCEB9,BCF33,BD0BD
D4C06,D4ABF,D4AE3
BCF9E,BD0AB,BCF50
D4C5F,D4ADF,D4A81
BCF47,BCF32,BCE81
D47DD,D4891,D4812
BD064,BCF55,BCE6E
D483F,D4A86,D4A9D
BD350,BCFAD,BD070
D498E,D4A28,D48BC
BD0DB,BD0A5,BD02F
D4BCE,D4B52,D4BFD
BD03C,BCF44,BD134
D4A07,D4AAC,D49A0
BD1A3,BD1A8,BD195
D4989,D4B2E,D4B8E
BCFD6,BD122,BD01C
D4C49,D4BCF,D4AAF
BCFFA,BD169,BD15C
D4B3A,D4CB8,D4BC0
BD04D,BD0EC,BD203
D4C47,D4C68,D4D42
BCFAC,BCFE4,BD054
D4CE6,D4BF6,D4AD5
BD0FC,BD04D,BD029
D4CF1,D4BB6,D4BEB
BCF86,BD091,BCEC8
D4C44,D4DB7,D4C58
BD217,BD2D7,BD296
D4CE6,D4D31,D4DCC
BD37C,BD09C,BD092
D4C6D,D4AD1,D4AE2
BD22A,BD276,BD3C5
D4B7D,D4F9B,D4E2F
BD411,BD357,BD230
D4D96,D4CC4,D4F7A
BD229,BD2E9,BD36F
D4E47,D4D00,D4CD5
BD1CC,BD2BC,BD3D1
D4ED9,D4CB2,D4C3D
BD243,BD369,BD1CA
D4C2D,D4C73,D4CC7
BD112,BD198,BD216
D4EDE,D4BBF,D4E00
BD2AA,BD17B,BD1F5
D4C32,D4C39,D4C33
BD455,BD258,BD23F
D4D03,D4CDD,D4C10
BD166,BD1A0,BD004
D4B2A,D4DDB,D4BD4
BD21E,BD23D,BD462
D4D2A,D4B95,D4D5A
BD204,BD397,BD260
D4BF7,D4EB6,D4DFE
BD203,BD21E,BD26C
D4BC6,D4C61,D4B4A
BD1B1,BD124,BD03A
D4B92,D4D5F,D4D0E
BD2C8,BD0C2,BD3BB
D4BD6,D4CB1,D4DC3
BD4C1,BD38F,BD11E
D4CDD,D4DD3,D4CF7
BD2F7,BD2C7,BD1CF
D4BB6,D4C91,D4CDA
BD140,BD263,BD2F2
D4B8D,D4D5F,D4AFF
BD355,BD2EA,BD241
D4CBB,D4C96,D4B5A
BD165,BD210,BD1B2
D4A9B,D4B1F,D4C54
BD2F7,BD43E,BD37D
D4EC6,D4C92,D4D63
BD2BE,BD2E7,BD1CA
D4C38,D4E84,D4D78
BD239,BD35F,BD38C
D500B,D4DF1,D4D17
BD279,BD2EC,BD495
D4D63,D4EE8,D4CA2
BD4B6,BD3C0,BD425
D4CD3,D4BEE,D4EBE
BD2A9,BD2D1,BD2B9
D4C3B,D4C81,D4C17
BD454,BD2D5,BD2D7
D4D87,D4F19,D4F1F
BD35D,BD2BD,BD20E
D4CE6,D4E48,D4DA9
BD47F,BD3E1,BD3B0
D4FD2,D4EC7,D50FB
BD4EA,BD583,BD512
D4EA1,D4F8C,D4F2E
BD42B,BD47C,BD69F
D512A,D509A,D4F9F
BD347,BD3F2,BD454
D4D18,D4D37,D4E24
BD43C,BD3DE,BD352
D4F2F,D4F19,D4E54
BD5BB,BD46A,BD2EC
D4D93,D4EAB,D5003
BD42B,BD46F,BD544
D4F75,D4E82,D5083
BD4DB,BD497,BD3DE
D4F2E,D4C56,D4E6C
BD330,BD439,BD249
D4EE5,D505E,D4F77
BD431,BD50B,BD623
D4EA6,D5100,D4EDF
BD56A,BD4B2,BD602
D50E9,D50D5,D520C
BD46F,BD462,BD5A2
D4F39,D4FA1,D4F64
BD530,BD3E0,BD61B
D50AA,D5109,D506E
BD4F9,BD4CB,BD469
D4F67,D4F40,D4EF3
BD61D,BD652,BD5D8
D4F96,D5079,D5055
BD5A0,BD6B2,BD5EA
D4FDD,D4F24,D5044
BD556,BD66B,BD521
D50F0,D4F33,D5109
BD3C7,BD4AA,BD6BB
D5260,D5136,D508C
BD403,BD6C3,BD487
D4E60,D4EB8,D4F36
BD390,BD02F,BD123
D4BFD,D4DF5,D4A88
BD09B,BD15C,BD005
D4ADD,D4A10,D4A90
BD1D6,BD00E,BD22E
D49FC,D49D9,D497B
BD0C3,BD156,BD0BC
D4B0E,D4C14,D4B96
BD167,BD100,BD254
D4A51,D4C17,D4A16
BD031,BD054,BD279
D4BA3,D4D26,D495D
BD1C7,BD195,BD21D
D4C83,D4CC5,D4C2B
BD2E6,BD26E,BD0CF
D4D34,D4E97,D4E27
BD32A,BD373,BD261
D4A61,D4B5C,D4A5B
BD08F,BD1D3,BD07D
D4BD3,D4CED,D4D61
BD4CE,BD1C4,BD30B
D4D9A,D4E95,D4C77
BD042,BD1D0,BD208
D4A3F,D4A5B,D4D2E
BD4A0,BD05F,BD1FA
D4C40,D4DB5,D4D18
BD217,BD370,BD241
D4CD4,D4D0D,D4CDA
BD32C,BD1E8,BD2E9
D4C0C,D4D6A,D4C3B
BD33D,BD200,BD058
D4CF5,D4E79,D4C59
BD344,BD269,BD295
D4D4B,D4DCB,D4B35
BD21A,BD26C,BD2E6
D4E39,D4F5F,D4E68
BD31E,BD5AC,BD4A6
D4BD1,D4C35,D4BC8
BD39A,BD32A,BD392
D4D74,D4EC2,D4BEB
BD21A,BD25D,BD20D
D4D09,D4CDF,D4D76
BD2A5,BD3CF,BD422
D4CA2,D4B7D,D4BFF
BD1FA,BD39C,BD15E
D4D05,D4C59,D4F87
BD216,BD1F5,BD0F9
D4D24,D4D1F,D4D5F
BD198,BD14B,BD102
D4C28,D4C43,D4D29
BD499,BD1F0,BD2E2
D4C8D,D4BB5,D4E6E
BD3A1,BD30C,BD4AD
D4BFD,D4C54,D4D84
BD39E,BD349,BD4E8
D4F78,D4ED7,D4D63
BD418,BD297,BD2E1
D4C4D,D4E3D,D4E04
BD1B7,BD354,BD486
D4C63,D4DEF,D4E2A
BD40B,BD4D8,BD484
D4D03,D4FC0,D4E99
BD349,BD35E,BD35C
D4F44,D4F33,D4D8F
BD2D5,BD407,BD2D0
D4EE1,D4F96,D4E6A
BD39D,BD398,BD394
D4E18,D4F25,D4F6D
BD529,BD374,BD3F4
D4F6B,D4C3A,D4E5B
BD425,BD4B7,BD419
D4DCB,D4E4C,D4E1D
BD447,BD3CC,BD3AF
D5023,D4E02,D4CBD
BD417,BD41F,BD3F7
D4E8A,D4CA2,D4DDB
BD221,BD344,BD433
D4E24,D4F0C,D4EE8
BD256,BD426,BD439
D51C6,D4DB0,D4F4B
BD44B,BD3F0,BD38E
D4F25,D4D4C,D4E02
BD631,BD2EC,BD411
D4E42,D4DF1,D4D77
BD440,BD4E5,BD3C5
D4EA6,D4F8F,D4E56
BD510,BD4E4,BD3C1
D4E02,D4EBE,D4E92
BD3C3,BD4A9,BD534
D4CDC,D4FC6,D5012
BD263,BD24C,BD344
D4F90,D4CD3,D4F02
BD3A7,BD3FC,BD4E8
D4DDD,D4E3B,D4D5F
BD28F,BD422,BD285
D4F96,D4E09,D4FE4
BD597,BD487,BD4C8
D4BDA,D4D41,D4E4A
BD3EC,BD4B3,BD598
D4EF5,D4EFE,D4F67
BD44A,BD24A,BD4C2
D4ED9,D4E7B,D4DE4
BD386,BD396,BD2E3
D4D95,D4E4D,D4F9A
BD51E,BD302,BD2C5
D4EA5,D50A8,D4E92
BD555,BD422,BD3FF
D4EC8,D4F76,D4F9C
BD556,BD32F,BD496
D4E12,D4CE1,D4F08
BD5D2,BD53A,BD574
D4E57,D4F5F,D5143
BD4E9,BD626,BD224
D4ED6,D4EAD,D4EB3
BD46A,BD495,BD42C
D4DBE,D4F6A,D4E96
BD3C2,BD448,BD3AE
D4EDE,D4FD7,D4EA4
BD3FB,BD41B,BD491
D503A,D4F2F,D4F4F
BD6D0,BD4EC,BD494
D4DC1,D4EBF,D4F57
BD1C9,BD61A,BD5D8
D4E73,D5076,D4FAF
BD512,BD589,BD476
D4FB6,D4F8F,D4E39
BD5A5,BD4E6,BD538
D43C3,D43F5,D43DD
BDBA6,BDA65,BDBEE
D5476,D5579,D5581
BDBE0,BDBE2,BDB55
D55C7,D5515,D5560
BDAB4,BDB0B,BDD01
D56C6,D5601,D560B
BDB91,BDC10,BDBB6
D569E,D548E,D5784
BDC3D,BD9C3,BDCF1
D5573,D553B,D5741
BDC20,BDD2D,BDB7E
D55FC,D55D5,D5616
BD955,BDA6F,BD956
D571E,D5537,D5711
BDB70,BDBD4,BDAC4
D57BD,D5701,D5807
BDACB,BDB24,BDC74
D569E,D55CC,D56C7
BDBBB,BDD85,BDDCF
D55F8,D571B,D569C
BDB32,BDDA1,BD98E
D5595,D576E,D552E
BDC4B,BDBF6,BDC5A
D5850,D5806,D573F
BDDA3,BDCC1,BDB73
D55FE,D5654,D583E
BDC9E,BDDF4,BDC68
D571A,D5717,D5736
BDD39,BDD45,BDD50
D5801,D56AE,D57FF
BDF0A,BDF9C,BDC77
D5A7B,D576D,D5809
BDF5B,BDF54,BDD3F
D5914,D56B9,D56F2
BDEDD,BDE26,BDE3A
D58AB,D5927,D5898
BDD60,BDE8B,BDDAD
D57CA,D57A0,D56D9
BDC40,BDC9E,BDACB
D5724,D58B3,D5A67
BDE04,BDD10,BDBD2
D5827,D5680,D587A
BDFFC,BE041,BDF23
D57C2,D562F,D59F0
BE004,BE019,BDE88
D57FB,D5A62,D58B1
BDD1A,BDEE7,BDFCF
D5AA0,D59D6,D59B7
BDF26,BDE19,BDCFF
D582C,D5832,D58D3
BDD95,BDD5A,BDDBE
D5768,D5843,D593B
BDE6C,BDF21,BDDAA
D5913,D56DE,D5670
BDCEC,BDC30,BDB8F
D594B,D5858,D5939
BDDBA,BDC1A,BDD78
D5ADE,D5780,D59F3
BDDF4,BDF00,BDF43
D59A2,D5997,D59B6
BDFD1,BDE8E,BDF8A
D5936,D5AF0,D580C
BDEF0,BE00E,BDD5F
D583F,D577B,D5814
BDF7E,BDE41,BDE0F
D591A,D5777,D59DA
BDD72,BDE41,BDE79
D59C1,D57BF,D5927
BDDB4,BDEFB,BDDED
D58D9,D58C6,D5937
BDFD4,BDEA9,BDF8F
D59F3,D5941,D5837
BDE37,BDE81,BDED3
D58EC,D58B0,D59B2
BDE36,BDF60,BDE7C
D586F,D573A,D588F
BDE9E,BDDDD,BDE04
D5898,D5798,D5963
BDE16,BDD13,BDE04
D5A39,D58F7,D5A5C
BDEF9,BDCDE,BDE87
D5861,D5917,D5979
BDDCF,BDE9D,BDC9C
D585E,D58D6,D59DE
BDE71,BDDF3,BDD9E
D5953,D5811,D599E
BDF16,BDF36,BDF2D
D5882,D5822,D5A0D
BDF99,BE014,BDDB9
D58D2,D59AF,D5B0E
BDFD4,BDFDF,BDE95
D59E5,D5A01,D5963
BDFA9,BDD6B,BDE9D
D58B1,D5932,D596B
BDFBA,BDE91,BDE46
D57E9,D5A4E,D5A01
BE180,BDD3F,BDD9F
D58D2,D575C,D58F8
BDE02,BDF34,BDEE6
D59B9,D585B,D5B0D
BDE43,BDDFB,BDE2F
D5B50,D599B,D59EF
BDE6A,BDEDE,BDEDA
D57AB,D597F,D5916
BE16A,BDEF8,BE202
D58EE,D589D,D598A
BE01E,BE066,BDF8D
D5C87,D5A9C,D597D
BDFA0,BDDDC,BDE44
D5A04,D58E6,D5964
BDE37,BE065,BDF70
D5C25,D5BBB,D5BF7
BE1E3,BDF9E,BDF1F
D5879,D5A1E,D595B
BDFDF,BDE2B,BE018
D573F,D5818,D594F
BDF90,BE05B,BDF4E
D5867,D5AB0,D59FD
BDC52,BDEE4,BE08E
D5A43,D5A22,D5A57
BE0DA,BDF6E,BDF3F
D5A22,D588E,D5A1E
BE01C,BDE29,BDF20
D57FE,D58B5,D594B
BE03B,BE07B,BE055
D58F3,D59DD,D5A3C
BE0AC,BDFB6,BE149
D4850,D4804,D487A
BDF10,BDECD,BE142
D587B,D58E1,D5886
BE059,BDE1B,BDF3F
D589D,D59BD,D5A55
BDFBF,BE092,BDE36
D58C2,D5ABD,D5A45
BE01D,BE011,BDDB1
D5982,D5AF8,D5C2C
BE019,BDF94,BDF97
D5B98,D5D34,D5AC9
BDFE7,BDEC8,BDFEC
D57F3,D5AA8,D598C
BDE09,BDE89,BDE99
D598B,D5A78,D5A38
BDFF6,BDDC5,BDFBB
D5955,D5A76,D5A14
BDDF3,BDF39,BDFDD
D5883,D5989,D58E8
BDF13,BDEA5,BDE72
D59AA,D57F4,D58F5
BE00F,BDE53,BE01F
D5A69,D5B4F,D5A4A
BDEA7,BE0D0,BDEBA
D59D8,D5A86,D59EA
BDF25,BE027,BE047
D59C4,D5AD1,D5971
BDF21,BE073,BE096
D58D7,D5A1A,D59FD
BDE23,BE001,BDF31
D5977,D5AC0,D5964
BDE4E,BDF11,BDF76
D596B,D5980,D5AB3
BE114,BDE1D,BDE13
D59AA,D5B20,D594A
BDF56,BDE86,BE110
D5B89,D5E0A,D5985
BDF4D,BE108,BE18D
D5A12,D5A58,D5AB9
BE092,BDEDD,BDFC3
D5B64,D5BB7,D5A90
BDFA8,BDF29,BDF1E
D5A75,D5879,D5AA5
BDE31,BE14C,BDE20
D5926,D5858,D5B06
