{'CALIB_RAW_DAC_START_I': 294912, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
AA1F1,A9D6C,AA0EE
C1A0B,C1AC5,C1AFA
AA1BE,AA158,AA26A
C1BC7,C1B2C,C1C0A
AA18B,AA255,AA311
C1BFD,C1C4E,C19EF
AA1A9,AA18B,AA23F
C1E69,C1B51,C1DBF
AA1E8,AA3A7,AA312
C1B4B,C1B7D,C1C64
AA0E6,AA329,AA1F4
C1B94,C1B42,C1BA3
AA358,AA365,AA110
C1DAD,C1F1A,C1BFA
AA34B,AA34C,AA2DE
C1D86,C1EFA,C1D53
AA323,AA1BE,AA294
C1E0A,C1DF3,C1DDE
AA1A0,AA280,AA0C7
C1C54,C1DA6,C1D5C
AA330,AA298,AA21F
C1D4D,C1C1C,C1CD1
AA26B,AA384,AA331
C1C2E,C1D1A,C1C83
AA275,AA26D,AA1F7
C1C68,C1C56,C1DF4
AA1EE,AA504,AA2F3
C1D4C,C1CCA,C1DFA
AA399,AA4A1,AA28C
C1E9A,C1D7E,C1CDD
AA2E0,AA342,AA2DC
C1D67,C1D3A,C1DA2
AA495,AA104,AA5C6
C1E6E,C1E45,C1E18
AA3A9,AA415,AA399
C1DB9,C1CD0,C1E27
AA40D,AA2DD,AA1F8
C1B4A,C1D19,C1E9C
AA445,AA3AB,AA30D
C1D90,C1D70,C1EED
AA402,AA5A4,AA3AA
C1D23,C1BBB,C1E50
AA3EC,AA3D0,AA38D
C1C38,C1DBC,C1D04
AA2AB,AA344,AA40D
C1BD1,C1CD5,C1DDA
AA27E,AA3D5,AA236
C1E74,C1F11,C1F9B
AA3A6,AA378,AA376
C1D62,C1DCD,C1D49
AA48D,AA520,AA4CE
C1DCD,C1ECA,C1EE6
AA4A4,AA461,AA24D
C1F29,C1F98,C1DC7
AA2D1,AA401,AA3A5
C1F4E,C1E76,C1DDF
AA428,AA2B0,AA329
C1ECA,C1E77,C1EA5
AA4A4,AA413,AA31A
C1EA3,C1E96,C1CBB
AA493,AA457,AA428
C1D7B,C1F8C,C1F52
AA415,AA5CE,AA37F
C1DAD,C1D3A,C2017
AA456,AA3BC,AA59C
C2027,C1FD3,C1F0F
AA2DF,AA3CA,AA3BF
C1EE8,C1E8A,C1F55
AA641,AA6D9,AA516
C20A2,C1FC9,C1CE4
AA322,AA4FF,AA3B3
C1F69,C1E53,C1F8B
AA57A,AA404,AA3AA
C1D11,C1E67,C1E1F
AA499,AA46C,AA239
C1CD3,C1E6E,C1DD8
AA52C,AA3E4,AA3AC
C1D0A,C1DA9,C1E73
AA3B7,AA351,AA3F0
C1EF9,C2076,C2105
AA4E6,AA4D8,AA345
C1C4E,C1F11,C1D1C
AA5F6,AA43C,AA3B2
C1E75,C1E36,C1E23
AA41A,AA4F5,AA2C9
C1EB7,C1D85,C1E97
AA37E,AA47C,AA3D2
C1F7F,C1EE2,C1EE3
AA5B6,AA48E,AA38B
C1F91,C1FDA,C1E5F
AA4B8,AA53D,AA3F2
C1E7D,C1DD0,C1E85
AA403,AA43E,AA467
C1D1F,C1E10,C1CF1
AA4ED,AA4BA,AA346
C1F2D,C1FFD,C1F21
AA3F5,AA442,AA3E6
C1E64,C1CE8,C2009
AA4F6,AA30C,AA34D
C1FA7,C1EFD,C1F7E
AA265,AA502,AA412
C1F1B,C1FB9,C1FD2
AA431,AA375,AA594
C1F1C,C2033,C2091
AA631,AA522,AA673
C1F96,C1F0F,C1FAD
AA3C5,AA5AF,AA5F3
C20BC,C1F63,C2031
AA57B,AA5FE,AA705
C2111,C1F71,C209D
AA5CF,AA535,AA4CC
C210B,C22DE,C20DB
AA45D,AA55A,AA5C3
C2029,C1FD9,C20A7
AA500,AA5A6,AA592
C1E4C,C1EE1,C1F8E
AA6AE,AA467,AA56E
C1F28,C203C,C207B
AA6C0,AA6EA,AA435
C211D,C20E6,C2046
AA695,AA52A,AA5AF
C1FF2,C2057,C2050
AA585,AA57E,AA654
C2021,C1FCA,C1FD0
AA639,AA631,AA847
C1FF1,C1EC7,C1F98
AA4C6,AA524,AA7BE
C144B,C141F,C10EF
AAAEB,AAAFB,AAD1C
C23A6,C24CC,C264F
AAAA5,AAB5D,AA9C9
C2362,C2335,C2591
AAB86,AABF6,AAB36
C2551,C250A,C254D
AAB58,AABC2,AABEC
C273C,C2749,C269A
AABDF,AAAEE,AAB9B
C26B7,C281E,C2634
AABBB,AAC58,AACCC
C265E,C258E,C2920
AAE28,AAC33,AACFF
C258A,C2831,C26BD
AAE59,AABCC,AAD69
C2602,C27B7,C2757
AAC0C,AAC8D,AABA8
C2732,C278C,C249B
AAE09,AACDE,AAF72
C268F,C27A9,C27C0
AAEE7,AAC8D,AAB81
C296A,C27F8,C28DB
AAB41,AACE7,AAC4D
C2810,C2818,C254A
AAC45,AAB02,AAC34
C2713,C256F,C26B8
AAE82,AAE6F,AAD5D
C28A9,C2804,C2839
AAC95,AAE4B,AAB69
C260E,C2749,C260C
AAD3B,AACB5,AAC45
C25E4,C278C,C2910
AADAE,AAC61,AACB9
C26EA,C296C,C2688
AAE17,AAE5D,AAD23
C2811,C29CD,C28C6
AAEAA,AAD50,AAD87
C28CB,C2952,C28DE
