{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
99216,991CD,991C7
B0C53,B0CE4,B0D57
9959C,992CF,9948D
B0B5F,B0C19,B0D6A
9946F,99348,99445
B0C5B,B0A73,B0C92
994BA,9924F,9934A
B0D7B,B0F92,B0D69
99542,9939F,99453
B0BCD,B0EDA,B0BFF
99316,993AE,991E9
B0D95,B0E70,B0ED8
9940B,99458,992EE
B0C62,B0C8E,B0E87
9935F,9956D,992FE
B0D3A,B0DA6,B0EA3
991D4,99311,99376
B0D82,B0D76,B0D53
99623,9936C,99425
B0DCB,B0D25,B0C89
99258,9939F,991C4
B0E62,B0E95,B0D3C
9930C,9944F,9947C
B0D60,B0EF6,B0EC4
9947D,99566,992FC
B0DBD,B0E2F,B0EAE
9938D,99415,99515
B0DE1,B0CAE,B0EB2
993E3,99553,9947C
B106B,B0E65,B0FAD
994B0,99576,99345
B0EE0,B0F4F,B0F07
994FD,99521,9939D
B0CDE,B0D89,B0EE3
9935A,9944C,9970B
B0D61,B0F8F,B0F7B
9937B,99532,994E3
B0D28,B0E88,B0E58
99302,99425,99589
B11E5,B0F6E,B10B9
994B6,9930A,993AF
B0EA7,B0EE1,B0F23
99578,993B8,993E7
B0E65,B10B2,B0F6D
99525,99471,9957D
B0F55,B0EB1,B0E5E
994B7,99373,99593
B10AC,B10EF,B10F7
9967B,9938E,99375
B0E57,B0EEB,B0F71
9944C,99501,99538
B0EEA,B109D,B10F0
9938B,9949F,995CA
B0F50,B0D0E,B0F34
995A4,99479,99494
B10AF,B0EDC,B0E49
993B9,99564,995A8
B0EDE,B0FDA,B105A
9963D,99574,994FB
B0EE0,B0E9A,B10B9
995E7,997E2,99745
B0F1F,B0FBA,B0FC4
9969E,99658,995F6
B0EB7,B0FEE,B0F39
996E6,99529,995B5
B0EDF,B0EA2,B0E73
9945C,9950A,995B7
B0E7A,B1091,B0FD2
9957A,996BA,99586
B0FA8,B1047,B0FEB
9953E,99493,99625
B1140,B10FA,B0F4A
9959F,994E5,994AF
B0FC0,B0EEB,B0EF0
99549,9931E,994E6
B0F74,B0F6D,B1184
99430,99602,9956E
B1014,B10F3,B0EAA
99448,995CA,9959B
B1049,B0FE7,B1228
99497,9936C,9943F
B0CBF,B0DCB,B0F2C
99578,99719,994B4
B10EC,B0EB2,B110A
99636,996A9,995D6
B101E,B1059,B0EDE
99462,99607,9935A
B1150,B0FF0,B0F33
995B3,994AE,993B6
B0E63,B0F0C,B0F49
995BF,995B7,993CA
B11F9,B0D98,B113B
9968F,994E1,99767
B103C,B124C,B10E1
994BF,99527,994CE
B114A,B10A6,B0F56
995F4,995B2,9984F
B10E5,B1183,B10A4
995E8,99644,9948B
B10B8,B10D3,B109F
99533,9947D,99602
B0EE8,B0FCB,B0D75
9952B,9958E,99602
B0EDF,B10E4,B108D
9956A,996A3,99759
B0EBF,B0F80,B109E
997EE,995F6,994C4
B140D,B11D9,B1293
99609,99873,99979
B10C2,B0FA4,B126E
99751,9951A,9960C
B12E2,B1415,B122B
9960F,99796,99797
B1229,B1208,B109A
99665,994FB,9962E
B10CD,B0F09,B1075
99731,99723,994E3
B10DB,B1182,B116A
99748,99829,99765
B1298,B1264,B10F4
99849,996CE,9970A
B1173,B1194,B0F73
996E1,996C4,9978A
B1074,B11B9,B117B
9992E,9969F,99767
B0F27,B10B8,B1091
99848,9965A,99880
B066A,B05CF,B05E0
99E04,99BDB,99DA9
B17A1,B16E0,B1991
99D44,99E70,99E26
B1894,B14B8,B16D1
99E90,99DAC,99D59
B1731,B1868,B176E
99FD9,99D77,99C43
B1A01,B18C2,B18C3
99D3A,99D92,99F2D
B1920,B1A3F,B1785
99EFE,99DD9,99F35
B18BE,B174B,B17BE
99D21,99CF3,99E16
B184A,B1735,B18C1
99DD6,99F4C,99F7B
B19CA,B1A31,B1958
99D7B,99F06,99F26
B1882,B183B,B187F
99DE2,99F44,99B9A
B19A8,B182D,B19F6
99D62,99D76,99D63
B1764,B169F,B182D
99DA7,99CB9,99C0C
B1744,B1964,B18C9
99D9D,99EE3,99CC2
B1856,B181D,B1472
99DF2,99EE2,99D90
B1977,B189A,B170C
99DDE,99E13,99CF0
B1900,B181A,B1892
99E3F,99EDE,99F40
B196F,B182E,B1859
99FA1,99F85,99F7A
B1992,B1A8F,B1987
9A10C,99F0F,99F06
B197D,B1A5F,B1992
99E62,99E27,9A0FC
B1999,B17C6,B1A10
9A1C7,99EA4,9A0D3
B1A05,B18EB,B17E3
99F38,99FB8,99E61
B1978,B18A8,B1B2C
