{'CALIB_RAW_DAC_START_I': 360448, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
891E4,89372,8920A
A0B7D,A0F30,A0EDA
89266,89104,893C9
A0DD6,A0BC3,A0B53
89340,89332,89324
A0D01,A0E95,A0BC6
894DE,894AF,89651
A0E98,A0E72,A0F87
89211,89421,8943C
A0D5D,A0E8B,A0DEB
88F56,892A8,89493
A0F45,A0E26,A0F67
89382,89424,8951C
A0D53,A0EB4,A0D63
892E6,892D9,89343
A105F,A104C,A0F0D
892D2,8939E,89457
A0D86,A0ECF,A1117
892D2,89522,892EF
A0D88,A0DA6,A0F57
89333,891D1,891B3
A0E5A,A0D8F,A0D5B
8939B,89406,892C2
A0C90,A0ED0,A0F96
893A0,89437,8947B
A0E16,A0F5C,A0DF7
8935A,895C6,893CE
A0F2B,A0D94,A1049
8959D,89302,893C9
A0FA2,A0F46,A0E2E
89609,89375,894FE
A0E9A,A0F24,A0F9F
894B7,89414,89228
A0F26,A0E51,A0F15
89558,8936B,894D8
A0E23,A0E09,A0E53
89492,8936D,89449
A0D17,A0E72,A0D50
89339,893D3,8940F
A1065,A0F23,A0F0F
89507,893A7,8951B
A1089,A0DF8,A101B
895EA,8967F,895D9
A0FE3,A112B,A0E6C
895DE,894BD,895E4
A0FCA,A0E9D,A103C
8940F,89717,89360
A0FDC,A10DA,A0EF6
89753,89423,895BF
A0E2F,A0E87,A0F36
89472,89565,892C4
A0E7C,A0F69,A0E73
89536,89542,894AB
A0EFD,A0EFE,A0D6B
89595,8941E,8929F
A0FFC,A0CA0,A0E2A
895B0,893DA,895B4
A0F43,A0F22,A0C0C
89292,893B1,8923B
A0CB6,A0DD5,A0F49
8947A,893D4,89531
A10DE,A0F72,A10BA
89396,89614,893B1
A0CCA,A0CE0,A0EC9
8932D,8932F,892F5
A0EC9,A0E0A,A0EBB
894B0,893DA,892A7
A0F36,A0F46,A100C
89695,89554,8955B
A11A0,A1080,A0F7F
89586,895E1,893F8
A0DA5,A0F62,A0F8C
896B4,896F1,89488
A110A,A0F7D,A0FE8
8948D,89629,89663
A103A,A0FE0,A0D15
894BB,894C1,894A9
A0E53,A1066,A0FC3
895A1,8930E,894B8
A0F33,A10E3,A1021
893BD,894A7,89394
A0D45,A0EC8,A0DD9
89305,894B0,89482
A0D52,A0DC0,A0F9B
8958D,89358,89401
A0F76,A0EAD,A0D50
893E2,893E7,893A9
A0F4E,A0F55,A11A1
8962A,894CC,89658
A1022,A1022,A1081
89592,896E5,895F5
A114D,A1091,A10AB
89579,89606,89614
A102D,A1203,A0DA6
89685,89546,8969E
A11A0,A110B,A1125
895B5,8963A,893AC
A0FF5,A1168,A102E
89675,89751,8961A
A1172,A10DA,A113A
8953C,89601,8971D
A0F0C,A1072,A10F6
8977B,89772,89627
A10F8,A1110,A11DE
895CD,895F6,896DC
A114E,A1089,A1188
898A8,89908,897A6
A12F5,A114F,A113E
896ED,896D5,896D1
A118F,A10F2,A12C7
89697,89598,895F4
A111E,A120B,A1383
89847,8973D,897D2
A0FF8,A11EA,A10B1
896E8,897CE,89794
A1148,A1196,A121B
89738,897A8,89764
A1085,A122F,A117C
89690,897D5,8974A
A1430,A114A,A1289
897FE,89877,897F0
A0EB9,A10F8,A102E
896B0,89651,896CF
A11F4,A11A6,A109F
89748,8961A,897A6
A1044,A11B4,A126F
896A1,89614,898D3
A024B,A04A3,A04C1
89E8F,89D32,89D74
A1797,A1686,A162B
89D5D,89B9E,89E4D
A16DA,A1810,A16CB
89DCB,89D41,89C29
A171B,A1785,A1931
89D43,89CD9,89E40
A191B,A18E5,A17E1
89E77,89E23,89DBC
A1789,A1874,A17D8
89C01,89AF3,89DA8
A1806,A17E8,A1679
89FE8,89FDC,89E0E
A19A9,A18D3,A1991
8A030,89E4B,89B10
A1A11,A1922,A1957
89E9A,89F7E,89DCD
A180B,A18A5,A158D
89E97,89D33,89D03
A1904,A18E7,A1700
89E6F,89DB9,89E50
A182A,A18EA,A167C
89D85,89B79,8A02B
A1953,A1885,A19C9
89F3F,89E39,89EAF
A18A9,A19AE,A17CE
89FCE,89EB9,89F6C
A1876,A19A5,A1937
89F11,89E3B,89DEA
A18F8,A19D7,A17A2
89D3F,89DED,89D77
A1AEE,A1A80,A1AE3
89FA0,89F33,89EFD
A17E2,A1B0F,A19DE
89F1E,89F44,89EC1
A1886,A18AC,A1A56
89DFC,89E66,89E54
A185C,A1713,A191A
8A07A,89CDC,8A016
A18A1,A17FB,A184C
89DB1,8A118,89EA0
A1BA9,A19F0,A17F0
89FA1,89EE8,89DF2
A1714,A1AE4,A18D0
89D94,8A037,89E3B
A17EE,A17A1,A17AF
89FF7,89F4A,8A006
A1A5C,A1B00,A1ADC
89F04,8A070,89FD7
A198D,A18A3,A18AD
89E31,89DB3,8A046
A1A29,A1B28,A1B13
8A07B,8A160,8A070
A17F2,A1A1C,A19F1
89EE4,89F43,89E39
A1A21,A1B35,A196C
8A074,8A011,89F6D
A19FC,A1A19,A193F
89F55,89EA3,89EC4
A19A6,A1C33,A18EE
89F36,8A04C,89FF6
A1AE9,A1967,A1979
89F88,89E4D,8A0A8
A1A05,A1B6B,A1C5A
89F88,89FBA,89D64
A18F7,A1973,A1801
89F35,89F6D,89EEA
A1A56,A17DA,A19AD
89E9E,89F89,89FD3
A16F2,A193C,A19C2
89ED4,89E80,89F43
A1A36,A19EA,A1A68
8A16F,89E83,8A076
A182C,A1AF3,A19C1
89F4C,89F68,8A259
A1C21,A1A2B,A1B3B
89EB9,8A169,89FC2
A1AFF,A1C17,A1B23
8A034,8A069,8A00D
A1C14,A1BDB,A1B53
89F97,89E97,89F46
A1A88,A18E3,A1886
89DFB,8A0FF,8A001
A185C,A1960,A1964
89CD9,89FA4,89FEA
A1808,A19F4,A19DF
89DD8,89F6B,89F63
A190F,A1AAF,A16B2
89F99,8A045,89E77
A1A5D,A1AF2,A17BF
89F42,89F38,89FC3
A1ABD,A1B60,A18FC
89F08,8A06E,89F8D
A1A27,A1909,A19C9
89FD4,89F6C,8A02D
A1C08,A19BB,A198A
89EC7,89FC0,89F2D
A186E,A19B5,A1A1E
89F58,8A05B,8A090
A19E7,A194E,A188A
89F82,89F0C,89FA8
A1844,A1A4E,A1900
8A04D,8A155,89F60
A1C4E,A1B51,A1A1F
8A06E,89EC0,89EDC
A18FB,A19AC,A1A26
89F2E,8A0EE,8A1E4
A18AB,A1C64,A1BB2
8A1B7,8A1B6,8A1DA
A1AD3,A1A94,A1AE4
8A0B6,8A319,8A086
A1AF8,A1B76,A1BF9
8A1A1,8A15C,8A025
A1B0C,A1CEF,A1C58
8A123,8A081,89FA5
A1B62,A1B45,A1A37
8A13A,8A170,8A24F
A1C18,A1C52,A1C9A
89FE3,8A0EB,8A0B9
A1C9A,A1B46,A1C1D
