{'CALIB_RAW_DAC_START_I': 393216, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
79493,79507,794F1
90D9D,90E14,90DD8
79418,792F0,791D8
90E64,90B9F,90DEC
79304,79427,79465
90C81,90E57,90F6A
794B9,7958E,7953A
90E68,90F3F,9101D
79345,79449,79467
90F0B,90E07,90D2D
794B9,79452,794AF
90FF2,910EF,90F2B
79648,7966E,7949D
90E5A,9104D,90D8C
79668,79616,7943E
90FF7,90EC4,91041
796C7,79614,794F9
90F4D,90F4B,90FC0
797B3,79567,7940B
90EAD,9113D,90F32
79701,796A9,79502
90E97,90DCC,91072
7952A,79648,794B3
9103C,911D3,91127
7954E,79533,79732
90F42,91195,90FFA
79646,79728,797AF
91041,910E2,9109B
796FA,796F3,79531
9100F,90ECA,90FAF
7951F,79527,79551
910B8,91383,91062
796B6,79776,79583
90EF0,910DA,90F5A
79642,795E5,7944A
911B9,9102C,90F9E
79785,795A3,796B8
9100E,9101B,91015
795DA,79494,7951B
912F5,910A0,90FD5
7985F,79782,79692
9121F,910B3,9108B
7991D,795F5,79764
91092,91117,90FA5
795F1,796E6,79619
90F12,90F4E,9116C
795F1,7980D,7963F
9113E,9113D,910FA
797A1,7966C,79628
9107E,90FF9,90FD4
7989B,794FB,7960B
910E2,91199,90FB4
79716,796CF,79685
911DA,91017,9119E
795CD,795C5,79698
91006,910A3,9102B
795F7,7966B,79595
90FF3,911C4,910D9
7947B,794FF,795B2
90FDC,90EF7,9115E
79561,793F0,79592
90DF2,90DD5,9117C
795C1,7947F,793A9
90EC7,9102A,90F8C
795CA,794C4,793B0
91144,9107C,910A3
795D7,7964E,7959B
90FC1,910CB,910D2
7959E,79564,797A4
91038,911FF,911D3
79571,79636,796E5
912F2,910B7,91137
794FC,7965D,797BB
90DDD,90FFD,90FF0
795B9,7955D,794D3
91138,90F8C,90F41
79689,79653,79564
910EF,910E4,911A5
795AB,795EC,7983E
911A7,91165,91173
7967E,794A8,79519
90E99,91091,9107D
79717,79405,7959B
91123,911D1,91143
79581,7977D,79756
91046,90F6E,911B5
795D0,796BB,7967C
9118E,91111,9110B
7971F,796CA,796D1
90F88,91099,91300
798E8,798F8,799B1
911C7,91326,913EE
798F4,79953,7979A
91340,9130F,91199
7976E,79865,797F5
9119F,912D0,91103
797EB,79923,7975F
91335,90EFB,910F2
7987F,79737,7963F
91086,9103C,91075
795FE,796A6,796CB
91170,9124E,91127
7950E,79936,799F9
912C7,912AF,91229
7995E,7963A,79819
911F2,911B6,91220
7982C,797A8,7992A
