{'CALIB_RAW_DAC_START_I': 425984, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
69672,69752,696B9
810A0,80F90,811F6
69825,69747,6974F
80FD5,81100,8118A
698D8,6976E,69780
81148,81104,810D7
697D8,69858,69736
8138D,8126D,81200
69733,698AB,6973C
812C1,81484,8131C
6979D,69760,69760
81246,811D4,813C8
698C9,69828,69877
811D9,811FF,8123F
69981,698D5,696EB
8126E,81247,81356
6983C,69894,698F5
8128F,81304,811E5
69927,699F0,6988B
813C0,813B2,812BA
697E7,69920,698EC
811F3,81417,814FD
69900,6982C,698C9
8136B,8122E,811BC
698E3,699A5,69739
8150D,813B6,81334
69946,69A43,698B2
811EC,8119E,81229
698AA,69779,698D8
81347,813F0,81236
69A9A,6997D,69ABA
8145D,81490,8143D
69955,69B68,69AA9
8124E,8131B,81246
69A01,69955,6985E
811C1,812D2,8129E
697FA,696E8,6996F
81114,812D1,81136
69B00,697CA,6967B
8117B,81244,8144F
697A3,69717,6996E
81302,812AF,81459
69871,69881,6988C
8148D,81472,811E6
698EE,69938,69844
8133C,8129E,8117C
69A63,69997,698DE
81557,81585,814FC
6991A,69A24,69991
8141D,81201,8122C
69745,69815,699E7
81279,81462,8112F
6989E,6983E,6987D
81419,81422,812A9
6980B,699E5,698B1
812C8,8146A,8136B
69A56,69A1D,6993B
814C4,81492,812D0
69870,697B5,69948
812BE,81516,813A9
69869,697F0,698EF
8123F,8138E,81312
699FC,69937,6985E
81281,81249,8120F
698DC,69630,697E5
81270,810F8,8126A
69829,69873,69972
812A4,81362,8128F
69775,696BF,69895
81229,8134C,8157C
69A2D,69746,698D1
812E1,8141A,81283
69879,69A9A,6984E
812CA,8128F,81312
6980B,69799,699F2
81542,815D9,814B3
699C1,698A8,699B1
8146D,813FC,813C3
69969,6976E,699F0
815F8,81615,813FE
69A92,69A6E,698F5
813BC,81376,813C5
698A2,69A50,69A6F
81346,8135F,812EB
6993A,699A4,698C2
814D4,812B3,812DF
69A5A,6989B,6979D
814A3,81447,814CD
6997F,6994E,69929
81104,81391,81478
699E9,69A68,69850
813F8,81417,81513
6987E,6999C,69A93
813E2,81264,81205
698D0,69A51,69842
8136F,816F8,81546
69A71,69A1A,698CF
812E1,815D4,811C3
697E6,698F3,69979
81480,812E0,81499
69933,6988A,697F9
81461,811EC,81356
69910,699AE,697B4
81410,81286,81334
699FB,6986B,69952
81338,81468,81555
69A57,69A13,69AA5
8144D,8150A,81347
69993,699AB,69A7C
81499,81462,81382
69A52,699D8,69B0D
816AC,8159B,81635
6995B,69AC5,69A6C
81538,814DC,814DD
69AB2,69A82,69BB1
8156A,81570,8154C
699F2,699A5,69B3C
81585,81696,816F0
69CA2,69C88,69AAD
81601,81604,8169B
69B67,69D5F,69A9B
81615,814CD,815F8
69BA7,69DF5,69C02
81670,815B0,81538
69BF4,69B95,69D43
8167C,81707,815EA
69A32,69AFC,69C77
808AA,80952,809FD
6A19F,6A0D5,6A294
81BBF,81AD4,81B7B
6A132,6A1B6,6A33B
81A06,81C1A,81D6F
6A477,6A302,6A2D2
81A6A,81B67,81CD8
6A18A,6A129,69FA0
81B9D,81CDA,81981
6A0B9,69F0E,6A027
81BA4,81D0F,81B3A
6A1B8,6A118,6A20E
81CB2,81C0C,81D36
6A2DE,6A2B8,6A11B
81CD3,81B61,81C92
6A1DD,6A13E,6A06F
81DE5,81CCD,81C02
69FF9,6A032,6A17E
81B51,81BF0,81DAA
6A420,6A101,6A0B1
81E06,81D7F,81B62
6A1A7,6A349,6A111
819F7,81BEA,81B98
6A103,6A30B,6A288
81B4C,81C27,81AA3
6A23B,6A02B,6A2E2
81B50,81C39,81CD4
6A051,69EFB,69FDE
81BD7,81AFA,81C89
6A1E5,6A181,6A1D5
81B95,81A54,81CD5
6A19B,6A0D3,6A1B9
81BE1,81C4B,81CDE
6A1C2,6A29F,6A2BF
81B8E,81DAD,81E3D
6A260,6A59B,6A321
81D7F,81DEE,81D24
6A389,6A2A6,6A1D3
81C73,81BB4,81D2E
6A346,6A310,6A376
81C39,81DEB,81D04
6A2F4,6A0DD,6A2D9
81C19,81D0F,81CF3
6A2D7,6A1C7,6A351
81E5A,81E8E,81E9D
6A1B3,6A1CC,6A1FD
81D9D,81D2B,81CAE
6A256,6A44D,6A2EE
81DD9,81F52,81E6A
6A321,6A4C7,6A33D
81C56,81C33,81CFC
6A280,6A1BB,6A138
81DD3,81DB2,81D5B
6A278,6A314,6A387
81C92,81DA7,81DD2
6A5A5,6A4DC,6A3A3
81E6C,81F4C,81EBE
6A351,6A3E7,6A47F
81E32,81DF6,81EC6
6A369,6A325,6A211
81CF8,81CE0,81D37
6A42E,6A562,6A44A
81ECD,81FF1,81EDC
6A682,6A3BA,6A1F1
81F21,81E0B,81BBC
6A30E,6A37B,6A499
81EAF,81F4E,81E77
6A417,6A458,6A517
81DA3,81CCF,81CED
6A407,6A408,6A409
81CB2,81BE5,81CCD
6A3EF,6A4B1,6A3BC
81F9F,81FEB,81E26
6A5AB,6A58E,6A502
81CC5,81E5B,81D20
6A348,6A3A7,6A501
81F63,81F19,81E68
6A522,6A4D8,6A418
81F13,81EF6,81D1E
6A2CF,6A43E,6A378
81F97,81F07,81F64
6A487,6A42E,6A57E
81E39,81E17,81CAD
6A3CF,6A339,6A4DC
81DB1,82066,81F3A
6A3D8,6A42D,6A3FF
81DBE,81DC7,81F24
6A2A5,6A486,6A3A9
81F0F,81F3F,81FE7
6A3CE,6A3EF,6A221
81E0E,81EF2,81DA8
6A4FB,6A48D,6A602
82024,81E3D,81F34
6A4CE,6A4A2,6A3F5
81E5F,81EEE,81DC9
6A264,6A24A,6A54F
81E59,81DD7,81E20
6A2D3,6A4F1,6A1DD
81E4F,81F62,81ECD
6A23F,6A343,6A51D
81DF8,81F9E,81E9C
6A474,6A360,6A2CF
81CFA,81E1C,81CCC
6A4BF,6A4A3,6A516
81ECB,81E85,81F0C
6A679,6A5FC,6A49F
82098,82086,82171
6A77C,6A5FF,6A482
81F40,81F28,820F4
6A47E,6A5D3,6A5B8
81FDD,81E0D,81FC2
6A52D,6A655,6A660
821A3,820CB,821EA
6A60C,6A452,6A7A7
81EB0,81F2C,81EAD
6A3F8,6A578,6A4E7
81D67,81FAD,81F1D
6A382,6A28B,6A314
82008,81E43,81D75
6A31B,6A374,6A3E1
81FA1,81F71,82154
6A2B5,6A268,6A495
81DDB,81EE4,81E88
6A54C,6A289,6A4FD
82012,81F69,820F4
6A493,6A3CF,6A6BB
81F8E,81E18,81F1E
6A285,6A432,6A45A
80733,8074F,808EA
6A15E,6A3A4,6A26A
81A9E,81A7E,81B98
6A273,6A0C7,6A382
81A6F,81CA3,81C86
6A0A3,6A357,6A1A9
81C6D,81BD2,81BE3
6A37A,6A2D8,6A126
81ADB,81B97,81C2F
6A1B7,6A121,6A042
81B83,81ADE,81C2B
6A1F6,6A06F,6A22D
81C8F,81D71,81BB9
6A29A,6A2FA,6A324
81C07,81C87,81B91
6A2C1,6A0C5,6A190
81C58,81D8F,8207D
6A2E4,6A337,6A2E8
81D8B,81E2F,81EA7
6A258,6A457,6A1F6
81D42,81E00,81F62
6A373,6A345,6A21D
81F0C,81D9B,81F52
6A48F,6A43E,6A3F3
81CE1,81C5A,81FBA
6A195,6A4C6,6A28F
81DEE,81D42,81DB2
6A45C,6A3E0,6A422
81EB1,81E4F,81DD5
6A449,6A405,6A3AC
81FD2,81C7D,81E8F
6A47B,6A35A,6A342
81E47,81FD8,82010
6A3E3,6A1F8,6A292
81D39,81E77,81DA0
6A68C,6A44E,6A44C
82001,81F52,81E3D
6A5A0,6A4DE,6A1DE
81F1F,81CE6,81D38
