{'CALIB_RAW_DAC_START_I': 458752, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
585DF,585C0,5840F
70270,700C0,70274
5874B,587D7,58710
70183,70149,702FE
587BE,5886F,5862A
6FF56,70342,700C4
585C7,58734,587BD
70197,701C5,70133
5869E,5875C,586DA
701BE,701FF,6FEDB
587B0,586BC,58731
701F0,70224,703DE
58889,58873,588E7
7006B,7030A,7020F
5886A,586F1,58596
704E1,70207,701B7
58642,58665,58507
6FF25,70237,7010A
58660,585DE,586A8
70297,7012A,6FF90
58611,586DA,58798
70136,7021C,7022A
5869F,585B1,58951
70204,70380,702B8
5874F,587AC,5886A
7012A,70200,70142
588EE,5887E,587F5
70322,7024F,703A7
586BC,586E5,588D1
702B0,70127,7029A
58784,58748,58709
700A8,703F0,701D7
58882,58839,58891
702E5,704DB,70470
58917,58923,58932
70205,7015C,7011F
58884,587EE,589F3
700FB,701DA,702E7
588D5,58752,58768
703EB,703E7,703B2
58A1D,58A05,589C7
70439,7036B,70400
586E8,58908,58A63
7024A,702BC,7033F
58720,587DB,587D2
703FC,70390,70476
58856,58929,58B16
704E2,705D8,70532
5893D,58958,58811
702D2,7027A,70359
58989,58869,588DA
7022A,70346,7021C
5890C,5898A,5896C
702CF,70395,702B4
588EE,58968,588CA
701B9,70297,70580
588F0,58943,588DC
704AE,70655,70373
5898D,58988,58BF2
7036F,70333,704A7
588FF,58788,588DF
70437,7022B,70251
58965,5877F,58A16
702CB,70254,70198
586CB,587EB,58875
7031E,70406,7056E
589F7,58928,58970
703DA,702E2,703F5
58729,588C7,58949
70444,70352,70402
5889B,589DA,58ABD
7060C,70390,7042B
58B42,58A7B,58893
704D1,7027A,70520
58976,58AF7,58AA8
7056D,7040B,70323
589B7,58A9E,58B43
70560,704E4,7043D
58977,58AC4,588F5
70567,70641,7060F
588DC,58913,58A32
702FA,704F2,70389
58BC2,588FC,58AA5
705C9,704BB,701E0
5898C,58899,58C5A
70693,70524,70468
58A77,58A3F,58A82
70423,704BB,70303
588CA,58A76,58AB2
70472,70471,702B9
58900,588B5,58AAD
705D7,70429,70448
58BA1,58A46,58AB6
70590,7054A,70437
58B5C,58AFE,58926
704AD,704DC,70589
58A8F,589AE,589E0
7052F,705F5,70522
58A87,589D1,58AC4
7044D,70521,7049E
58CAC,58BCE,5892F
70554,7052B,70461
58A6C,58A9D,58A2A
705C0,70653,706A4
58A3E,58DB1,58CF1
704DD,70663,7058F
58B9E,58B26,58BD5
70675,70530,7053D
58B47,58C60,58A44
705E0,7059D,70694
58B5F,58C14,58BD8
706A5,706E3,7080A
58B0B,58C88,58BB1
705FC,708AE,7075E
58D3F,58D77,58CAC
708BE,706B2,70758
58B9C,58B98,58C64
706F2,704D4,70606
58A52,58C2F,58C90
70744,705BE,7068A
58B4F,58ABA,58C30
70675,707DA,7073B
58DA4,58D4D,58F04
70752,7071B,70869
58BCD,58CAF,58C6F
70860,706FF,706BC
58CE5,58C62,58AB1
6F8A0,6F8FB,6F791
59075,59343,591F1
70CD1,70AA4,70D21
59076,59159,591FD
70C22,70E10,70C6E
59146,591D9,591FD
70B57,70BDB,70B51
59509,5932E,59357
70E0D,70B5F,70D9A
5940A,5940B,59351
70DD6,70E6D,70C74
591BC,590D8,5924E
70DD0,70C06,70B68
592BD,592D5,5917C
70E27,70B98,70C1C
59172,593B1,59309
70D03,7103E,70DC0
59261,593A7,59360
70BBE,70CBD,70D15
592BD,5933B,591C8
70EBF,70CD8,70DB2
59382,592C2,59130
70B2A,70B19,70AB7
590B9,5918E,59254
70BF5,70BED,70CF8
5917E,591C7,59202
70A57,70BE3,70B0D
5930C,59319,590E0
70B76,70B78,70C0F
591B3,59289,59049
70B95,70DC9,70A06
59208,59255,5913C
70CF3,70DF9,70D71
593DE,59166,592FD
70E5D,70D95,70D39
592AD,59347,592EB
70C71,70CE5,70C8E
59286,59278,59312
70D1D,70CC7,70E4C
592A0,5928E,593C5
70DFD,70CF7,70DA0
592B5,593BC,59354
70D34,70B68,70D93
59349,5953B,59348
70E14,70EDF,70EC5
592BB,5915C,59378
70DBB,70EC7,70E42
594FC,59420,5928C
70E54,70CB9,70DBF
5932A,59296,594EE
70D16,70C4A,70D87
5942D,594CF,59482
70D06,71006,70E71
594AC,591F9,5943E
70E02,70F5E,70E4A
59377,594C8,593FA
70FE4,70EC6,70F4E
593E5,593FD,59366
70E59,70E52,70EF1
5944F,59528,594CF
70E9F,70EDA,70F88
59581,592E5,59440
70E0D,70EC2,70E89
59371,59509,59305
70F65,71129,70E4A
593BB,5942E,594CB
70DBA,710B0,70DEF
5937A,59438,591A3
70D05,70CE9,70FBF
594BD,5935D,5943B
70D05,70DB5,70EEF
59330,592D6,5937C
70E1B,70DDA,70EEB
59398,59476,593E4
70D75,70D82,70F74
5942F,593B1,59394
