{'CALIB_RAW_DAC_START_I': 491520, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
48324,481F9,48232
5FB2F,5FB9D,5FB02
48100,48161,48014
5F9DC,5FA41,5FB65
4817C,481D0,481A9
5FC77,5FBAA,5FCAD
4808B,4834C,48171
5FBEE,5FB00,5FB7F
481A9,480EF,480F5
5FBCB,5FBA2,5FB75
48087,481AF,48031
5FB62,5FA75,5FC06
48228,4803E,48244
5FAF1,5FBA9,5FC52
4828B,481E2,48154
5FCCF,5FDDE,5FDD5
4812E,4829F,482EC
5FB0E,5FD21,5FDCF
48167,480BE,4823C
5FB9E,5FBE5,5FCB3
4829A,481A0,4808F
5FC86,5FD6F,5FD1A
480DE,48144,48197
5FC6C,5FC55,5FC25
482BE,48180,482C3
5FCBD,5FCF6,5FCE4
4821C,48482,4838B
5FD0D,5FD4C,5FBD0
4841D,482CE,483C9
5FE59,5FBEE,5FD24
48134,483B0,4828B
5FD77,5FE8B,5FB47
4843F,48379,48253
5FB76,5FDCC,5FEA4
4807F,4810E,482C4
5FDCF,5FC99,5FB88
4817D,48447,482E2
5FC27,5FD45,5FC20
4817A,482B0,481DB
5FC9D,5FE69,5FE72
48276,4857B,483F9
5FBFA,5FC5E,5FBCA
4824F,482E2,4808A
5FDD7,5FC3F,5FB11
483C6,48354,480E0
5FCC9,5FC6A,5FD36
482ED,481A0,482F7
5FEDF,5FD88,5FDFC
483AD,48257,482EA
5FDB7,5FDBC,5FC86
48218,484EF,48454
5FCF6,5FC3E,5FE59
4844C,482F1,4821F
5FC9C,5FDB1,5FC33
4869C,48504,4843C
5FE59,5FDC3,5FE69
48558,48471,48446
5FF6B,5FF64,5FFCD
484D6,4856D,485F3
5FF1C,5FE37,5FC99
485EF,48549,48547
60039,5FEB4,5FF46
484F7,4841A,48557
60006,5FEE6,5FCC8
4834A,482F8,4835A
5FCB7,60069,5FF3E
48536,484C0,482D6
5FD6E,5FDD6,5FE2D
484A0,484B9,4851B
60023,5FE83,5FCAD
48438,482DF,483B2
5FF42,5FEED,5FDE7
483E1,48410,48450
5FE34,5FDC1,5FD7C
4858B,4837A,484C1
5FDCC,5FBCC,5FC2B
48477,48378,4849D
6009F,5FFCB,5FDC1
48527,48474,482BB
6001C,60080,5FF2D
48447,482DB,4842C
5FE58,5FE8A,5FE52
48217,48315,4833C
5FD68,5FED3,5FD94
482F1,4828C,481DE
5FC08,5FBF5,5FDEE
482DF,4839A,482FE
5FBD4,5FB8B,5FC4D
483C7,481D9,4840B
5FBC4,5FCFA,5FD7C
48328,48248,48369
5FD5C,5FC8D,5FC07
4846A,484F0,481E6
5FD3E,5FE30,5FD04
4849C,48276,4856F
5FFB7,5FE0D,5FF72
485DE,48412,48483
5FEFD,5FCB3,5FE2F
48388,4827F,48415
6012C,5FDEF,5FE97
48393,483FB,482B0
5FCF4,5FF09,5FD1A
4848B,48442,484FE
5FF6A,5FF33,600B3
484B9,48529,4852B
5FF84,5FECA,5FE4A
48727,4845A,485BF
60055,5FFE9,601C9
485D3,4849C,48593
5FF5B,5FE91,5FF35
48478,4836E,483B1
5FEDC,60215,600E7
