{'CALIB_RAW_DAC_START_I': 524288, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
3810D,38296,3816B
4FC4E,4FB87,4FAF7
38132,38180,38213
4FAA2,4FB8C,4FB66
37FC5,38178,38150
4FB33,4FC61,4FCC9
38130,380BF,3822A
4FA50,4FD49,4FAD7
3820A,38076,38249
4FC7D,4FB04,4FD83
38273,383D8,383B2
4FD51,4FCA5,4FCDC
3811F,380CD,38061
4FE8E,4FBD6,4FC11
383EC,38388,382A3
4FDB1,4FE35,4FFF3
38239,38219,381E7
4FB6A,4FC6D,4FD44
3824A,3818D,382FA
4FC79,4FC59,4FD5A
38207,382E3,3817A
4FB5B,4FB47,4FB3A
38133,3802A,3809F
4FBE2,4FC25,4FC4A
382A6,38217,382AC
4FD90,4FD62,4FDC4
381BF,37FB4,38102
4FD9D,4FCC8,4FD39
38116,3837B,3831C
4FDC9,4FC0C,4FDB4
3821F,38313,38197
4FE84,4FCF7,4FC7E
38323,381BB,3835E
4FCDE,4FB76,4FBC1
38326,3840D,38406
4FE17,4FCF8,4FF13
383D0,383F8,38357
4FC8D,4FD3A,4FF2C
3833A,38517,384E9
4FDFC,4FEF8,4FD8C
38467,3844F,3844A
4FD70,4FD40,4FE3A
382CD,38285,382E6
4FC92,4FDF7,4FD8C
382AF,381E6,38489
4FC4B,4FE49,4FF76
382A7,3845D,38105
4FEDD,4FF62,4FE8C
38416,381F1,3842A
4FB7A,4FBC3,4FC76
38296,38284,383F7
4FCE5,4FE06,4FE78
3849A,3831D,383BB
4FCD6,4FCD0,4FE0D
384B0,38424,38257
4FF5E,4FD62,4FE3A
38402,38519,38432
4FE0E,5007E,4FF60
383C7,38361,38550
4FEE9,4FF46,4FFB1
3862C,3833A,384ED
4FF5C,4FE64,4FEDA
384A9,3845E,384B9
4FF23,4FF51,4FF2E
38559,384F0,3854C
4FF0E,4FFA2,4FFA0
38379,383BF,38309
4FD04,501B7,4FDB4
38385,383D5,384D1
4FE83,4FCDD,4FDC6
385E5,383A3,385F5
4FD59,5006C,5001A
38647,38687,3861D
501C6,50009,500D4
384D7,38475,38471
4FF1F,4FFE7,4FEEE
3856C,3842B,38366
4FF5E,4FF93,50027
383A2,382C7,38366
500A7,5011A,50090
3837A,3853A,383FC
4FE3C,4FEE7,4FE26
383E7,38571,385C2
4FFBA,4FF95,4FFB9
3875E,38735,3857A
4FF09,4FF9D,4FF07
38389,38472,384DB
4FE8D,4FF5B,50110
385A9,384C4,3844C
4FDCB,500EB,4FEE5
384B3,3872B,38530
4FF1D,50031,50078
386A7,386BF,386F7
4FFF0,50063,4FFF5
38516,38577,38553
500B1,5007E,50001
385CB,3865C,38687
4FFF1,50088,500ED
38548,38552,38475
50206,4FF7E,50086
38433,38370,3863C
501EE,50071,50124
38725,38633,3865D
501F1,5001E,50088
38657,3886F,38723
50090,500B4,500F5
3862E,38765,387E5
50078,50084,50148
386DC,3866F,386E4
50128,4FFC3,4FFD2
387D1,38639,385E7
50150,50115,50329
3860A,387A1,3879F
5009D,50249,504BB
3877B,388F1,386C1
502F3,50286,502AB
386F8,3879E,387B7
502BE,5020C,5033F
38841,387D1,3882E
502D5,502E1,5037C
389A7,3882D,388B3
501EF,50115,5024E
38619,38859,387BB
502D7,50276,5011F
385B1,385A1,386BD
50202,5027D,50413
38876,38A5B,38A17
4F6A6,4F628,4F643
38E0D,38EAB,38C90
50A28,50856,50892
38F1B,38F3F,38F40
5095A,508D4,508C8
38F71,38EC2,38D2C
509E0,508A1,50AC9
3909A,38DCE,38EBF
50953,5086B,509A3
38F79,38EDC,38E78
50923,507B8,50962
38F8C,38E8E,38E56
509C8,50858,5098C
38B3D,38F0E,38E82
507D0,506C5,5085F
38E9A,38E3D,38C5D
50A13,50AC0,509DC
38D90,38BC8,38E48
50A01,50898,508FC
38E85,38B74,38E6E
5083B,50852,506B2
38DC3,38E5D,38CA7
50773,50957,50859
38EF0,38EE9,38EC3
50961,50A26,50861
38E1B,38BEB,38E3B
509A8,50861,50A7B
39017,38E04,38FAE
50875,509C9,509EE
38CF0,38EE0,38E77
50897,5091E,5081C
38F0F,38E4B,38FE4
50AE4,50A65,509D0
38E6E,38F8B,38ED1
50825,5078B,50963
38EBA,39166,38F1A
509AE,50B3B,5093E
39166,38ECE,38D68
50700,50816,508D4
38DF2,38EA7,3900B
50B74,508DE,50BA4
38CC3,38FE4,38ED6
50954,50AD9,50A23
38E38,38FCF,38FDC
509F6,5088D,50934
38CC9,38EF5,38F8E
509C1,50970,50B17
38FD4,38F5A,38DD0
50B48,50B61,50A88
39185,39167,39284
50A16,50A7D,50C17
38F86,38FEF,38FC8
50911,509BC,508A7
38FDC,38ED9,38EE1
50A70,50934,509B6
39117,38CFF,38DF7
50960,50921,50AEA
3905E,39066,38FC2
5086A,507FC,50958
38D70,38CFF,38E8E
509E3,5088E,50A3E
390D1,38FB6,38F9C
509A1,509A4,50A18
38DA5,38D4B,38F8E
50CB8,50A95,50B20
38EFC,38FC3,38F60
508CA,50A8C,50910
38ED4,38FED,3901B
508FF,50A2F,50958
390DB,39081,3905F
50B94,50B05,50915
38E86,38EE1,38F31
50BBE,50AE5,50B8A
3906B,38EAC,39017
50A60,50AEC,50B67
38F00,3900F,390E0
50B5C,50B7E,509F5
3902E,39042,390B9
50A31,50C4A,50B0D
39062,38EE2,390B4
50C54,50D0B,50BBA
38F16,39224,39147
50ADA,509D3,50CAF
390A1,3907A,38F2E
50A62,50971,50B99
39047,390F6,38FF2
50AB9,50B0B,50A04
38FA3,38EBB,39021
50BA4,50AA8,509B8
39214,39148,39102
50A36,50A60,50C67
39041,38F68,3911A
507B8,509E2,509BA
38FD9,39191,391B3
50AF9,50D69,50BA5
39103,39074,38FA4
50AD9,50991,50B8F
3924F,39269,38D9D
50BA6,50A9D,50BFE
39003,38ECB,390B6
509A8,50B97,509E1
38EA4,38F75,39065
50B24,50B2A,50C3C
390B9,38E87,3921C
50BE8,50C68,50A16
39084,39243,39031
50BB7,509D7,50A01
390B5,390C5,39034
50C47,50CEE,50C95
3912D,39198,3909B
50A11,50C12,50D46
39086,391BA,38FA8
50BF3,50BE6,50CFF
39211,39045,39224
50BB6,50B1D,50A59
39260,39176,39082
50BB3,50A41,50D9F
393A0,3913E,3919C
50DCA,50DDF,50D7B
