{'CALIB_RAW_DAC_START_I': 557056, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
27AD5,27A4A,27A17
3F469,3F3F0,3F386
27B15,27AD5,27A00
3F442,3F411,3F40A
278F6,27AAD,279DD
3F423,3F599,3F692
27B4B,279DE,27A31
3F50D,3F56F,3F5A6
27949,27AA5,27C74
3F5F3,3F451,3F335
279E2,27A14,278F9
3F748,3F66E,3F483
27ABD,279F4,27B14
3F517,3F498,3F566
27905,27AF3,27B3B
3F64A,3F707,3F752
27A5C,27A4F,27A95
3F4DF,3F30A,3F4DE
27B02,27A65,27A2A
3F467,3F361,3F5F5
27A4C,27A2C,27B6D
3F5F5,3F506,3F602
27A6C,27C15,27C8E
3F3CA,3F44B,3F5D0
27BF0,27C4D,27C37
3F4C7,3F417,3F59A
27AAC,27A19,27A10
3F4CE,3F1A6,3F472
27AE3,27C09,27B54
3F56D,3F49A,3F4C8
27BA9,27A3F,27A86
3F48C,3F441,3F440
27A90,27B9C,27A30
3F2B3,3F2F8,3F44A
27B73,27ACF,27B28
3F3EA,3F51C,3F383
27A61,27C9C,27C58
3F455,3F447,3F480
2796D,27AC4,279FB
3F5D6,3F570,3F589
2798B,27C1D,27C04
3F4D3,3F5FA,3F424
2793D,27B9F,27953
3F5A6,3F722,3F50D
27BAD,27BE8,27AD5
3F74C,3F5C8,3F5ED
27B34,27C4E,27BA7
3F7F1,3F59A,3F635
27AF9,27B75,27A8C
3F3AA,3F4C0,3F609
27C3F,27B70,278B4
3F5D2,3F524,3F598
2793F,27C1C,27A49
3F4FC,3F480,3F4D9
27B58,27933,27982
3F275,3F2B6,3F5B1
27A85,27ADB,27A20
3F4F2,3F550,3F556
27974,27B2C,279DE
3F4A8,3F72B,3F514
27C4D,27B79,27BDC
3F70D,3F65B,3F464
27B37,27BA7,27AC8
3F4E3,3F5E1,3F725
27B84,27BC5,27AE6
3F79B,3F3EE,3F51D
27BD8,27A5E,27C0C
3F2EB,3F5C8,3F474
27EFE,27C0D,27D41
3F6D2,3F64E,3F578
27DCE,27AF0,27C92
3F590,3F74E,3F5BE
27C0C,27B7F,27DDC
3F6AD,3F664,3F640
27D05,27D91,27BDC
3F4DC,3F576,3F6A5
27A56,27A65,27ACC
3F624,3F665,3F674
27D24,27CE4,27BE0
3F774,3F90D,3F781
27C09,27D55,27CF1
3F666,3F776,3F7EA
27C6B,27DD9,27D9E
3F70B,3F63C,3F8FE
27D3F,27D9D,27C0C
3F627,3F76B,3F7A0
27C7C,27DD5,27C6C
3F842,3F7F3,3F808
27CF0,27D3D,27CA8
3F543,3F6FA,3F5AB
27DF7,27CC7,27C61
3F6FA,3F708,3F576
27D3C,27B69,27AE8
3F78E,3F8AA,3F65E
27C3D,27D39,27C08
3F6C6,3F7DB,3F695
27E91,27EDE,27F23
3F8C6,3F890,3F77B
27D8E,27E9B,27F43
3F723,3F6EB,3F8E5
27E94,27C1A,27E6E
3F61C,3F8A9,3F7BF
27EB3,27E7A,27EA3
3F891,3F892,3F794
27D67,27CB6,27EA3
3F729,3F602,3F818
27F72,27C5D,27CFE
3F766,3F7D3,3F89B
27C84,27EA8,27D02
3F856,3F94A,3F74E
27B3A,27E3C,27E36
3F935,3F9F1,3F99D
27D35,27E4A,27DFD
3F8B2,3F414,3F4E3
27BE1,27D34,27AE3
3F53E,3F595,3F873
27B6D,27CCF,27CED
3F5C8,3F6E4,3F68D
27D21,27D6A,27DED
3F84D,3F7E0,3F709
27C7B,27EBC,27D97
3F63D,3F656,3F913
27D1B,27C9B,27E03
3F85D,3F864,3F7CF
27DEF,27CCB,27DE5
3F8D8,3F743,3F76E
27EC2,27F7E,27F1F
3EA7A,3ED0E,3EB9D
28361,28538,2858C
3FF64,3FF29,3FDCF
28486,28480,28326
3FF1D,3FFEF,3FDEE
284EE,28318,2822F
3FE84,3FCA9,3FF0C
2841F,28382,283F4
40099,3FF75,3FD25
2840C,2855D,283E2
3FC32,3FFAF,3FE66
28698,283BF,284EB
3FE6D,3FE7F,3FF34
283C0,287A4,2869E
3FF0D,3FF6A,3FFA8
2841B,284F2,2853E
400E7,3FFAB,40146
28370,284E4,284B0
3FE13,3FEBB,3FF47
2862C,282C4,28174
3FE3F,3FF9E,400C5
283C9,2855F,286CB
3FE41,3FFD3,3FF63
28648,283BE,28516
3FE52,400CF,40177
28608,28445,2838D
3FEED,3FEA1,3FFB6
285E1,2835B,28331
3FE93,4009D,3FF2D
284E7,284AE,28423
3FE75,4012B,3FE8B
28347,285AE,283C9
3FFD1,40114,40055
28764,2858F,282F6
40163,3FF5D,3FF8D
2855E,28589,286BB
3FFAD,4000C,400CA
28351,2855E,2840C
3FE64,3FD6D,3FFA6
28559,2873E,287F7
4001B,3FEFE,3FFE7
285F3,286F3,28819
40134,400B9,3FFF4
284CA,285FE,28428
401CA,401BF,400EC
28686,28680,286B0
3FFE5,40086,3FEA2
2883F,286A2,28635
3FF84,400D7,40295
2860C,28528,2843E
3FFEE,3FED5,40021
28488,28583,2860D
400CE,40183,4002F
285B2,2851D,2861E
400C0,3FF22,3FFF0
284EE,2852E,283DB
3FE7C,3FEF4,3FDCC
2869A,2865B,286FE
3FF9A,40127,400D8
28692,288D5,287C4
40122,4018A,401A7
2852C,28405,286AB
40159,40141,40097
286DB,286CF,2870C
4031B,40290,400E2
2872B,285C0,286CC
4015E,3FF78,3FFAC
284D8,287EE,286B2
4039E,40204,40233
28572,28821,285CB
3FF32,40246,40018
286E8,28635,2869A
4027C,40330,401D5
28735,288BA,2887A
40279,40118,40299
286BB,284C4,28713
4004F,40251,40160
287D3,2872A,28782
4026F,402AB,40239
2860C,28824,286A0
4022E,402AB,40082
288D2,2856C,285E3
3FF86,40085,400A0
28515,28536,285AE
4000F,402E9,403BF
286E1,2851D,286D6
401C7,40319,40095
2856F,286DD,28759
4027C,40004,40139
2881F,28713,28993
401E8,40374,402FF
2860B,2874F,2861A
4020A,40129,40149
28814,287AE,28825
40261,401E4,401FD
28722,2881B,286C8
40137,40423,4016B
286EF,287C9,285C7
400ED,400FB,40186
287E3,2892A,288B4
40234,4023F,4019C
287C6,28686,28714
4028B,40160,40168
28969,28781,2883B
4032D,403AB,40410
286E6,28833,28657
3FFF7,400FC,401E4
2881A,286B9,287B5
40236,4028D,402C2
28705,288B3,287DD
40319,40454,402D3
28990,28974,28A79
40429,404DB,40379
288B6,288C8,28750
40405,40141,4022E
287A7,2876B,287B4
40387,402AF,401F7
28780,28748,2873E
4030C,4020D,4036E
288C6,2891F,28876
40145,402E2,40264
287FA,2873B,28974
40374,40554,402AA
2885E,287F3,28763
4034B,404B5,402CE
2898B,2898F,2883C
40340,4027E,40421
28946,2894F,2893D
3ED11,3EF0F,3EC54
2875B,2873A,28845
40234,400B6,40033
28851,287B2,28790
4034C,4029A,402E2
2885B,286C2,288BB
4027B,40233,40309
285E9,285D6,28554
400A1,40119,4014B
28721,287A9,28757
403E1,401BC,40001
2869D,28731,287B9
401D6,402C0,40465
2883D,287A1,288A6
40123,401E8,401A1
28716,286B5,286EB
4041D,400D3,4027F
28717,28372,2860B
40126,3FFC1,400F1
284AF,285A5,285DB
401A1,4022F,3FFF8
2877C,28738,28604
3FF72,4028A,40194
28703,287A7,28705
401C3,40112,400DB
287C4,287B9,289FE
40463,4030E,4009D
288D2,289D6,288CE
3FFEE,401FB,400F5
287D5,28749,288CB
4018D,40193,40346
28774,286E5,28756
400CC,40195,401AE
288E3,28798,2877C
4019A,40213,4036C
287FD,286BC,28757
40135,40036,4009D
2868B,28704,28866
3FFC8,4030E,401C4
28783,28747,2874A
4016E,4020B,40189
285AA,288F4,2895A
402A7,40281,400D6
28777,28731,2862E
40200,402E5,4042D
288C5,28809,28936
402D2,402F3,4022B
287CF,28883,28725
4040C,402A0,404BB
28860,28737,285C8
400EB,400CB,401BC
28880,287D3,2860F
402AC,40397,4015C
287BF,288AD,288D7
4035F,402F2,403BC
28A66,287C5,288F3
40343,40527,404C0
2899C,28959,2885E
4044E,4039F,4046C
289CA,289FD,287A0
402DC,4031B,401AB
28821,288D9,28925
4033E,401C4,40421
28922,2880B,2884A
4004C,4013F,40327
28904,2879D,285E0
400A5,40151,40378
28813,28760,28903
40338,4037F,403F7
2879A,28956,28939
403A9,40209,402A4
286B0,2883F,28996
4028F,400EC,40283
287DA,28788,289D4
402CF,40242,40450
286AD,286D1,28727
4025E,402B4,4035B
2881F,28736,2868E
40201,40061,401DB
2876C,28738,2861C
4038D,401D7,404E2
2875D,28860,28767
4014D,402A2,40313
288AE,288D1,28801
4021E,402B5,400F4
2870C,286C1,288F4
40241,40455,400AB
288DB,28808,286E3
4043B,401AB,404BF
28A50,28898,28A1C
4037E,40392,40253
2882B,286D5,286FA
403DB,403FF,40402
28962,288A1,28760
4023B,40412,403C1
28983,288AF,2895D
4030B,4061C,40428
28B04,28A71,2891F
4052B,40444,403D6
28A30,28A49,28ADB
40356,4050C,405C5
28A52,28A10,288E7
4032B,4030E,403E5
288E2,28955,287DB
403C3,4038E,403C8
286FE,2899D,2895F
40239,40370,4034C
288BC,2881F,28B86
40599,405CA,40614
28A74,28AAE,288CC
4045F,4042A,404C7
28BED,28775,28984
4053E,40441,405F1
288DE,28B8C,289A2
40373,402B4,4034D
2891F,28977,2882C
404C5,405A4,4053A
28B6D,28B72,28BD3
40613,4041F,40517
28B3A,288BD,28A39
40454,404E0,404B8
28B2D,28BEA,28C49
403CA,404BC,40445
28B1F,28BE0,28BD7
40508,4066A,407BA
28BA1,28D14,28B04
406E8,403DF,40468
28CA7,28C3C,28A89
3FAAD,3FA3E,3F76B
2910C,2914A,2905E
40AD6,40C1F,40AA1
28F4E,29066,290FF
40BE7,40AA6,40B3E
28EA3,2904C,28FE0
40B59,40B1C,40B9A
291F9,28F7E,290D9
40BAE,40DB8,40B47
29100,29169,2926F
40B70,40B3C,40BCF
290D5,2911E,28F79
40AC2,40AE1,40C57
29191,290B3,290A9
40BDB,40D0A,40C9C
29003,29233,29082
40C65,40C25,40DDB
290B4,2905A,290E4
40B16,40A8F,40C8B
29134,290E5,28FEA
40AC2,40B05,40BF8
29186,28FC4,28F1D
408A8,40BFA,40BBF
29129,29109,290FE
40AA9,40C42,40AB9
2920F,292B4,29025
40BBA,40CED,40E7C
2914F,29120,29096
40CC2,40D08,40E1B
291A8,29256,290AE
40CB5,40AFC,408FC
28F82,290FE,2935F
40BE1,40C1E,40CDE
292EA,292AE,2910A
40B9B,40A7D,40B60
29014,2917C,29067
40C86,40AEB,40C01
293E1,29202,29120
40B55,40D39,40C5E
29346,29136,29230
40CB2,40DFC,40C69
2922A,291D8,29236
40BAA,40BF9,40CA0
29208,292CA,29221
40E19,40CFD,40C70
29146,29275,2915E
40C0D,40C36,40B68
291DC,293DA,292EF
40EDC,40CE1,40E83
2948A,292BA,2938A
40C38,40E16,40B31
292CE,29302,2933A
40BF1,40D4B,40E2C
293EA,2938A,293AD
40E5E,40E82,40D0E
293EF,293FE,294B1
40E93,40D66,40C29
292E8,292AB,293FA
40D7E,40D2B,40DC2
29537,2929C,292F6
40DDD,40B69,40D96
29398,291F5,29229
40D03,40E7E,40D46
293BF,29254,29182
40F25,40F2C,40F1E
292C7,29309,2933D
40CC6,40F9A,40CFE
293B7,293D4,29321
40E30,40E9B,40C90
2943D,2947F,29470
40CFC,40D18,40EC5
294F1,29414,29362
40DEF,40E78,40D98
29389,29332,294B1
40ED8,40D4D,40DCF
29339,292C6,2940B
40D63,40F00,40D35
2943D,29336,29331
40DF5,40FDD,40EC4
29318,2954B,2955F
40F8A,41060,40EB5
2925F,29226,29341
40D07,40E72,40ECE
295D4,29300,293F4
40CA7,40E07,40D8B
29218,2929E,291EE
40BAD,40C93,40DB8
292C8,2936C,293A3
40D24,40E34,40E77
29420,29371,29231
40E58,40BF7,40DC5
29142,29235,293C4
40C7C,40DF8,40C75
2939B,2923C,2935F
40D89,40B34,40CDF
29537,294CE,292C1
40DB8,40E78,40EF7
2928B,29348,293D5
40D34,40E9A,40F28
29363,291A2,2927F
40C8D,40D82,40DAC
293AA,292D4,2949C
40D78,40CC7,40D41
292BC,2938C,292BB
40F62,40EE1,41135
29546,2937E,29388
40DAA,40ECE,40E24
2944D,293C9,2941F
40E40,40EE0,40D36
29326,29319,293B6
