{'CALIB_RAW_DAC_START_I': 589824, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
18317,18435,18371
2FEE8,2FD04,2FA2E
180FE,18382,18247
2FCF4,2FC3F,2FCF3
181C6,18399,184F4
2FC45,2FD64,2FD5E
183B1,182EA,1854B
2FE54,2FD93,2FED7
18458,18505,18447
2FDF8,2FEB0,2FE79
18271,183B1,18451
2FE0A,2FE56,2FD06
183FD,18192,183B8
2FD8C,2FE23,2FDC2
18150,18374,18341
2FD85,2FF1A,2FFE1
1840C,18469,183E9
2FE7C,2FD53,2FDD4
1830B,1824B,183F0
2FDAE,2FCD4,2FDC4
18377,1851B,1856C
2FCC7,2FD69,2FC1B
1830C,1834B,181BE
2FC2B,2FC1F,2FF19
18315,18291,182D9
2FF3B,2FB12,2FEB0
18463,18570,1838F
2FEAB,2FD4C,2FF51
18534,1840F,18537
2FDC8,2FFAA,2FBFA
182B8,1814C,18451
2FF1D,2FF6C,2FCD6
18335,1838B,183DB
2FEAC,2FD9D,2FD17
18521,1852E,1859F
2FED1,2FF9D,2FEF2
18377,1848A,1854B
30142,3007C,30013
1845D,183ED,184DA
2FE7D,2FF07,2FE42
1850C,18563,1854F
30074,2FF94,2FF5D
1850D,1857E,18501
2FD6E,2FEAC,300AA
1871C,1859E,184BC
2FEC4,2FF42,300C8
18539,18485,184A1
30098,300CC,2FFEA
184AD,1853C,18517
3004F,2FEC4,2FF0E
1855C,18424,182D0
2FF22,2FDE0,2FF37
1857B,18555,184A6
30032,2FF66,2FF77
18692,18413,185F8
2FF79,2FFE4,2FF17
185CD,18421,186A7
30251,30041,301A2
184A4,18661,1861E
300A7,300D4,2FE37
185DA,1859F,1868B
2FFD1,30208,2FFD9
18690,185C2,18594
30098,2FFA1,3002C
1855F,18433,1854D
30060,300BD,2FF22
18522,18553,1860D
2FFD0,30111,2FFDB
1861A,18591,185A2
30021,30028,2FFE6
184A4,18576,183D1
2FE15,300F9,2FF4F
18319,1855F,185D4
2FF84,2FE5B,2FF2D
1867B,18423,18482
2FFDC,30171,3021F
185D6,18838,1869B
2FFB9,2FF1F,30073
184F9,185C6,185E5
3005D,301E3,3017C
186B5,18538,185AD
3000B,30152,30101
188AC,18582,186CF
3003A,3010C,300F8
18693,18781,18702
30125,301C7,2FFFE
1850F,18642,186F6
300AE,302A3,3014C
1863D,18786,18515
301EC,30171,30109
1884D,186DE,18743
304F7,30343,30153
186F5,186F8,18563
30320,302E5,30101
18895,1874A,1852B
2FFCE,300AD,301DC
18561,186A4,1865F
30073,30267,300AF
188C8,1871D,189DF
303E0,302B3,301E8
1885C,1860F,18815
3021E,30310,302CD
18798,186B6,18711
3038E,30163,3019A
18995,186F0,18833
3002E,30286,3026C
18955,1871B,188DB
302A2,30213,30527
186D2,188CD,18746
302CB,303A6,30097
186FD,186D1,188C6
303B6,304EE,30538
18929,1878A,1869A
30350,30164,3024F
18855,18911,18699
301A5,30327,30285
1870F,18843,18814
303AC,301E8,30314
18924,187ED,189A0
301DC,3038A,302EC
18877,187B9,18909
30260,30291,3053A
18961,186EA,18842
30163,3028C,302D1
189B1,188DD,189C1
3049B,3051D,3051C
1880F,187D2,18911
2F544,2F6C0,2F5C6
18E0C,18BC7,18D82
30714,30608,30907
18F37,18F19,18D8B
308C9,30B0D,30A78
18E0E,18D8B,18E2F
30766,30955,3093C
18D94,18E62,18FDC
308EB,309CB,30979
18D85,18EB2,18E0C
30832,3090D,306E8
18E2B,18EA6,18D91
307AF,30774,3090D
18FB9,18D7D,18DBD
30657,3089A,308AB
18D8A,18DAB,1903A
30B1D,30BBD,30AA4
18FBD,1906F,18FE0
30B1F,3085A,3087C
18F23,18DF5,18D11
306F4,30868,30994
18E7D,18E53,18F3C
309E7,30B52,3090E
18F86,18F77,190ED
309CA,30AF3,30AC5
18D7F,18D81,18FC3
30962,30901,309A3
18E90,18F38,18F42
309C4,30978,308CA
18F53,18E14,18E3A
308E0,3085E,30879
18F0D,18EE4,18E99
30AD3,309D8,30982
19035,18F9E,18F66
309B9,30C5D,30B0C
18F32,1902B,18ECF
308DC,308FC,309FE
18E71,18D4F,18E35
30A52,3092E,30958
18FB5,18FC8,18EDD
30A44,30AE2,30B75
18E53,18E82,18EA7
30819,3092F,307E1
18EB2,18DE3,18F11
3087D,3088D,30AE3
1913C,18FEC,18F18
30A12,30BEF,30AB0
1903E,18E2A,19088
309BE,30C46,30BFD
18F8D,1908F,18E8B
30855,30BBC,30A40
19022,18EBC,18ECF
309CD,3095A,3093F
191E6,19059,18F5B
30A72,30A89,30967
18F88,191D8,18F18
30B26,30B48,30BC7
19240,18FD3,18FD3
309CE,30AF9,30AAF
18F79,190C2,19021
30C2D,30A34,30BD3
18F78,1914A,18FE7
30AB3,30B53,30A6D
19083,1914F,19130
30DA5,30C25,30AC0
18E81,18F3A,19139
30AF8,30A05,30AE4
18FC9,19041,18F7C
30AE4,30A8D,307CD
190D8,1902B,1905C
30A04,30CF9,30AEF
19099,18E7D,1905D
30A4A,30BAA,30958
190DA,19278,1910F
30A44,30BCE,30B77
1911A,18F6F,190B0
30AA7,30B3B,30BBE
1910D,19358,1912E
30AAF,30B4D,30A8A
18FEC,190F6,18FA7
30B57,30A9C,30C7D
19130,18EAE,19039
30A45,309E9,30C1B
18FF9,18EEA,19065
30A59,30938,30BBE
18F82,190EE,190B9
30B2D,309BC,30BBB
18F3E,191F2,190C5
30BA9,30B6A,30B8F
19146,18F09,19141
30DB3,30B7C,30B5F
19216,18F3D,19190
30D58,30B05,30C34
18FE8,19077,18F8E
309FB,30A57,30BB7
18F23,18FC5,18FDF
30C40,30BF9,30B15
19162,192F7,190F3
30B75,30BE4,30B9C
190B7,190FC,19032
30CE3,30BA2,30E26
192B1,192F8,191AF
30D9A,30B7B,30B89
18FA1,19185,1924E
30C3C,30BF7,30D5E
1917D,19215,19299
30AA3,30B9E,30DD0
1919D,190A9,1916D
30B48,30CB4,30BAD
191CD,19173,19381
30D86,30D4D,30CB5
1921F,190EA,19243
30E41,30D0B,30BCC
19145,190E1,1939A
30D6D,30CDB,30DB3
1929F,191C0,191F9
30F09,30D48,30EAA
19285,192CD,191D4
30AF0,30CFB,30C1F
19319,19066,19210
30C7C,30BBB,30B65
192EA,193FB,19177
30C07,30CCC,30B82
191A0,1922A,19293
30CA1,30D3B,30BE8
19062,190BE,191CF
30DCD,30CAE,30B90
19148,19215,191FB
2F625,2F68E,2F4D7
18FC1,18EFC,19058
30AEF,30A05,308D9
19001,18DCE,19040
3095F,3085F,30A16
190B0,18E8A,18EA1
30B97,30AE1,30B97
18F69,190EF,18FC2
3097D,30C2D,30A7D
19191,191A5,19126
30BDE,30CD1,30BD1
19063,18F8C,190BB
30CEA,30BCA,30AA4
1918E,18FCE,19117
30BB5,30AA2,30A5C
18E82,18ED7,18F89
30BDA,30C67,30C4B
1901E,19043,19194
30891,3094A,30BEB
19039,18E49,18EE1
3096E,30C27,30954
1919B,19172,192B8
30A03,309DD,30974
1912D,18FE5,18FE7
308CF,30ABB,30A78
19139,1905B,18E40
30A97,30ABD,30BD3
1903A,19047,18FF2
30A81,30BDC,30D47
19025,19170,19222
30BDD,309D5,30B1E
18F67,1904A,18F09
30C8B,30C9C,30C94
190F7,19015,19026
30A6B,30AD0,30B3C
19104,18FF8,18FFE
30B39,30C6C,30C57
19160,190E1,190E1
30A8E,30AC7,30AF0
190B1,19153,191AF
30E75,30C6E,30C95
19299,18FE2,1913C
30CDB,30E59,30DDD
19268,19249,19350
30D61,30C72,30D50
1916B,1914C,19222
30CEB,30CF3,30DC2
1932E,193F3,19168
30CD6,30CD4,30BE6
1902A,191D8,19448
30C77,30BC2,30E0E
19275,191B3,19224
30D48,30CB0,30CBD
1900A,1934F,192FE
30A74,30D07,30C3F
191A4,19281,190F4
30B06,30A5A,30C3C
19043,191D9,190D5
30E02,30D0D,30B7B
1915E,193E5,191E1
30DA4,30C69,30C49
193CB,1925F,1920D
30BE6,30D9C,30C14
19197,19192,190A7
30CA5,30D14,30CDF
19113,190E3,18FFD
30903,30988,30B09
1933E,190F1,1917A
30CBE,30CED,30C89
1928D,192AE,192B6
30A6D,30AFD,30C79
19227,191F0,192C1
30BC8,30CD2,30CDA
194A0,19400,19292
30C38,30A24,30B8C
191ED,191CF,19040
30A6D,30C5C,30B8B
19083,18DF3,1915B
30A86,30BA8,30B46
190D4,19043,19138
30DCD,30CBC,30B96
19075,191E4,19141
30A0F,30D46,30A58
19122,19299,19114
30C9E,30CF8,30C76
1919B,19231,1916F
30BF7,30B42,30BD7
191E9,18EE9,19117
30BA4,30C0C,30C8D
19257,1914A,19181
30BC3,30C0F,30C11
19222,19220,19152
30BFA,30C9B,30C73
1920E,1939C,19304
30AB6,30ABD,30BA7
192D4,191C8,190F9
30BD2,30BBE,30E60
191E5,190AF,192AC
30AB1,30C50,30BC2
191E2,192B5,19116
30AFC,30A8F,30D3C
192BB,19025,19127
30C79,30CA3,30DA0
1939E,19163,18FEB
30CA5,30DAC,30D55
19161,19259,194FB
30D2A,30CE5,30B94
1948D,19437,1936B
30EC6,30D82,30D2B
19227,19273,191A1
30E95,30CA2,30BFD
19093,19256,19159
30D7E,30D48,30E70
191DA,19200,190C5
30E10,30DC0,30C7C
19155,191AA,191FC
30AF3,30CA6,30A87
19268,19102,192F7
30D7A,30BAE,30B36
19196,1925B,19016
30D61,30CFC,30E64
19316,192D1,190A9
30A78,30CF9,30D24
1927B,190AE,19161
30D2D,30C1F,30C51
191F9,19162,1920D
30D6A,30B4D,30D6C
190E5,19158,19184
3022D,301A2,3004C
19A76,199C6,198B7
31287,311CF,310E4
19882,196A5,197E1
31289,310E3,311C2
197A9,1984C,197B4
31369,31002,311EE
1987A,19A1A,1999D
3142D,31440,31438
19AE3,19983,198E7
311BD,313D0,31470
198F2,19904,19B87
31413,31520,31648
1990C,19A2D,19AE2
3126A,31402,312B0
197A4,19ABF,19808
3144A,31401,3145C
19931,1972B,1993B
312DF,313B6,31423
19A4D,19897,19905
3125D,313C3,3145F
199B0,19AB1,199F8
31441,314C7,3127E
19A48,198EC,19B68
315DF,31568,3151B
19BC3,19A8C,19BDD
316A0,31466,3151D
199F8,19873,19A8E
3159A,315E5,31475
19A2A,199F4,19B20
313E8,313F9,3169E
1993A,1999E,19A93
3141B,313F7,313DD
19BA1,19AE2,199DA
314E0,31438,31247
19A01,1999C,199F5
315C2,314A0,3144A
19AF8,19B7A,19AF6
314B8,3139E,314E6
19AA7,19A57,19A95
3161D,315A1,3152B
19C82,19BF2,19BE2
314C1,3167C,31545
19B72,19C13,19AC7
31768,315BF,31540
19AC5,199E3,19B4C
31515,314AE,31699
19AA9,19C84,19BCB
315E5,317C5,31684
19C27,19A64,19AC1
3167E,3161C,31650
19ACE,19C4F,19B67
3164B,31724,31535
19C78,19CE3,19C58
316ED,316B6,31678
199DD,19B54,19B02
315D7,31592,317E6
19BB0,19C54,19BCA
3164B,3156F,316E9
19C3C,19DC7,19A0B
31551,31754,31463
19C05,199EF,19B40
3155C,31712,317A2
19B92,19BFB,19B6D
315EB,31803,31970
19B9A,19B75,19AD9
315E4,316D5,3168A
19BED,19A5D,19AE6
31634,315C1,31664
19794,199BE,19CB1
316F8,31580,3166E
19C63,19B51,19A7E
316CD,31549,315A2
19B5D,19A1D,19C91
31590,31586,3153E
19AD5,19B90,19C36
31681,3172D,317B9
19B9D,19C0D,19BF1
31655,3184F,31708
19C10,19B1E,19BFC
314C3,3167B,3171E
19C25,19C79,19C66
315BB,31692,317B2
19C9C,19B8C,19B7F
31723,31799,3146B
19D7D,19C69,19CB4
316ED,31901,31783
19C8B,19DAF,19CBE
318AB,3179A,318EF
19D36,19E6B,19B5E
3157F,3177E,317E2
19BAE,19D14,19D78
3176A,31617,3162A
19D63,19AA8,19AE8
31648,3160A,31760
19B12,19BAE,19B29
3157A,3159E,31739
19A73,19BF2,19AFE
314E0,31403,3159C
19A63,19BC6,19B2F
3169B,3149B,3156C
19C27,19BEB,19D00
3170C,316DB,315C3
19AC7,19AF5,19AC5
31904,318C8,318C2
19B67,19EAA,19BEF
31604,31853,317E6
19BB5,19D09,19DA9
3187A,316B9,31722
19ED8,19D29,19CB6
3151B,3168C,31721
19EB5,19D9D,19D67
31933,3196F,317CB
19D0B,19CA4,19C23
31603,316DF,31738
19BAF,19BA5,19C2B
315BE,31733,31845
19E2A,19B0E,19CE9
31682,31744,31801
19DA5,19D46,19BA7
318AB,31A70,3176E
19CD9,19CD3,19D63
317F6,3174E,3167B
19DC4,19C16,19F1C
314B1,31716,31802
19C98,19E2D,19DBE
31796,31843,3178D
19E1A,19E06,19E1E
315E1,31605,3174C
198B4,19946,198D6
3128D,31326,3117C
19735,199CA,198B6
31201,313CB,31248
1992C,19728,199C5
3120A,31471,312FC
19896,199BC,199CD
31460,313B7,31631
19CA0,197E1,19B1B
313C4,31372,31355
199C7,19945,19954
31379,313F6,31221
19A38,199F9,1998D
3150C,31462,315E3
19B47,19BB4,19969
314C6,315F4,3149E
19962,1996B,19921
31392,312F0,313F2
19936,198D7,1992F
31583,3145F,312E2
19A7D,199EE,19BB1
31257,3158D,311DB
1997E,19809,19978
31370,31291,3137A
198C2,19B62,19B55
316A5,313BF,31486
19AE3,19C6A,19BC5
31430,315AE,31436
1999D,199EE,19A8F
3137E,313C1,3145C
19BF2,197A7,19ACE
315D1,314B8,314F5
199F6,19A73,19A12
313ED,312F9,312D9
19974,19A7D,19877
314B3,31452,3163B
19A0B,19A68,19935
31431,31596,31507
197FF,1992F,198EA
3129B,31705,3152D
19BA3,19BBF,19AEC
31520,31652,314B0
19C07,19CAA,19ACB
315A2,31677,3158B
19B49,19BC6,19A7A
315B5,316A2,3137B
1994D,19AF4,19A70
31696,316DF,31614
19BF3,19A40,19B48
315ED,3163F,31473
19B05,19BB9,199ED
3132B,313FC,31398
1995B,19A5E,19845
3141D,314B0,31476
19B44,19A48,19A5F
31536,31415,31398
