{'CALIB_RAW_DAC_START_I': 655360, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-678C,-69D6,-6901
110E2,110E7,1108A
-6824,-694A,-6953
1108A,11077,10F9F
-6B0B,-6B96,-696C
10F6A,110DA,10EF9
-69B1,-6922,-6B2E
111C8,11181,11116
-68E6,-6B32,-6894
11166,11023,110C4
-696E,-6ADC,-6B23
11024,1101A,111E1
-6A1B,-69D3,-68B7
1117A,11073,11075
-691B,-696A,-68B3
11261,11149,11226
-67C3,-689D,-6A75
110C6,10F0A,112F1
-689A,-6897,-6954
11442,10FD6,1108C
-6720,-67A9,-6983
11049,110CE,111D1
-6880,-697A,-6967
11145,1116F,1115D
-68F7,-6AF5,-6A64
1115B,110C3,11095
-67B3,-68F1,-6A58
11022,1102E,1106E
-68DA,-681A,-68D7
1108B,1122A,111CB
-69EC,-67DE,-67A3
111B4,110E3,113F5
-686F,-671E,-688A
110FF,11168,1125A
-67B7,-6A0B,-69CE
111F3,111EF,11306
-66B3,-6667,-6755
112C9,112D7,112D9
-6988,-683D,-6A6A
11200,111FA,1124C
-6807,-67F0,-66E3
112EE,112C1,11242
-656C,-6784,-6916
110BF,11394,11290
-67FA,-6932,-6788
112CC,11289,1117E
-68BA,-68E6,-6599
11242,11476,111B2
-67EF,-69EC,-687B
112B7,111F6,1123C
-6799,-6722,-68A6
111A6,111DC,111E3
-66D9,-683B,-6855
11058,11285,111F7
-6853,-6A1D,-6864
11176,111D7,11113
-69CC,-688F,-66EF
1131F,111CC,1117D
-66FC,-6877,-6749
11224,11243,11357
-66E4,-6762,-6671
112FC,1144D,115CB
-697A,-682D,-6806
10FA8,11043,111AD
-6833,-66A0,-6919
11083,111EB,112D1
-69B0,-694E,-69DA
10FEB,11199,11295
-693E,-6814,-6829
110F1,1121E,11146
-6967,-6796,-67EB
112BB,11219,11202
-6900,-68F2,-687B
10FAA,1120E,111A3
-679E,-6903,-6715
1137F,11350,11593
-6829,-6611,-6907
112A2,11358,11456
-650C,-65DE,-6AC6
11224,1168B,11464
-6515,-68C8,-689E
11225,112C5,11276
-65EE,-6722,-66A6
11033,112A8,1132E
-67E3,-65FC,-6775
11385,113AA,11138
-6598,-67D1,-657F
112D6,1137C,113F0
-6804,-664E,-68D1
1131A,111D7,11341
-6594,-67AF,-65A0
11371,1136D,11384
-64E5,-664A,-6598
11643,1126E,11269
-6867,-66AA,-6912
1151D,114AA,114A2
-6761,-6712,-671B
114EF,11402,112EE
-6741,-67F9,-650B
114FE,1123C,11352
-6505,-6612,-6965
11431,11415,113D1
-647C,-6518,-650C
114FC,114A8,1152B
-66B0,-651C,-65B8
1134C,11566,11481
-6561,-6698,-6449
11498,112EB,113E2
-64D1,-658D,-661C
115F9,11657,114A9
-6403,-670D,-6823
11600,1154F,115D8
-653F,-646E,-66CA
11433,11592,113D8
-659F,-64D7,-6437
112FE,11614,114D6
-66CD,-6720,-658F
1137D,11455,11435
-67C7,-671C,-6402
11610,1147A,11596
-6486,-6566,-64F2
1148E,11644,11505
-64F3,-64B8,-6439
114B0,114B6,115B7
-65D7,-6365,-6538
113BC,1141E,1143A
-6625,-65BE,-6542
10572,10706,10823
-61B7,-6020,-6007
11A3D,11998,11988
-5F8D,-5F2E,-60DC
1192F,11A5B,11B50
-5F76,-5EDB,-607A
119EF,118E4,11875
-6076,-60D4,-6052
1196C,11AB2,11969
-6138,-6144,-5F9B
11980,119C3,11989
-5EFF,-603C,-61C2
11C18,119D6,119E2
-5F49,-5F00,-5FAB
11A07,119CF,11A01
-5FBC,-5E8B,-60B0
11A53,11B11,11ADA
-604B,-5E98,-5FDA
11BDF,11A71,11A67
-5F5F,-5ED0,-5F47
11977,11ACE,11A45
-5F4E,-5F8D,-5D52
11CA2,11B23,11932
-5EFD,-5F57,-5F35
11D18,11AA5,11BCF
-606E,-6038,-5FF1
11918,11A24,11A16
-5F79,-5F4B,-60BC
11B8B,11B0A,11998
-6239,-5FA9,-5F44
11AE5,11B83,11AA4
-5F83,-5F6A,-6045
11B9C,11B78,11AAF
-5F72,-60FC,-5E88
11B68,11ADB,11C5B
-5EC1,-6011,-5D90
11A45,11C43,11BC9
-5E98,-5F9C,-601B
11B05,11A04,11C6F
-5F1B,-5E94,-5F3F
11B84,11A6E,11CDE
-5F37,-5FA9,-5FA2
11B51,11A56,11C52
-5DA8,-613B,-5FD6
11B9C,11AB5,11C95
-5DC8,-5DE8,-5D48
11C70,11C3F,11B32
-5EFC,-5F12,-5DE9
119F8,11C2A,11C82
-5E72,-5D23,-604B
11ACB,11B46,11ACE
-5DE2,-5E4A,-5EBC
11D0D,11DA2,11E83
-5D40,-5E95,-5CD5
11CE8,11C9E,11C91
-5E97,-5E8E,-5DFC
11C54,11C61,11C09
-5E77,-5D0E,-5EA4
11B65,11B6B,11AF7
-5CE4,-5EE0,-5E7C
11C44,11C62,11DF1
-5E08,-5E8B,-5D11
11BBB,11B20,11D38
-5D57,-5D43,-5D58
11F0A,11C64,11E9E
-5C5E,-5B9E,-5CBA
11D3E,11D3E,11AD2
-5D66,-5DA1,-5C65
11DFB,11CC8,11DFC
-5E39,-5DFA,-5D8E
11CB1,11D7F,11C1E
-5DB7,-5CD7,-5D61
11F90,11BFD,11D0F
-5DBC,-5E94,-5C96
11D96,11CC0,11D47
-5A31,-5C99,-5E67
11E08,11DB0,11FCB
-5C67,-5D8C,-5B68
11FEA,11DCB,11EA6
-5A5F,-5C4B,-5BE2
1217E,121DF,12069
-5BAF,-5B7E,-5D29
11DFB,11F4D,11F58
-5C63,-5C56,-5A5D
11E00,11EAA,11F59
