{'CALIB_RAW_DAC_START_I': 688128, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-17A14,-179EB,-178AF
1F,-85,EA
-17AE0,-17BB0,-1791D
-36,-19E,-1A9
-17A7F,-17A7E,-17AB0
-BC,-6,-19A
-17AC4,-178AB,-17C4C
-E6,CA,-14F
-17AB1,-17966,-17ADA
-1FF,-1CC,-280
-17CE5,-17BE4,-179EB
-F8,-C7,-AB
-17CED,-17B2A,-17BDE
112,B4,-34
-17A74,-17C62,-1793B
13A,11F,C2
-17B27,-17BB0,-17AA6
-21B,-F7,-76
-1794C,-179A9,-17BF9
61,-F4,-D7
-179C5,-17AD2,-1790A
21,-C,F0
-17A09,-17CE7,-17B17
2E,F3,-166
-17AD5,-17A0D,-17C8D
-19,-3F,-F8
-17936,-17B3D,-17A44
153,201,B1
-1795D,-178B4,-17A92
82,-CD,-46
-17987,-17B3A,-179BF
-17A,-63,-113
-17A8C,-179AD,-17944
-91,1A,-4
-17B5A,-17B62,-179A4
253,5D,BA
-1795D,-17A3D,-179D0
71,167,EC
-17832,-17B06,-1789B
9D,B5,-C5
-17768,-17910,-179A7
-A0,133,-26
-17A45,-1794B,-179E2
8,52,1B1
-177EE,-17AB2,-17ABB
-6A,20,-54
-17982,-17AA2,-179EC
-17,208,184
-17B62,-179E6,-1795B
EA,6D,185
-17954,-17917,-17A99
A8,-5E,-9
-17A0C,-178B7,-178AC
120,12A,1EC
-178A2,-1795B,-179CB
18D,3C7,1BA
-1784A,-179A6,-17947
144,-19F,-17
-179B5,-1781B,-179EE
12,86,1B
-17A39,-17A7E,-1795C
-5C,161,96
-178C9,-17879,-17AAD
129,1B7,-38
-17A35,-17805,-17ACA
16D,-22,1F6
-178F2,-177CC,-1782A
32D,144,117
-1792A,-179B1,-17A93
1C,EC,3FF
-1776D,-178C4,-179E7
17F,F1,1C5
-1778D,-17865,-17AC1
273,-71,5A
-17ADC,-17AD0,-17A68
-5F,F1,-10D
-17A06,-17825,-178FB
148,-13D,CD
-179DB,-1786E,-17945
3F7,13C,AB
