{'CALIB_RAW_DAC_START_I': 720896, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-2718F,-271CD,-270E9
-F5D2,-F651,-F75C
-26FCE,-272D8,-27285
-F645,-F700,-F763
-271F3,-27174,-270FA
-F733,-F64A,-F81E
-2717A,-27379,-2715F
-F64A,-F618,-F4D3
-270B8,-27174,-27092
-F70F,-F536,-F629
-26F72,-270AD,-27066
-F764,-F488,-F57C
-26EC9,-26FCB,-27147
-F622,-F599,-F714
-26EF7,-26FBF,-27130
-F673,-F534,-F4A3
-26F43,-2709A,-270FD
-F5F5,-F73C,-F740
-270DF,-2713A,-27180
-F5FD,-F683,-F456
-2704A,-27070,-2718B
-F6BF,-F505,-F6E1
-26FFE,-271C6,-26F7A
-F60C,-F556,-F335
-26F91,-26F20,-271DF
-F2FA,-F414,-F32D
-26F5B,-26ED5,-27005
-F63F,-F5F2,-F479
-2715E,-27013,-26FB3
-F712,-F61D,-F575
-27139,-26F9D,-2704B
-F3AA,-F3CF,-F653
-27261,-26ED6,-27118
-F6BB,-F4EF,-F67F
-27009,-26F99,-2712E
-F650,-F72F,-F7CA
-27108,-2719C,-26EBE
-F67F,-F7BB,-F6AA
-26F7E,-26E3E,-271A9
-F4F2,-F63E,-F2E8
-26E95,-26FAF,-270C2
-F554,-F560,-F782
-26D49,-26E6F,-27080
-F555,-F59E,-F6DC
-26F27,-26EEF,-26F6D
-F5C3,-F518,-F62F
-27055,-26E1D,-26E68
-F507,-F3E4,-F3DE
-26FD2,-26FB6,-26FCD
-F554,-F4ED,-F4FB
-26EE9,-27016,-270DE
-F4A4,-F59F,-F4F2
-270B7,-26FA2,-26E5C
-F7CC,-F685,-F5AB
-27051,-27023,-2709D
-F485,-F4E0,-F373
-26E59,-26E95,-26F92
-F44A,-F6A6,-F361
-26E3A,-26E7F,-27091
-F3B2,-F5AE,-F454
-26F7D,-26FE4,-26F93
-F6EE,-F56A,-F4CA
-2702B,-26F4F,-26FE1
-F603,-F7A4,-F731
-26FF1,-2708E,-26FA8
-F3A2,-F451,-F39E
-270CF,-26F84,-26F41
-F591,-F5D5,-F7C3
-26FED,-27197,-2724F
-F61E,-F5E3,-F586
-26E77,-2701B,-270C7
-F4AE,-F471,-F496
-26F79,-26FE4,-26F78
-F6AB,-F79B,-F541
-26F8F,-26FEE,-27001
-F4E9,-F4F5,-F618
-26E61,-26F8A,-26E52
-F306,-F375,-F58A
-26DB4,-26F28,-26ED7
-F2F9,-F3A5,-F465
-26F05,-26FFB,-26EFF
-F52F,-F5F0,-F577
-26FCA,-27145,-26FAE
-F5E3,-F3EE,-F680
-27055,-26F4D,-26F80
-F55B,-F545,-F316
-270A0,-26E47,-26FCC
-F512,-F5A4,-F37D
-26F90,-26D82,-26EF7
-F280,-F421,-F405
-26EE5,-26DB8,-26E5C
