{'CALIB_RAW_DAC_START_I': 753664, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-37D36,-37EF0,-37E57
-20247,-203CE,-20451
-37D52,-37E34,-37D4D
-203CB,-20439,-20342
-37D5C,-37CB7,-37D3C
-202D7,-20358,-201A2
-37CC4,-37C41,-37A39
-20216,-20159,-1FFDB
-37B93,-37B89,-37BA3
-20118,-20150,-20247
-37ECA,-37D71,-37CC9
-2038B,-2020E,-203EE
-37CFF,-37EAA,-37D5B
-2040A,-20355,-20335
-37D41,-37E3A,-37DAD
-20139,-20138,-20102
-37DBF,-37E9B,-37D24
-2034F,-20286,-20198
-37B76,-37B52,-37C41
-201C8,-20261,-201F6
-37BB2,-37CB9,-37B92
-20305,-202A8,-2034B
-37D77,-37D8A,-37DE8
-202BD,-20239,-202A6
-37E30,-37C9B,-37B42
-202A2,-20180,-201FA
-37C70,-37D2D,-37EEF
-20185,-2038C,-20207
-37C4A,-37D78,-37D16
-201A4,-20276,-200CC
-37CEA,-37B46,-37C14
-20168,-20184,-2035B
-37B81,-379DE,-37BE2
-201AA,-202A4,-20348
-37D1E,-37CB7,-37D74
-20232,-20286,-2039E
-37B33,-37C8A,-37D15
-200F5,-20150,-20323
-37ED7,-37E08,-37BB5
-2030E,-201AB,-20274
-37A1D,-37BCB,-37CCE
-2027D,-2013A,-2022D
-37B9A,-37AC3,-37A70
-20030,-20297,-2018C
-37BEF,-37D2E,-37C29
-202B4,-201FB,-2008B
-37D7D,-37D6D,-37B61
-1FFC0,-200B2,-2008A
-379D1,-37BB4,-37CD5
-200CC,-20349,-2015A
-37B99,-37CFC,-37CA0
-1FF9B,-20083,-20106
-37C9B,-37C40,-37C2F
-2029C,-1FFA5,-2026A
-37974,-37B22,-379D9
-1FF3D,-200A1,-200B6
-37C67,-37BA0,-37B9C
-2009E,-1FF40,-2009C
-37B19,-37B15,-37A9C
-200C4,-20102,-200C8
-37C90,-37C64,-37C43
-202A2,-20147,-200FF
-37C4F,-37A63,-37BBC
-201A5,-20203,-2028A
-37B8D,-37997,-37B64
-202C9,-1FFE2,-2000C
-37ABB,-37929,-37B4B
-1FD57,-20285,-20115
-37B2A,-37B8F,-37BE9
-200A4,-1FFB3,-202FD
-37AB6,-379AE,-37AA2
-200B6,-2009A,-1FF96
-37C8E,-378D2,-3797F
-1FF3F,-1FF79,-20022
-37BC5,-37ABB,-37CAB
-1FE53,-1FEC0,-1FE60
-37B6C,-37AEE,-37A6F
-1FF30,-1FF66,-201C9
-37A51,-37CA2,-37AAC
-1FE72,-1FE24,-20025
-37A1A,-37C5B,-37AFB
-20019,-2001C,-202BD
-37B95,-37C2A,-37BBF
-20218,-2025A,-2019B
-37B8C,-37975,-37B94
-200C1,-20025,-20262
-37B18,-37D61,-37A9C
-1FE5B,-1FEB0,-1FE64
-37BA2,-37C08,-37BAD
-1FE6E,-2014A,-1FFCC
-37AB6,-3796C,-37A9F
-1FF3B,-20024,-1FFF1
-379B4,-37BB3,-379FB
-1FDBE,-1FE63,-1FF54
-37A9B,-379D6,-37AB0
-20012,-2013F,-1FFE8
-37B13,-37A6E,-379C3
-1FFBA,-20062,-1FFC7
-37BF5,-37B14,-37991
-1FF44,-1FF1F,-1FFDF
-3797D,-37BCA,-37BF0
-20342,-2004E,-20196
-379B0,-37BE0,-37B33
-2003B,-20046,-1FE89
-37A90,-37981,-37AC7
-20061,-20109,-1FFC2
-37B8B,-37BF1,-37B44
-200C3,-2005B,-2000F
-378F4,-37B22,-37BA2
-1FED9,-20153,-1FF98
-37B42,-3790A,-37993
-1FD7B,-1FCE5,-1FE6E
-378A8,-37AB0,-37813
-1FF38,-200A2,-1FE18
-37B6A,-378F1,-3787E
-1FF78,-1FEBF,-1FF1A
-37A8C,-37944,-37970
-1FDDD,-1FE3B,-1FE1C
-377C3,-37A36,-3776A
-1FCC8,-1FE0E,-1FED3
-377BD,-379FC,-37778
-1FD9A,-1FC76,-1FC7C
-37886,-37995,-37A60
-1FE0E,-1FE24,-1FD6E
-3789B,-377E0,-378D1
-1FD5E,-1FF93,-1FD1C
-3768B,-378E7,-377A0
-20C92,-20B8E,-20A78
-371A7,-37246,-3727B
-1F780,-1F9BF,-1F94A
-37372,-3722A,-37349
-1F915,-1F92A,-1F767
-371C8,-37479,-3737C
-1FA78,-1F6C3,-1F8A5
-37294,-37431,-37273
-1F5D1,-1F845,-1F926
-3712D,-3740C,-3736E
-1F874,-1F7FA,-1F5F0
-37314,-37364,-37213
-1F693,-1F698,-1F7D5
-3710A,-37395,-370DA
-1F7B1,-1F8B7,-1F83F
-37287,-373DA,-371F0
-1F5F8,-1F71E,-1F614
-37206,-37421,-3736C
-1F757,-1F968,-1F7DB
-371DC,-37263,-371CF
-1F704,-1F5BD,-1F7EB
-3716C,-37365,-372CB
-1F739,-1FA55,-1F966
-37291,-37378,-372B3
-1F8B8,-1F678,-1F6F0
-3707E,-3704C,-3722D
-1F86C,-1F8CE,-1F6A1
-37150,-3713D,-37291
-1F7C8,-1F593,-1F5E8
-373F8,-37288,-371E5
-1F7DF,-1F8DD,-1F836
-37425,-37115,-370F0
-1F79F,-1F66D,-1F737
-371BE,-37067,-37281
-1F754,-1F566,-1F652
-372C0,-372CE,-3714D
-1F73F,-1F6DE,-1F680
-3713D,-370C5,-370ED
-1F6D3,-1F661,-1F6CE
-370D5,-370D3,-37190
-1F6F3,-1F6A0,-1F889
-372F5,-37126,-37234
-1F930,-1F71A,-1F7C7
-3725A,-37182,-371FA
-1F692,-1F70B,-1F6D0
-37126,-37116,-37371
-1F7F8,-1F5B2,-1F76C
-3700A,-36FA8,-371A4
-1F5E0,-1F6E6,-1F5DA
-3749A,-37330,-37300
-1F6E9,-1F6B5,-1F926
-37011,-371F1,-371E2
-1F748,-1F8BB,-1F749
-3731C,-371D6,-3707C
-1F690,-1F6C1,-1F820
-370A5,-3715D,-37121
-1F6BF,-1F69F,-1F661
-370FB,-37249,-3708F
-1F663,-1F4E3,-1F545
-371C6,-371E7,-370D0
-1F560,-1F549,-1F6FF
-37050,-37151,-36EEE
-1F6AE,-1F701,-1F524
-37045,-37139,-371BC
-1F728,-1F5D3,-1F5D3
-3713D,-37198,-36F53
-1F6A9,-1F5A0,-1F5A4
-3722E,-3703C,-37123
-1F62F,-1F597,-1F671
-37068,-37142,-37042
-1F6C4,-1F5E9,-1F672
-371A6,-371C7,-37152
-1F7AB,-1F55A,-1F56E
-36FF4,-371B9,-36F76
-1F768,-1F5F6,-1F751
-37141,-371AB,-371BF
-1F5D7,-1F70F,-1F7F5
-3715C,-371E7,-37116
-1F5FA,-1F664,-1F7B2
-37189,-371F9,-36EED
-1F638,-1F6B0,-1F648
-3707D,-3703D,-370D3
-1F7EA,-1F78B,-1F6D6
-37210,-3730B,-373BA
-1F8B2,-1F64A,-1F57A
-3709D,-3727E,-37237
-1F6F7,-1F7D1,-1F824
-371CC,-3720C,-370B2
-1F729,-1F796,-1F585
-370FE,-3703D,-370F3
-1F685,-1F5FA,-1F651
-370BF,-370AB,-37119
-1F714,-1F74F,-1F76D
-3705A,-37003,-37110
-1F7E3,-1F62E,-1F417
-37200,-37241,-372B3
-1F545,-1F52E,-1F543
-36F94,-370AB,-36FC6
-1F634,-1F64B,-1F43A
-370D5,-37028,-370E7
-1F7D2,-1F466,-1F6D3
-37042,-3700F,-36FFB
-1F4C7,-1F845,-1F889
-3710C,-37154,-370EB
-1F625,-1F86B,-1F6C9
-3725D,-371F2,-37122
-1F71D,-1F7AD,-1F66F
-37115,-37197,-36FE9
-1F52E,-1F4DC,-1F742
-3710A,-36F19,-36FAA
-1F9BA,-1F357,-1F66F
-370AA,-3706D,-37164
-1F387,-1F4D6,-1F56E
-36FD4,-37098,-37175
-1F55E,-1F59A,-1F62D
-37068,-370BE,-36EBD
-1F6CE,-1F6E5,-1F593
-37152,-3704C,-3712D
-1F672,-1F492,-1F5EA
-36F4A,-3706C,-36FBC
-1F461,-1F47D,-1F4A7
-36E45,-370D9,-36E96
-1F4E7,-1F46A,-1F4AD
-36E87,-36DA0,-36E25
-1F38C,-1F3E3,-1F24A
-36E81,-36EA9,-36FC7
-1F52E,-1F3F2,-1F3E4
-36EBB,-36E6E,-36CF8
-20AB2,-20C5B,-20CC1
-37053,-3701C,-36FA4
-1F8D4,-1F6B6,-1F6D5
-36FD2,-37052,-371C9
-1F81C,-1F694,-1F612
-3708B,-36FE7,-36FEC
-1F6A9,-1F6B4,-1F69A
-3700D,-370E5,-37058
-1F568,-1F5F6,-1F5EB
-37154,-37131,-371F0
-1F707,-1F813,-1F66E
-3702B,-37115,-37113
-1F702,-1F567,-1F47A
-37039,-37110,-370D0
-1F56A,-1F454,-1F5AD
-37025,-37070,-3705A
-1F555,-1F446,-1F36F
-36F0E,-36FD6,-3719B
-1F71D,-1F545,-1F5C6
-3717A,-371D9,-370EB
-1F679,-1F727,-1F64D
-37080,-37017,-37026
-1F501,-1F635,-1F5DA
-36F0B,-36ECD,-36FE4
-1F3A2,-1F56A,-1F4EF
-37061,-36FCE,-3708F
-1F520,-1F650,-1F45F
-36F4E,-36FFD,-3708C
-1F4F6,-1F5AE,-1F3D2
-3716E,-36EC3,-36F8D
-1F782,-1F715,-1F67F
-36FC0,-3703F,-37006
-1F6CA,-1F55B,-1F472
-370D3,-370AF,-36FDF
-1F7A0,-1F723,-1F69A
-36E54,-36DEF,-36D8F
-1F4D6,-1F324,-1F44D
-36F48,-36F7B,-36FAC
-1F4FB,-1F60D,-1F411
-37094,-36E0F,-37050
-1F3AF,-1F3B1,-1F481
-36E2F,-36E7A,-36D7E
-1F57A,-1F5C1,-1F403
-36FA5,-370D6,-36E75
-1F5AC,-1F54B,-1F44D
-36E0B,-36E6F,-36F3B
-1F497,-1F4C7,-1F475
-36E14,-36F2C,-37054
-1F380,-1F2BD,-1F2B7
-36DB6,-37027,-370E3
-1F71F,-1F612,-1F524
-36F9E,-36EB0,-36FB3
-1F71E,-1F584,-1F602
-36F04,-36FFA,-37010
-1F468,-1F39F,-1F47B
-36ED6,-37012,-37001
-1F5C8,-1F39C,-1F5E0
-36F3A,-36FB2,-36F19
-1F45A,-1F663,-1F539
-36F98,-3702E,-36DBD
-1F579,-1F516,-1F41F
-36E08,-36E40,-36FB4
-1F4F6,-1F2DB,-1F41D
-36DAC,-36DEC,-36EDE
-1F3C8,-1F2E5,-1F3FA
-37029,-36EE1,-3704F
-1F46F,-1F583,-1F45A
-36EC4,-36F47,-36E80
-1F4B1,-1F58C,-1F559
-36E43,-3707B,-36F36
-1F4FA,-1F46E,-1F685
-37043,-37276,-36F53
-1F3F7,-1F4A7,-1F4DE
-37028,-36FA7,-36FD4
-1F53F,-1F43E,-1F525
-36FD8,-37025,-36EC5
-1F52C,-1F3A0,-1F3F4
-36DA3,-36D2D,-36D9F
-1F476,-1F25F,-1F251
-36E8C,-36F22,-36C9F
-1F333,-1F20D,-1F353
-36D2C,-36DC6,-36E89
-1F508,-1F51B,-1F46B
-36D9F,-3704A,-36CF2
-1F371,-1F530,-1F3CD
-36F7D,-3708F,-36F89
-1F4E3,-1F560,-1F4E9
-370E6,-3700F,-36F88
-1F3AA,-1F4A1,-1F44F
-36CAC,-36DE9,-36F3B
-1F3C7,-1F397,-1F515
-36E51,-36E0C,-36FA9
-1F409,-1F473,-1F3E2
-36E66,-36E15,-36DF4
-1F4D8,-1F5C8,-1F617
-36E1E,-36FE9,-36FFF
-1F3DC,-1F173,-1F2D3
-36D6F,-36BE4,-36DB0
-1F372,-1F41D,-1F2C2
-36D79,-36E44,-36C87
-1F2D1,-1F444,-1F344
-36F11,-36E24,-36E2C
-1F320,-1F407,-1F2B3
-36F99,-36D22,-36E53
-1F2EF,-1F2C7,-1F47C
-36C8B,-36D87,-36E3E
-1F2A3,-1F3B6,-1F43A
-36C1A,-36B75,-36BCB
-1F1AD,-1F267,-1F3C9
-36BB0,-36C50,-36CB4
-1F32B,-1F27F,-1F479
-36BEE,-36E24,-36CA8
-1F245,-1F237,-1F25A
-36D27,-36CDC,-36D44
-1F355,-1F478,-1F2CC
-36D0F,-36C8B,-36DB1
-1F11A,-1F0F2,-1F24E
-36BF0,-36B5F,-36C77
-1F0D2,-1F0CB,-1F13B
-36C47,-36C2A,-36CAD
-1F290,-1F1F4,-1F3EC
-36B8E,-36EF8,-36CFE
-1F148,-1F44E,-1F0B6
-36E0B,-36C3A,-36C7E
-1F261,-1F288,-1F0CA
-36D6B,-36CFE,-36B9B
-1F251,-1F1C7,-1F2AD
-36E48,-36D51,-36DC6
-1FD17,-200B1,-1FE83
-367AC,-36665,-3675F
-1EE49,-1EE1F,-1EC38
-36684,-367B3,-36690
-1ED60,-1EEF7,-1EC3B
-3677E,-366CB,-36512
