{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-47E07,-47F57,-47EB5
-304F7,-30568,-30428
-47E9D,-47ED4,-47F1A
-3054D,-30523,-3031E
-47DA1,-47EC0,-47F9A
-3053C,-30538,-305A0
-47FC6,-47FDD,-47FA4
-304CD,-30453,-302EA
-47D91,-47ED6,-47EFD
-305AC,-3046C,-303F1
-47DFD,-48055,-47E23
-301C3,-3010A,-302E3
-47EF7,-47F0B,-47E00
-3031A,-301B9,-30248
-47ECA,-47D25,-47CB2
-3039F,-301FC,-30233
-47D4B,-47DFC,-47E85
-30513,-3038C,-303E6
-47D47,-47D76,-47D31
-302E8,-30362,-30439
-47C15,-47BFC,-47C2B
-30354,-3040B,-3043A
-47D09,-47C8D,-47D52
-302E2,-302D9,-3026A
-47C64,-47E77,-47ED0
-303D1,-300B9,-305A0
-47EC9,-47D68,-47D50
-30394,-30313,-300E9
-47D22,-47E43,-47D16
-302DB,-302D8,-30222
-47CD0,-47D51,-47C2A
-30355,-3044E,-303CE
-47D1F,-47CA2,-47E6B
-302C2,-304B9,-301FD
-47DA8,-47D80,-47E3B
-30440,-302C3,-30206
-47CB8,-47BA9,-47DB6
-303F6,-3049F,-3025F
-47D96,-47EB1,-47F91
-3024C,-302A9,-3038B
-47DEF,-47DAE,-47E5C
-3026F,-30200,-30306
-47C33,-47C08,-47CE1
-30440,-301CC,-304C1
-47E0D,-47DBF,-47DA0
-30270,-30323,-301BF
-47C9F,-47D11,-47BDA
-301B6,-2FFC9,-2FF78
-47BF7,-47D2C,-47C59
-302F8,-3016A,-302B6
-47CAC,-47E4E,-48052
-3024E,-302E4,-3037D
-47E0D,-47ADB,-47D8F
-30331,-302DC,-30224
-47F8C,-47BA9,-47CF4
-30278,-3012D,-303AF
-47C30,-47BEB,-47C52
-304F6,-303F9,-302F1
-47BEA,-47EEB,-47D2D
-303D7,-302E2,-3018B
-47C0E,-47EAB,-47CF3
-302CE,-30410,-30145
-47D80,-47C4B,-47D79
-303EB,-304FA,-302DD
-47DDA,-47ED4,-47CBC
-302C6,-3048F,-3042E
-47D7D,-47DBF,-47E5B
-304EC,-302D8,-303D3
-47C60,-47F70,-47ECF
-30535,-30530,-3030C
-47DD6,-47D9B,-47CF2
-30223,-300E9,-30134
-47CF0,-47D8C,-47C23
-30173,-301A1,-30269
-47AA5,-47AC5,-47CA9
-300E2,-30115,-30204
-47C31,-47CBC,-47CC7
-3010F,-30274,-3016C
-47D43,-47BFB,-47D51
-300D9,-30119,-301F3
-47D86,-47D53,-47C34
-301EB,-302BE,-302C6
-47A7D,-47C00,-47CEB
-301CF,-30210,-3023D
-47FA4,-47C6A,-47BA6
-3023E,-30265,-30203
-47D56,-47C9C,-47E3F
-302BE,-3023E,-300B0
-47AC9,-47AC1,-47BBA
-301C5,-30176,-30158
-47C90,-47D20,-47C5B
-301C9,-300D1,-301FD
-47EAE,-47E37,-47E44
-303AE,-300BF,-302FC
-47C7E,-47D3D,-47CF8
-30226,-300FC,-3017C
-479BB,-47B76,-47B35
-30070,-301E1,-300C9
-47AF9,-47B55,-47AF7
-300FF,-3009D,-3000B
-47B99,-47927,-47BB6
-301D7,-30072,-300D1
-47CC6,-47B75,-47BA0
-30085,-30152,-2FE22
-47C5D,-47BA0,-47BBF
-30193,-2FFAC,-3007B
-47A6F,-47A24,-479D9
-30184,-30098,-2FF3F
-47B27,-47920,-478D8
-30074,-2FED7,-2FE55
-47AD7,-475CA,-47B0D
-2FF85,-2FDB2,-2FF1B
-478A0,-47A0D,-4795E
-2FEE7,-2FE6F,-30014
-47A52,-47983,-47970
-2FF3B,-2FD8A,-2FE24
-478A9,-4793D,-479FC
-30090,-301A3,-2FF7F
-47B13,-4797D,-47B0C
-2FDFA,-2FFDA,-2FD8B
-47866,-47950,-478BB
-2FD96,-2FFF2,-2FFD3
-478A4,-4782F,-47B3D
-2FEE8,-2FF33,-2FFBD
-47B39,-47C0C,-47A77
-3006B,-2FF4D,-30165
-47A3E,-47A6D,-4787A
-30E32,-30CD2,-30BC4
-474FF,-473BE,-47460
-2F822,-2F720,-2F956
-4737B,-473F6,-4746E
-2F815,-2FB3F,-2F889
-47416,-47393,-4749F
-2FA0C,-2FB30,-2F88A
-47420,-47380,-47528
-2F8DB,-2F855,-2F828
-472F4,-4711C,-47207
-2F959,-2F952,-2F9CC
-474C8,-47302,-47364
-2F979,-2F8D4,-2FB20
-472B0,-47463,-47410
-2F8FE,-2F9EF,-2F774
