{'CALIB_RAW_DAC_START_I': 819200, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-59B26,-599A5,-59E17
-41E29,-42049,-41FEC
-598C0,-59D2B,-59A31
-41F2A,-4203D,-4206E
-599FA,-59985,-59923
-4206B,-41F8A,-420E9
-59BBF,-599B7,-59C32
-41EDC,-41F9C,-41FA5
-598E1,-599DD,-59B16
-420EA,-41FB1,-42103
-59C12,-59AAF,-59B80
-41E30,-41F7E,-42259
-59C4B,-599B6,-59C9C
-41FDF,-42147,-42107
-59ACC,-59B55,-59BC1
-41F14,-41F1F,-41DA4
-59B1F,-59C81,-59B50
-41FF0,-421B0,-42005
-59B5F,-59A4E,-59A64
-41ECA,-421C3,-42118
-59C8F,-59B93,-59B96
-42227,-42098,-420F8
-59B3D,-59B8A,-59A5A
-42169,-41F54,-42246
-59C5C,-59AB5,-59BB7
-4200F,-42067,-421EE
-59D63,-59A95,-59C78
-41FC8,-42260,-42223
-59B34,-59966,-59AF8
-42057,-4211F,-421CB
-59D47,-5994A,-59B83
-420F2,-41FC9,-41F7A
-59976,-59ABC,-59BCC
-41F6D,-420E5,-41FB0
-59B90,-599EB,-59ADA
-41F8B,-42086,-41FE4
-59A46,-599B3,-59B55
-41F93,-42042,-420C0
-59CF4,-59B5C,-599B3
-41FFD,-42012,-421D2
-59B76,-59B4C,-59D20
-41FB0,-41F78,-420FA
-59AA9,-59912,-59B41
-41F88,-41E51,-41FEE
-598F5,-59B6F,-599B2
-41F74,-41EC8,-41FAA
-599AF,-599B7,-59863
-41DC2,-41F08,-41DDF
-59924,-599F9,-59AAE
-41E6E,-41F34,-41FE4
-5996F,-599B8,-59918
-41E51,-41EDF,-4210C
-5991A,-59B2D,-59B55
-41FD1,-41FB8,-41F7B
-59A1D,-598FA,-59B91
-41EA9,-421B1,-42000
-59A8C,-59994,-599CB
-41F06,-41F61,-41DAE
-59963,-59815,-598CC
-41F99,-42080,-41FF0
-59A5D,-59892,-59996
-41F22,-41EEB,-41EB1
-599FA,-59B4E,-59886
-41F29,-4201E,-420E5
-59B4D,-59A7B,-5986C
-4206F,-42189,-41E63
-599F8,-5997B,-59A31
-41E22,-41E8A,-41F05
-598D0,-598E4,-598D2
-41E2A,-4203D,-41FD5
-59A24,-598BF,-599C0
-41FA2,-41EBF,-41EA2
-598A6,-59862,-59914
-41EE4,-41FE4,-41EC4
-598E8,-59A06,-598EC
-41DE0,-41E51,-41EA4
-59B65,-59992,-59A24
-41FFF,-41E49,-41EB8
-599D4,-598F9,-59A1C
-41F22,-41ED3,-41EDF
-5999B,-59A1C,-598DF
-41F5F,-41EE3,-41F23
-597FC,-5997F,-59A03
-41EE9,-41F27,-420B6
-59A04,-599AB,-59AF8
-420ED,-41EE4,-41FF0
-59A6E,-59A21,-59A54
-41F29,-41E5A,-41F81
-59826,-59681,-5992C
-41E2E,-41E09,-41E1D
-5972F,-5974E,-59972
-41DB9,-41D66,-41C59
-597DE,-59868,-599B1
-41F7A,-4217F,-41EC8
-59BCB,-59800,-5992C
-41E9B,-41F2E,-41E32
-5987B,-598FA,-599C5
-41E5A,-41F37,-41E80
-596E6,-59866,-5991D
-41ED7,-41DAB,-41DA7
-5981D,-59858,-5978D
-41CF7,-41C08,-41DF6
-598C7,-598FF,-59777
-41DDC,-41F1F,-41DB2
-59870,-59920,-5965F
-41C95,-41C5B,-41D19
-595B9,-59624,-59665
-41D80,-41C42,-41C16
-5968A,-597B1,-5982F
-41F5F,-41D99,-41EDD
-5985C,-596BA,-59847
-41B27,-41C3F,-41AE3
-59927,-597D3,-59780
-41E30,-41CD6,-41CB3
-59A26,-5989A,-596E4
-41D31,-41CFB,-41C12
-596E0,-595DD,-597E3
-41DB1,-41C73,-41CCA
-597C7,-59615,-59900
-41C03,-41B0F,-41B37
-595D6,-596B9,-59788
-41BD3,-41CC0,-41C46
-5959D,-5969A,-598B3
-41E06,-41C9C,-41C6B
-597DA,-59484,-596CA
-41E60,-41CBE,-41CF3
-59730,-59890,-5990D
-42878,-427DC,-42A9C
-5901F,-58EB0,-58FDC
-415E2,-4151E,-4159E
-58F53,-5914C,-590F4
-41603,-41550,-41746
-58F33,-5912B,-59362
-41569,-41628,-4178B
-58FC5,-590AB,-59336
-41745,-41705,-416B2
-59179,-58E4D,-58F99
-415EA,-4159F,-4162E
-59023,-58F4F,-590CB
-41325,-413B0,-4150C
-591EE,-58FC6,-591AF
-414CE,-413BA,-4161E
-590D0,-58EC6,-59022
-4138E,-41447,-4154E
-58E66,-58F6A,-59038
-41777,-414C7,-41540
-58F3D,-59052,-59025
-416B1,-415C4,-414E9
-5918A,-590C1,-58F97
-4179D,-41555,-4155B
-58ECC,-58FA2,-5904A
-416BF,-413A9,-4153D
-58F7C,-58F49,-58E63
-4168A,-41707,-41747
-590A2,-591B9,-58F9B
-41567,-415F5,-41620
-58F50,-58FB9,-58EEE
-41629,-4160B,-41510
-58E88,-58E9D,-5900D
-413DD,-413CF,-414CF
-58E43,-58F5C,-58E13
-41616,-415C9,-41693
-59073,-58E84,-58FDD
-41438,-414E1,-41524
-59134,-58FF1,-58EFB
-4144A,-41385,-4159B
-58E9F,-58CD2,-5901E
-4142D,-413F3,-41306
-590BD,-58C70,-58EE0
-4150E,-41437,-4150E
-58E63,-58F4F,-58F8B
-41465,-41599,-413AE
-58CF6,-58E0E,-58E3A
-41326,-41440,-414CC
-58E3F,-58F81,-58F87
-41272,-41360,-41490
-58D83,-59061,-5909A
-41730,-41553,-41215
-58F21,-58DEE,-58E9F
-41520,-413C6,-4156D
-58F0F,-58EEB,-590F2
-4149F,-41561,-414F4
-590EB,-58FDF,-58F04
-414BD,-41562,-4157C
-58C1C,-58DD3,-58D9C
-4156D,-41623,-41652
-58EF0,-590E8,-58DF9
-4146D,-41430,-413A2
-58DA3,-58B6F,-58BB1
-413F7,-4148F,-413B6
-58CED,-58EBE,-58DDC
-414EC,-413F0,-413C5
-58FBF,-58F28,-58DF6
-414FC,-413AD,-41443
-58EE7,-59163,-58F8C
-41669,-413E7,-4152F
-5907E,-5914F,-58FF5
-414A7,-412E9,-41246
-58CEF,-58EA5,-58D6C
-41339,-413B1,-413C7
-58BDF,-58E29,-58F7E
-41164,-41371,-41238
-58C2A,-58CCC,-58DE8
-413DD,-41332,-412A5
-58BF4,-58D7B,-58DED
-413DE,-41480,-41494
