{'CALIB_RAW_DAC_START_I': 851968, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-6A496,-6A4FD,-6A3E9
-529CD,-528DF,-52AE3
-6A544,-6A3CB,-6A24C
-52962,-52916,-52AC5
-6A655,-6A57B,-6A452
-52B9F,-52C39,-5298F
-6A2D1,-6A512,-6A4A1
-52B32,-52980,-52A5D
-6A41C,-6A3C3,-6A427
-52C16,-52B19,-52B20
-6A537,-6A4C3,-6A4A3
-5290C,-52A5E,-52A4D
-6A6BD,-6A5BE,-6A321
-52ABA,-52AA9,-529FD
-6A443,-6A4D1,-6A55E
-527B2,-529D2,-5289E
-6A5B0,-6A6D0,-6A47E
-52A5F,-52A75,-52A32
-6A476,-6A4D1,-6A53F
-52B6D,-52BF3,-52A9B
-6A3F3,-6A5C9,-6A380
-5294F,-52BF1,-528D2
-6A49E,-6A556,-6A58F
-529EF,-52A97,-52AD8
-6A38F,-6A4AE,-6A498
-529F2,-528B7,-52912
-6A377,-6A52A,-6A415
-5292D,-5292D,-52911
-6A145,-6A2DE,-6A331
-52913,-52A89,-528C4
-6A483,-6A43B,-6A3E7
-528B8,-52756,-529CD
-6A38D,-6A37D,-6A313
-52908,-52AB6,-52876
-6A384,-6A29A,-6A4EC
-529E5,-52842,-52946
-6A2E2,-6A4C1,-6A33A
-527C7,-52877,-52A02
-6A3E6,-6A40C,-6A48F
-5283C,-5297C,-5272F
-6A2CE,-6A359,-6A305
-52875,-5299E,-52811
-6A2E5,-6A34D,-6A302
-5289F,-52902,-527CB
-6A07C,-6A26E,-6A2F8
-52775,-52854,-528FC
-6A300,-6A1D9,-6A3FB
-528E5,-52A9B,-527C9
-6A1BF,-6A2AD,-6A2B7
-52B07,-527F7,-52673
-6A283,-6A266,-6A3EB
-5284D,-52833,-52896
-6A1F4,-6A230,-6A2E9
-5276E,-528F7,-5278A
-6A349,-6A3CF,-6A2A3
-5293E,-52890,-52702
-6A316,-6A2EB,-6A026
-5270C,-52667,-52802
-6A130,-6A0EE,-6A1B0
-52817,-52A01,-5264B
-6A1E3,-6A2D1,-6A22D
-5268D,-52874,-526F5
-6A158,-6A409,-6A21C
-52909,-52858,-528BC
-6A176,-6A2FC,-6A232
-528A3,-5269B,-5267E
-6A1EA,-6A27E,-6A1A4
-52862,-528C9,-5270F
-6A126,-6A1BF,-6A22C
-52856,-52738,-52976
-6A2D3,-6A2DB,-6A0F3
-52726,-52717,-52786
-6A127,-6A1F6,-6A208
-5262E,-52950,-5278F
-6A2BF,-6A1CE,-6A1FC
-528EB,-52846,-526D8
-6A137,-6A15B,-6A239
-5287A,-528FF,-527B6
-6A2B8,-6A15D,-6A383
-52644,-52507,-52575
-6A26A,-6A4A5,-6A0C6
-52821,-5270A,-5287A
-6A117,-6A184,-6A276
-52810,-527EE,-5263D
-6A2BC,-6A20E,-6A0BB
-52797,-52721,-526FD
-6A1D2,-6A243,-6A19F
-52888,-525CC,-525F4
-6A05F,-6A10C,-6A1C2
-52811,-528BB,-52588
-6A372,-6A153,-6A175
-528A0,-52893,-528A1
-6A23F,-6A159,-6A21B
-5265F,-528FD,-526E7
-6A0C4,-6A249,-6A2BD
-52677,-52893,-527DD
-6A1B1,-6A1E6,-6A14D
-52635,-528B5,-52834
-6A252,-6A1EA,-6A01E
-526DB,-52724,-5270A
-6A1DE,-6A188,-6A15A
-52812,-527F3,-526A2
-6A038,-69FD5,-6A10B
-5261C,-52496,-525EA
-69F95,-6A12C,-6A0C4
-525C2,-5274B,-526C0
-6A12A,-6A07F,-6A142
-526B8,-5259D,-526BA
-6A019,-6A232,-6A076
-526E1,-52687,-526DC
-6A143,-6A14B,-6A182
-52649,-5257C,-5265D
-69F56,-69F16,-6A106
-52428,-526D7,-52498
-69F64,-69FA8,-6A0AA
-52780,-526DE,-52769
-6A0B9,-69FDE,-69FA6
-525C6,-52754,-525F3
-6A12F,-6A2BF,-6A1E2
-526D7,-524DF,-52537
-6A31B,-69F71,-6A152
-52578,-526EF,-5260E
-6A058,-6A1CA,-6A09B
-52671,-52849,-525D5
-6A1A9,-6A25B,-6A089
-52492,-5255F,-5267A
-6A0A3,-69EC6,-69EC9
-533CD,-53309,-53362
-69827,-69A33,-69AA0
-52071,-5217C,-51F23
-69959,-69A9E,-69B6F
-52167,-51E7C,-51EB0
-698AD,-69962,-6998E
-51E58,-52030,-51FFE
-69785,-69A0B,-69A54
