{'CALIB_RAW_DAC_START_I': 884736, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-79A0B,-79B31,-799DC
-61F7A,-61F62,-62099
-7996D,-79856,-798F0
-61E36,-6200D,-61EDE
-79841,-79ABE,-79975
-61E42,-61DE3,-62077
-79A9A,-79A55,-79957
-61F00,-61EBE,-61EAF
-799D8,-797EB,-79B7D
-61E51,-61ED0,-61C50
-7975E,-79827,-79929
-6202A,-61ED2,-61F5B
-798B9,-79973,-79B73
-6215E,-61E97,-621AA
-797D7,-798CE,-79994
-61E41,-61F40,-61FCF
-79967,-799E1,-799B3
-61F8F,-62157,-61F0B
-799E3,-79913,-79A50
-61F90,-620C9,-61E7A
-799AD,-799B6,-79A6B
-62059,-61EB9,-62012
-799C8,-799BB,-79ABF
-61EC0,-61F55,-61F44
-79A09,-799DD,-7984C
-61F9B,-6206F,-61F2E
-79A67,-79964,-79A8E
-61F9B,-61D1F,-62093
-79831,-798B3,-798E3
-61F62,-61C4D,-61D89
-79821,-79AA9,-79792
-61D67,-62053,-61E00
-7989D,-7981F,-79A30
-61E68,-61F44,-61EBB
-79861,-799D6,-799C1
-61D2A,-61D33,-61C64
-797A9,-799A1,-79986
-61F94,-61DA7,-61E6B
-7983A,-79806,-796D8
-61D58,-61D6F,-61DC0
-79896,-79986,-79741
-61F2F,-61F68,-61F87
-79849,-798EE,-79A0F
-61C28,-61EE2,-61F1D
-7983A,-798BE,-796D9
-61E1A,-61EF7,-61F4F
-79928,-797E2,-79834
-61BBD,-61DC7,-61EB0
-798DF,-79824,-79936
-61F3E,-61E6E,-61DE6
-79906,-79936,-79836
-61EF9,-61DFB,-61D6C
-797BA,-79756,-798CF
-61FA3,-61EC6,-61FF3
-79911,-798A1,-797BF
-61D8E,-61F24,-61E33
-795F5,-79830,-79915
-61F7D,-61C33,-61FD7
-79807,-798AC,-7997C
-61E04,-61CEB,-61F78
-79790,-79789,-79972
-61F69,-61E69,-61D31
-797A7,-7974D,-797FE
-61D75,-620D5,-61E5B
-799B3,-798E6,-79642
-61E9D,-6200C,-61F19
-79866,-797E8,-79862
-61D48,-61A0E,-61D06
-79630,-796D8,-79675
-61CDD,-61C94,-61CEB
-796F0,-796F7,-79946
-61C2C,-61DAC,-61AF6
-7966E,-798B0,-797E3
-61D4D,-61D2E,-61B8D
-7959A,-79820,-79875
-61CF8,-61C87,-61DB3
-7974A,-7982B,-79783
-61B2E,-61ABD,-61C80
-796C5,-797BB,-795F2
-61B56,-61AF4,-61A28
-7951D,-7959F,-7965A
-61D6D,-61DBC,-61D72
-795EC,-79593,-7960F
-61B7C,-61DD0,-61AD8
-79647,-7966A,-79409
-61BED,-61AB4,-61CF9
-797B5,-7975F,-795C4
-619A8,-61C40,-61D78
-796BB,-795F8,-79685
-61BDC,-61B0B,-61B8F
-795E3,-796AC,-7973C
-61CA7,-61B9E,-61B95
-7966B,-7970F,-795A3
-61DE7,-61C12,-61CD9
-797BB,-796EF,-797C3
-61BCA,-61B5D,-61A6D
-79655,-796F2,-795ED
-61BF5,-61CD5,-61BEF
-794B9,-79566,-79772
-61C27,-61BDA,-61C5C
-79702,-79687,-794D1
-61E17,-61AA6,-61A3A
-794F2,-795FA,-794B4
-61A78,-61B04,-61BC5
-795F1,-796A6,-79767
-61B7E,-61B62,-61AEA
-79598,-7944B,-795EB
-61B67,-61BFB,-61A73
-795D6,-79488,-79672
-61BE5,-61CA1,-619DB
-79509,-7959E,-794A8
-61B3C,-61925,-61A40
-794C2,-79726,-797F4
-61B00,-61B96,-61AE0
-79540,-79613,-7951F
-61B1B,-61C68,-61B02
-795E6,-79669,-7983B
-61CD2,-61CEC,-61BE4
-7965E,-796DE,-79799
-61B96,-61A26,-619E4
-794F0,-794C8,-794B3
-61C8E,-61CD9,-61B6A
-79432,-79369,-79618
-61B0E,-61BC4,-61A1B
-7946D,-794F8,-794C8
-618EE,-61A0A,-619A0
-794BD,-792AD,-7944A
-628B2,-62A5E,-62856
-78F24,-78EDA,-79005
-614EC,-613D7,-613B9
-78F9F,-790E8,-78FC6
-615F7,-61599,-613F1
-78F47,-78E43,-78D11
-61320,-613F2,-615AE
-7902B,-78EAB,-78E01
-613BB,-614D6,-61588
-78F02,-78F21,-78E39
-61617,-6174A,-616E9
-78D74,-7906C,-78E6D
-614F9,-61400,-614AF
-78E24,-78E26,-78D2E
-614B1,-61448,-615B7
-7908B,-78E77,-78FED
-6141B,-61369,-614B3
-78FB6,-79052,-78F85
-614A6,-614DE,-613FF
-78F31,-78F17,-78D6E
-6151F,-613F2,-614C1
-78CB4,-78F0D,-78ECE
-61366,-6146B,-61391
-78F22,-78DF8,-78E3B
-61396,-612D9,-61432
-78DC8,-78ECF,-78BAA
-61213,-61457,-610DA
-78F0B,-78CD9,-78D89
-612CB,-611EC,-61422
-78ED3,-78E29,-78EA9
-611FE,-61170,-611FB
-78E85,-78D00,-78B36
-611CD,-61214,-61399
-78D87,-78DFA,-78D36
-61265,-6128F,-61265
-78C97,-78D52,-78E3A
-613B5,-61313,-612C2
-78F56,-78BE1,-78E06
-61361,-612AE,-61437
-78E14,-78FDB,-78E89
-61377,-61400,-6139C
-78BA3,-78BD5,-78C62
-612F3,-613B5,-6142E
-78CE7,-78EA3,-78EE7
-612A5,-61216,-613A1
-78CCB,-78CA3,-78D23
-61234,-611DE,-61258
-78C83,-78BFD,-78C86
-612B2,-611DD,-6126E
-78B7D,-78CD3,-78DD9
-611D2,-61290,-611CF
-78C97,-78C40,-78D68
-61218,-61308,-61174
-78D6D,-78CBC,-78ACB
-6120C,-6111D,-6137E
-78D00,-78A6D,-78CC4
-610C3,-612A9,-612DD
-78D1D,-78D1E,-78C81
-61438,-61079,-61103
-78B6F,-78CB8,-78CB5
-60FBC,-6106F,-6113D
-78C1B,-78F96,-78D10
-612E6,-61495,-6122B
-78D26,-78C9F,-78C04
-60FB6,-61052,-6129F
-78AF5,-78CEC,-78D63
-61188,-613D2,-61315
-78E59,-78B3F,-78C5C
-6115E,-61058,-61215
-78D32,-78D02,-78A93
-612DC,-61290,-612D0
-78D29,-78DDD,-78D2F
-61195,-6122F,-61345
-78D4D,-78DCB,-78CB5
-61204,-61248,-61254
-78CB4,-78D56,-78D0E
-6122B,-611D1,-612AB
-78B39,-78C19,-78B44
-611F5,-610E9,-61201
-78B6F,-78C15,-78B54
-61026,-61009,-610F0
-78CA6,-78CA9,-78C5D
-61255,-6122C,-611CD
-78A0B,-78DB7,-78BE1
-61138,-611BE,-611CC
-78C5D,-78B69,-78DCC
-61169,-610D7,-611F3
-78A5A,-78DC7,-78D01
-6121B,-61304,-611B1
-78CD1,-78CA1,-78BF7
-610DA,-610A9,-61261
-78A7F,-78CFD,-78CE6
-610A3,-60F95,-60FB0
-78ADC,-78B21,-78D32
-61268,-61107,-610CB
-78D0E,-78BA9,-78CAC
-60F2B,-610C1,-60F64
-789DC,-789B0,-78BD2
-612C0,-612C0,-613DA
-789A3,-78C8A,-78D53
-61212,-6121D,-61273
-78BE5,-78BAA,-78CDA
-61299,-6110C,-6113A
-78B61,-78C57,-78B38
-61173,-61020,-61018
-78C29,-78C48,-78A97
-6115C,-60FDF,-612CB
-78A7E,-78C4E,-78C67
-61002,-60F95,-60FBB
-78A61,-78A85,-78B4B
-61064,-60EA0,-61235
-78AF3,-78BB3,-78D00
-610AE,-610B9,-611DD
-78C07,-78BBF,-78A6A
-61176,-61068,-6112A
-78AAC,-78A3E,-78B59
-61006,-61159,-612D6
-78CAB,-78D1B,-78C51
-61050,-611C1,-60FE0
-78AB9,-78A21,-78BA7
-6120A,-610C8,-611C6
-78A96,-78ABB,-78AB4
-61080,-6100D,-60FAA
-78ABD,-78B2A,-78BE5
-60FC8,-60F67,-60FDA
-78A78,-78ACF,-78A1F
-6116C,-61117,-610B1
-78AC1,-78A76,-789D1
-625CA,-628AA,-627B4
-78BD6,-78BC3,-78D6E
-6129E,-61218,-6123C
-78C34,-78DAF,-78C4A
-612A5,-6131E,-613CA
-78C5C,-78C55,-78E7C
-610DB,-6109B,-612CD
-78D31,-78CBC,-78CB4
-612C3,-6108D,-61335
-78D21,-78C81,-78DCB
-612AE,-61189,-611ED
-78DD2,-78C98,-78D82
-611CA,-61397,-610BF
-78B09,-78C4A,-78E2E
-612F5,-61263,-611EA
-78DD1,-78D14,-78D4D
-610DA,-6108A,-60DEC
-78CB2,-78A17,-78BE0
-61223,-612A1,-61448
-78B99,-78E44,-78D27
-6147F,-61292,-611C4
-78D07,-78D19,-78D81
-611E3,-61298,-6137B
-78D0F,-78D37,-78CB4
-611D0,-61110,-611C8
-78ABE,-78CEB,-78E82
-612DD,-61147,-61315
-78BEB,-78C1E,-78C3D
-61169,-60F11,-6116E
-78AF4,-78ABE,-78C2E
-61135,-6113F,-60F5B
-78B81,-78D87,-78B56
-6113D,-611EC,-610B2
-78D4C,-78C26,-78BBA
-60FC1,-610B3,-610E6
-78AFA,-78BFB,-78C63
-61133,-61056,-6112C
-78C38,-78B21,-78B43
-611BA,-611EC,-6117A
-78B9E,-78BC8,-78DE2
-610A2,-61245,-612D4
-78B82,-78B27,-78BE4
-61321,-61148,-61182
-78AD1,-78A95,-78C3E
-6107D,-6106F,-61114
-78ABB,-78BAF,-78916
-611AE,-60F71,-61176
-78AB6,-78C2E,-78C01
-6102D,-61172,-60EF6
-789FF,-78D30,-789BA
-61102,-61361,-60F6F
-78B8D,-78C5A,-789F4
-6117E,-6116B,-60EDD
-78BC3,-78CCD,-78B34
-61095,-611FE,-6106C
-78C90,-78B45,-78AE4
-60FE3,-610FE,-60F45
-78BE9,-78AB3,-78ABE
-60E97,-60F9A,-6103C
-7888A,-78C1A,-78B37
-611DD,-611F3,-61175
-78C24,-78AB1,-7894C
-6110B,-61121,-6111E
-78A04,-78BFC,-78BAF
-6101E,-610A0,-60F48
-78B3C,-78BB3,-78A5D
-61033,-61118,-6127C
-78B59,-78B8F,-78AD8
-61147,-61129,-61048
-78A2D,-78C7B,-78CCE
-60FBA,-610AC,-61284
-78C64,-78A0A,-78B3F
-610C7,-6103A,-60E6B
-787D9,-789B8,-78ACC
-610CC,-610B2,-60F23
-789D8,-78A8B,-78AFA
-6101C,-60FE3,-60E19
-78987,-78B56,-78C4C
-60FD2,-60F6B,-610E9
-789AA,-78A3E,-78A7A
-610E0,-61174,-61061
-78ADA,-78C7A,-78AB0
-61315,-6110E,-61120
-78B9F,-78C2C,-78D25
-61154,-6115E,-611DC
-78B1B,-78AFC,-78BFB
-60FEC,-60FC6,-60FAE
-78B85,-78AFE,-78C52
-6103C,-60FCA,-61035
-78A01,-789CD,-789E8
-60EF1,-60F52,-61090
-78B5D,-78AD0,-78AA6
-6104B,-60F7C,-60FD7
-78A50,-78948,-78B5A
