{'CALIB_RAW_DAC_START_I': 917504, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-8960F,-8973B,-89554
-71C12,-71D57,-71AE7
-896AE,-896B0,-89870
-71CAC,-71AB3,-71D40
-89715,-89804,-897C7
-71C7E,-71BF9,-71CDE
-8974E,-895E5,-89640
-71CA5,-71ABA,-71A8D
-89302,-89554,-89555
-71B34,-71C16,-71B7D
-894CD,-89568,-8971B
-71AC8,-71B91,-71A5C
-89519,-895D6,-89341
-71AB7,-71A1B,-71C28
-897EE,-895F8,-89741
-71AA9,-719F1,-71930
-89786,-8938B,-8960A
-71BF3,-71C60,-7195E
-896F7,-89659,-89633
-71C2E,-71C3F,-71CEB
-89638,-894B4,-89491
-71BC7,-71B3E,-71C04
-8968D,-896A4,-894CB
-719DC,-71B9C,-71AE0
-896AC,-897D1,-89453
-71AA2,-71BCE,-71C12
-8960A,-89551,-895D4
-71BD7,-71C1E,-71B32
-8952F,-8968B,-897E1
-71C99,-71BB2,-71BAC
-89748,-89738,-895F2
-71ADA,-71C21,-71CD6
-895F6,-8957A,-89695
-71B9E,-71CB9,-71C19
-8952B,-89407,-895B7
-71B64,-71B08,-71A1D
-8936F,-8955F,-89595
-71B9F,-71C4F,-71BBD
-8958C,-893FE,-89638
-719B9,-71A01,-71B3B
-8948F,-89506,-8955C
-71BA2,-71A91,-71AB1
-8955A,-8952B,-8959F
-71B4C,-71B06,-71AB3
-8940B,-89482,-893CD
-718D4,-7189F,-71AEB
-892EA,-89448,-89503
-71843,-71962,-71A89
-89561,-894A6,-89418
-71B5B,-71B46,-71C62
-89642,-89404,-893F7
-71ADD,-71B08,-71A25
-895C7,-89584,-89671
-71A5E,-71A14,-719EF
-894BC,-894D4,-892BA
-71980,-71A17,-71816
-89469,-891C7,-89339
-71A4E,-71A5C,-71A16
-89502,-893AA,-8949C
-71A37,-71AD0,-71C5F
-895DC,-8933F,-892B2
-71A44,-7195D,-71AB1
-8939F,-893AC,-890EE
-719EA,-71B7E,-71AD9
-891FB,-89315,-8948C
-71A43,-7197F,-71AC9
-893A2,-8930A,-892B2
-719D1,-71957,-71904
-89315,-89562,-894C4
-71AC9,-7190D,-719C0
-89462,-89472,-894DE
-71AA8,-718C1,-71AD2
-894B4,-89587,-894BC
-71A1B,-719F6,-71B04
-894FC,-894D2,-893A6
-718C1,-71861,-7192F
-893A3,-8941B,-89588
-718CA,-71AC8,-71935
-8924E,-89499,-8931D
-716CD,-71825,-71765
-893DD,-892F5,-89568
-716D0,-71A64,-71975
-8914A,-8938B,-893E1
-71A4B,-71969,-719D0
-8933B,-89377,-89260
-71942,-71917,-71693
-893DB,-89475,-8935F
-7186D,-7172E,-71827
-8945D,-89395,-893A1
-718D2,-717EF,-71A4E
-89156,-89225,-893CD
-7169F,-7172D,-717E3
-892A6,-893C4,-89469
-71980,-71733,-719A0
-89344,-89118,-89469
-71722,-718F4,-71757
-893A6,-89248,-89354
-71762,-7191D,-71847
-89269,-891B5,-892E8
-7197F,-718AC,-717EE
-8934F,-8924A,-89312
-71A15,-7183A,-7180C
-891F6,-891D2,-89413
-718F2,-716CA,-71939
-892CF,-88F28,-892C0
-71780,-71810,-718E4
-8920C,-89250,-891C3
-7169A,-717F8,-7171B
-89299,-89530,-89160
-719A9,-71899,-71773
-891BB,-8902E,-8922E
-71713,-71576,-714C4
-8905C,-890C2,-890ED
-718FF,-7163C,-715EC
-88FD3,-8925D,-89129
-717F1,-717CB,-716EF
-89197,-890C2,-89223
-71768,-718A3,-718AB
-89173,-89275,-892AC
-7170D,-7159C,-717A0
-89090,-890D5,-88FDF
-7168A,-717B4,-716A0
-89198,-890C3,-89202
-716F6,-7146A,-71765
-88F4A,-890DE,-891AC
-716B8,-716ED,-7182D
-890C1,-8908D,-88FE5
-723F8,-722D8,-722A1
-88B0B,-88BF1,-88BA1
-7115F,-70F9B,-7123D
-88939,-88BDC,-88B31
-711A8,-7112C,-7128A
-88AAA,-88B07,-88BB0
-7100C,-70FDE,-7112B
-88967,-88B6E,-88AFE
-70FC6,-7103A,-70FDE
-88A8A,-88994,-88B01
-70F84,-71142,-70F8F
-88B1F,-88AA1,-88975
-70F4A,-7104A,-71053
-88B96,-88A12,-88B45
-71183,-711C5,-71220
-88D14,-888ED,-88A7B
-70EF9,-710A7,-7108A
-88CA2,-88B62,-88B6B
-712A0,-7116D,-710C9
-88B00,-88D0A,-88B6A
-71048,-70FFF,-7123A
-88C8C,-88C9A,-88ADF
-710F6,-712D0,-711FB
-88A7C,-88B17,-88B8D
-71256,-71198,-71120
-88BA0,-88C38,-88A96
-711A1,-7102C,-70F95
-88A3D,-88A83,-88A2E
-71070,-710C9,-711DC
-88AB7,-888EE,-88B23
-71183,-710CA,-70F7C
-88B26,-88AE1,-88A3D
-7114A,-70FBA,-71055
-88A6F,-88B02,-88AA4
-71041,-71227,-711AA
-88AD9,-88B3D,-88A2F
-71159,-71207,-7115D
-88A9F,-88D48,-88AFB
-7117E,-71116,-71114
-88C51,-88C4A,-88BFF
-71106,-71077,-70ED8
-88ACC,-88A3D,-88BFB
-7100F,-70F1D,-70FD9
-88AB1,-888EA,-88A45
-71196,-70F85,-70F24
-88B6D,-88994,-88A77
-70F6E,-71094,-710F3
-88B1C,-8883A,-88A4C
-70F9E,-70F49,-70D78
-889A2,-88852,-888C4
-71012,-71052,-7106C
-88855,-88937,-88AB7
-70F71,-710F1,-70E59
-8891F,-8877C,-889B0
-710FC,-70EF8,-70F22
-88B63,-88B38,-88A14
-70ED1,-7112C,-70DF7
-88AFF,-8895E,-8898A
-71004,-710E2,-70FE8
-8895F,-8897B,-88A00
-71054,-70FDC,-70F77
-88899,-88A08,-88A3B
-70E29,-70F95,-70FC8
-88BDE,-888A5,-88AF9
-70D7C,-70F15,-70F00
-88953,-88953,-88A7A
-70FF7,-70F0B,-71033
-889AE,-88A7D,-889AD
-70FDD,-70E81,-70F1F
-88A22,-88A6E,-88920
-70DF0,-70E7A,-70F36
-889E2,-889D6,-8897D
-70D1E,-70E9C,-70D96
-8867B,-88AC3,-887F7
-70D39,-70DF4,-70ED7
-88934,-8896D,-88929
-70F31,-70DCF,-70DD3
-887BD,-887C6,-888D3
-70E42,-70EB1,-70E90
-88793,-88AFC,-888FA
-70CA5,-70C8F,-70EE0
-88785,-88A6A,-889F3
-70EA5,-70EC6,-70DD5
-8893D,-88A1D,-88A74
-70DE4,-70F8E,-71001
-88975,-889D6,-88A2F
-71039,-70EF8,-70EE9
-88A2B,-88B06,-8896C
-71002,-70ED4,-70DF3
-8894F,-8884D,-8888D
-70F1C,-70D74,-70D84
-88817,-88A8C,-8894A
-70FBC,-70D45,-71061
-888F1,-887C4,-88923
-7102B,-70FEF,-70DFD
-8880F,-887FB,-889B4
-70E7F,-70E6B,-70E83
-887A9,-88857,-88761
-70D61,-70CEB,-70D4E
-88708,-88896,-8875E
-70D13,-70B9E,-70D27
-887A5,-8873B,-886BD
-70BD0,-70B1D,-70BD7
-8889C,-88906,-88881
-70EC9,-70EBE,-70D57
-88741,-888D0,-88764
-70B61,-70D74,-70D44
-88667,-8888E,-8894B
-70DB6,-70CAE,-70BC9
-88754,-88700,-88621
-70C7A,-70B3E,-70C28
-886E3,-8864B,-88775
-70C99,-70B96,-70CE2
-88736,-8881E,-8883E
-70E18,-70D64,-70CB8
-88918,-88916,-88939
-70D3D,-70FBD,-70DD3
-886D0,-886FC,-8866B
-70E18,-70BD1,-70C94
-88837,-888C4,-8890C
-70E0A,-70E25,-70CD1
-88698,-887F3,-8880C
-70F3F,-70D4F,-70D5F
-8865C,-88883,-886B0
-70C5A,-70D1F,-70D34
-886FB,-88668,-8874E
-70CAF,-70E8D,-70B16
-88839,-888E7,-8869D
-7241A,-722DD,-72429
-889A9,-88C17,-888D3
-71190,-70FB4,-710B2
-88A66,-88AA6,-88A2B
-70D14,-70F8B,-70FD6
-88A2B,-88AF9,-8884E
-71056,-70F1F,-70F6E
-88B44,-8899A,-88A5C
-70F50,-70FD6,-710E2
-88AD6,-88A5E,-88977
-70F7F,-70EC7,-70F66
-889AF,-8894F,-888C7
-710CB,-71005,-70E95
-88AA3,-88968,-88A54
-71074,-7109D,-710E5
-88905,-88A3E,-88934
-70CF0,-70E22,-70DD5
-88947,-88A1E,-88AAB
-70E83,-70F73,-70FD9
-88A73,-88910,-88A40
-70FF0,-70F0D,-70F8E
-887F0,-889E8,-88C32
-70F96,-70D98,-70EF7
-889D1,-88A43,-88A2B
-70DBA,-70E56,-70DC9
-88985,-888F3,-88A7E
-70CF7,-70E3C,-710BA
-88901,-88894,-887AB
-7105E,-70DF4,-70E51
-88658,-886F1,-88820
-70F19,-7112A,-70DAB
-88981,-8889A,-886E8
-70E7F,-7100F,-70E38
-887F3,-888B2,-889BF
-70DDE,-70D6A,-70D5F
-88718,-8876D,-8890B
-70DBA,-70E43,-70EAD
-88857,-88962,-887E0
-70DA6,-70C6B,-70C37
-88862,-888F3,-889CB
-70E9A,-70CFD,-70BAF
-887C5,-886EA,-887BD
-70DFF,-70D33,-70E48
-887DF,-888FE,-887BC
-70D95,-70E04,-70D63
-886DC,-887A1,-888F6
-70D73,-70E36,-70E42
-887C5,-888B4,-88771
-70E88,-70CD9,-70D98
-88987,-8876B,-88972
-70E0F,-70E49,-70ECE
-88791,-88A6A,-886D7
