{'CALIB_RAW_DAC_START_I': 950272, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-9997C,-99AB7,-99927
-81F9D,-822AA,-81FBC
-997DE,-997B9,-9988A
-81E4C,-81F4B,-81F89
-998E1,-998A8,-99930
-81E7A,-81F3A,-81F0B
-999F7,-99900,-998B3
-81E1B,-81B07,-81DFE
-9985B,-99747,-99829
-81EA0,-81D90,-81ED7
-99AED,-99832,-998C3
-81E8D,-81CB8,-81EFC
-9964E,-9983B,-9972B
-81EE8,-81C50,-81C92
-99820,-999F3,-998D1
-81E35,-81C6E,-81CB0
-9983A,-99903,-999C6
-81E6E,-81EAD,-81DE5
-99991,-995D7,-99876
-81DDE,-81D08,-81DCF
-997E0,-99827,-998CD
-81ECC,-81CDD,-81E91
-997FF,-99872,-99865
-81ECB,-81CAD,-81FA2
-9995D,-9983C,-99857
-81EC5,-81E68,-8209B
-9978F,-99AA8,-998CB
-81EB1,-81D8F,-81E23
-99833,-996F2,-997CF
-81E15,-81E97,-81E17
-997C4,-9990E,-998F3
-81C15,-81BBB,-81D22
-996EA,-99770,-99647
-81D62,-81D92,-81D92
-99A03,-996D8,-99776
-81C86,-81B73,-81DD1
-99672,-996C8,-99614
-81BA5,-81C9C,-81CA8
-99606,-99647,-994F8
-81BE9,-81AF9,-819C8
-99677,-996D3,-995FD
-81DB4,-81D5E,-81ECE
-9964B,-996E0,-99840
-81DD7,-81D14,-81B12
-996AE,-9965D,-9982D
-81E28,-81AFC,-81D5A
-997C2,-99698,-99775
-81C69,-819D3,-81CBA
-9975D,-997C1,-997AC
-81E99,-81E8D,-81D0F
-99898,-99889,-997AD
-81DE6,-81D57,-81DA3
-99860,-996AD,-9994D
-81EEB,-81F1A,-81E54
-996A8,-997F6,-99891
-81D67,-81C3A,-81AA0
-99549,-99695,-996BA
-81C79,-81D7E,-81B6A
-996D1,-99607,-99773
-81CCD,-81B47,-81B23
-999C7,-996B8,-99720
-81D13,-81D47,-81DC6
-995BC,-99639,-9989D
-81D28,-81D82,-81CB2
-995E5,-995A9,-9968A
-81D47,-81BBA,-81B96
-99748,-9956D,-99792
-81DA7,-81CD5,-81C9C
