{'CALIB_RAW_DAC_START_I': 983040, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-AAE48,-AAE8A,-AAEAB
-9372B,-9370C,-93720
-AAF8A,-AAF25,-AB103
-93674,-935C1,-93374
-AB17B,-AB141,-AAEFB
-93495,-93745,-934DB
-AAEC7,-AB146,-AAFC5
-935FB,-93526,-93432
-AB0E0,-AB022,-AAF39
-93398,-933DA,-93412
-AAEBB,-AAF8A,-AAFE7
-93585,-9331A,-933FB
-AAFC2,-AB057,-AB13B
-9335E,-934C5,-9355A
-AB0B6,-AAF61,-AB02A
-9366D,-93528,-935CF
-AAFBD,-AAEB1,-AAF65
-93543,-933DD,-9349C
-AAEDA,-AAF3A,-AB0B5
-934B7,-93580,-935CF
-AB073,-AAF3C,-AAEBA
-934CA,-9364F,-935D3
-AB06A,-AAE68,-AB177
-93536,-935C2,-935A1
-AAFD8,-AB0A4,-AAFF6
-935F0,-9329A,-9345E
-AAFD1,-AB036,-AAFB4
-93538,-9356A,-9334F
-AADF4,-AAEC9,-AB04A
-9343F,-93616,-93549
-AAE3A,-AAE35,-AAE21
-93349,-9325D,-934AE
-AAE4A,-AAE8D,-AAED3
-93206,-9341E,-93423
-AAE7E,-AAEE2,-AAE4E
-935E6,-93317,-93469
-AACF3,-AB068,-AADBD
-9354D,-93449,-934E4
-AAF59,-AAF0D,-AAFE7
-934B1,-93546,-9354C
-AAF1A,-AAD30,-AAEC6
-93560,-93379,-933C8
-AACC1,-AAF6E,-AADB9
-9358B,-934AF,-9328F
-AAD67,-AAE0B,-AAF84
-9340B,-93344,-93460
-AAF59,-AAEB5,-AB008
-9335A,-9349A,-932D4
-AAE1F,-AAFE3,-AAFEF
-934E9,-933C2,-9356E
-AAEFC,-AAEF2,-AAF25
-933FC,-934BD,-933F7
-AAEE3,-AAD4C,-AAE96
-935D2,-934B1,-93572
-AACE0,-AAE9A,-AAD87
-93545,-93470,-93362
-AAF18,-AADE9,-AAF6F
-93482,-93392,-93428
-AADAF,-AAF07,-AAE34
-93381,-93491,-93528
-AAD19,-AAD59,-AAE54
-9343E,-933F9,-933B0
-AAC69,-AAEC3,-AAE30
-933F1,-9352A,-934AF
-AAEBB,-AADF3,-AACDC
