{'CALIB_RAW_DAC_START_I': 1015808, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-BA1B6,-BA0AC,-B9EB2
-A25C7,-A27A4,-A25C0
-B9FB9,-B9FF3,-BA02A
-A24FC,-A2400,-A25B1
-B9FCA,-B9E05,-BA079
-A270C,-A2682,-A27DE
-B9FC0,-B9FA2,-B9FE6
-A2433,-A261A,-A2537
-B9FC2,-BA063,-B9FE9
-A2556,-A25A9,-A25AD
-B9ED0,-B9FD5,-B9F09
-A2515,-A2487,-A2530
-B9EF2,-B9E36,-B9E35
-A270A,-A251F,-A2616
-B9F01,-B9FEE,-BA0F7
-A2528,-A241A,-A2243
-B9DA7,-B9F66,-B9E4B
-A2630,-A2576,-A2531
-B9FEB,-B9EB9,-BA005
-A2758,-A25CF,-A258C
-BA06F,-B9FB7,-B9ED9
-A25A3,-A27B0,-A274A
-B9FAD,-B9F2B,-BA0EA
-A25A5,-A270A,-A2505
-B9F81,-B9FEA,-BA076
-A257B,-A24FA,-A2476
-B9F82,-BA020,-B9FAE
-A2743,-A265D,-A2480
-B9ED2,-B9F30,-B9EFE
-A253F,-A2485,-A23E5
-B9E23,-B9F56,-B9FD5
-A2411,-A22F3,-A239F
-B9DC3,-B9E65,-B9E4A
-A257E,-A2386,-A257E
-BA030,-BA0C4,-B9F35
-A2460,-A24F8,-A22EF
-B9FA9,-B9F1B,-B9EAC
-A257F,-A2569,-A25DF
-BA0DF,-B9EA7,-BA028
-A24ED,-A244A,-A252E
-B9E96,-B9D53,-B9F58
-A2404,-A247A,-A2456
-BA05D,-B9F3C,-BA0CF
-A2466,-A24AE,-A2443
-B9E15,-B9EC8,-B9ECC
-A2543,-A24DB,-A243F
-B9E79,-B9E09,-B9FFF
-A2336,-A23BD,-A24A7
-B9EB2,-B9DB8,-B9DF3
-A235B,-A2538,-A237F
-BA17D,-B9F3C,-B9F11
-A23CF,-A24FE,-A23CE
-B9D88,-B9E65,-B9E6E
-A2426,-A2272,-A24A0
-B9D8A,-B9ED1,-B9CCB
-A22F6,-A2424,-A21C5
-B9D91,-B9E36,-B9E4F
-A2354,-A24CD,-A2476
