{'CALIB_RAW_DAC_START_I': 0, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-22E11A,-22DFB9,-22E2CE
-21670D,-216775,-2167F1
-22E18E,-22E284,-22E2F2
-2168FC,-2168A3,-216A4B
-22E3F9,-22E2C7,-22E29B
-2167D7,-2167A7,-21676E
-22E200,-22E4C3,-22E3CD
-2168D3,-2167F9,-216ADB
-22E2EA,-22E2A8,-22E4E6
-216860,-216915,-2169E8
-22E2F7,-22E395,-22E293
-2169B1,-2169F3,-216841
-22E22A,-22E4EB,-22E33E
-216972,-216A78,-2166D7
-22E419,-22E567,-22E2AA
-2168E7,-216AB1,-216ADE
-22E314,-22E4D8,-22E426
-2169A9,-216A89,-216974
-22E5AD,-22E457,-22E4FE
-216911,-216864,-216882
-22E319,-22E615,-22E33E
-216A16,-2168C7,-216847
-22E445,-22E39C,-22E3B8
-216920,-216933,-2168D4
-22E418,-22E50B,-22E5B8
-2169DE,-216A51,-216A62
-22E3AD,-22E26B,-22E3FC
-216B47,-216C3A,-216C14
-22E426,-22E5EE,-22E481
-216913,-216929,-216AF7
-22E532,-22E3C7,-22E5C4
-2169BE,-216B56,-216BD6
-22E074,-22E09D,-22E1A1
-2167B8,-2167D9,-21686F
-22E1FD,-22E2E8,-22E1F3
-2167DF,-2168A5,-21680B
-22E48E,-22E33D,-22E3FD
-216648,-216850,-2168E5
-22E278,-22E2C0,-22E31C
-216803,-2168BC,-21697D
-22E45F,-22E216,-22E19D
-21694D,-21695F,-2168CD
-22E360,-22E30E,-22E324
-2168F1,-2167BE,-21681B
-22E261,-22E481,-22E33E
-21689D,-21683E,-2167A2
-22E368,-22E3A6,-22E2A4
-2167D4,-21693B,-2168C8
-22E351,-22E36C,-22E28B
-2169D5,-216930,-2168FF
-22E455,-22E412,-22E51D
-2169A0,-216905,-2169B2
-22E1E8,-22E398,-22E14D
-21687C,-2168AF,-2169E8
-22E3C0,-22E459,-22E368
-216B1E,-2169B4,-21679D
-22E321,-22E3B3,-22E4D7
-216C4C,-216AC4,-216BBC
-22E509,-22E3BD,-22E469
-216ABB,-216A6C,-216930
-22E463,-22E624,-22E52C
-216A8A,-21696D,-216B81
-22E4F4,-22E5F6,-22E668
-216C77,-216D7C,-216BD5
-22E8C5,-22E6A7,-22E817
-216F39,-216CC3,-216E1B
-22E932,-22E7D4,-22E935
-216D92,-216D78,-216EC3
-22E905,-22E7CF,-22E832
-216DDE,-216E79,-216EB1
-22E822,-22E83C,-22E9A2
-216C24,-216E16,-216F20
-22E84D,-22E67D,-22E854
-216C64,-216E21,-216E45
-22E814,-22E752,-22E6F4
-216EF0,-216F1B,-216FFE
-22EB01,-22EA12,-22E8D8
-216FF8,-21700E,-216F2F
-22E7F4,-22EA08,-22E83B
-216CC1,-216E1A,-216BDF
-22E959,-22E8BA,-22E863
-216E8F,-216CC8,-216E78
-22E7AD,-22E873,-22E761
-216E12,-216EB9,-216B19
-22E700,-22E7D7,-22E8C8
-216F78,-216FCB,-216FAD
-22E9A5,-22E9E4,-22E864
-216EDD,-216E3C,-216DD3
-22E9CD,-22EAD6,-22E917
-2170AD,-216D19,-216F00
-22E903,-22E952,-22EAF9
-21709D,-216FD1,-216E04
-22E9EC,-22EAC5,-22E7F8
-216DD5,-21709A,-216E16
-22E879,-22EBAC,-22EA2D
-216F8E,-216FE4,-2170AD
-22E904,-22E8BC,-22E962
-216EEF,-216FE6,-216EE1
-22E82C,-22EA4E,-22E82B
-216FEB,-21710B,-216E86
-22E8DF,-22E97D,-22E8F9
-2170F3,-216F3F,-216E20
-22E81C,-22E9EF,-22EA6B
-216DB1,-216FF2,-216D29
-22E888,-22E84B,-22E915
-217002,-21703D,-216FAD
-22E911,-22EA4C,-22EA33
-216F71,-216F29,-216F25
-22E912,-22E8A0,-22EA5F
-216F67,-216FF2,-217046
-22E86B,-22EA40,-22E801
-216EC1,-216E52,-216C62
-22E7E4,-22E743,-22E9B1
-216F21,-216ECE,-216F6A
