{'CALIB_RAW_DAC_START_I': 32768, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-20B280,-20B187,-20B1DE
-1F3812,-1F38DF,-1F3880
-20B35B,-20B363,-20B250
-1F392F,-1F3849,-1F3729
-20B26D,-20B42D,-20B203
-1F3899,-1F38A3,-1F3764
-20B24A,-20B3BA,-20B3FE
-1F385F,-1F37CF,-1F38FD
-20B3DB,-20B13B,-20B15F
-1F37C5,-1F3791,-1F37A5
-20B275,-20B287,-20B1F8
-1F3874,-1F380F,-1F37CA
-20B4AE,-20B27D,-20B346
-1F39B4,-1F3A8A,-1F3997
-20B26C,-20B2E9,-20B35F
-1F3812,-1F389D,-1F39CF
-20B3FA,-20B2EE,-20B1CE
-1F39D7,-1F396C,-1F3ABF
-20B387,-20B329,-20B453
-1F398D,-1F37A2,-1F395F
-20B335,-20B3C9,-20B26A
-1F39FE,-1F38F9,-1F3972
-20B33E,-20B408,-20B40E
-1F3A4A,-1F3A25,-1F3A92
-20B48D,-20B291,-20B30A
-1F3A83,-1F3B2F,-1F3BEE
-20B61D,-20B5D4,-20B323
-1F37AA,-1F3A33,-1F3AE9
-20B5C2,-20B6BF,-20B611
-1F3A21,-1F3B34,-1F3AA3
-20B5A8,-20B326,-20B5FA
-1F3ADE,-1F3996,-1F3B65
-20B11C,-20B25B,-20B2FD
-1F37D2,-1F383B,-1F38E5
-20B1E0,-20B20C,-20B485
-1F3941,-1F385D,-1F37D7
-20B25D,-20B3D6,-20B271
-1F391D,-1F3907,-1F38B2
-20B14A,-20B23D,-20B2C8
-1F364A,-1F3946,-1F37EB
-20B192,-20B20C,-20B469
-1F39B9,-1F3898,-1F37C8
-20B2B8,-20B39B,-20B27C
-1F39B6,-1F38F3,-1F3A13
-20B377,-20B5BA,-20B215
-1F391B,-1F3832,-1F3A83
-20B25B,-20B57B,-20B3D4
-1F3ACF,-1F398C,-1F38C4
-20B412,-20B3D6,-20B519
-1F3A77,-1F39A6,-1F3714
-20B1F1,-20B2A1,-20B1EC
-1F3A8F,-1F38C9,-1F3991
-20B51A,-20B2BE,-20B2CD
-1F388D,-1F3A47,-1F38E3
-20B431,-20B56E,-20B4E0
-1F3B2A,-1F3A4E,-1F3A4A
-20B5AC,-20B74A,-20B586
-1F3A51,-1F39A0,-1F3940
-20B538,-20B454,-20B502
-1F3B2F,-1F3A11,-1F39DD
-20B3F3,-20B4B5,-20B638
-1F3B6B,-1F3BED,-1F3A0F
-20B59C,-20B513,-20B72F
-1F3E23,-1F3C8D,-1F3AF0
-20B837,-20B9E9,-20B937
-1F3E50,-1F3D47,-1F3DA9
-20B8E7,-20B8DA,-20B7B7
-1F3CAD,-1F3CC3,-1F3BB2
-20B809,-20B8DA,-20B894
-1F3DD6,-1F3DD6,-1F3CAB
-20B6D3,-20B984,-20B738
-1F3D8D,-1F3D47,-1F3DA6
-20B793,-20B6B1,-20B5DB
-1F3F6A,-1F3E7D,-1F3D3D
-20B835,-20B660,-20B885
-1F3D6F,-1F3E65,-1F3CF3
-20B7E1,-20BAB3,-20BA11
-1F3F57,-1F3DAC,-1F3E5C
-20B8DE,-20BA87,-20BB55
-1F3CBA,-1F3B77,-1F3E40
-20B742,-20B8B0,-20B8C6
-1F3EB5,-1F4178,-1F3F31
-20B8F3,-20B92D,-20BA69
-1F3EED,-1F3DC7,-1F3E3A
-20B9BE,-20BA18,-20B8A2
-1F407F,-1F3F17,-1F3EAA
-20B9EB,-20B90C,-20B8B5
-1F3D00,-1F3CEC,-1F3E53
-20B895,-20B8E0,-20B8B5
-1F4029,-1F3F1C,-1F3F90
-20B9A3,-20B93C,-20B9F3
-1F3EBC,-1F3F05,-1F3F75
-20B9D5,-20BA44,-20BA7B
-1F4143,-1F3F0F,-1F3F1F
-20BA7B,-20B8E2,-20B8E3
-1F3F06,-1F3DA0,-1F3FC3
-20B6F6,-20B724,-20B757
-1F3E75,-1F3D17,-1F3F0B
-20B753,-20B77F,-20B866
-1F3D4C,-1F3D47,-1F3DA4
-20B837,-20B882,-20B7E2
-1F3E50,-1F3FDA,-1F3EDD
-20BA4C,-20B907,-20B808
-1F3DD7,-1F3CD1,-1F3DFD
-20B77E,-20B839,-20B917
-1F3DCB,-1F3EC3,-1F3CEF
-20B8C3,-20B8E2,-20BA48
-1F408C,-1F3DAB,-1F3EAA
-20B75C,-20B901,-20B94E
-1F3F73,-1F3E32,-1F3EF1
-20BA5D,-20B8E5,-20B7AE
-1F3CFD,-1F3E0F,-1F3E5B
-20B8B3,-20B6EE,-20B7EB
-1F3F1A,-1F3F7B,-1F3EA9
-20B7E3,-20B922,-20B8AD
-1F3E93,-1F4163,-1F3E81
-20B9E6,-20B711,-20B87A
-1F3F4F,-1F3DEA,-1F3F4E
-20B8DA,-20BA08,-20B8E0
-1F3DE8,-1F3ECA,-1F3F59
-20BA47,-20B8C8,-20B9FF
-1F3E6B,-1F3EA4,-1F3FD7
-20B977,-20BA74,-20B93E
-1F3F8A,-1F3E8A,-1F3E48
-20B967,-20BA50,-20B9B1
-1F3ED3,-1F3F9E,-1F42BB
