{'CALIB_RAW_DAC_START_I': 65536, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1E67D8,-1E67E8,-1E67A1
-1CEEBC,-1CEF0C,-1CF0BF
-1E693F,-1E6977,-1E6880
-1CEDC9,-1CEF48,-1CEFC5
-1E696F,-1E6839,-1E6A55
-1CF092,-1CEF36,-1CEEDB
-1E69DD,-1E6A4D,-1E699A
-1CEECD,-1CEF6A,-1CEDEB
-1E6786,-1E6773,-1E6823
-1CEDDE,-1CEF48,-1CEE29
-1E68B0,-1E6AE9,-1E6A2D
-1CEEEE,-1CEEF1,-1CF056
-1E68A3,-1E681C,-1E6985
-1CEFEE,-1CF14E,-1CF0EC
-1E6AA2,-1E6A68,-1E6AD1
-1CEF2E,-1CEFCF,-1CEF00
-1E6803,-1E69DF,-1E6BEE
-1CEEF8,-1CF0E2,-1CEFF0
-1E69D6,-1E6AFE,-1E6961
-1CEF3C,-1CF1D8,-1CEFB9
-1E69E1,-1E6AE3,-1E6BC6
-1CF0EF,-1CEE9C,-1CEF08
-1E6A1C,-1E6B59,-1E6A82
-1CF059,-1CEFEC,-1CEEEF
-1E68DA,-1E6A77,-1E6AAC
-1CF0D1,-1CF019,-1CF00B
-1E6ADF,-1E68E9,-1E6AA5
-1CF0C8,-1CEE2D,-1CEF01
-1E6C14,-1E6C6B,-1E6BCE
-1CF04A,-1CF1E8,-1CF12A
-1E6BD0,-1E6C68,-1E6BD7
-1CEFF0,-1CF007,-1CED85
-1E67DA,-1E6729,-1E68CF
-1CEE76,-1CEFDA,-1CEF4A
-1E693B,-1E698C,-1E69F5
-1CEE8C,-1CF040,-1CEF13
-1E6BA9,-1E6A1B,-1E6C58
-1CEF89,-1CEF99,-1CF071
-1E6BC8,-1E6B5A,-1E6A80
-1CEF20,-1CF0B7,-1CF02D
-1E69A3,-1E69F6,-1E6A03
-1CF006,-1CF1BE,-1CEF58
